Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",External Targets,tentative,3589.0,5.025,19.219,145.63,303.0548,12.35,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.999,0.0,0.0,168.999,0.0,0.0,0.0,0.0,0.0,114.999,244.999,111.999,193.999,0.0,0.0,221.999,63.999,0.0,550.999,220.999,149.999,0.0,0.0,0.0,0.0,0.0,0.0,100.999,0.0,0.0,132.999,114.999,0.0,0.0,125.999,0.0
"Phenol, 4,4'-(2,2,3,3,4,4,5,5-octafluoropentylidene)bis-",External Targets,tentative,3246.0,8.345,20.017,150.21,399.0601,-8.96,N/A,N/A,0.0,104.66677777777775,0.0,0.0,0.0,20.666777777777753,0.0,291.6667777777777,0.0,0.0,258.6667777777777,0.0,0.0,0.0,0.0,182.66677777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666777777777753,0.0,0.0,0.0,0.0,0.0,152.66677777777772,194.66677777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,3791.0,10.103833333333332,22.037166666666668,164.26666666666668,498.9287,-3.03,N/A,N/A,3525.0001111111114,491.0001111111111,0.0,11462.00011111111,1283.0001111111112,1006.0001111111112,41356.000111111105,7271.000111111111,3707.0001111111114,15506.00011111111,2493.0001111111114,0.0,388.999,0.0,1085.9384651689606,7329.000111111111,0.0,0.0,7517.000111111111,1631.0001111111112,0.0,19636.000111111112,3332.0001111111114,2243.0001111111114,11317.00011111111,2618.0001111111114,0.0,2549.0001111111114,510.999,0.0,34253.000111111105,4813.000111111111,418.999,49576.000111111105,5392.000111111111,2377.0001111111114,32374.000111111112,6145.000111111111,1509.0001111111112,13406.00011111111,2165.0001111111114,238.999,0.0,0.0,0.0
"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",External Targets,tentative,3191.0,10.369,22.294,165.73,544.9645,-3.23 or -1.38,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.11122222222221,0.0,0.0,11.111222222222224,0.0,0.0,43.11122222222221,0.0,12.11122222222221,0.0,0.0,13.11122222222221,10.111222222222224,0.0,37.11122222222221,18.11122222222221,0.0,0.0,17.11122222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11122222222221,0.0
No Match,None,unmatched,4382.0,3.795,17.163,132.86,202.9964,,,,0.0,0.0,0.0,97.999,0.0,0.0,153.999,0.0,0.0,0.0,0.0,0.0,401.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.999,0.0,0.0,481.999,0.0,0.0,0.0,0.0,0.0,146.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,2441.0,5.572,16.802,129.95,204.9446,,,,0.0,0.0,0.0,346.999,0.0,0.0,989.999,0.0,0.0,78.999,0.0,0.0,223.999,0.0,0.0,366.999,0.0,0.0,150.999,0.0,0.0,0.0,0.0,0.0,135.999,0.0,0.0,427.999,0.0,0.0,0.0,0.0,0.0,1131.999,74.999,0.0,420.999,0.0,0.0,132.999,0.0,0.0,496.999,83.999,0.0
No Match,None,unmatched,1963.0,3.319,16.763,129.62,205.9404,,,,310.999,0.0,0.0,364.999,0.0,0.0,278.999,0.0,0.0,404.999,0.0,0.0,227.999,0.0,0.0,400.999,0.0,0.0,587.999,145.999,0.0,379.999,0.0,0.0,237.999,0.0,0.0,1666.999,218.999,131.999,0.0,0.0,0.0,1192.999,0.0,0.0,0.0,0.0,0.0,271.999,0.0,0.0,289.999,0.0,0.0
No Match,None,unmatched,3469.0,5.573,16.808,129.91,206.9419,,,,0.0,0.0,0.0,300.999,0.0,0.0,0.0,92.999,0.0,0.0,0.0,0.0,136.999,0.0,0.0,262.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.999,0.0,0.0,327.999,0.0,0.0,97.999,0.0,0.0,711.999,89.999,0.0,321.999,0.0,0.0,0.0,0.0,0.0,291.999,0.0,0.0
No Match,None,unmatched,2514.0,3.321,16.775,129.63,207.9373,,,,215.999,0.0,0.0,246.999,0.0,0.0,158.999,0.0,0.0,202.999,0.0,0.0,224.999,0.0,0.0,316.999,0.0,0.0,445.999,79.999,0.0,270.999,0.0,0.0,157.999,0.0,0.0,1084.999,183.999,83.999,61.999,0.0,0.0,777.999,0.0,0.0,0.0,0.0,0.0,135.999,0.0,0.0,174.999,0.0,0.0
No Match,None,unmatched,2102.0,4.379,17.02,131.36,210.9451,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.999,0.0,0.0,444.999,0.0,0.0,899.999,0.0,0.0,1488.999,226.999,0.0,250.999,0.0,0.0,0.0,0.0,0.0,148.999,0.0,0.0,629.999,0.0,0.0,786.999,0.0,0.0,190.999,0.0,0.0,215.999,0.0,0.0,188.999,0.0,0.0
