Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP
No Match,None,unmatched,1126.0,6.398,17.876,136.8,248.9005,,,,540.999,191.999,252.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.999,727.999,538.999,482.999,195.999,0.0
No Match,None,unmatched,1081.0,9.424,18.593,140.14,346.9725,,,,16.650539032798775,0.0,0.0,0.0,0.0,149.65053903279878,0.0,0.0,0.0,253.65053903279875,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,1702.0,10.0745,23.229,174.39,387.033,,,,192.999,0.0,305.999,0.0,0.0,0.0,133.999,0.0,0.0,0.0,0.0,275.999,272.999,240.999,145.999,0.0
No Match,None,unmatched,1776.0,9.998,23.086,173.06,387.0668,,,,0.0,0.0,0.0,0.0,0.0,0.0,118.999,0.0,0.0,0.0,179.999,0.0,0.0,0.0,153.999,1010.999
No Match,None,unmatched,1614.0,9.954,23.535,176.4,401.0836,,,,0.0,0.0,222.999,0.0,171.999,139.999,100.999,0.0,0.0,173.999,143.999,239.999,188.999,0.0,149.999,232.999
No Match,None,unmatched,1905.0,8.473,20.594,154.28,416.9018,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.331883012115412,0.0,79.33188301211541,0.0,0.0,106.33188301211538,0.0,0.0
No Match,None,unmatched,4204.0,9.43,20.718,155.06,430.9852,,,,0.0,0.0,60.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.999,70.999,0.0,0.0,0.0
No Match,None,unmatched,3544.0,10.312,22.638,168.71,499.0673,,,,0.0,0.0,89.999,0.0,0.0,0.0,0.0,0.0,53.999,0.0,191.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,3180.0,11.027,24.117,179.56,508.9588,,,,0.0,0.0,85.999,0.0,0.0,0.0,0.0,0.0,0.0,113.999,0.0,0.0,74.999,67.999,93.999,0.0
No Match,None,unmatched,334.0,14.030999999999999,29.53,217.16,944.93865,,,,68.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.999,55.999,0.0,74.999,0.0,0.0,0.0
