Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),01 A.d.DeMP, 01 B.d.DeMP, 01 C.d.DeMP
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,20526,9.875666667,22.062,164.02,498.9248667,-10.72,N/A,N/A,1063265.397,291015.9974,271562.0974
"3-(heptadecafluorooctyl)-5-methyl-1H-pyrazole or N,N'-1,3-Phenylenebis(perfluorobutanamide) or N,N'-1,4-Phenylenebis(perfluorobutanamide)",External Targets,tentative,52563,10.489,23.311,173.38,499.0153,4.02 or 8.92,N/A,N/A,347.5039,0,0
4-[(Pentadecafluoroheptyl)oxy]benzoic acid,External Targets,tentative,49935,9.7,23.639,175.76,504.9954,5.47,N/A,N/A,483.4476,0,0
"3-(Heptadecafluorooctyl)oxan-2-ol or 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-1-(vinyloxy)undecan-2-ol",External Targets,tentative,48633,9.199,23.281,172.98,519.0221,-7.18,N/A,N/A,561.044,0,0
(Perfluorooctyl)phenylmethanol or [4-(Heptadecafluorooctyl)phenyl]methanol,External Targets,tentative,37764,9.468,23.932,177.75,525.0189,6.93,N/A,N/A,1288.008,0,0
"12,12,13,13,14,14,15,15,15-Nonafluoro-10-iodopentadecanoic acid",External Targets,tentative,42376,9.363,23.952,177.87,529.0302,1.98,N/A,N/A,969.3279,0,0
"4-chloro-3-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)-5-methyl-1H-pyrazole",External Targets,tentative,48234,9.091,26.996,199.69,532.9778,11.12,N/A,N/A,0,0,585.878
"4-[(Heptadecafluorooctyl)oxy]benzene-1,3-diamine",External Targets,tentative,49821,9.589,23.834,176.9,541.0291,14.21,N/A,N/A,490.4544,0,0
"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",External Targets,tentative,14081,10.421,22.32,165.31,544.9616,-8.56 or -6.7,N/A,N/A,3728.971477,191.6124766,1494.463477
"(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl)propanedioic acid",External Targets,tentative,31843,9.477,23.631,175.13,549.0052,9.46,N/A,N/A,116.8975916,0,0
N-Ethyl-N-[2-(phosphonooxy)ethyl]perfluorohexanesulfonamide,External Targets,tentative,45036,11.976,27.815,205.57,549.9737,-4.97,N/A,N/A,0,0,796.0832
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-2-hydroxyundecyl 2-methylprop-2-enoate or 5-(Tridecafluorohexyl)uridine",External Targets,tentative,42933,9.743,24.259,179.57,561.0322,-7.47 or -2.62,N/A,N/A,491.2164,446.4889,0
"1-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)piperazine or 2-{1,2,2,2-Tetrafluoro-1-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]ethyl}-1H-benzimidazole",External Targets,tentative,52960,9.716,23.304,172.78,567.0012,-5.02 or 0.92,N/A,N/A,329.7541,0,0
"4-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl)oxy]benzoic acid or Perfluorooctane sulfonamido amine",External Targets,tentative,51736,10.172,24.369,180.54,583.0288,-11.23 or 13.82,N/A,N/A,388.6296,0,0
12-H-Perfluorododecanoic acid,External Targets,tentative,11180,11.122,23.199,171.59,594.9569,-10.37,N/A,N/A,1102.739426,0,0
"2-Hydroxyethyl 4-[(1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoronon-1-en-1-yl)oxy]benzoate",External Targets,tentative,46692,9.998,25.419,188.1,611.0224,11.03,N/A,N/A,688.9408,0,0
Perfluoroundecanesulfonic acid,External Targets,tentative,52236,12.2635,26.4425,194.725,648.9198,-1.28,N/A,N/A,0,0,1356.523
8:2 Fluorotelomer sulfonamide betaine,External Targets,tentative,49318,13.156,29.293,215.54,669.0745,3.55,N/A,N/A,0,0,518.3027
15-H-Perfluoropentadecanoic acid,External Targets,tentative,24011,13.489,25.931,190.55,744.9516,-2.53,N/A,N/A,0,0,92.43095272
16-H-Perfluorohexadecanoic acid,External Targets,tentative,23739,13.6015,26.8025,196.97,794.94125,-11.38,N/A,N/A,902.3274257,0,0
Perfluorostearic acid,External Targets,tentative,13022,14.303,30.874,225.93,912.9447,11.19,N/A,N/A,0,0,9005.159443
No Match,None,unmatched,52689,2.705,12.697,102.15,116.9749,,,,0,0,342.122
No Match,None,unmatched,52661,2.621,10.765,86.67,116.9787,,,,0,0,343.6301
No Match,None,unmatched,52987,2.805,14.494,115.91,123.9053,,,,0,0,328.8011
No Match,None,unmatched,49750,2.71,12.1495,97.09,125.9029,,,,0,0,754.2125
No Match,None,unmatched,53883,3.039,12.16,97.03,127.8977,,,,0,0,280.8356
No Match,None,unmatched,17668,3.548,15.699,125.26,130.0678,,,,4730.398132,480.8911315,0
No Match,None,unmatched,9272,2.262,12.22,97.18,132.9132,,,,0,0,34811.709
No Match,None,unmatched,37169,2.263,15.187,121.02,134.0078,,,,1334.66,0,0
No Match,None,unmatched,51332,2.077,15.296,121.88,134.0382,,,,410.3028,0,0
No Match,None,unmatched,36011,2.366,12.236,97.18,134.9384,,,,0,0,1433.237
No Match,None,unmatched,40350,2.822,12.24,97.22,134.9384,,,,0,0,1098.31
No Match,None,unmatched,52431,3.013,12.202,96.91,134.9408,,,,0,0,354.1683
No Match,None,unmatched,47912,2.162,15.811,125.44,135.0502,,,,0,0,608.6625
No Match,None,unmatched,24789,2.932,15.272,121.53,136.0159,,,,103.8074592,0,0
No Match,None,unmatched,27917,2.007,12.192,96.71,136.8938,,,,0,0,2473.186
No Match,None,unmatched,39073,3.6185,12.2405,97.1,136.8965,,,,0,0,2029.512
No Match,None,unmatched,14561,2.47875,15.12725,120.0625,137.025725,,,,5158.561,3232.84,3524.537
No Match,None,unmatched,23473,2.9535,15.189,120.73,137.02525,,,,2275.187528,0,513.8946281
No Match,None,unmatched,22415,2.649,15.308,121.67,137.02515,,,,3014.89463,0,186.7022301
No Match,None,unmatched,20994,3.298,16.156,128,137.0644,,,,0,440.5105,4235.275
No Match,None,unmatched,26677,2.399,15.863,125.77,139.0413,,,,1920.902,802.5152,0
No Match,None,unmatched,19303,2.975,15.8425,125.825,139.0411,,,,5742.592,0,0
No Match,None,unmatched,48752,3.381,15.332,121.21,141.0145,,,,0,0,554.0667
No Match,None,unmatched,52793,3.663,13.895,109.89,141.0164,,,,0,0,337.2071
No Match,None,unmatched,29244,3.979,10.5115,83.285,141.0197,,,,923.9153,848.4596,1299.715
No Match,None,unmatched,37257,3.992,11.77,93.19,141.01975,,,,0,535.8095,0
No Match,None,unmatched,13673,2.111,15.9785,126.49,141.0569,,,,36253.399,15385.729,4577.114
No Match,None,unmatched,16340,3.836,16.101,127.42,142.0312,,,,6852.409,0,1957.978
No Match,None,unmatched,34530,3.853,16.089,127.1,142.0356,,,,0,1575.872,0
No Match,None,unmatched,26173,4.099,15.085,119.56,142.9914,,,,2831.804,0,0
No Match,None,unmatched,44338,2.568,15.792,124.66,145.0308,,,,16503.489,847.8364,0
No Match,None,unmatched,16906,3.271666667,15.80966667,124.87,145.0315,,,,6949.376588,0,0
No Match,None,unmatched,46859,2.5035,15.7685,124.355,145.0333,,,,0,678.5638,0
No Match,None,unmatched,39162,2.69,16.4455,129.99,145.06635,,,,20716.539,5338.368,3031.206
No Match,None,unmatched,31828,2.72,16.619,131.51,145.0665,,,,1877.126,0,0
No Match,None,unmatched,50755,2.113,10.002,79.33,145.0864,,,,438.3695,0,0
No Match,None,unmatched,51960,2.757,16.289,128.31,147.0498,,,,0,377.0165,0
No Match,None,unmatched,12341,2.408,15.816,124.69,149.0251,,,,14473.049,3503.135,0
No Match,None,unmatched,30828,3.626,15.955,125.94,150.0344,,,,125.6159346,0,0
No Match,None,unmatched,48008,2.091,16.042,126.1,151.0457,,,,0,0,602.2
No Match,None,unmatched,7832,2.768,16.897,132.89,152.0725,,,,39244.149,6263.046,2757.657
No Match,None,unmatched,18829,2.323,16.526,129.86,155.0289,,,,4525.077,1585.728,0
No Match,None,unmatched,24347,2.206,16.67166667,131.2366667,155.0724,,,,3309.478,0,0
No Match,None,unmatched,34223,2.82,16.692,131.28,155.0725,,,,1401.549,0,398.3167
No Match,None,unmatched,33513,3.385,16.342,128.13,156.0473,,,,0,1681.535,0
No Match,None,unmatched,18341,2.961333333,16.959,133.3566667,157.0662333,,,,6527.791,0,0
No Match,None,unmatched,25286,3.5745,16.905,132.94,157.06615,,,,3057.273,0,0
No Match,None,unmatched,35068,2.529,16.889,132.81,157.0688,,,,1521.47,0,0
No Match,None,unmatched,17196,4.336,16.539,130.01,158.0616,,,,7694.938,0,0
No Match,None,unmatched,47518,2.575,16.639,130.26,159.0505,,,,0,0,635.3939
No Match,None,unmatched,7085,2.822,17.297,135.56,159.0831,,,,53245.809,4490.631,1297.765
No Match,None,unmatched,5458,3.33,17.33,135.81,159.0827,,,,71633.719,15133.559,6395.194
No Match,None,unmatched,31234,2.737,17.283,135.29,159.0846,,,,0,715.4262,1237.729
No Match,None,unmatched,32056,2.957,17.52,137.14,159.1012,,,,0,1847.824,0
No Match,None,unmatched,10792,3.1,17.339,135.88,159.1028,,,,17667.049,5578.386,1290.345
No Match,None,unmatched,33935,2.867714286,17.61485714,137.8742857,161.0991857,,,,59266.389,12053.119,12944.439
No Match,None,unmatched,35515,3.611,17.55975,137.46,161.09865,,,,50391.249,3502.162,1780.176
No Match,None,unmatched,44498,3.772,17.519,137,161.1017,,,,0,0,836.646
No Match,None,unmatched,32615,4.219,16.983,133.24,162.0676,,,,1779.854,0,0
No Match,None,unmatched,16525,4.11,17.572,137.84,162.0933,,,,8554.158,0,0
No Match,None,unmatched,45671,3.669,16.65,130.11,163.045,,,,0,0,754.8327
No Match,None,unmatched,49370,4.249,16.48,129.25,163.0429,,,,515.5755,0,0
No Match,None,unmatched,7590,5.093,16.677,130.42,164.0493,,,,37031.189,13201.629,1190.389
No Match,None,unmatched,49977,3.729,16.001,124.95,164.9818,,,,0,0,480.7798
No Match,None,unmatched,41563,3.701,17.079,133.75,166.0582,,,,1017.843,0,0
No Match,None,unmatched,31114,4.165,17.083,133.78,166.0647,,,,1967.904,0,0
No Match,None,unmatched,2454,2.414,17.347,135.55,167.0402,,,,152603.2561,0,0
No Match,None,unmatched,10798,2.3278,17.3096,135.334,167.07224,,,,68979.389,3369.559203,11925.419
No Match,None,unmatched,10158,2.9635,17.36325,135.6375,167.07305,,,,42858.83182,12113.34182,7080.488163
No Match,None,unmatched,31540,2.991,17.412,135.8,167.074,,,,0,0,1682.536
No Match,None,unmatched,52161,4.041,17.327,135.51,169.0667,,,,368.2502,0,0
No Match,None,unmatched,33285,5.004,17.442,136.41,169.0681,,,,1705.572,0,0
No Match,None,unmatched,8338,2.577,16.931,132,171.0234,,,,33549.359,7793.249,1602.087
No Match,None,unmatched,48767,4.56,17.03,133.09,171.0472,,,,552.9095,0,0
No Match,None,unmatched,7305,2.283,17.654,137.7,171.0683,,,,39170.069,16184.329,0
No Match,None,unmatched,16196,3.881,17.735,138.57,171.0832,,,,9016.739,0,0
No Match,None,unmatched,46216,4.8445,17.764,138.8,171.08365,,,,718.9569,0,0
No Match,None,unmatched,3286,2.458666667,18.03133333,140.63,171.1039333,,,,157246.099,59484.809,8954.38
No Match,None,unmatched,6977,3.026,18.071,141.19,171.103,,,,38166.12892,0,0
No Match,None,unmatched,8359,2.5765,18.0175,140.36,171.1045,,,,95202.899,56818.649,17701.909
No Match,None,unmatched,10137,3.122,18.097,141.14,171.1043,,,,17419.879,10775.659,0
No Match,None,unmatched,43511,2.625,17.901,139.37,171.1077,,,,0,0,903.5412
No Match,None,unmatched,20161,3.74,16.651,129.97,172.04125,,,,32690.969,3731.207,0
No Match,None,unmatched,44284,4.097,16.961,132.44,172.9924,,,,851.4936,0,0
No Match,None,unmatched,48420,2.302,16.946,131.85,172.9953,,,,0,575.4249,0
No Match,None,unmatched,34440,3.316,16.621,129.79,173.0271,,,,1584.194,0,0
No Match,None,unmatched,15664,2.837,17.492,136.33,173.0649,,,,8216.757,1604.671,0
No Match,None,unmatched,370,3.4945,16.932,132.005,174.0565,,,,1993726.999,703749.099,614761.799
No Match,None,unmatched,10560,4.107,16.914,131.71,174.0583,,,,17566.179,5479.575,2669.722
No Match,None,unmatched,54138,5.001,17.19,134.11,175.0434,,,,261.7827,0,0
No Match,None,unmatched,10804,2.954,17.747,138.04,175.07965,,,,22429.449,225.9594,722.1222
No Match,None,unmatched,3158,2.1715,18.2145,141.745,175.09875,,,,144970.099,48629.119,20014.199
No Match,None,unmatched,36317,4.012,17.704,138.06,176.0484,,,,1408.101,0,0
No Match,None,unmatched,23997,3.68,17.568,136.94,177.0596,,,,3414.842,0,0
No Match,None,unmatched,35786,4.025,18.221,141.52,177.0963,,,,0,1454.765,0
No Match,None,unmatched,23172,3.755,17.44,135.85,179.0369,,,,3700.865,0,0
No Match,None,unmatched,48295,2.235,18.287,141.92,179.1115,,,,0,582.9087,0
No Match,None,unmatched,4645,2.682333333,18.23266667,141.64,180.1046,,,,82870.249,19666.709,18895.029
No Match,None,unmatched,9909,3.869,18.178,141.47,181.0547,,,,9802.458623,0,0
No Match,None,unmatched,47960,2.356,13.799,107.5,181.0852,,,,605.6785,0,0
No Match,None,unmatched,54342,4.149,16.95,131.9,182.0435,,,,246.7513,0,0
No Match,None,unmatched,42532,2.225,17.639,137.19,183.0138,,,,959.3759,0,0
No Match,None,unmatched,4057,5.733,17.713,137.52,183.0465,,,,111633.3206,0,0
No Match,None,unmatched,9182,2.227666667,17.738,137.8766667,183.0667,,,,49518.019,20926.629,0
No Match,None,unmatched,30913,2.181,17.755,137.6,183.0704,,,,0,0,1993.389
No Match,None,unmatched,38562,4.589,18.275,142.07,184.078,,,,1223.796,0,0
No Match,None,unmatched,38636,4.515,17.84,138.65,185.0614,,,,312.0193759,0,0
No Match,None,unmatched,15518,3.295,18.456,143.42,185.0838,,,,10066.609,0,0
No Match,None,unmatched,33870,2.035,17.196,133.33,187.0184,,,,1434.222,207.033,0
No Match,None,unmatched,45424,4.9415,17.391,134.91,187.0515,,,,134014.699,26687.079,21069.089
No Match,None,unmatched,14465,4.382,17.654,137.11,187.0523,,,,12157.789,0,0
No Match,None,unmatched,25520,2.318,17.628,136.43,187.0618,,,,0,0,2991.443
No Match,None,unmatched,53603,5.29,18.129,140.79,187.0886,,,,295.5578,0,0
No Match,None,unmatched,7163,2.9245,18.1825,140.95,187.09665,,,,57240.169,1583.433,0
No Match,None,unmatched,1843,2.01,18.632,144.42,187.0981,,,,324478.099,109065.199,0
No Match,None,unmatched,14540,2.1165,18.113,140.29,187.0993,,,,83530.949,21019.119,1584.689
No Match,None,unmatched,5872,2.651,18.109,140.345,187.09885,,,,78318.129,25298.779,13153.669
No Match,None,unmatched,6207,2.258,18.7285,145.26,187.0994,,,,57988.409,0,15226.119
No Match,None,unmatched,1443,3.7906,17.032,132.048,188.03564,,,,334969.799,131812.099,128691.799
No Match,None,unmatched,41728,4.319,17.011,132.09,188.0374,,,,1007.317,0,0
No Match,None,unmatched,43040,2.031,18.427,142.54,188.0924,,,,0,0,931.2076
No Match,None,unmatched,39163,2.156,16.087,124.9,188.9619,,,,1179.613,0,0
No Match,None,unmatched,14953,2.27,16.012,124.02,188.9955,,,,0,7612.339807,2488.316807
No Match,None,unmatched,46162,4.155,16.668,129.16,189.0221,,,,432.0693,290.9221,0
No Match,None,unmatched,15604,4.009,18.649,144.71,189.0597,,,,9927.232,0,0
No Match,None,unmatched,13474,2.145666667,18.792,145.6466667,189.1126,,,,26735.539,3632.569,0
No Match,None,unmatched,31474,2.511,15.759,122.06,190.9946,,,,0,1316.261277,0
No Match,None,unmatched,11762,3.312,17.974,139.4,191.07,,,,19558.74712,0,0
No Match,None,unmatched,8337,4.08,18.304,141.78,191.0724,,,,19449.55733,0,0
No Match,None,unmatched,14935,2.289,18.568,143.69,192.0689,,,,7632.855,0,3471.318
No Match,None,unmatched,49358,4.693,18.465,143.1,193.0476,,,,516.098,0,0
No Match,None,unmatched,15825,2.248,17.747,137.395,193.0519,,,,5161.37675,0,0
No Match,None,unmatched,26948,5.971,16.644,128.96,194.9177,,,,2660.803,0,0
No Match,None,unmatched,11033,2.26625,18.20325,140.6725,195.067925,,,,25663.06099,3378.674995,3821.953
No Match,None,unmatched,5216,3.022,18.15725,140.3625,195.06835,,,,28112.509,1728.498,915.9427
No Match,None,unmatched,52676,5.11,17.804,137.81,197.0433,,,,342.7498,0,0
No Match,None,unmatched,23356,2.778,16.173,125.16,198.9404,,,,3628.495,0,0
No Match,None,unmatched,51820,3.856,13.906,107.68,199.0108,,,,383.9796,0,0
No Match,None,unmatched,50016,4.039,18.21,140.86,199.0762,,,,478.0168,0,0
No Match,None,unmatched,54201,4.738,18.627,144.08,199.0765,,,,257.9882,0,0
No Match,None,unmatched,47486,2.503,18.145,140.11,199.0841,,,,0,0,390.7988
No Match,None,unmatched,42800,2.262,18.225,140.48,199.0998,,,,0,0,944.6632
No Match,None,unmatched,24300,2.9,18.538,143.13,199.0988,,,,2162.241,1161.124,0
No Match,None,unmatched,4273,2.191333333,18.69166667,144.3733333,199.0986,,,,92417.599,36271.929,7561.456
No Match,None,unmatched,7339,2.603,18.771,145.18,199.0979,,,,54820.049,0,0
No Match,None,unmatched,16829,3.387,18.496,142.77,200.0531,,,,6023.384,2136.028,0
No Match,None,unmatched,52305,3.378,18.521,143.21,200.0753,,,,361.4177,0,0
No Match,None,unmatched,45641,5.429,17.629,136.3,200.946,,,,756.9976,0,0
No Match,None,unmatched,18856,3.828,17.844,137.96,200.9808,,,,6090.411,0,0
No Match,None,unmatched,25829,2.835,18.329,141.44,201.0599,,,,0,2626.724,0
No Match,None,unmatched,36550,3.1355,18.2375,140.735,201.06865,,,,725.9278,0,0
No Match,None,unmatched,20252,2.449,18.136,140.075,201.0778,,,,4048.814,0,0
No Match,None,unmatched,8183,2.26,19.121,147.27,201.0787,,,,0,21279.629,23180.679
No Match,None,unmatched,43081,5.188,17.255,132.9,202.0386,,,,0,928.8607,0
No Match,None,unmatched,50648,5.374,17.425,134.64,202.9952,,,,443.8763,0,0
No Match,None,unmatched,13519,2.8835,19.146,147.505,203.10765,,,,13621.309,0,0
No Match,None,unmatched,18751,3.5725,17.4095,134.485,204.03165,,,,6171.802,0,0
No Match,None,unmatched,44324,5.274,16.871,130.3,204.9474,,,,848.3774,0,0
No Match,None,unmatched,13753,2.578,17.378,133.96,205.0164,,,,8951.194,4867.2,0
No Match,None,unmatched,18762,2.91,18.602,143.63,205.0533,,,,3685.977843,0,0
No Match,None,unmatched,15142,4.702,18.887,145.82,205.055,,,,10716.159,0,0
No Match,None,unmatched,13340,3.5735,18.7105,144.25,206.08395,,,,15000.709,1979.155,453.8604
No Match,None,unmatched,26484,2.162,18.994,146.6,206.089,,,,2759.993,0,0
No Match,None,unmatched,45738,3.121,18.24,140.76,206.9809,,,,750.5225,0,0
No Match,None,unmatched,12764,5.827,19.065,147.1,207.06915,,,,16648.259,0,0
No Match,None,unmatched,53750,4.108,18.973,145.79,209.087,,,,0,0,287.4708
No Match,None,unmatched,34962,5.646,17.063,131.6,209.9038,,,,1530.541,0,0
No Match,None,unmatched,51738,3.562,18.036,139.03,211.0348,,,,388.4713,0,0
No Match,None,unmatched,47434,5.894,19.577,150.33,211.1193,,,,0,640.7366,0
No Match,None,unmatched,50906,2.471,18.228,140.47,211.9195,,,,431.4598,0,0
No Match,None,unmatched,49030,2.472,15.692,120.55,211.9997,,,,0,536.4026,0
No Match,None,unmatched,132,2.595,18.214,140.235,212.00355,,,,6178449.754,2614177.754,1986397.754
No Match,None,unmatched,35311,2.447,19.013,145.98,212.0038,,,,0,0,1499.557
No Match,None,unmatched,13540,2.466,19.455,149.54,212.0042,,,,9737.858,2968.367,1689.913
No Match,None,unmatched,45312,2.479,15.579,120.12,212.0084,,,,777.8456,0,0
No Match,None,unmatched,29101,6.461,19.027,146.6,212.07,,,,2257.96,0,0
No Match,None,unmatched,42106,2.455,18.211,140.26,214.092,,,,986.0751,0,0
No Match,None,unmatched,2778,2.581,18.204,139.84,215.0109,,,,144970.299,71170.839,41466.589
No Match,None,unmatched,52055,5.206,18.162,139.85,215.0286,,,,373.081,0,0
No Match,None,unmatched,43496,4.604,18.152,139.77,215.0409,,,,904.5396,0,0
No Match,None,unmatched,20256,4.290666667,18.94033333,145.8166667,215.0384667,,,,6182.638,0,0
No Match,None,unmatched,15897,3.8905,19.537,150.22,215.0398,,,,82033.109,2316.306,1852.771
No Match,None,unmatched,50432,2.009,19.174,147.175,215.0934,,,,14206.959,1616.619,3671.779
No Match,None,unmatched,8547,6.345,19.598,150.68,215.1099,,,,29228.9377,0,303.1247021
No Match,None,unmatched,10594,2.142,18.896,145.44,216.0337,,,,22580.78892,0,0
No Match,None,unmatched,13353,5.1465,17.601,135.1,216.03985,,,,0,0,7015.191248
No Match,None,unmatched,52988,6.345,18.162,139.31,216.0533,,,,0,328.798,0
No Match,None,unmatched,12591,5.096,19.353,148.95,216.0669,,,,17182.179,0,0
No Match,None,unmatched,14476,6.636,17.653,135.38,217.0503,,,,0,12119.029,0
No Match,None,unmatched,19910,3.198666667,19.56666667,150.2433333,217.0883,,,,0,0,1501.638
No Match,None,unmatched,13060,3.62,19.674,151.36,217.0874,,,,15716.089,0,0
No Match,None,unmatched,53397,6.132,19.23,147.44,217.0907,,,,0,307.7662,0
No Match,None,unmatched,38876,2.056,19.247,147.57,217.1089,,,,0,956.6086,244.6079
No Match,None,unmatched,47422,5.979,15.559,119.35,218.0347,,,,0,0,641.8269
No Match,None,unmatched,22323,3.386,18.812,144.72,218.0631,,,,4035.802,0,0
No Match,None,unmatched,16987,6.138,17.727,135.88,219.0472,,,,0,0,7958.436
No Match,None,unmatched,20649,5.743,17.693,135.74,220.036,,,,0,1417.286847,0
No Match,None,unmatched,49035,4.996,18.752,144.18,220.0456,,,,535.9137,0,0
No Match,None,unmatched,53866,6.802,17.594,134.83,220.0622,,,,0,0,281.2337
No Match,None,unmatched,7526,3.209,18.942,145.34,221.049,,,,32346.47169,6038.801685,2638.277685
No Match,None,unmatched,29810,2.534,19.336,148.62,221.0475,,,,2146.204,0,0
No Match,None,unmatched,13524,6.842,17.107,131.2,221.9561,,,,10932.469,2251.321,1257.279
No Match,None,unmatched,20138,2.319333333,19.85566667,152.3566667,222.0813667,,,,997007.799,162150.199,107961.499
No Match,None,unmatched,7725,3.754,18.9365,145.405,223.0074,,,,38157.04092,0,0
No Match,None,unmatched,13355,2.592,19.679,150.64,223.1037,,,,0,8849.467,6105.793
No Match,None,unmatched,7076,2.315,19.909,152.765,224.07995,,,,59144.679,0,7068.346
No Match,None,unmatched,16286,2.595666667,19.18,147.2766667,225.0766333,,,,8895.962,0,0
No Match,None,unmatched,14966,3.059666667,19.315,148.1366667,225.0804,,,,181658.799,20127.459,0
No Match,None,unmatched,4833,3.630333333,19.27233333,147.6666667,225.0800667,,,,73840.98545,5954.269,0
No Match,None,unmatched,7943,2.158,19.532,149.62,225.0796,,,,32941.889,13273.419,751.0658
No Match,None,unmatched,3076,3.186,19.559,150.005,225.0808,,,,164090.6186,0,0
No Match,None,unmatched,20235,2.248,19.949,152.75,225.8986,,,,0,0,1674.776284
No Match,None,unmatched,23950,2.274,19.89,152.14,226.0417,,,,0,3432.01,0
No Match,None,unmatched,17235,4.282,19.663,150.67,226.0547,,,,7232.475,421.1599,0
No Match,None,unmatched,42813,5.645,17.824,136.84,226.927,,,,943.8973,0,0
No Match,None,unmatched,8875,2.023,19.813,151.78,227.0934,,,,36721.619,1360.578,0
No Match,None,unmatched,14609,2.634,19.436,148.9,227.0939,,,,11439.669,0,0
No Match,None,unmatched,14245,2.178,19.24,147.14,227.1108,,,,0,9186.754,3446.37
No Match,None,unmatched,53394,2.0645,18.784,144.145,228.00935,,,,1523.629,0,0
No Match,None,unmatched,20657,3.339,19.587,150.02,228.0352,,,,4396.677,454.6378,0
No Match,None,unmatched,44108,2.027,19.178,146.63,228.0925,,,,0,0,865.0516
No Match,None,unmatched,24894,3.566,19.99,153.36,228.112,,,,3159.274,0,0
No Match,None,unmatched,35097,3.553,19.908,152.2,228.117,,,,0,1518.036,0
No Match,None,unmatched,22153,4.395,19.77,151.65,229.0548,,,,4114.212,0,0
No Match,None,unmatched,54196,4.0455,19.943,152.565,229.06615,,,,7609.326,1249.455,258.2395
No Match,None,unmatched,17143,2.028,19.185,146.65,229.0912,,,,0,0,7747.767
No Match,None,unmatched,36189,2.975,19.262,147.76,229.1074,,,,1419.129,0,0
No Match,None,unmatched,11397,2.989,19.744,151.18,229.108,,,,21239.689,0,522.4624
No Match,None,unmatched,51905,2.298,18.927,144.65,230.0478,,,,0,0,379.7396
No Match,None,unmatched,3106,3.104,19.79,151.585,230.0503,,,,188885.499,24760.109,6275.335
No Match,None,unmatched,22462,4.421666667,18.338,140.1666667,230.0565333,,,,0,0,11938.869
No Match,None,unmatched,4233,5.055,19.049,145.76,230.0575,,,,105861.999,15509.049,16826.789
No Match,None,unmatched,4048,2.373,19.153,146.52,230.9912,,,,111866.399,19202.629,17085.799
No Match,None,unmatched,2956,2.073,19.773,151.39,231.0336,,,,144185.4408,35951.10076,26691.74076
No Match,None,unmatched,15608,2.767,18.799,144.12,232.0275,,,,9920.684,0,0
No Match,None,unmatched,2589,2.79,19.783,151.37,232.0294,,,,157571.6956,54646.78564,38118.06564
No Match,None,unmatched,42425,3.51,19.946,152.85,233.0504,,,,966.2332,0,0
No Match,None,unmatched,18285,3.056333333,19.97266667,152.9633333,233.0822333,,,,24578.129,0,0
No Match,None,unmatched,11473,3.7925,20.0325,153.515,233.08295,,,,21399.699,0,0
No Match,None,unmatched,18935,2.77,19.747,151.03,234.0278,,,,4609.608,1420.582,0
No Match,None,unmatched,19578,6.393,19.739,150.98,234.0899,,,,2036.448668,0,0
No Match,None,unmatched,32912,2.327,16.583,127.1,234.9088,,,,1747.388,0,0
No Match,None,unmatched,2750,3.017,19.938,152.36,235.0738,,,,184408.299,41742.879,34425.539
No Match,None,unmatched,50145,4.518,18.518,141.35,235.9848,,,,0,470.9294,0
No Match,None,unmatched,14914,2.354,19.473,149.1,237.0541,,,,11133.799,0,0
No Match,None,unmatched,54461,2.412,19.885,151.71,237.0846,,,,0,0,237.7405
No Match,None,unmatched,15534,3.423,17.568,134.3,237.9518,,,,8989.212,1052.446,0
No Match,None,unmatched,6302,2.556,19.095,145.84,238.0187,,,,52465.719,12293.949,8084.405
No Match,None,unmatched,11309,4.7165,20.2945,155.205,238.0556,,,,19707.609,0,2426.03
No Match,None,unmatched,16584,4.112,18.511,141.7,238.9591,,,,8477.604,0,0
No Match,None,unmatched,27824,3.395,19.316,147.84,239.0561,,,,2489.495,0,0
