Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),36 2286 - Mitra.d.DeMP, 39 2182 - Mitra.d.DeMP, 42 2187 - Mitra.d.DeMP, 45 2854 - Mitra.d.DeMP, 48 2911 - Mitra.d.DeMP, 126 1777 - Mitra.d.DeMP, 129 1821 - Mitra.d.DeMP, 132 1673 - Mitra.d.DeMP, 135 1894 - Mitra.d.DeMP, 138 3330 - Mitra.d.DeMP, 81 2003 - Mitra.d.DeMP, 84 2095 - Mitra.d.DeMP, 87 2046 - Mitra.d.DeMP, 90 2889 - Mitra.d.DeMP, 93 3021 - Mitra.d.DeMP
No Match,None,unmatched,1182.0,5.921,17.042,131.25,220.9392,,,,0.0,167.999,205.999,367.999,218.999,126.999,293.999,294.999,327.999,401.999,0.0,0.0,234.999,195.999,0.0
No Match,None,unmatched,2290.0,5.497,17.031,130.99,225.0679,,,,0.0,0.0,0.0,312.999,0.0,0.0,0.0,0.0,0.0,0.0,111.999,209.999,0.0,162.999,0.0
No Match,None,unmatched,1357.0,5.944,17.564,134.67,239.0847,,,,0.0,282.999,257.999,0.0,103.999,0.0,148.999,0.0,408.999,230.999,123.999,388.999,0.0,0.0,247.999
No Match,None,unmatched,64.0,6.393,17.855,136.73,244.9073,,,,4816.999,2448.999,2391.999,22459.999,4957.999,9062.999,11903.999,7678.999,4981.999,5609.999,2788.999,5711.999,7547.999,5161.999,1499.999
No Match,None,unmatched,1322.0,5.433,17.589,134.73,245.066,,,,285.999,148.999,140.999,235.999,0.0,0.0,302.999,0.0,274.999,421.999,0.0,216.999,0.0,289.999,0.0
No Match,None,unmatched,2268.0,6.393,17.887,136.84,250.898,,,,118.999,88.999,0.0,0.0,127.999,0.0,0.0,0.0,102.999,129.999,119.999,0.0,0.0,124.999,0.0
No Match,None,unmatched,2408.0,3.139,17.753,135.63,259.0089,,,,0.0,0.0,140.999,279.999,0.0,0.0,0.0,180.999,0.0,0.0,0.0,122.999,0.0,0.0,0.0
No Match,None,unmatched,2102.0,2.617,19.719,150.31,273.0068,,,,0.0,0.0,0.0,155.999,354.999,0.0,438.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,2137.0,4.868,17.226,131.06,278.9136,,,,0.0,0.0,0.0,273.999,0.0,0.0,359.999,181.999,0.0,102.999,0.0,0.0,0.0,0.0,0.0
No Match,None,unmatched,1489.0,9.408,18.58,140.13,346.9722,,,,139.999,136.999,131.999,146.999,147.999,165.999,149.999,123.999,0.0,156.999,151.999,134.999,168.999,0.0,149.999
No Match,None,unmatched,1431.0,10.0745,23.2405,174.505,387.03295,,,,127.999,204.999,0.0,210.999,0.0,0.0,235.999,197.999,129.999,159.999,120.999,176.999,323.999,154.999,0.0
No Match,None,unmatched,2875.0,9.924,23.026,172.76,387.0677,,,,0.0,0.0,0.0,0.0,0.0,127.999,0.0,190.999,0.0,0.0,0.0,0.0,0.0,185.999,0.0
No Match,None,unmatched,4579.0,10.005,22.073,165.675,401.04555,,,,0.0,57.999,60.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.999,0.0,61.999,0.0,0.0
No Match,None,unmatched,1861.0,9.924,23.522,176.33,401.0844,,,,0.0,181.999,0.0,0.0,0.0,102.999,132.999,155.999,154.999,163.999,0.0,185.999,0.0,149.999,0.0
No Match,None,unmatched,2368.0,8.435,20.124,150.8,403.9412,,,,0.0,0.0,0.0,0.0,0.0,220.999,0.0,0.0,141.999,0.0,191.999,189.999,0.0,0.0,0.0
No Match,None,unmatched,1619.0,10.949,23.786,177.75,450.9251,,,,0.0,0.0,0.0,927.999,0.0,351.999,0.0,0.0,0.0,0.0,0.0,341.999,0.0,0.0,0.0
No Match,None,unmatched,1917.0,10.951,23.785,177.73,452.9215,,,,0.0,0.0,0.0,676.999,0.0,197.999,0.0,0.0,0.0,0.0,0.0,274.999,0.0,0.0,0.0
