ID,RT,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
3454,3.22,20.879,171.95,92.9276,0.0,0.0,0.0,0.0,124.999,103.999,255.999,156.999
3424,2.7325,21.541,177.62,92.9278,102.999,0.0,0.0,239.999,179.999,227.999,268.999,221.999
2918,3.185,21.447499999999998,176.615,92.9274,0.0,224.999,0.0,0.0,234.999,163.999,0.0,197.999
5233,3.043,22.04,181.47,92.9274,0.0,0.0,0.0,0.0,141.999,0.0,0.0,222.999
6085,2.4645,22.61,186.65,92.92785,101.999,0.0,0.0,88.999,218.999,0.0,0.0,0.0
3104,2.365,23.062,190.09,92.9275,0.0,219.999,140.999,0.0,373.999,0.0,0.0,0.0
2231,2.197,23.877,196.69,92.9275,0.0,166.999,0.0,161.999,228.999,230.999,0.0,307.999
7087,2.621,24.85,204.76,92.928,0.0,0.0,0.0,0.0,147.999,62.999,0.0,0.0
9072,12.304,25.187,207.54,92.9276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4179,2.742,25.537,210.29,92.9283,0.0,0.0,0.0,135.999,0.0,143.999,103.999,121.999
7924,12.495,25.413,209.13,92.928,0.0,78.999,0.0,0.0,85.999,0.0,0.0,0.0
4732,2.888,27.182,223.83,92.9277,0.0,61.999,0.0,93.999,106.999,101.999,60.999,0.0
6435,14.329,29.48,242.89,92.9278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5117,14.09,31.848,262.01,92.9278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7345,13.944,33.239,273.28,92.9277,0.0,0.0,0.0,0.0,124.999,0.0,69.999,0.0
8690,3.055,54.64,448.2,92.9282,0.0,74.999,0.0,0.0,0.0,0.0,51.999,0.0
7428,2.558,9.007,74.63,92.9285,0.0,87.999,0.0,0.0,102.999,0.0,0.0,0.0
8109,10.679,19.494,160.81,92.9286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4705,2.848,21.532,177.53,92.9287,0.0,0.0,0.0,0.0,286.999,141.999,0.0,0.0
8689,12.322,24.914,205.28,92.9284,0.0,0.0,0.0,0.0,70.999,55.999,0.0,0.0
8012,13.0195,25.1235,207.14999999999998,92.9285,0.0,0.0,0.0,0.0,67.999,91.999,0.0,0.0
6486,2.209,26.005,214.3,92.9285,0.0,0.0,0.0,104.999,0.0,0.0,145.999,0.0
7698,14.612,26.199,215.83,92.9286,0.0,0.0,0.0,0.0,77.999,98.999,0.0,0.0
5542,13.064,27.23,224.01,92.9285,0.0,85.999,0.0,0.0,113.999,78.999,0.0,52.999
9071,14.541,48.503,399.19,92.9291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7571,2.107,5.066,42.31,92.9295,0.0,0.0,0.0,0.0,101.999,0.0,80.999,0.0
6657,2.031,12.107,100.08,92.93,0.0,0.0,0.0,0.0,51.999,116.999,69.999,0.0
6093,2.272,24.218,199.85,92.9306,0.0,0.0,0.0,62.999,218.999,0.0,0.0,0.0
9056,3.402,20.086,165.23,94.9228,0.0,0.0,49.999,0.0,0.0,0.0,50.999,0.0
6456,2.507,24.834,204.0,94.9223,0.0,0.0,61.999,0.0,0.0,0.0,90.999,99.999
8599,2.337,26.872,220.27,94.9223,0.0,66.999,0.0,0.0,0.0,0.0,64.999,0.0
7808,2.214,8.955,73.91,94.9237,0.0,0.0,0.0,0.0,0.0,0.0,60.999,109.999
4910,2.3075,19.8755,163.65,94.92375,108.999,0.0,83.999,127.999,0.0,0.0,0.0,139.999
6755,2.9655,19.814999999999998,162.745,94.92420000000001,0.0,96.999,57.999,0.0,0.0,91.999,109.999,121.999
8879,9.081,20.034,164.79,94.9238,0.0,0.0,58.999,0.0,0.0,0.0,59.999,0.0
3442,2.442,20.599,169.43,94.9242,0.0,0.0,117.999,82.999,0.0,85.999,105.999,251.999
7912,3.1010000000000004,20.776666666666667,171.05666666666664,94.92393333333332,116.999,172.999,106.999,107.999,0.0,101.999,234.999,130.999
2326,2.07,21.437,176.38,94.9243,123.999,0.0,134.999,188.999,0.0,185.999,279.999,131.999
4168,2.827,21.178,174.18,94.9238,0.0,0.0,105.999,89.999,0.0,0.0,164.999,145.999
2710,2.5075,21.819499999999998,179.285,94.9242,0.0,207.999,165.999,173.999,0.0,198.999,196.999,157.999
6444,3.709,21.698,178.45,94.9242,0.0,0.0,0.0,71.999,63.999,0.0,118.999,0.0
3974,3.0,22.347,183.465,94.92375,141.999,248.999,0.0,0.0,0.0,0.0,149.999,0.0
2793,2.3675,23.078000000000003,189.805,94.9242,125.999,161.999,104.999,108.999,172.999,0.0,225.999,194.999
3059,2.231,23.985,197.1,94.9237,0.0,177.999,140.999,123.999,0.0,0.0,179.999,122.999
8364,2.478,25.624,210.65,94.9239,0.0,0.0,67.999,0.0,0.0,0.0,0.0,73.999
6254,12.934,25.26,207.1,94.9242,0.0,95.999,0.0,0.0,0.0,0.0,85.999,87.999
8577,13.604,25.991,213.34,94.9239,0.0,0.0,0.0,0.0,68.999,0.0,63.999,0.0
5978,2.139,27.372,224.78,94.924,69.999,75.999,0.0,0.0,0.0,0.0,0.0,144.999
8968,13.172,32.436,266.56,94.9239,0.0,0.0,0.0,0.0,0.0,16.418812877794323,0.0,0.0
6651,2.25,10.447,86.14,94.9256,0.0,84.999,0.0,52.999,0.0,0.0,0.0,100.999
6944,3.047,19.386,159.26,94.925,0.0,0.0,0.0,0.0,72.999,0.0,84.999,61.999
5536,2.7075,20.402,167.95999999999998,94.92535000000001,0.0,0.0,101.999,119.999,94.999,99.999,0.0,147.999
5852,3.92,20.125,165.26,94.9251,0.0,109.999,0.0,0.0,0.0,61.999,76.999,51.999
5633,2.8129999999999997,23.429000000000002,192.54500000000002,94.92519999999999,97.999,117.999,0.0,0.0,106.999,79.999,57.999,0.0
5699,2.6825,24.5035,201.265,94.9247,0.0,0.0,0.0,71.999,109.999,80.999,154.999,78.999
6988,11.568,25.021,205.32,94.9248,0.0,104.999,0.0,0.0,49.999,0.0,61.999,0.0
8500,13.062,25.876,212.5,94.9256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4895,2.033,27.873,228.63,94.925,0.0,0.0,0.0,0.0,0.0,121.999,91.999,191.999
5435,2.428,20.579,169.54,94.9268,61.999,0.0,0.0,147.999,0.0,132.999,0.0,0.0
7194,2.144,25.463,209.02,94.927,0.0,0.0,0.0,0.0,0.0,118.999,0.0,84.999
8510,3.027,25.394,208.46,94.9272,0.0,0.0,0.0,0.0,0.0,73.999,0.0,61.999
835,4.9945,16.96,139.235,96.95930000000001,481.999,469.999,433.999,366.999,704.999,674.999,430.999,272.999
1379,5.38,17.465,143.335,96.95935,0.0,344.999,273.999,196.999,536.999,445.999,0.0,148.999
394,2.54425,17.615499999999997,142.8625,107.0499,1014.999,866.999,1199.999,1200.999,968.999,1037.999,805.999,694.999
7549,3.925,7.35,59.37,116.9694,80.999,0.0,103.999,0.0,0.0,0.0,0.0,0.0
6274,9.86,7.655,61.94,116.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8154,13.033,8.016,64.74,116.969,85.999,0.0,66.999,0.0,0.0,0.0,0.0,0.0
7324,13.097,28.671,230.53,116.9684,0.0,0.0,80.999,0.0,0.0,0.0,0.0,115.999
8498,12.875,11.156,90.01,116.9709,0.0,58.37686152929294,0.0,0.0,0.0,0.0,0.0,0.0
8205,13.423,11.742,94.58,116.97,0.0,56.999,0.0,0.0,0.0,0.0,92.999,0.0
8474,13.438,12.524,100.83,116.9708,0.0,79.999,0.0,0.0,0.0,0.0,0.0,57.999
4372,9.905,20.902,168.32,116.9698,0.0,223.999,109.999,137.999,0.0,0.0,0.0,0.0
3986,2.393,21.916,176.75,116.9708,245.999,0.0,292.999,0.0,0.0,0.0,0.0,0.0
3299,10.224,21.815,175.66,116.9699,151.999,348.999,183.999,0.0,0.0,0.0,0.0,0.0
7386,10.405,23.249,187.26,116.9707,0.0,0.0,54.25287085579785,0.0,0.0,0.0,0.0,0.0
3920,12.166,24.587,197.58,116.9708,144.999,179.999,0.0,0.0,0.0,0.0,0.0,225.999
7889,13.291,26.822,216.16,116.9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7375,11.065,28.585,229.18,116.9704,0.0,51.999,0.0,0.0,0.0,0.0,141.999,0.0
8648,13.565,38.505,309.44,116.9701,66.999,0.0,0.0,0.0,0.0,0.0,61.999,0.0
8965,10.208,55.46,443.96,116.9704,0.0,50.999,0.0,0.0,0.0,0.0,0.0,60.999
8161,14.593,55.565,446.37,116.9702,65.999,85.999,0.0,0.0,0.0,0.0,0.0,0.0
7378,11.213,8.345,67.39,116.9711,125.999,0.0,67.999,0.0,0.0,0.0,0.0,0.0
7704,14.237,12.387,99.86,116.9715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7115,2.289,18.791,151.05,116.9718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5011,7.512,20.356,163.43,116.9711,0.0,182.999,0.0,0.0,0.0,0.0,206.999,0.0
5279,8.555,20.052,161.36,116.9713,0.0,161.999,197.999,0.0,0.0,0.0,0.0,0.0
5268,10.45,19.96,160.39,116.9721,0.0,29.003647260801642,0.0,0.0,0.0,0.0,0.0,0.0
5095,8.687,22.506,180.6,116.9717,0.0,243.999,0.0,0.0,0.0,0.0,0.0,136.999
5074,11.32,22.873,183.77,116.9714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5790,11.8875,23.668,189.97500000000002,116.97165000000001,0.0,177.999,0.0,0.0,0.0,0.0,0.0,128.999
4493,11.586,24.202,194.16,116.9711,0.0,257.999,0.0,0.0,0.0,0.0,0.0,198.999
8949,3.851,25.633,206.4,116.9714,0.0,0.0,0.0,58.999,53.999,0.0,0.0,0.0
8653,5.766,25.541,205.97,116.9718,0.0,0.0,61.999,66.999,0.0,0.0,0.0,0.0
3365,2.138,26.3705,212.22,116.97165,14.645447588460797,170.6454475884608,39.6454475884608,0.0,0.0,51.6454475884608,0.0,0.0
6452,10.032,27.501,221.34,116.9714,85.999,0.0,49.999,0.0,0.0,0.0,117.999,0.0
4780,12.598,27.733,222.72,116.9721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8574,7.128,28.235,227.03,116.972,0.0,55.999,76.999,0.0,0.0,0.0,0.0,0.0
3548,11.928,28.773,230.98,116.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8623,7.539,31.947,257.59,116.9718,0.0,0.0,54.999,75.999,0.0,0.0,0.0,0.0
6496,13.56,31.773,254.99,116.9715,0.0,19.252249731794834,0.0,0.0,0.0,0.0,28.252249731794834,0.0
