ID,RT,DT,CCS,m/z, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP
39,13.141,24.51,184.9,325.1847,13264.0,11541.0,12330.0,0.001,0.001,5714.0,83533.0,98834.0,124875.0,96873.0,65.0,57128.0
40,15.068,28.397,211.7,452.3149,7528.0,7137.0,7202.0,6739.0,5379.0,5570.0,93234.0,72781.0,72304.0,86702.0,70946.0,67103.0
41,12.937,22.908,173.62,293.1788,5111.0,3574.0,3487.0,2823.0,1242.0,6617.0,66715.0,72050.0,141488.0,57104.0,102490.0,35632.0
42,12.543,23.949,181.02,311.1692,10630.0,9533.0,10412.0,0.001,0.001,0.001,68236.0,70378.0,90271.0,88249.0,51567.0,62167.0
43,15.723,26.674,200.2,369.3379,0.001,0.001,0.001,13280.0,15052.0,14421.0,0.001,0.001,0.001,153432.0,122714.0,124530.0
44,15.217,23.938,181.28,297.2805,9295.0,8734.0,9036.0,9129.0,7155.0,5717.0,60233.0,56462.0,50142.0,74915.0,67009.0,62382.0
45,15.05,29.26,217.73,480.3106,6669.0,5771.0,6062.0,5766.0,0.001,0.001,71158.0,56910.0,56214.0,65760.0,60660.0,56896.0
46,13.575,25.027,188.48,339.2003,0.001,7524.0,8561.0,0.001,0.001,0.001,59264.0,58920.0,84789.0,65992.0,41139.0,48435.0
47,14.902,24.947,188.14,327.2908,0.001,0.001,0.001,13538.0,12311.0,12391.0,0.001,0.001,0.001,112361.0,98255.0,85003.0
48,15.145,28.801,215.06,427.3615,0.001,0.001,0.001,42110.0,43035.0,41463.0,0.001,0.001,0.001,70206.0,63261.0,60620.0
49,15.311,25.221,190.02,335.2959,6267.0,5735.0,5816.0,5468.0,4249.0,4022.0,45562.0,44095.0,38962.0,51096.0,48259.0,43926.0
50,12.822,24.464,184.56,325.1842,1261.0,0.001,0.001,1005.0,488.0,0.001,54450.0,8174.0,70066.0,60490.0,61044.0,44950.0
51,13.524,26.422,198.94,339.2003,0.001,6852.0,7654.0,0.001,0.001,0.001,47557.0,50110.0,78004.0,46585.0,29681.0,33198.0
52,2.323,24.324,182.19,397.0036,11393.0,10101.0,10391.0,9344.0,7283.0,6823.0,39203.0,37266.0,39537.0,45453.0,41918.0,40455.0
53,14.458,30.71,227.95,524.2999,3848.0,3702.0,0.001,1883.0,0.001,0.001,45627.0,37159.0,39884.0,55121.0,52270.0,54391.0
54,9.67,18.583,139.64,375.9994,8005.0,7499.0,6651.0,8149.0,6256.0,5890.0,45747.0,35431.0,35088.0,53024.0,40856.0,35251.0
55,14.514,28.915,215.2,478.2952,0.001,0.001,0.001,0.001,0.001,0.001,35411.0,29335.0,34256.0,66399.0,55978.0,60839.0
56,14.686,24.774,187.02,319.264,5258.0,5013.0,4976.0,4324.0,3426.0,3164.0,45144.0,38470.0,43315.0,43208.0,41017.0,38129.0
57,13.633,25.747,193.88,339.2011,0.001,577.0,6906.0,2820.0,1513.0,2247.0,43442.0,44665.0,66973.0,43725.0,27112.0,30563.0
58,13.563,22.066,168.42,253.2177,5610.0,5663.0,5243.0,5105.0,3684.0,4043.0,37932.0,32595.0,32238.0,49699.0,40998.0,44113.0
59,15.458,32.187,239.64,465.305,18167.0,13952.0,10641.0,10466.0,8550.0,8044.0,28451.0,33229.0,29760.0,37645.0,31831.0,29147.0
60,14.517,22.761,173.18,269.2482,10850.0,25734.0,10140.0,23241.0,18632.0,18239.0,26104.0,25428.0,25421.0,24486.0,23888.0,22243.0
61,13.544,21.611,165.37,241.2183,0.001,0.001,0.001,0.001,0.001,0.001,33496.0,30418.0,30275.0,51933.0,45924.0,45061.0
62,14.425,26.164,196.5,363.2523,25800.0,26638.0,24811.0,23872.0,23104.0,24157.0,17788.0,18640.0,16382.0,11191.0,11362.0,10139.0
63,13.72,26.388,197.73,388.2527,3756.0,3394.0,3597.0,3999.0,3011.0,3164.0,24160.0,20087.0,22496.0,48683.0,44888.0,47266.0
64,14.284,25.167,189.75,329.2487,3920.0,3887.0,3859.0,3452.0,2588.0,2645.0,35176.0,31827.0,31626.0,37038.0,33198.0,29607.0
65,9.591,22.585,168.8,428.9739,4077.0,3547.0,3630.0,4140.0,3172.0,2577.0,37818.0,24976.0,27713.0,44231.0,32374.0,29677.0
