SampleName,Compound,Combination,Isotope_Label,Normalized_Intensity_exp,Normalized_Intensity_ref,Intensity_Diff,Avg_Diff,Predicted_F_per_C,Peak_mz_1,Max_Carbons,Max_Fluorines,CF_Avg_Diff,CF_Combination
NIST SRM-1957 2.d.DeMP,77,Cl0_Br1,M+1,0.09421393224210126,0.0,0.09421393224210126,0.033119940131351694,0.89,244.9065,8,7,0.2044104305300864,C8_F7
NIST SRM-1957 2.d.DeMP,77,Cl0_Br1,M+2,0.9779215835553864,0.9727756954034326,0.005145888151953826,0.033119940131351694,0.89,244.9065,8,7,0.2044104305300864,C8_F7
NIST SRM-1957 2.d.DeMP,104,Cl0_Br1,M+0,1.0,1.0,0.0,0.03406569019085664,1.93,368.97395,7,13,0.003789358833706187,C7_F13
NIST SRM-1957 2.d.DeMP,104,Cl0_Br1,M+1,0.06813138038171328,0.0,0.06813138038171328,0.03406569019085664,1.93,368.97395,7,13,0.003789358833706187,C7_F13
NIST SRM-1957 3.d.DeMP,41,Cl1_Br0,M+0,1.0,1.0,0.0,0.10253874591148278,2.06,398.93626,7,14,0.028531680705922553,C7_F14
NIST SRM-1957 3.d.DeMP,41,Cl1_Br0,M+1,0.06036127005497588,0.0,0.06036127005497588,0.10253874591148278,2.06,398.93626,7,14,0.028531680705922553,C7_F14
NIST SRM-1957 3.d.DeMP,41,Cl1_Br0,M+2,0.07270279367216426,0.3199577613516367,0.24725496767947247,0.10253874591148278,2.06,398.93626,7,14,0.028531680705922553,C7_F14
NIST SRM-1957 3.d.DeMP,43,Cl1_Br0,M+0,1.0,1.0,0.0,0.11864269836566711,2.06,498.92944,9,18,0.019053313887715324,C9_F18
NIST SRM-1957 3.d.DeMP,43,Cl1_Br0,M+1,0.08739184177997528,0.0,0.08739184177997528,0.11864269836566711,2.06,498.92944,9,18,0.019053313887715324,C9_F18
NIST SRM-1957 3.d.DeMP,43,Cl1_Br0,M+2,0.05142150803461063,0.3199577613516367,0.2685362533170261,0.11864269836566711,2.06,498.92944,9,18,0.019053313887715324,C9_F18
NIST SRM-1957 3.d.DeMP,77,Cl0_Br1,M+0,1.0,1.0,0.0,0.030652649518992516,1.02,244.90751,7,7,0.2686987299584567,C7_F7
NIST SRM-1957 3.d.DeMP,77,Cl0_Br1,M+1,0.07981731187472814,0.0,0.07981731187472814,0.030652649518992516,1.02,244.90751,7,7,0.2686987299584567,C7_F7
NIST SRM-1957 3.d.DeMP,77,Cl0_Br1,M+2,0.9606350587211832,0.9727756954034326,0.012140636682249406,0.030652649518992516,1.02,244.90751,7,7,0.2686987299584567,C7_F7
NIST SRM-1957 3.d.DeMP,105,Cl0_Br1,M+0,1.0,1.0,0.0,0.03076923076923077,2.46,368.97496,6,14,0.0016779541089659358,C6_F14
NIST SRM-1957 3.d.DeMP,105,Cl0_Br1,M+1,0.06153846153846154,0.0,0.06153846153846154,0.03076923076923077,2.46,368.97496,6,14,0.0016779541089659358,C6_F14
NIST SRM-1957 6.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.12385572153553653,1.96,498.92741,10,19,0.013777563495250394,C10_F19
NIST SRM-1957 6.d.DeMP,12,Cl1_Br0,M+1,0.09113924050632911,0.0,0.09113924050632911,0.12385572153553653,1.96,498.92741,10,19,0.013777563495250394,C10_F19
NIST SRM-1957 6.d.DeMP,12,Cl1_Br0,M+2,0.03952983725135624,0.3199577613516367,0.2804279241002805,0.12385572153553653,1.96,498.92741,10,19,0.013777563495250394,C10_F19
NIST SRM-1957 6.d.DeMP,40,Cl1_Br0,M+0,1.0,1.0,0.0,0.10201147324988408,2.33,398.93528,7,16,0.02905895336752125,C7_F16
NIST SRM-1957 6.d.DeMP,40,Cl1_Br0,M+1,0.06409538289189405,0.0,0.06409538289189405,0.10201147324988408,2.33,398.93528,7,16,0.02905895336752125,C7_F16
NIST SRM-1957 6.d.DeMP,40,Cl1_Br0,M+2,0.07801872449387853,0.3199577613516367,0.2419390368577582,0.10201147324988408,2.33,398.93528,7,16,0.02905895336752125,C7_F16
NIST SRM-1957 6.d.DeMP,42,Cl1_Br0,M+0,1.0,1.0,0.0,0.11949345505960939,2.13,498.92757,9,19,0.01820255719377306,C9_F19
NIST SRM-1957 6.d.DeMP,42,Cl1_Br0,M+1,0.08055485919612267,0.0,0.08055485919612267,0.11949345505960939,2.13,498.92757,9,19,0.01820255719377306,C9_F19
NIST SRM-1957 6.d.DeMP,42,Cl1_Br0,M+2,0.04203225536893123,0.3199577613516367,0.2779255059827055,0.11949345505960939,2.13,498.92757,9,19,0.01820255719377306,C9_F19
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+0,1.0,1.0,0.0,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+1,0.08670768350264701,0.0,0.08670768350264701,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+2,0.9316068107025326,0.9598732840549102,0.02826647335237764,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+3,0.07125482901702676,0.0,0.07125482901702676,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+4,0.2950350550865646,0.30711890714745277,0.01208385206088819,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+5,0.023036199742452426,0.0,0.023036199742452426,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,74,Cl3_Br0,M+6,0.02761482329374732,0.03275502599988672,0.005140202706139404,0.03235560576879021,1.01,244.90823,7,7,0.19386342269267454,C7_F7
NIST SRM-1957 6.d.DeMP,100,Cl0_Br1,M+0,1.0,1.0,0.0,0.03244573730140971,2.24,368.97434,6,13,1.4475767869948086e-06,C6_F13
NIST SRM-1957 6.d.DeMP,100,Cl0_Br1,M+1,0.06489147460281942,0.0,0.06489147460281942,0.03244573730140971,2.24,368.97434,6,13,1.4475767869948086e-06,C6_F13
NIST SRM-1957 6.d.DeMP,376,Cl0_Br1,M+0,1.0,1.0,0.0,0.045098039215686274,1.76,448.92963,9,15,0.0035727381016087897,C9_F15
NIST SRM-1957 6.d.DeMP,376,Cl0_Br1,M+1,0.09019607843137255,0.0,0.09019607843137255,0.045098039215686274,1.76,448.92963,9,15,0.0035727381016087897,C9_F15
NIST SRM-1957 7.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.12255711004394408,1.92,498.92749,10,19,0.018393205038175826,C10_F19
NIST SRM-1957 7.d.DeMP,12,Cl1_Br0,M+1,0.09258080221714543,0.0,0.09258080221714543,0.12255711004394408,1.92,498.92749,10,19,0.018393205038175826,C10_F19
NIST SRM-1957 7.d.DeMP,12,Cl1_Br0,M+2,0.04486723343694993,0.3199577613516367,0.2750905279146868,0.12255711004394408,1.92,498.92749,10,19,0.018393205038175826,C10_F19
NIST SRM-1957 7.d.DeMP,40,Cl1_Br0,M+0,1.0,1.0,0.0,0.10247891764942513,1.99,398.93542,8,15,0.031923798449052465,C8_F15
NIST SRM-1957 7.d.DeMP,40,Cl1_Br0,M+1,0.07235294117647059,0.0,0.07235294117647059,0.10247891764942513,1.99,398.93542,8,15,0.031923798449052465,C8_F15
NIST SRM-1957 7.d.DeMP,40,Cl1_Br0,M+2,0.08487394957983194,0.3199577613516367,0.2350838117718048,0.10247891764942513,1.99,398.93542,8,15,0.031923798449052465,C8_F15
NIST SRM-1957 7.d.DeMP,41,Cl1_Br0,M+0,1.0,1.0,0.0,0.12170353087421189,1.84,498.92794,10,18,0.019246784207908017,C10_F18
NIST SRM-1957 7.d.DeMP,41,Cl1_Br0,M+1,0.08522494468573302,0.0,0.08522494468573302,0.12170353087421189,1.84,498.92794,10,18,0.019246784207908017,C10_F18
NIST SRM-1957 7.d.DeMP,41,Cl1_Br0,M+2,0.04007211341473408,0.3199577613516367,0.2798856479369026,0.12170353087421189,1.84,498.92794,10,18,0.019246784207908017,C10_F18
NIST SRM-1957 7.d.DeMP,97,Cl0_Br1,M+0,1.0,1.0,0.0,0.03243933588761175,2.24,368.97439,6,13,7.848990584959081e-06,C6_F13
NIST SRM-1957 7.d.DeMP,97,Cl0_Br1,M+1,0.0648786717752235,0.0,0.0648786717752235,0.03243933588761175,2.24,368.97439,6,13,7.848990584959081e-06,C6_F13
NIST SRM-1957 7.d.DeMP,361,Cl0_Br1,M+0,1.0,1.0,0.0,0.04599271402550091,1.69,448.93046,10,16,0.008085927438160272,C10_F16
NIST SRM-1957 7.d.DeMP,361,Cl0_Br1,M+1,0.09198542805100182,0.0,0.09198542805100182,0.04599271402550091,1.69,448.93046,10,16,0.008085927438160272,C10_F16
NIST SRM-1957 8.d.DeMP,12,Cl1_Br0,M+0,1.0,1.0,0.0,0.12263108051945755,1.95,498.9251,10,19,0.018319234562662337,C10_F19
NIST SRM-1957 8.d.DeMP,12,Cl1_Br0,M+1,0.09382631907763958,0.0,0.09382631907763958,0.12263108051945755,1.95,498.9251,10,19,0.018319234562662337,C10_F19
NIST SRM-1957 8.d.DeMP,12,Cl1_Br0,M+2,0.045890838870903616,0.3199577613516367,0.2740669224807331,0.12263108051945755,1.95,498.9251,10,19,0.018319234562662337,C10_F19
NIST SRM-1957 8.d.DeMP,40,Cl1_Br0,M+0,1.0,1.0,0.0,0.1042160035554492,2.03,398.93283,7,14,0.02685442306195613,C7_F14
