Score,SeriesType_Identifier,Name_or_Class,Formula,SMILES,m/z,Retention Time,Adduct,Unique,Score_Description,Needs_Validation,row.ID,DT,CCS,Z,Ions,Freq.,Q.Score,Sat.,Mark,X43.B1.7974.d.DeMP,ID_Ranked,nominal mass,mass defect,[CF2]n_Kendrick_mass,[CF2]n_nominal_Kendrick_mass,[CF2]n_Kendrick_mass_defect,[CF2]n_KMD_Group,[CF2]n_homologous_series,[CF2]n_Homologous_series_count,[CF2]n_MD_Filter,[CF2]n_RT_series,[CF2]n_DT_series,Confident_ID,2+_homologous_series,3+_homologous_series,Exact_mass_match,Score.1,Score_Description.1,Checked_Viz,TRUE_Viz,Class_Viz,Cnumb_Viz,Comment_Viz,Classification
A,[CF2]n_207,FOSAA|(M-H)-|DTXSID40440941|CAS=2806-24-8,C10H4F17NO4S,OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,555.9523,2.076,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,3696,24.5,181.6,-1,3,14,100,,FALSE,2890.999,1_FOSAA|(M-H)-|DTXSID40440941|CAS=2806-24-8;C10H4F17NO4S;OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_FOSAA|(M-H)-|DTXSID40440941|CAS=2806-24-8;C10H4F17NO4S;OC(=O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,556,-0.0477,555.9878116,556,-0.012188391,47,207,3,TRUE,RT ordered,DT ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A-,[CF2]n_0,N-EtFOSAA|(M-H)-|DTXSID60892504|CAS=909405-49-8,C12H8F17NO4S,CCN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,583.9862,2.333,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),No,29343,26.539,196.53,-1,2,7,89.1,,FALSE,236.4446,1_N-EtFOSAA|(M-H)-|DTXSID60892504|CAS=909405-49-8;C12H8F17NO4S;CCN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_NEtFOSAA|(M-H)-|DTXSID5062760|CAS=2991-50-6;C12H8F17NO4S;CCN(CC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,584,-0.0138,584.0235023,584,0.023502282,50,0,0,TRUE,,,TRUE,FALSE,FALSE,FALSE,A-,Lvl 2 Schymanski: Confident ID (class specific dominant fragments and exact mass),,,,,,likely
A,[CF2]n_193,PFDS-L|(M-H)-|NA|CAS=NA,C10HF21O3S,,598.9256,2.665,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1455,25.181,186.35,-1,4,40,100,,FALSE,855.999,1_PFDS-L|(M-H)-|NA|CAS=NA;C10HF21O3S;NA | 1_PFDS|(M-H)-|DTXSID00873014|CAS=126105-34-8;C10HF21O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,599,-0.0744,598.9638565,599,-0.03614346,45,193,2,TRUE,RT not ordered,DT ordered,TRUE,TRUE,FALSE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_217,PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6,C13HF25O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,618.962,2.713,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,32939,24.206,178.98,-1,1,6,82.7,,FALSE,83.77789,1_PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6;C13HF25O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6;C13HF25O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,619,-0.038,619.0015364,619,0.001536371,48,217,8,TRUE,RT ordered,DT not ordered,TRUE,TRUE,TRUE,FALSE,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
D,[CF2]n_269,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",,,215.0333,0.66,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,28177,16.555,127.12,-1,1,10,97,,FALSE,263.999,5_NoID,215,0.0333,215.0470353,215,0.047035312,53,269,3,TRUE,RT not ordered,DT ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D,[CF2]n_269,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",,,215.034,0.562,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,31659,8.095,61.88,-1,1,7,97.7,,FALSE,260.999,5_NoID,215,0.034,215.0477354,215,0.047735357,53,269,3,TRUE,RT not ordered,DT not ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D,[CF2]n_269,"Ethyl 4,4,5,5-tetrafluoro-3-hydroxypent-2-enoate",,,215.0341,0.566,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,28974,13.927,106.85,-1,1,9,96.9,,FALSE,200.999,5_NoID,215,0.0341,215.0478354,215,0.047835363,53,269,3,TRUE,RT not ordered,DT not ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D,[CF2]n_253,"2,2,3,3,3-pentafluoro-N-(3H-1,2,4-triazol-3-yl)propanamide/2,2,3,3,3-pentafluoro-N-(3H-1,2,4-triazol-3-yl)propanamide",,,229.0168,0.493,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,2530,19.042,145.77,-1,3,17,100,,FALSE,5102.999,5_NoID,229,0.0168,229.0314285,229,0.031428512,51,253,3,TRUE,RT ordered,DT ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D,[CF2]n_212,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",,,246.9808,0.895,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,18933,19.246,146.76,-1,1,7,67.8,,FALSE,738.999,5_NoID,247,-0.0192,246.996576,247,-0.003424032,48,212,3,TRUE,RT ordered,DT not ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D,[CF2]n_253,"2,2,3,3,4,4,4-Heptafluoro-N-(1H-1,2,4-triazol-5-yl)butanamide",,,279.0134,0.708,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,9149,19.683,149.23,-1,2,16,100,,FALSE,319.999,5_NoID,279,0.0134,279.0312221,279,0.031222059,51,253,3,TRUE,RT ordered,DT ordered,FALSE,TRUE,TRUE,FALSE,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
