Match,Match Source,Classification Type,Confidence Level,Notes,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP, DBS 2184.d.DeMP
"5-(Heptafluoropropyl)-N-methyl-1,3,4-oxadiazol-2-amine",External Targets,tentative,Level 4,"Predicted CCS: 139.5 aligns, using no sulfur, only 1 possible molecular formula",3438,3.477,18.044,137.6,266.0169,-0.3,N/A,N/A,0,0,0,0,0,0,240.999,0,0,0,168.999,0,70.999,0,0,184.999,0,0,0,416.999,304.999,0,0,80.999,0,0,0,0,0,0,270.999,0,0,218.999,0,0,161.999,0,0,0,0,0,0,0,0,0
Perfluoro-2-(trifluoromethyl)propanesulphonic acid or Perfluorobutanesulfonic acid,External Targets,tentative,Level 2,PFBS,278,5.414,17.605,133.55,298.9415,-4.98,N/A,N/A,203.999,750.999,1816.999,116.999,812.999,2187.999,785.999,651.999,2852.999,258.999,526.999,0,142.999,723.999,11320.999,394.999,1964.999,886.999,269.999,1161.999,1391.999,0,772.999,1739.999,0,515.999,3105.999,814.999,1022.999,1752.999,3261.999,423.999,5213.999,0,621.999,613.999,0,1100.999,450.999,478.999,1165.999,7941.999,622.999,1111.999,1497.999,607.999
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",External Targets,tentative,,,3134,4.972,19.218,145.6,303.0545,11.36,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,168.999,0,0,0,0,0,114.999,244.999,111.999,193.999,0,0,221.999,63.999,0,550.999,220.999,149.999,0,0,0,0,0,0,100.999,0,0,132.999,114.999,0,0,125.999,0,0
"1-Ethoxy-3,3,4,4,5,5,6,6,6-nonafluorohexan-2-ol or 2-[(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)oxy]ethan-1-ol or 4-(2,2,3,3,4,4,5,5-Octafluoropentyl)phenol",External Targets,tentative,,,4218,10.699,20.478,155.3,307.0398,3.9 or 7.62,N/A,N/A,172.999,0,0,0,205.999,0,0,0,183.999,0,207.999,0,167.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.999,0,0,0,0,153.999,0,0,0,0,0,0,0,0,0
3-[(Nonafluorobutyl)sulfanyl]propan-1-ol,External Targets,tentative,,,1339,14.205,21.03,159.25,309.0045,14.21,N/A,N/A,0,175.0435236,0,0,842.0435236,0,0,0,235.0435236,0,719.0435236,0,0,89.04352362,0,0,0,0,0,415.0435236,0,0,0,0,0,685.0435236,0,0,0,22.04352362,0,0,0,0,324.0435236,0,0,919.0435236,0,0,430.0435236,0,0,324.0435236,118.0435236,0
"4,4,4-Trifluoro-1-(3-nitrophenyl)-3-(trifluoromethyl)but-2-en-1-ol",External Targets,tentative,,,5761,11.591,19.671,148.82,314.02945,11.84,N/A,N/A,0,59.999,0,0,0,0,0,0,53.999,0,0,0,0,0,0,69.999,0,78.999,0,0,0,0,65.999,68.999,0,68.999,49.999,0,0,0,63.999,0,0,62.999,0,73.999,0,70.999,0,0,0,0,0,0,0,0
Perfluoropentanesulfonic acid,External Targets,tentative,Level 2,PFPeS,3691,7,18.748,141.355,348.9377,-6,N/A,N/A,1930.999,361.999,1430.999,174.999,0,1325.999,0,0,1615.999,520.999,180.999,0,194.999,89.999,8337.999,741.999,0,433.999,962.999,380.999,878.999,0,0,969.999,0,162.999,2245.999,882.999,139.999,1060.999,303.999,0,3894.999,0,0,249.999,205.999,0,0,1225.999,446.999,4673.999,0,0,852.999,317.999
Perfluorocyclohexane sulfonic acid,External Targets,tentative,Level 2,"UPFHxS - Fragment at 280.9810, 79.9578, 98.9560",3562,7.163,18.949,142.72,360.9363,-9.68,N/A,N/A,0,0,0,0,0,129.999,0,0,136.999,0,0,0,0,0,665.999,0,0,0,0,0,0,0,0,0,0,0,153.999,0,0,108.999,0,0,316.999,0,0,0,0,0,0,0,0,472.999,0,0,0,0
Perfluorohexanesulfonic acid,External Targets,tentative,Level 2,Branched PFHxS,2066,7.9595,19.4275,145.78,398.9343,-5.77,N/A,N/A,0,114.999,190.999,0,65.999,257.999,0,0,317.999,0,0,0,0,0,1353.999,0,0,96.999,0,0,158.999,0,0,182.999,0,0,352.999,156.999,0,233.999,0,0,741.999,0,0,0,0,0,0,0,85.999,797.999,0,0,200.999,0
Perfluorohexanesulfonic acid,External Targets,tentative,Level 2,Branched PFHxS,1068,8.329,19.371,145.3,398.9344,-5.52,N/A,N/A,0,0,1376.999,0,0,1669.999,0,222.999,190.999,0,0,0,0,0,604.999,0,0,529.999,0,206.999,1072.999,0,123.999,1141.999,0,0,2726.999,0,0,0,0,134.999,280.999,0,0,0,0,0,0,0,429.999,433.999,0,155.999,1141.999,308.999
"1-Chloro-perfluorohexanesulfonic acid or 6-Chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluoro-1-hexanesulfonic acid",External Targets,tentative,Level 2,Cl-PFHxS,2813,8.488,20.576,154.15,414.9051,-4.7,N/A,N/A,0,0,299.999,0,0,397.999,0,0,0,0,0,0,0,0,421.999,0,0,151.999,0,0,276.999,0,0,246.999,0,0,109.999,175.999,0,324.999,0,0,0,0,0,109.999,0,0,0,0,116.999,226.999,0,0,285.999,0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,Level 2,Branched PFOS,3172,10.11316667,22.04433333,164.3066667,498.9286333,-3.17,N/A,N/A,3944.999,978.5556667,936.5556667,11881.999,1702.999,1425.999,41775.999,7690.999,4126.999,15925.999,2912.999,0,3687.555667,790.5556667,5121.555667,7785.555667,731.5556667,605.5556667,7936.999,2050.999,1081.555667,20055.999,3751.999,2662.999,11736.999,3037.999,1996.555667,2968.999,418.5556667,712.5556667,34672.999,5232.999,3707.555667,49995.999,5811.999,2796.999,32793.999,6564.999,1928.999,13825.999,2584.999,2943.555667,143.5556667,0,389.5556667,1486.999
14-H-Perfluorotetradecanoic acid,External Targets,tentative,Level 2,"Fragment at 630.9634 corresponds to loss of CO2HF, -20 angstroms of predicted CCS, could be a branched isomer",5433,12.1,24.85675,183.8,694.95155,-7.38,N/A,N/A,0,64.999,52.999,0,83.999,0,76.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.999,0,0,0,0,0,83.999,0,0,77.999,0,0,0,0,104.999
