Match,Match Source,Classification Type,Confidence Level,Notes,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP, DBS 2184.d.DeMP
No Match,None,unmatched,,,1338,2.617,19.729,150.24,273.0065,,,,0,0,0,0,0,0,0,0,0,1315.999,155.999,0,2492.999,354.999,0,0,0,0,2653.999,438.999,0,0,0,0,0,0,0,0,0,0,1018.999,0,0,408.999,0,0,0,0,0,0,0,0,0,0,0,761.999
No Match,None,unmatched,Level 5,"No plausible formula, however mass defect suggests PFAS",846,4.875,17.224,131.04,278.9136,,,,644.999,0,0,378.999,0,0,593.999,0,0,1847.999,273.999,0,1105.999,0,0,2024.999,0,0,2058.999,359.999,0,1328.999,181.999,0,498.999,0,0,664.999,102.999,0,1561.999,0,0,1981.999,0,0,713.999,0,0,698.999,0,0,496.999,0,0,176.999
No Match,None,unmatched,,,3173,12.606,19.1355,145.32,286.03955,,,,0,0,0,0,27.33344444,15.33344444,0,0,18.33344444,0,0,0,0,358.999,0,0,181.999,27.33344444,0,379.999,58.33344444,0,347.999,16.33344444,0,314.999,0,0,230.999,238.999,0,88.33344444,58.33344444,0,23.33344444,0,0,0,0,0,24.33344444,0,0,330.999,0,76.999
No Match,None,unmatched,,,3055,3.126,19.407,147.34,294.1114,,,,129.999,0,0,0,0,0,367.999,0,0,199.999,0,0,444.999,0,0,75.999,0,0,255.999,0,0,426.999,0,0,0,0,0,379.999,0,0,0,0,0,186.999,0,0,181.999,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,5017,7.2945,18.943,143.78,295.10955,,,,173.999,0,0,0,0,0,350.999,0,0,271.999,0,0,0,0,0,62.999,0,0,0,0,0,0,0,0,92.999,0,0,79.999,0,0,0,0,0,125.999,0,0,202.999,0,0,382.999,0,0,122.999,0,0,0
No Match,None,unmatched,,,5117,12.362,20.481,155.16,304.0512,,,,0,0,0,0,0,0,100.999,0,0,0,0,0,0,0,0,136.999,0,0,0,0,0,125.999,0,0,0,0,0,119.999,0,106.999,0,0,0,0,0,0,0,0,0,126.999,0,0,108.999,0,0,0
No Match,None,unmatched,,,2977,14.185,20.985,159,307.0083,,,,0,128.999,0,0,334.999,0,0,167.999,133.999,0,258.999,0,0,0,0,0,135.999,0,0,216.999,0,0,225.999,0,0,230.999,0,0,0,0,0,97.999,0,0,159.999,0,0,333.999,202.999,0,0,0,0,187.999,0,0
No Match,None,unmatched,,,2991,6.667,19.492,147.62,308.9733,,,,170.999,0,0,0,0,0,192.999,0,0,177.999,0,0,187.999,0,0,233.999,0,0,209.999,0,0,279.999,0,0,172.999,0,0,180.999,61.999,81.999,153.999,0,0,200.999,0,0,0,0,0,215.999,0,0,182.999,64.999,0,0
No Match,None,unmatched,,,5671,10.754,21.193,160.16,330.0483,,,,63.999,0,70.999,0,0,0,68.999,0,0,0,70.999,0,0,0,0,0,0,0,85.999,0,0,0,0,0,0,0,0,49.999,0,0,53.999,0,0,0,0,54.999,0,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,5337,11.336,21.227,160.47,330.047,,,,0,96.999,95.999,71.999,0,0,81.999,0,0,0,0,0,99.999,0,0,90.999,0,0,0,0,0,0,0,0,78.999,0,92.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,,,4612,10.729,21.196,159.99,333.0365,,,,0,0,105.999,0,0,106.999,0,0,0,0,0,0,0,0,0,0,0,0,0,104.999,0,0,0,0,0,0,0,0,106.999,0,0,0,0,104.999,79.999,0,0,104.999,110.999,95.999,96.999,0,97.999,0,0,0
No Match,None,unmatched,,,1978,11.585,21.805,164.33,350.9679,,,,0,861.999,0,0,573.999,0,0,888.999,0,0,0,0,0,386.999,0,0,624.999,0,0,0,0,0,99.999,0,0,137.999,0,0,469.999,0,0,0,0,0,85.999,0,0,1296.999,0,0,103.999,0,0,0,0,0
No Match,None,unmatched,,,3583,9.966,23.06,172.93,387.0672,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.999,0,0,0,118.999,0,190.999,0,0,0,0,0,0,0,0,0,179.999,0,0,0,0,0,0,0,185.999,0,0,0,153.999,1010.999
No Match,None,unmatched,,,3989,13.283,23.545,176.53,401.0846,,,,0,0,0,0,153.999,0,0,0,0,0,121.999,0,0,0,0,0,0,0,0,0,71.999,0,260.999,0,0,226.999,68.999,0,0,0,0,0,0,0,0,194.999,0,0,201.999,0,165.999,0,0,0,96.999,0
No Match,None,unmatched,,,2562,14.213,23.539,176.51,401.0838,,,,0,176.999,0,0,400.999,0,0,0,184.999,0,319.999,0,0,135.999,0,0,194.999,0,0,263.999,0,0,360.999,0,0,351.999,0,0,0,103.999,0,158.999,0,0,0,0,0,442.999,0,0,277.999,0,0,212.999,0,100.999
No Match,None,unmatched,Level 5,Likely C9F17,5474,9.432,20.724,155.07,430.9849,,,,0,0,0,0,0,0,69.999,0,60.999,0,0,0,0,0,0,0,0,0,71.999,87.999,0,0,0,0,0,64.999,0,87.999,0,0,0,0,0,0,0,73.999,50.999,0,70.999,0,0,0,0,0,0,0
No Match,None,unmatched,Level 2,Novel PFAS,1100,11.6,21.872,163.24,466.9566,,,,0,1660.999,0,0,1069.999,0,0,1874.999,0,0,0,0,0,785.999,108.999,0,1237.999,83.999,0,142.999,0,0,141.999,0,0,203.999,71.999,0,977.999,110.999,0,127.999,0,0,186.999,86.999,0,2618.999,178.999,0,175.999,90.999,0,0,0,146.999
No Match,None,unmatched,Level 1,PFDA,768,11.046,20.846,155.63,468.9675,,,,0,0,0,320.7375625,0,0,417.7375625,0,0,782.7375625,0,0,120.7375625,0,0,419.7375625,0,0,293.7375625,0,0,526.7375625,0,0,0,0,0,0,0,0,151.7375625,0,0,736.7375625,0,0,874.7375625,0,0,0,0,0,0,0,0,0
No Match,None,unmatched,Level 5,Mass defect indicative of fluorine atoms,3980,5.2,21.589,161.22,471.1118,,,,264.999,0,0,98.999,258.999,0,0,0,0,176.999,0,0,0,0,0,0,0,0,378.999,0,0,0,93.999,0,0,236.999,0,0,0,0,0,0,0,0,0,0,0,61.999,0,0,0,0,0,0,0,0
No Match,None,unmatched,Level 3,"C21HF40O2, mobility aligned fragment at 980.9401 (C20F39 assigned) which supports precursor formula",720,14.584,31.459,231.04,1044.9319,,,,0,0,72.999,0,0,0,0,90.999,0,0,0,0,0,0,0,0,0,0,87.999,0,0,0,0,0,0,0,0,0,63.999,67.999,60.999,0,0,64.999,63.999,0,0,0,0,0,0,0,86.999,0,0,0
,,,Level 4,"UPFECA-Do - C12H4F17O3, 2 fragments identified",,11.35,23.49,174.1,518.9814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Level 2,DOUBLE BROMINATED FEATURE,,7,18.02,135.89,308.8396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
