Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),35 2286 - Serum.d.DeMP, 36 2286 - Mitra.d.DeMP, 37 2286 - DBS.d.DeMP, 38 2182 - Serum.d.DeMP, 39 2182 - Mitra.d.DeMP, 40 2182 - DBS.d.DeMP, 41 2187 - Serum.d.DeMP, 42 2187 - Mitra.d.DeMP, 43 2187 - DBS.d.DeMP, 44 2854 - Serum.d.DeMP, 45 2854 - Mitra.d.DeMP, 46 2854 - DBS.d.DeMP, 47 2911 - Serum.d.DeMP, 48 2911 - Mitra.d.DeMP, 49 2911 - DBS.d.DeMP, 125 1777 - Serum.d.DeMP, 126 1777 - Mitra.d.DeMP, 127 1777 - DBS.d.DeMP, 128 1821 - Serum.d.DeMP, 129 1821 - Mitra.d.DeMP, 130 1821 - DBS.d.DeMP, 131 1673 - Serum.d.DeMP, 132 1673 - Mitra.d.DeMP, 133 1673 - DBS.d.DeMP, 134 1894 - Serum.d.DeMP, 135 1894 - Mitra.d.DeMP, 136 1894 - DBS.d.DeMP, 137 3330 - Serum.d.DeMP, 138 3330 - Mitra.d.DeMP, 139 3330 - DBS.d.DeMP, 80 2003 - Serum.d.DeMP, 81 2003 - Mitra.d.DeMP, 82 2003 - DBS.d.DeMP, 83 2095 - Serum.d.DeMP, 84 2095 - Mitra.d.DeMP, 85 2095 - DBS.d.DeMP, 86 2046 - Serum.d.DeMP, 87 2046 - Mitra.d.DeMP, 88 2046 - DBS.d.DeMP, 89 2889 - Serum.d.DeMP, 90 2889 - Mitra.d.DeMP, 91 2889 - DBS.d.DeMP, 92 3021 - Serum.d.DeMP, 93 3021 - Mitra.d.DeMP, 94 3021 - DBS.d.DeMP,Detection Frequency (%),Average Abundance
"Benzimidazole, 5(or 6)-chloro-2-pentafluoroethyl-",Suspects Library,tentative,4408.0,14.2,20.08,153.1,268.9926,5.81,N/A,N/A,0.0,0.0,0.0,0.0,253.999,0.0,0.0,149.999,0.0,0.0,267.999,0.0,0.0,0.0,0.0,0.0,118.999,0.0,0.0,150.999,0.0,0.0,213.999,0.0,0.0,192.999,0.0,0.0,0.0,0.0,0.0,126.999,0.0,0.0,116.999,0.0,0.0,291.999,147.999,0.0,158.999,0.0,0.0,0.0,0.0,26.7,48.0
"2,3,3,3-Tetrafluoro-1-(2-hydroxyphenyl)propan-1-one",Suspects Library,tentative,13259.0,12.7,17.11,131.8,221.0214,-7.75,N/A,N/A,0.0,484.999,339.999,689.999,766.999,780.999,465.999,871.999,679.999,621.999,237.999,0.0,0.0,810.999,766.999,684.999,706.999,722.999,0.0,0.0,0.0,491.999,715.999,671.999,0.0,690.999,0.0,0.0,0.0,0.0,0.0,816.999,0.0,680.999,0.0,793.999,0.0,454.999,781.999,645.999,710.999,0.0,566.999,510.999,0.0,62.2,396.0
"4-[(2,2,3,3-Tetrafluoropropyl)sulfanyl]benzene-1,2-diamine",Suspects Library,tentative,5783.0,4.8,17.73,135.5,253.04,-11.07,N/A,N/A,0.0,0.0,0.0,233.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.999,0.0,0.0,0.0,0.0,0.0,236.999,0.0,0.0,163.999,0.0,0.0,158.999,0.0,0.0,267.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.999,0.0,0.0,0.0,0.0,0.0,15.6,30.0
"Methyl 4,4,5,5-tetrafluoro-3-hydroxy-3-methoxypentanoate",Suspects Library,tentative,9963.0,13.5,18.33,140.6,233.0421,-9.1,N/A,N/A,0.0,0.0,253.999,469.999,107.22233333333332,0.0,328.999,223.999,157.999,543.999,278.999,0.0,0.0,269.999,228.999,438.999,333.999,350.999,0.0,330.999,257.999,344.999,338.999,344.999,0.0,318.999,315.999,0.0,319.999,311.999,277.999,322.999,233.999,221.999,350.999,269.999,325.999,300.999,248.999,0.0,324.999,245.999,386.999,336.999,0.0,77.8,235.0
"2,2'-Oxybis(difluoroacetic acid)",Suspects Library,tentative,493.0,0.7,16.87,130.5,204.9796,14.85,N/A,N/A,832.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3651.999,162.999,0.0,5391.999,473.999,0.0,5776.999,632.999,309.999,4465.999,860.999,147.999,139.999,0.0,0.0,830.999,0.0,0.0,3791.999,296.999,148.999,4994.999,299.999,0.0,7000.999,576.999,256.999,256.999,0.0,0.0,235.999,0.0,0.0,115.999,0.0,0.0,53.3,907.0
Tetrafluron,Suspects Library,tentative,5495.0,5.3,18.91,143.8,279.0774,4.26,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.999,0.0,0.0,0.0,0.0,0.0,185.999,0.0,0.0,291.999,0.0,0.0,217.999,0.0,0.0,176.999,0.0,0.0,0.0,0.0,0.0,109.999,0.0,0.0,134.999,0.0,0.0,171.999,0.0,0.0,0.0,0.0,0.0,17.8,32.0
"N-(2-Azido-1,1,1,3,3,3-hexafluoropropan-2-yl)benzamide",Suspects Library,tentative,5379.0,13.4,21.23,160.8,311.0354,-6.11,N/A,N/A,0.0,154.999,127.999,0.0,343.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.999,0.0,240.999,0.0,0.0,0.0,161.999,0.0,0.0,149.999,0.0,180.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.999,20.0,35.0
2-Amino-3-(perfluoropropyl)-1-phenyl-3-propanol,Suspects Library,tentative,3469.0,1.6,22.53,170.5,318.0762,8.7,N/A,N/A,242.999,0.0,0.0,121.999,0.0,0.0,0.0,0.0,103.999,191.999,0.0,0.0,148.999,0.0,0.0,255.999,0.0,0.0,223.999,122.999,0.0,164.999,0.0,0.0,244.999,0.0,0.0,677.999,0.0,0.0,0.0,0.0,0.0,159.999,0.0,0.0,214.999,0.0,0.0,155.999,0.0,0.0,146.999,0.0,164.999,35.6,73.0
"4,4,4-trifluoro-3-hydroxy-3-(trifluoromethyl)-1-[3-(trifluoromethyl)phenyl]butan-1-one",Suspects Library,tentative,8571.0,13.6,21.58,162.7,353.0258,7.92,N/A,N/A,0.0,0.0,0.0,289.999,0.0,0.0,117.999,122.999,0.0,238.999,126.999,0.0,0.0,0.0,0.0,241.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.999,0.0,0.0,137.999,118.999,0.0,0.0,0.0,0.0,164.999,0.0,0.0,22.2,39.0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",Suspects Library,tentative,4457.0,10.2,22.08,164.6,498.929,-2.46,N/A,N/A,3525.000111111111,491.0001111111111,0.0,14303.203091982796,1283.000111111111,1006.0001111111111,41356.00011111111,7271.000111111111,3707.000111111111,15506.00011111111,2493.000111111111,0.0,388.999,0.0,5420.203091982796,7329.000111111111,0.0,0.0,7517.000111111111,1631.000111111111,0.0,19636.000111111112,3332.000111111111,2243.000111111111,11317.00011111111,2618.000111111111,0.0,2549.000111111111,510.999,0.0,34253.00011111111,4813.000111111111,418.999,71511.2030919828,5392.000111111111,2377.000111111111,41673.203091982796,6145.000111111111,1509.000111111111,13406.00011111111,2165.000111111111,238.999,0.0,0.0,0.0,75.6,7379.0
