ID,RT,DT,CCS,m/z,SD,Abundance,37 2286 - DBS.d.DeMP,40 2182 - DBS.d.DeMP,43 2187 - DBS.d.DeMP,46 2854 - DBS.d.DeMP,49 2911 - DBS.d.DeMP,127 1777 - DBS.d.DeMP,130 1821 - DBS.d.DeMP,133 1673 - DBS.d.DeMP,136 1894 - DBS.d.DeMP,139 3330 - DBS.d.DeMP,82 2003 - DBS.d.DeMP,85 2095 - DBS.d.DeMP,88 2046 - DBS.d.DeMP,91 2889 - DBS.d.DeMP,94 3021 - DBS.d.DeMP,DBS 2184.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
406,13.228,17.494,134.76,218.031,0.0007,709,0.001,0.001,2272,0.001,0.001,0.001,0.001,2735,591,0.001,0.001,802,2228,0.001,2723,0.001,0.001,0.001,0.001
407,13.464,22.593,172.15,267.2314,0.0004,706,695,663,776,0.001,617,2022,377,973,343,494,0.001,521,650,234,607,2328,0.001,0.001,0.001
408,7.694,24.39,184.18,329.2322,0.0006,706,212,297,204,0.001,309,0.001,0.001,0.001,100,139,149,231,221,0.001,2043,7385,0.001,0.001,0.001
409,14.184,18.448,141.75,228.9814,0.0003,705,473,695,1426,0.001,480,583,610,559,435,976,646,1018,1842,495,1035,0.001,0.001,0.001,0.001
410,11.492,23.454,177.94,297.242,0.001,702,739,1760,837,0.001,1579,1273,0.001,1581,292,0.001,0.001,593,817,0.001,1768,0.001,0.001,0.001,0.001
411,14.213,25.888,194.29,387.0336,0.0004,702,409,612,1175,0.001,414,483,502,476,385,702,459,822,1497,413,1066,1823,0.001,0.001,0.001
412,11.407,22.875,173.36,297.1517,0.0008,702,0.001,0.001,0.001,0.001,881,2557,1009,1606,1265,1638,0.001,0.001,0.001,0.001,1181,1095,62,1247,0.001
413,4.084,25.002,187.64,390.1789,0.0006,699,392,453,478,0.001,417,1151,758,1748,728,820,734,877,872,940,809,0.001,295,191,0.001
414,13.05,19.11,145.13,289.0298,0.0005,696,0.001,828,829,0.001,792,898,881,993,990,681,869,767,971,829,807,0.001,402,0.001,0.001
415,13.621,17.505,134.84,217.0342,0.0004,696,0.001,0.001,1449,0.001,960,1446,1303,1087,573,0.001,0.001,780,416,457,806,1858,0.001,0.001,0.001
416,13.992,33.718,249.98,593.4788,0.001,695,605,0.001,704,0.001,785,0.001,702,1008,451,1351,796,1085,766,1100,1127,641,0.001,0.001,0.001
417,15.684,30.912,229.97,524.3991,0.0007,693,426,376,703,0.001,808,1537,446,830,779,1174,850,855,743,546,1022,0.001,0.001,0.001,0.001
418,13.811,18.968,144.65,262.0357,0.0007,693,0.001,1306,0.001,0.001,1216,1595,0.001,1424,0.001,0.001,0.001,339,712,0.001,1494,2994,0.001,0.001,0.001
419,14.272,21.775,165.06,299.0258,0.0015,690,0.001,731,1701,0.001,576,2760,383,858,0.001,1269,0.001,460,585,716,939,57,0.001,0.001,0.001
420,13.62,27.034,202.99,381.2462,0.0005,690,448,650,498,0.001,504,1105,679,901,799,799,848,1019,691,656,605,831,179,0.001,0.001
421,13.146,18.926,144.31,263.0328,0.0005,689,0.001,1101,0.001,0.001,1000,0.001,0.001,1336,570,0.001,0.001,1042,1338,0.001,1325,3316,0.001,0.001,0.001
422,13.199,29.15,217.04,509.3117,0.0006,688,582,557,492,0.001,649,868,887,852,911,1053,715,892,623,930,1000,0.001,0.001,0.001,0.001
423,14.068,17.509,134.85,218.031,0.0002,688,0.001,1086,0.001,0.001,1198,882,0.001,2479,0.001,0.001,0.001,0.001,0.001,0.001,2339,3027,0.001,0.001,0.001
424,3.401,26.414,197.43,439.2349,0.0006,678,499,653,840,0.001,521,952,484,1548,417,492,697,1021,1010,733,537,443,277,231,0.001
425,13.408,30.129,225.07,445.3317,0.0009,675,0.001,479,993,0.001,312,0.001,476,3271,523,1148,181,688,724,1099,0.001,900,0.001,0.001,0.001
426,12.439,31.919,237.26,541.1679,0.0006,674,819,762,662,0.001,678,409,760,798,642,892,719,1170,832,694,949,0.001,0.001,0.001,0.001
427,14.031,26.575,199.56,380.3206,0.0007,672,597,614,773,0.001,750,706,852,720,898,849,797,711,809,719,831,127,204,0.001,0.001
428,14.031,29.027,216.38,481.3549,0.0005,672,625,716,776,0.001,717,708,797,698,746,739,755,759,905,663,802,341,273,0.001,0.001
429,15.93,26.894,201.99,381.373,0.0007,668,90,370,1660,0.001,657,0.001,300,1169,510,3178,468,468,1007,316,497,0.001,0.001,176,172
430,13.449,25.206,188.9,407.1718,0.0006,667,559,812,783,0.001,630,738,796,555,588,866,825,982,876,847,812,0.001,325,258,142
431,0.593,16.318,127.42,173.9859,0.0006,665,0.001,0.001,0.001,0.001,451,0.001,430,0.001,0.001,0.001,541,511,0.001,0.001,0.001,8712,0.001,0.001,0.001
432,13.761,32.606,242.16,554.3464,0.0009,663,637,509,423,0.001,581,598,658,818,615,740,397,679,940,353,870,1789,0.001,0.001,0.001
433,13.592,17.474,134.41,219.0276,0.0003,663,0.001,0.001,0.001,0.001,0.001,1907,0.001,2114,0.001,0.001,0.001,0.001,1286,0.001,1972,3321,0.001,0.001,0.001
434,14.787,23.918,181.35,297.2791,0.0004,661,553,649,695,0.001,756,1008,618,671,740,738,550,726,1089,452,915,413,0.001,0.001,0.001
435,12.691,26.381,197.79,399.2538,0.0006,659,689,533,901,0.001,736,831,543,759,453,900,475,832,766,619,745,762,81,0.001,0.001
436,12.398,23.75,179.44,323.1888,0.0006,658,1605,989,885,0.001,1018,245,290,433,573,1057,263,743,638,480,606,696,227,345,552
437,14.046,28.072,210.18,411.3473,0.0007,656,0.001,812,0.001,0.001,643,661,788,765,1025,1069,631,866,1034,483,936,787,0.001,0.001,0.001
438,14.031,31.72,235.3,583.3448,0.0013,655,625,475,838,0.001,652,585,737,691,786,753,655,631,1149,560,916,432,0.001,0.001,159
