ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 222 B3 305.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,317820.793170138
2,3.718,23.177,175.81,279.2322,-1,4,19,100.0,x,False,334290.4857992858
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,417515.55566666665
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,412809.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,417214.06370289583
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,250651.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,416859.21474204666
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,351508.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,332431.5584620457
12,3.299,23.153,175.68,277.2155,-1,4,14,100.0,x,False,407372.2780890487
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,257054.22233333334
14,3.44,22.056,168.06,253.2156,-1,4,16,100.0,x,False,190728.86809782428
15,2.269,22.692,168.62,498.9308,-1,4,21,100.0,x,False,394233.8553439367
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,391248.05044223665
17,4.593,34.263,253.79,595.4959,-1,6,18,100.0,x,False,370063.89676055015
21,2.234,22.398,166.43,498.9311,-1,5,16,100.0,x,False,378115.7753782548
24,1.071,26.23,196.85,367.1582,-1,7,16,100.0,x,False,422876.5403309379
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,287090.21609301976
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,353333.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,393905.83993294596
30,1.722,18.393,142.91,179.0692,-1,4,13,100.0,x,False,427529.999
31,4.081,38.989,287.01,833.5248,-1,6,14,100.0,x,False,358525.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,843.7449543133371
33,3.593,32.262,240.44,465.3047,-1,6,11,100.0,x,False,423703.999
34,3.423,25.186,189.81,327.2318,-1,5,13,100.0,x,False,284884.999
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,335043.999
37,3.499,32.61,242.11,537.4173,-1,4,14,100.0,x,False,292655.739051145
38,2.196,20.887,155.39,473.9876,-1,4,24,100.0,x,False,11182.077989500249
39,4.25,40.496,297.85,885.5554,-1,7,15,100.0,x,False,410803.15042493545
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,322943.999
41,2.396,22.065,163.74,524.9887,-1,4,24,100.0,x,False,140825.11293607525
44,2.154,21.85,166.11,265.1463,-1,6,16,100.0,x,False,187824.5833506962
45,4.118,40.327,296.6,883.5404,-1,5,16,100.0,x,False,235968.56805385134
46,2.962,28.953,215.55,478.294,-1,4,13,100.0,x,False,419603.999
47,4.09,39.632,291.62,857.5256,-1,7,12,100.0,x,False,374407.999
48,3.48,30.743,229.06,467.3742,-1,4,11,100.0,x,False,413805.999
49,2.327,32.351,239.39,619.2918,-1,6,15,100.0,x,False,349239.999
50,3.525,24.133,182.41,303.2333,-1,5,14,100.0,x,False,416529.24680029997
51,4.309,34.131,252.84,593.4808,-1,5,12,100.0,x,False,419624.55566666665
52,2.586,23.22,171.99,569.9689,-1,4,24,100.0,x,False,225511.3805285109
54,0.635,21.078,160.4,259.0267,-1,5,15,100.0,x,False,248285.999
55,1.796,20.196,151.02,398.9362,-1,3,14,100.0,x,False,406012.999
56,3.213,28.726,214.06,462.2994,-1,4,19,100.0,x,False,354035.9848793322
58,2.486,27.892,207.9,457.2363,-1,5,12,100.0,x,False,415535.999
59,3.414,33.714,249.85,582.3797,-1,5,13,100.0,x,False,332130.999
60,3.65,25.212,189.97,329.2476,-1,5,15,100.0,x,False,239890.7778888889
61,2.519,20.089,155.08,199.1684,-1,4,14,100.0,x,False,264244.1112222222
62,0.96,17.971,137.06,244.9059,-1,9,13,100.0,x,False,359003.0001111111
63,1.213,26.169,196.36,369.1737,-1,6,13,100.0,x,False,406568.999
64,3.432,23.45,174.13,514.9818,-1,5,15,100.0,x,False,340400.999
65,2.774,32.911,243.91,578.3487,-1,4,14,100.0,x,False,300489.999
66,2.995,33.264,246.52,580.3653,-1,4,15,100.0,x,False,289298.999
68,3.49,30.114,224.67,445.3327,-1,3,15,99.8,x,False,366883.7469620214
69,2.77,29.924,222.26,524.2796,-1,4,11,100.0,x,False,299365.999
71,3.972,33.824,250.56,591.4662,-1,8,14,100.0,x,False,340075.2851697385
73,2.478,24.103,181.8,319.2273,-1,3,13,100.0,x,False,342629.999
74,2.882,32.691,242.53,554.3478,-1,4,11,100.0,x,False,212590.999
75,2.801,29.767,221.31,504.3111,-1,5,14,100.0,x,False,269767.999
76,3.025,24.841,187.2,327.29,-1,5,15,100.0,x,False,246825.55566666665
77,3.769,22.648,172.13,267.2313,-1,4,16,100.0,x,False,155625.27556509804
78,3.25,32.21,239.43,511.4004,-1,4,9,100.0,x,False,247700.999
79,2.756,32.509,240.74,599.3222,-1,6,12,100.0,x,False,260296.999
80,4.56,24.327,183.73,309.2789,-1,4,21,100.0,x,False,81409.86401807342
81,3.424,24.105,182.25,301.2169,-1,4,15,100.0,x,False,193520.4734631158
82,1.281,27.7,207.36,397.2055,-1,5,14,100.0,x,False,334380.999
83,1.497,26.877,200.43,448.3067,-1,5,13,100.0,x,False,276747.999
84,1.741,18.646,139.75,368.9756,-1,3,12,100.0,x,False,270115.999
85,4.197,39.155,288.23,835.5402,-1,5,15,100.0,x,False,175124.999
86,3.664,28.344,249.04,59.0124,-1,3,16,100.0,x,False,259024.40238274095
89,2.904,29.921,222.22,526.2946,-1,4,13,100.0,x,False,237417.999
90,2.453,27.135,202.56,433.2369,-1,5,19,100.0,x,False,341001.91035241605
91,3.584,24.13,179.06,531.0103,-1,5,14,100.0,x,False,283914.999
92,1.389,26.95,200.98,448.3065,-1,5,10,100.0,x,False,404759.999
95,4.482,23.412,177.48,283.2635,-1,5,11,100.0,x,False,166649.1783087813
96,3.529,31.423,234.46,445.3335,-1,5,14,93.7,x,False,299826.613416035
97,2.309,31.711,234.85,595.2909,-1,5,12,100.0,x,False,273428.999
98,3.313,28.703,214.58,415.3221,-1,4,13,100.0,x,False,260797.999
99,4.176,24.291,183.51,307.263,-1,4,17,100.0,x,False,116447.96494768461
100,3.495,32.004,237.89,511.4018,-1,5,15,100.0,x,False,237782.22233333334
101,1.66,23.259,175.56,313.1181,-1,4,10,100.0,x,False,361774.999
102,3.172,21.212,161.7,250.1437,-1,4,21,100.0,x,False,165235.47728512896
103,1.544,23.855,180.12,311.2212,-1,4,12,100.0,x,False,228420.999
104,2.896,23.77,179.77,299.2579,-1,4,10,100.0,x,False,77890.999
105,1.865,23.056,172.97,366.8995,-1,10,13,100.0,x,False,401652.999
106,2.541,25.805,194.54,325.1833,-1,5,14,82.4,x,False,15404.032383384736
107,1.337,26.105,195.88,369.1743,-1,6,12,100.0,x,False,206286.2429903591
108,2.394,24.725,183.54,524.9876,-1,3,19,100.0,x,False,108447.60125214496
109,4.187,22.851,173.62,269.246,-1,4,15,100.0,x,False,110557.89296417698
110,2.546,25.98,192.5,569.9692,-1,4,18,100.0,x,False,166508.18419169352
111,4.034,28.605,213.68,425.3638,-1,4,17,100.0,x,False,209526.65197025184
