ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 247 B3 7211.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,320478.793170138
2,3.718,23.177,175.81,279.2322,-1,4,19,100.0,x,False,334055.4857992858
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,418792.55566666665
4,4.045,23.256,176.35,281.247,-1,5,16,100.0,x,False,141705.8785913196
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,414991.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,365258.06370289583
7,4.374,23.368,177.14,283.2637,-1,5,20,100.0,x,False,4104.511361160374
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,101909.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,417429.21474204666
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,360761.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,390866.5584620457
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,401874.22233333334
14,3.44,22.056,168.06,253.2156,-1,4,16,100.0,x,False,223268.86809782428
15,2.269,22.692,168.62,498.9308,-1,4,21,100.0,x,False,395202.8553439367
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,405191.05044223665
17,4.593,34.263,253.79,595.4959,-1,6,18,100.0,x,False,376818.89676055015
21,2.234,22.398,166.43,498.9311,-1,5,16,100.0,x,False,340354.7753782548
24,1.071,26.23,196.85,367.1582,-1,7,16,100.0,x,False,367784.5403309379
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,312643.21609301976
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,406726.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,407062.83993294596
30,1.722,18.393,142.91,179.0692,-1,4,13,100.0,x,False,419800.999
31,4.081,38.989,287.01,833.5248,-1,6,14,100.0,x,False,363859.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,389357.7449543133
33,3.593,32.262,240.44,465.3047,-1,6,11,100.0,x,False,417363.999
34,3.423,25.186,189.81,327.2318,-1,5,13,100.0,x,False,327703.999
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,353829.999
37,3.499,32.61,242.11,537.4173,-1,4,14,100.0,x,False,338241.739051145
39,4.25,40.496,297.85,885.5554,-1,7,15,100.0,x,False,125577.15042493548
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,325939.999
41,2.396,22.065,163.74,524.9887,-1,4,24,100.0,x,False,114583.11293607525
44,2.154,21.85,166.11,265.1463,-1,6,16,100.0,x,False,58691.58335069619
