ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 159 B2 7280.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,303456.793170138
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,382130.55566666665
4,4.045,23.256,176.35,281.247,-1,5,16,100.0,x,False,141835.8785913196
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,334747.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,406338.06370289583
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,335898.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,377867.21474204666
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,352442.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,318790.5584620457
12,3.299,23.153,175.68,277.2155,-1,4,14,100.0,x,False,414718.2780890487
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,284840.22233333334
14,3.44,22.056,168.06,253.2156,-1,4,16,100.0,x,False,215450.86809782428
15,2.269,22.692,168.62,498.9308,-1,4,21,100.0,x,False,315811.8553439367
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,176551.05044223668
17,4.593,34.263,253.79,595.4959,-1,6,18,100.0,x,False,410174.89676055015
21,2.234,22.398,166.43,498.9311,-1,5,16,100.0,x,False,283539.7753782548
24,1.071,26.23,196.85,367.1582,-1,7,16,100.0,x,False,288161.5403309379
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,354918.21609301976
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,325740.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,201861.83993294596
30,1.722,18.393,142.91,179.0692,-1,4,13,100.0,x,False,339846.999
31,4.081,38.989,287.01,833.5248,-1,6,14,100.0,x,False,327900.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,327758.7449543133
33,3.593,32.262,240.44,465.3047,-1,6,11,100.0,x,False,213913.999
34,3.423,25.186,189.81,327.2318,-1,5,13,100.0,x,False,321031.999
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,332654.999
37,3.499,32.61,242.11,537.4173,-1,4,14,100.0,x,False,387003.739051145
39,4.25,40.496,297.85,885.5554,-1,7,15,100.0,x,False,389903.15042493545
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,267824.999
42,3.542,24.23,183.15,303.2316,-1,5,14,100.0,x,False,413674.564708147
45,4.118,40.327,296.6,883.5404,-1,5,16,100.0,x,False,253394.56805385134
46,2.962,28.953,215.55,478.294,-1,4,13,100.0,x,False,77531.999
47,4.09,39.632,291.62,857.5256,-1,7,12,100.0,x,False,291651.999
48,3.48,30.743,229.06,467.3742,-1,4,11,100.0,x,False,347631.999
49,2.327,32.351,239.39,619.2918,-1,6,15,100.0,x,False,170879.999
51,4.309,34.131,252.84,593.4808,-1,5,12,100.0,x,False,405505.55566666665
52,2.586,23.22,171.99,569.9689,-1,4,24,100.0,x,False,104413.3805285109
54,0.635,21.078,160.4,259.0267,-1,5,15,100.0,x,False,171084.999
55,1.796,20.196,151.02,398.9362,-1,3,14,100.0,x,False,305755.999
56,3.213,28.726,214.06,462.2994,-1,4,19,100.0,x,False,91787.98487933222
58,2.486,27.892,207.9,457.2363,-1,5,12,100.0,x,False,131011.999
