ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 217 B3 6902.d.DeMP
1,3.23,21.095,161.62,227.2004,-1,5,21,100.0,x,False,285985.793170138
2,3.718,23.177,175.81,279.2322,-1,4,19,100.0,x,False,334002.4857992858
3,2.762,28.515,212.31,476.2792,-1,6,14,100.0,x,False,305411.55566666665
4,4.045,23.256,176.35,281.247,-1,5,16,100.0,x,False,141023.8785913196
5,2.814,29.218,217.26,500.2803,-1,4,16,100.0,x,False,228471.66184747464
6,3.786,33.197,246.45,539.4331,-1,4,17,100.0,x,False,220217.06370289583
8,2.872,28.224,210.45,452.2791,-1,6,15,100.0,x,False,411859.999
9,3.36,29.205,217.41,480.311,-1,6,18,100.0,x,False,185882.21474204664
10,2.952,29.366,218.6,480.309,-1,5,16,100.0,x,False,357454.5535105834
11,2.771,22.868,169.88,505.9739,-1,5,22,100.0,x,False,273950.5584620457
12,3.299,23.153,175.68,277.2155,-1,4,14,100.0,x,False,421777.2780890487
13,0.403,17.668,136.86,187.0056,-1,5,16,100.0,x,False,38582.22233333333
14,3.44,22.056,168.06,253.2156,-1,4,16,100.0,x,False,218530.86809782428
15,2.269,22.692,168.62,498.9308,-1,4,21,100.0,x,False,405486.8553439367
16,3.519,28.985,215.97,464.3157,-1,5,16,100.0,x,False,385760.05044223665
17,4.593,34.263,253.79,595.4959,-1,6,18,100.0,x,False,62089.89676055013
21,2.234,22.398,166.43,498.9311,-1,5,16,100.0,x,False,392330.7753782548
24,1.071,26.23,196.85,367.1582,-1,7,16,100.0,x,False,375336.5403309379
26,4.165,39.869,293.34,861.5564,-1,6,18,100.0,x,False,266276.21609301976
27,2.514,22.643,171.97,271.2261,-1,5,13,100.0,x,False,410595.4445555555
28,3.273,27.998,208.97,436.284,-1,5,17,100.0,x,False,420988.83993294596
30,1.722,18.393,142.91,179.0692,-1,4,13,100.0,x,False,204354.999
32,3.814,24.203,182.9,305.248,-1,4,23,100.0,x,False,359175.7449543133
33,3.593,32.262,240.44,465.3047,-1,6,11,100.0,x,False,379029.999
34,3.423,25.186,189.81,327.2318,-1,5,13,100.0,x,False,411591.999
35,2.966,32.677,242.42,554.3485,-1,4,15,100.0,x,False,335011.999
39,4.25,40.496,297.85,885.5554,-1,7,15,100.0,x,False,288273.15042493545
40,3.378,30.379,225.82,508.3425,-1,5,14,100.0,x,False,258452.999
42,3.542,24.23,183.15,303.2316,-1,5,14,100.0,x,False,105584.56470814704
44,2.154,21.85,166.11,265.1463,-1,6,16,100.0,x,False,107097.5833506962
45,4.118,40.327,296.6,883.5404,-1,5,16,100.0,x,False,736.5680538513269
46,2.962,28.953,215.55,478.294,-1,4,13,100.0,x,False,398610.999
48,3.48,30.743,229.06,467.3742,-1,4,11,100.0,x,False,262216.999
49,2.327,32.351,239.39,619.2918,-1,6,15,100.0,x,False,315228.999
50,3.525,24.133,182.41,303.2333,-1,5,14,100.0,x,False,412818.24680029997
51,4.309,34.131,252.84,593.4808,-1,5,12,100.0,x,False,127025.55566666667
52,2.586,23.22,171.99,569.9689,-1,4,24,100.0,x,False,100998.3805285109
54,0.635,21.078,160.4,259.0267,-1,5,15,100.0,x,False,362386.999
55,1.796,20.196,151.02,398.9362,-1,3,14,100.0,x,False,349241.999
56,3.213,28.726,214.06,462.2994,-1,4,19,100.0,x,False,408216.9848793322
58,2.486,27.892,207.9,457.2363,-1,5,12,100.0,x,False,257061.999
59,3.414,33.714,249.85,582.3797,-1,5,13,100.0,x,False,275873.999
60,3.65,25.212,189.97,329.2476,-1,5,15,100.0,x,False,358204.7778888889
61,2.519,20.089,155.08,199.1684,-1,4,14,100.0,x,False,163583.11122222221
62,0.96,17.971,137.06,244.9059,-1,9,13,100.0,x,False,355277.0001111111
63,1.213,26.169,196.36,369.1737,-1,6,13,100.0,x,False,266873.999
64,3.432,23.45,174.13,514.9818,-1,5,15,100.0,x,False,83844.999
65,2.774,32.911,243.91,578.3487,-1,4,14,100.0,x,False,5247.999
66,2.995,33.264,246.52,580.3653,-1,4,15,100.0,x,False,293725.999
68,3.49,30.114,224.67,445.3327,-1,3,15,99.8,x,False,160978.74696202137
69,2.77,29.924,222.26,524.2796,-1,4,11,100.0,x,False,12327.999
71,3.972,33.824,250.56,591.4662,-1,8,14,100.0,x,False,27123.285169738534
74,2.882,32.691,242.53,554.3478,-1,4,11,100.0,x,False,194537.999
76,3.025,24.841,187.2,327.29,-1,5,15,100.0,x,False,110608.55566666667
77,3.769,22.648,172.13,267.2313,-1,4,16,100.0,x,False,327009.27556509804
78,3.25,32.21,239.43,511.4004,-1,4,9,100.0,x,False,50074.999
79,2.756,32.509,240.74,599.3222,-1,6,12,100.0,x,False,422606.999
80,4.56,24.327,183.73,309.2789,-1,4,21,100.0,x,False,303190.8640180734
81,3.424,24.105,182.25,301.2169,-1,4,15,100.0,x,False,414346.4734631158
82,1.281,27.7,207.36,397.2055,-1,5,14,100.0,x,False,202127.999
83,1.497,26.877,200.43,448.3067,-1,5,13,100.0,x,False,136546.999
84,1.741,18.646,139.75,368.9756,-1,3,12,100.0,x,False,174423.999
85,4.197,39.155,288.23,835.5402,-1,5,15,100.0,x,False,159610.999
86,3.664,28.344,249.04,59.0124,-1,3,16,100.0,x,False,114374.40238274097
89,2.904,29.921,222.22,526.2946,-1,4,13,100.0,x,False,69547.999
90,2.453,27.135,202.56,433.2369,-1,5,19,100.0,x,False,196242.91035241605
91,3.584,24.13,179.06,531.0103,-1,5,14,100.0,x,False,87012.999
92,1.389,26.95,200.98,448.3065,-1,5,10,100.0,x,False,186046.999
96,3.529,31.423,234.46,445.3335,-1,5,14,93.7,x,False,70831.61341603503
97,2.309,31.711,234.85,595.2909,-1,5,12,100.0,x,False,265933.999
98,3.313,28.703,214.58,415.3221,-1,4,13,100.0,x,False,81571.999
99,4.176,24.291,183.51,307.263,-1,4,17,100.0,x,False,176862.9649476846
100,3.495,32.004,237.89,511.4018,-1,5,15,100.0,x,False,59986.22233333333
101,1.66,23.259,175.56,313.1181,-1,4,10,100.0,x,False,148.999
102,3.172,21.212,161.7,250.1437,-1,4,21,100.0,x,False,65754.47728512895
103,1.544,23.855,180.12,311.2212,-1,4,12,100.0,x,False,227010.999
104,2.896,23.77,179.77,299.2579,-1,4,10,100.0,x,False,401942.999
105,1.865,23.056,172.97,366.8995,-1,10,13,100.0,x,False,226532.999
109,4.187,22.851,173.62,269.246,-1,4,15,100.0,x,False,220720.89296417698
110,2.546,25.98,192.5,569.9692,-1,4,18,100.0,x,False,47178.18419169352
113,4.411,37.203,274.36,746.5173,-1,10,12,100.0,x,False,224049.999
115,1.626,23.282,175.73,313.1179,-1,5,10,100.0,x,False,58181.999
116,3.612,30.703,228.77,467.3742,-1,4,12,100.0,x,False,45187.999
117,3.176,30.009,223.09,506.327,-1,3,16,100.0,x,False,38665.00011111111
118,2.842,28.298,211.01,452.2781,-1,5,7,100.0,x,False,265116.999
119,4.262,37.45,276.08,762.513,-1,10,10,100.0,x,False,156332.999
120,2.514,32.045,237.31,597.3063,-1,5,13,100.0,x,False,367212.999
121,3.576,31.902,238.06,445.3322,-1,5,11,82.4,x,False,79881.14476767041
122,2.761,20.838,159.72,225.1847,-1,4,20,100.0,x,False,136246.39799503962
123,2.865,29.748,220.94,524.284,-1,4,6,97.4,x,False,310018.55566666665
124,3.81,33.784,250.45,573.4541,-1,4,11,100.0,x,False,46046.999
126,2.304,24.093,178.78,531.0107,-1,5,23,100.0,x,False,17246.751409857286
127,2.94,30.008,222.87,526.2947,-1,4,12,100.0,x,False,11455.666777777778
128,2.885,29.408,218.92,480.3099,-1,5,10,97.9,x,False,207093.6733193562
130,4.331,31.315,232.95,495.4069,-1,5,18,100.0,x,False,70612.99466327671
133,3.073,30.259,224.96,506.326,-1,3,5,100.0,x,False,332589.999
134,4.041,36.543,269.7,714.512,-1,5,12,100.0,x,False,65660.999
136,3.861,30.338,225.51,509.332,-1,2,14,100.0,x,False,342586.999
137,3.343,23.25,175.78,301.1646,-1,6,20,100.0,x,False,25866.063807942905
138,3.529,28.516,210.81,639.0833,-1,5,12,100.0,x,False,68381.999
141,2.904,29.271,217.64,502.2944,-1,4,10,100.0,x,False,8468.999
142,2.356,27.529,205.57,429.3016,-1,4,15,100.0,x,False,39773.999
143,2.35,23.526,177.97,297.2423,-1,4,11,100.0,x,False,122140.999
144,3.745,29.942,223.36,447.3476,-1,4,12,100.0,x,False,49219.00011111111
145,3.405,30.709,228.86,463.3434,-1,3,12,100.0,x,False,26553.999
146,4.28,36.809,271.5,738.5132,-1,8,15,100.0,x,False,68443.3351396625
148,2.016,19.729,147.28,418.9726,-1,3,14,100.0,x,False,151724.8016559924
149,3.047,23.806,180.04,299.258,-1,4,16,100.0,,False,134470.82231110125
150,3.707,19.717,151.19,223.027,-1,5,11,100.0,x,False,45839.93518703318
151,3.63,23.248,176.34,279.3241,-1,2,8,64.6,,False,130348.999
152,3.598,21.673,165.53,241.2161,-1,4,17,100.0,x,False,90242.19789499952
153,3.462,27.804,244.28,59.0126,-1,3,17,100.0,x,False,52790.79720398345
155,3.455,32.724,242.96,537.4175,-1,4,5,100.0,x,False,172934.999
156,2.783,24.794,186.9,325.1813,-1,2,8,97.4,x,False,2709.999
159,2.758,23.64,178.78,299.2584,-1,4,22,100.0,,False,51704.287640206414
162,1.552,26.132,196.08,369.1736,-1,4,13,100.0,x,False,94154.999
163,2.671,23.597,178.51,297.2431,-1,4,8,100.0,x,False,227602.999
164,1.205,17.998,135.8,308.8384,-1,7,13,100.0,x,False,94798.999
165,3.639,33.842,250.8,581.4575,-1,4,17,100.0,x,False,48311.75650727334
166,1.568,27.531,206.13,395.1894,-1,4,13,100.0,x,False,52182.999
169,3.232,29.303,218.15,480.3104,-1,5,6,100.0,x,False,415187.999
171,0.443,23.674,178.75,311.1388,-1,4,12,100.0,x,False,191564.999
173,2.892,29.373,218.4,502.2946,-1,4,15,100.0,,False,49264.3854376206
175,0.923,17.141,131.43,220.9387,-1,7,13,100.0,x,False,32469.999
176,3.032,30.107,224.35,465.3589,-1,3,11,95.1,x,False,76103.33344444445
178,3.063,30.147,223.88,528.31,-1,4,11,100.0,x,False,8365.999
179,4.247,19.731,151.3,223.0263,-1,4,9,100.0,x,False,41480.22233333333
180,1.6,29.041,216.17,481.2811,-1,4,13,100.0,x,False,409521.999
182,2.616,27.557,205.53,447.2521,-1,3,15,100.0,x,False,9506.889
183,3.024,20.855,159.56,233.153,-1,4,16,100.0,x,False,12760.444555555556
184,3.27,29.449,219.11,489.2788,-1,4,16,100.0,,False,29061.689458896577
185,3.771,30.433,226.75,467.3739,-1,4,11,100.0,x,False,8101.6812746453215
186,0.382,16.771,129.79,188.9839,-1,4,13,100.0,x,False,173815.999
188,4.195,33.797,250.36,591.465,-1,8,14,98.1,x,False,4559.519929421263
189,2.785,33.497,248.04,602.3493,-1,4,15,100.0,,False,44298.999
191,0.635,18.378,142.79,179.0696,-1,3,15,100.0,,False,143269.999
195,3.313,33.665,249.49,582.3794,-1,4,11,100.0,x,False,82605.999
196,3.866,30.067,223.66,495.3155,-1,3,14,100.0,x,False,186020.889
197,3.462,33.123,245.37,591.3915,-1,5,10,100.0,,False,119930.999
201,3.211,32.341,240.11,537.4179,-1,4,7,100.0,x,False,72565.999
203,2.21,23.442,174.07,514.9817,-1,4,24,100.0,,False,9819.60667023161
204,2.046,21.426,159.66,448.9334,-1,5,15,100.0,,False,115117.999
205,0.379,16.638,129.53,172.9897,-1,4,16,100.0,,False,98806.33344444445
206,3.57,31.487,233.97,517.3912,-1,2,13,96.6,,False,24635.999
210,4.187,41.013,301.53,909.5571,-1,4,13,100.0,x,False,25965.999
211,2.802,30.04,223.36,504.3102,-1,4,3,100.0,x,False,309192.999
212,1.512,27.973,208.01,498.2894,-1,6,9,100.0,x,False,28891.999
213,3.864,30.391,226.34,473.3646,-1,5,16,97.3,,False,33684.40868501848
215,1.062,17.593,133.64,264.8887,-1,7,12,100.0,x,False,45280.999
216,4.354,40.116,295.15,863.5709,-1,5,15,100.0,x,False,51117.00011111111
217,3.06,21.946,167.28,251.201,-1,4,21,100.0,,False,61140.719061919306
218,1.895,27.091,202.89,391.2849,-1,4,12,100.0,x,False,48310.999
220,4.036,40.162,295.4,881.5252,-1,2,13,100.0,,False,11720.999
222,0.552,19.214,147.7,213.0203,-1,4,13,100.0,x,False,220942.999
223,2.303,23.393,177.01,295.2271,-1,4,14,100.0,x,False,286872.33344444446
225,0.404,17.685,136.29,203.0001,-1,5,15,100.0,,False,46234.999
227,2.911,30.717,228.62,485.3855,-1,4,15,100.0,,False,29844.999
233,3.693,28.143,210.58,403.3577,-1,5,13,100.0,x,False,6020.999
234,2.37,23.607,178.64,295.2263,-1,3,8,100.0,x,False,420741.999
236,2.681,23.669,179.05,297.242,-1,3,13,100.0,,False,8519.247288365244
237,1.246,20.365,155.14,253.0811,-1,4,12,100.0,,False,33783.999
240,3.093,28.746,214.16,466.2942,-1,5,11,93.7,x,False,15537.999
242,0.648,17.296,131.06,278.9136,-1,4,13,100.0,x,False,118177.999
243,2.473,29.492,219.23,507.274,-1,4,13,100.0,,False,42295.999
245,2.471,26.145,195.87,386.2365,-1,5,13,100.0,x,False,251106.999
246,3.997,33.775,250.19,593.4787,-1,4,9,100.0,x,False,44388.8828198105
247,2.699,26.409,197.82,388.252,-1,5,13,100.0,x,False,203260.999
249,1.392,27.769,207.85,399.2203,-1,6,11,100.0,x,False,10072.999
250,3.128,27.821,207.64,436.2857,-1,3,5,100.0,x,False,10636.555666666667
252,3.298,29.327,218.88,439.3428,-1,4,13,100.0,,False,18318.889
254,2.377,31.546,233.85,571.2899,-1,6,9,100.0,x,False,396865.999
255,3.768,32.952,245.2,493.3363,-1,5,11,100.0,,False,118180.999
256,3.186,28.11,210.21,411.2902,-1,4,14,100.0,x,False,276900.79811186093
259,2.784,27.201,203.2,423.2519,-1,4,16,100.0,x,False,11120.666777777778
260,2.595,24.448,184.37,321.2422,-1,4,8,100.0,x,False,329529.999
262,2.446,32.426,239.93,621.3061,-1,5,13,100.0,,False,146836.999
