ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
4499.0,3.4156666666666666,34.354,317.0366666666667,61.9872,0.0,0.0,0.0,0.0,0.0,3189.625454256087
11437.0,2.8535000000000004,27.578,256.945,61.9872,0.0,0.0,0.0,0.0,0.0,0.0
8971.0,0.7084999999999999,23.882,242.85500000000002,61.9873,0.0,0.0,0.0,0.0,0.0,0.0
24558.0,2.5485,10.357,239.44,61.9875,0.0,0.0,0.0,0.0,0.0,0.0
5436.0,4.461,37.157,324.12,61.9876,0.0,0.0,0.0,0.0,0.0,3811.1779259839172
12550.0,4.89,45.226,394.63,61.9879,0.0,0.0,0.0,0.0,0.0,256.2024242752997
25090.0,0.808,54.345,474.41,61.988,0.0,0.0,0.0,0.0,0.0,0.0
24357.0,4.309,5.029,43.34,61.9885,0.0,0.0,0.0,0.0,0.0,0.0
25237.0,1.362,48.616,424.27,61.9887,0.0,0.0,0.0,0.0,0.0,0.0
24169.0,4.653,32.855,286.51,61.9907,0.0,0.0,0.0,0.0,0.0,0.0
24847.0,4.512,4.902,42.22,61.9912,0.0,0.0,0.0,0.0,0.0,0.0
24958.0,4.642,54.176,472.86,61.9914,0.0,0.0,0.0,0.0,0.0,0.0
13256.0,2.498,25.835,218.21,63.9899,417.999,1014.998,147.999,193.999,0.0,0.0
19925.0,2.187,23.283,201.89,63.99,121.999,0.0,0.0,0.0,239.999,0.0
22640.0,2.482,23.783,378.23,67.0528,137.999,0.0,0.0,0.0,0.0,0.0
15806.0,1.578,23.47,201.24,69.0332,112.999,0.0,0.0,0.0,143.999,397.999
11583.0,3.257,25.529,218.06,71.0117,517.999,0.0,0.0,0.0,688.999,0.0
24850.0,0.575,17.254,146.6,72.9903,0.0,0.0,0.0,0.0,0.0,0.0
4498.0,0.759,19.213,163.01,74.0223,217.999,0.0,0.0,0.0,508.999,4738.999
9686.0,1.522,20.996,178.19,74.0226,116.999,407.999,0.0,274.999,0.0,839.999
10477.0,2.13,23.093,196.05,74.0227,353.999,604.999,324.999,150.999,0.0,0.0
11273.0,4.131,13.022,109.89,75.9599,0.0,0.0,505.999,0.0,0.0,762.999
19189.0,0.641,18.836,158.96,76.9547,328.999,0.0,0.0,0.0,0.0,0.0
20382.0,1.729,22.71,191.78,76.9551,0.0,0.0,0.0,0.0,0.0,248.999
15262.0,4.132,12.866,108.37,76.9684,0.0,0.0,236.999,0.0,0.0,469.999
16636.0,0.821,11.073,92.87,78.9166,0.0,0.0,0.0,302.999,0.0,282.999
20516.0,4.47,12.187,102.27,78.9559,0.0,0.0,0.0,0.0,0.0,261.999
