Experimental m/z,Experimental CCS,RT,Standard m/z,Standard CCS,Name,Sample Coverage (%),Mass Error (ppm),CCS Error (%),Intensity (35 2286 - Serum.d.DeMP),Intensity ( 36 2286 - Mitra.d.DeMP),Intensity ( 37 2286 - DBS.d.DeMP),Intensity ( 38 2182 - Serum.d.DeMP),Intensity ( 39 2182 - Mitra.d.DeMP),Intensity ( 40 2182 - DBS.d.DeMP),Intensity ( 41 2187 - Serum.d.DeMP),Intensity ( 42 2187 - Mitra.d.DeMP),Intensity ( 43 2187 - DBS.d.DeMP),Intensity ( 44 2854 - Serum.d.DeMP),Intensity ( 45 2854 - Mitra.d.DeMP),Intensity ( 46 2854 - DBS.d.DeMP),Intensity ( 47 2911 - Serum.d.DeMP),Intensity ( 48 2911 - Mitra.d.DeMP),Intensity ( 49 2911 - DBS.d.DeMP),Intensity ( 125 1777 - Serum.d.DeMP),Intensity ( 126 1777 - Mitra.d.DeMP),Intensity ( 127 1777 - DBS.d.DeMP),Intensity ( 128 1821 - Serum.d.DeMP),Intensity ( 129 1821 - Mitra.d.DeMP),Intensity ( 130 1821 - DBS.d.DeMP),Intensity ( 131 1673 - Serum.d.DeMP),Intensity ( 132 1673 - Mitra.d.DeMP),Intensity ( 133 1673 - DBS.d.DeMP),Intensity ( 134 1894 - Serum.d.DeMP),Intensity ( 135 1894 - Mitra.d.DeMP),Intensity ( 136 1894 - DBS.d.DeMP),Intensity ( 137 3330 - Serum.d.DeMP),Intensity ( 138 3330 - Mitra.d.DeMP),Intensity ( 139 3330 - DBS.d.DeMP),Intensity ( 80 2003 - Serum.d.DeMP),Intensity ( 81 2003 - Mitra.d.DeMP),Intensity ( 82 2003 - DBS.d.DeMP),Intensity ( 83 2095 - Serum.d.DeMP),Intensity ( 84 2095 - Mitra.d.DeMP),Intensity ( 85 2095 - DBS.d.DeMP),Intensity ( 86 2046 - Serum.d.DeMP),Intensity ( 87 2046 - Mitra.d.DeMP),Intensity ( 88 2046 - DBS.d.DeMP),Intensity ( 89 2889 - Serum.d.DeMP),Intensity ( 90 2889 - Mitra.d.DeMP),Intensity ( 91 2889 - DBS.d.DeMP),Intensity ( 92 3021 - Serum.d.DeMP),Intensity ( 93 3021 - Mitra.d.DeMP),Intensity ( 94 3021 - DBS.d.DeMP),Intensity ( DBS 2184.d.DeMP)
506.9564,168.76,10.317,506.9571,169.2578952,PFOS,97.82608695652173,-1.38,0.29,11416.0,4697.0,6186.0,14547.0,6933.0,6150.0,11205.0,7245.0,6471.0,15118.0,6816.0,0.0,7417.0,6142.0,6137.0,12831.0,7043.0,6401.0,10589.0,6137.0,5642.0,16142.0,7320.0,6233.0,6910.0,5192.0,6853.0,13082.0,5252.0,7357.0,8442.0,5624.0,5596.0,12923.0,6807.0,5087.0,11406.0,7216.0,6929.0,9273.0,7414.0,6301.0,11172.0,6680.0,6820.0,2859.0
514.9794,174.12,12.591,514.9807,174.3880644,N-MeFOSA,45.65217391304348,-2.52,0.15,1329.0,0.0,0.0,774.0,0.0,0.0,2047.0,0.0,0.0,1346.0,136.0,0.0,808.0,0.0,0.0,2217.0,0.0,0.0,1748.0,167.0,0.0,1089.0,370.0,0.0,982.0,232.0,0.0,1747.0,0.0,0.0,1258.0,0.0,0.0,2067.0,0.0,0.0,1686.0,274.0,0.0,1387.0,236.0,0.0,1086.0,0.0,0.0,0.0
524.9859,164.01,11.682,524.9871,164.3544534,PFUdA,95.65217391304348,-2.29,0.21,1198.0,365.0,525.0,1778.0,779.0,502.0,1450.0,697.0,571.0,2020.0,812.0,0.0,655.0,556.0,521.0,1397.0,616.0,390.0,1137.0,560.0,548.0,2308.0,750.0,540.0,622.0,531.0,642.0,1268.0,405.0,667.0,881.0,501.0,487.0,1744.0,586.0,453.0,1308.0,796.0,693.0,1038.0,635.0,569.0,1394.0,814.0,563.0,0.0
528.9672,186.49,11.03,528.9682,186.961443,8:2 FTS,97.82608695652173,-1.89,0.25,2089.0,683.0,906.0,2691.0,1130.0,860.0,2520.0,1154.0,954.0,3257.0,1175.0,0.0,1443.0,1017.0,805.0,2555.0,981.0,763.0,2246.0,941.0,771.0,4075.0,1263.0,952.0,1483.0,901.0,1130.0,3011.0,912.0,1170.0,1658.0,822.0,769.0,3326.0,994.0,719.0,2611.0,1228.0,1140.0,2428.0,1423.0,962.0,2648.0,1201.0,1014.0,248.0
531.0076,178.84,12.966,531.0089,178.9279196,N-EtFOSA,36.95652173913043,-2.45,0.05,701.0,0.0,0.0,493.0,0.0,0.0,1391.0,0.0,0.0,950.0,0.0,0.0,521.0,0.0,0.0,1702.0,0.0,0.0,1177.0,0.0,0.0,773.0,201.0,0.0,681.0,177.0,0.0,994.0,0.0,0.0,678.0,0.0,0.0,1405.0,0.0,0.0,1025.0,0.0,0.0,824.0,0.0,0.0,773.0,0.0,0.0,0.0
569.9653,172.24,12.227,569.9672,172.6200934,PFDoA,89.13043478260869,-3.33,0.22,748.0,259.0,230.0,1370.0,508.0,255.0,1120.0,494.0,401.0,1534.0,466.0,0.0,381.0,254.0,272.0,769.0,347.0,0.0,623.0,302.0,268.0,1242.0,425.0,258.0,281.0,0.0,289.0,772.0,239.0,303.0,544.0,0.0,235.0,1123.0,295.0,255.0,714.0,462.0,416.0,488.0,418.0,208.0,924.0,327.0,325.0,0.0
572.985,193.34,11.36,572.9862,193.7858179,N-MeFOSAA,95.65217391304348,-2.09,0.23,1032.0,370.0,456.0,1223.0,530.0,425.0,1128.0,468.0,463.0,1484.0,527.0,0.0,649.0,490.0,405.0,1124.0,447.0,354.0,1040.0,492.0,383.0,1766.0,600.0,445.0,656.0,428.0,469.0,1230.0,398.0,600.0,733.0,445.0,383.0,1294.0,503.0,407.0,1103.0,668.0,512.0,1113.0,556.0,461.0,1331.0,588.0,527.0,0.0
589.0124,197.0,11.688,589.0144,197.4386093,N-EtFOSAA,93.47826086956522,-3.4,0.22,856.0,238.0,297.0,1131.0,431.0,355.0,914.0,415.0,350.0,1418.0,480.0,0.0,517.0,402.0,360.0,1194.0,423.0,354.0,792.0,395.0,330.0,1707.0,492.0,372.0,535.0,352.0,491.0,1123.0,0.0,439.0,638.0,312.0,279.0,1310.0,473.0,280.0,1042.0,493.0,421.0,845.0,509.0,388.0,1093.0,551.0,488.0,0.0
669.959,188.6,13.118,669.9608,188.7751779,PFTeDA,58.69565217391305,-2.69,0.09,387.0,0.0,0.0,866.0,246.0,0.0,734.0,224.0,68.0,831.0,166.0,0.0,194.0,107.0,0.0,414.0,234.0,0.0,447.0,0.0,0.0,597.0,133.0,0.0,117.0,150.0,94.0,441.0,92.0,0.0,0.0,0.0,76.0,747.0,0.0,0.0,387.0,200.0,0.0,285.0,197.0,0.0,384.0,0.0,0.0,0.0
NA,NA,NA,171.9994,110.2057838,PFBA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,222.9996,116.9451867,PFPeA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,471.9934,165.5655524,PFNA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,518.9802,174.5019682,PFDA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,569.9803,183.5852737,PFUdA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,614.9604,192.441922,PFDoA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,714.954,210.289103,PFTeDA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,563.032,193.5691892,N-MeFOSE,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,579.0602,197.7378366,N-EtFOSE,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,286.9846,127.0001528,HFPO-DA,0.0,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
