ID,RT,DT,CCS,m/z,150 B2 6915.d.DeMP, 158 B2 7099.d.DeMP, 159 B2 7280.d.DeMP, 162 B2 7343.d.DeMP, 204 B3 6808.d.DeMP, 217 B3 6902.d.DeMP, 218 B3 6901.d.DeMP, 222 B3 305.d.DeMP, 247 B3 7211.d.DeMP, 303 B4 7292.d.DeMP, 304 B4 7291.d.DeMP, 305 B4 6857.d.DeMP, 130 B2 7523.d.DeMP, 131 B2 6679.d.DeMP, 89 B1 7236.d.DeMP
1,3.23,21.095,111.2,171.9999,348228.0,355075.0,351770.0,354662.0,304669.0,334299.0,370856.0,366134.0,368792.0,373388.0,212487.0,132433.0,362017.0,299820.0,369397.0
2,3.718,23.177,175.81,279.2322,0.0,361277.0,0.0,362954.0,362560.0,364199.0,363853.0,364487.0,364252.0,364990.0,356895.0,355389.0,363547.0,363682.0,363152.0
3,2.762,28.515,212.31,476.2792,410965.0,371247.0,382288.0,362612.0,416140.0,305569.0,413200.0,417673.0,418950.0,420386.0,0.0,0.0,393888.0,418443.0,397229.0
4,4.045,23.256,176.35,281.247,215810.0,218465.0,219784.0,219584.0,215999.0,218972.0,218676.0,0.0,219654.0,219322.0,212370.0,212780.0,0.0,0.0,219727.0
5,2.814,29.218,217.26,500.2803,401259.0,367897.0,335008.0,392120.0,393763.0,228732.0,399809.0,413070.0,415252.0,401787.0,0.0,0.0,405224.0,414403.0,399733.0
6,3.786,33.197,246.45,539.4331,395320.0,420821.0,406397.0,404167.0,411959.0,220276.0,320104.0,417273.0,365317.0,370366.0,163051.0,85308.0,199462.0,368642.0,392428.0
7,4.374,23.368,177.14,283.2637,156585.0,156465.0,154402.0,154826.0,0.0,143581.0,0.0,0.0,161582.0,161435.0,11505.0,74668.0,157698.0,160288.0,155461.0
8,2.872,28.224,210.45,452.2791,399523.999,366651.999,335898.999,367177.999,293252.999,411859.999,404910.999,250651.999,101909.999,418757.999,92255.999,7143.999,414380.999,416304.999,415178.999
9,3.36,29.205,217.41,480.311,416557.0,90849.0,378497.0,401072.0,419165.0,186512.0,409738.0,417489.0,418059.0,419659.0,142606.0,16919.0,411931.0,0.0,408031.0
