ID,RT,DT,CCS,m/z,Experimental m/z,Experimental CCS,Standard m/z,Standard CCS,Sample Coverage (%),Mass Error (ppm),CCS Error (%),Intensity (150 B2 6915.d.DeMP),Intensity ( 158 B2 7099.d.DeMP),Intensity ( 159 B2 7280.d.DeMP),Intensity ( 162 B2 7343.d.DeMP),Intensity ( 204 B3 6808.d.DeMP),Intensity ( 217 B3 6902.d.DeMP),Intensity ( 218 B3 6901.d.DeMP),Intensity ( 222 B3 305.d.DeMP),Intensity ( 247 B3 7211.d.DeMP),Intensity ( 303 B4 7292.d.DeMP),Intensity ( 304 B4 7291.d.DeMP),Intensity ( 305 B4 6857.d.DeMP),Intensity ( 130 B2 7523.d.DeMP),Intensity ( 131 B2 6679.d.DeMP),Intensity ( 89 B1 7236.d.DeMP)
1009,2.101,25.164,186.78,527.9657,527.9657,186.78,527.964845,187,86.67,1.62,0.12,10711,12275,8430,10499,22204,6411,10066,22742,18051,5780,126,392,0.001,0.001,5477
1070,0.963,17.647,133.29,300.9488,300.9488,133.29,300.949745,133.6,86.67,-3.14,0.23,15602,9587,4405,12822,21008,7493,0.001,16978,9785,11049,0.001,410,3334,6482,3284
1095,2.208,26.138,193.67,569.969,569.969,193.67,569.9672,192.4,86.67,3.16,0.66,0.001,21096,1878,23861,11304,4588,6417,17092,17456,5938,1364,809,2197,0.001,4443
1184,2.394,22.093,163.95,523.9846,523.9846,163.95,523.983745,164.4,86.67,1.63,0.27,9553,10342,6541,9458,18356,5295,6557,17501,12332,4720,539,397,0.001,0.001,3947
1229,2.302,26.67,197.49,588.009,588.009,197.49,588.011045,197.4,86.67,-3.48,0.05,8100,10236,6480,7632,15268,5408,7713,15264,13468,5273,721,427,0.001,0.001,4472
1268,1.622,22.632,168.92,427.97,427.97,168.92,427.971245,169,66.67,-2.91,0.05,10018,7404,4837,8985,19960,7400,8639,18027,0.001,6357,0.001,0.001,0.001,0.001,3591
1613,1.161,16.771,126.91,286.9834,286.9834,126.91,286.9846,127,93.33,-4.18,0.07,9450,6182,2767,6935,8810,4228,5220,5780,4723,4988,0.001,163,1748,3791,2068
2612,1.953,22.259,166.15,425.9959,425.9959,166.15,425.996845,165.6,73.33,-2.22,0.33,3185,2200,1957,2742,6116,1566,2233,5505,3829,1805,0.001,0.001,0.001,0.001,1047
2632,0.928,16.42,124.54,271.992,271.992,124.54,271.993045,124.6,86.67,-3.84,0.05,3917,2671,1387,3482,4373,2188,2729,2808,2369,2373,0.001,0.001,1066,1496,1032
2635,3.652,24.104,178.87,531.0102,531.0102,178.87,531.0089,178.9,26.67,2.45,0.02,0.001,166,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17212,8864,5565,0.001,0.001,0.001
2810,2.4,24.544,181.82,569.9837,569.9837,181.82,569.9803,183.6,13.33,5.97,0.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8223,20404,0.001
2843,2.192,23.472,174.7,472.9836,472.9836,174.7,472.983645,174.5,80,-0.1,0.11,2309,3120,2439,2775,3928,1475,2156,4120,3090,1335,0.001,127,0.001,0.001,1089
3006,3.592,24.12,178.99,530.0035,530.0035,178.99,530.005545,178.9,86.67,-3.86,0.05,1651,1413,1383,2171,5585,914,1539,3982,2817,1163,0.001,0.001,191,2144,653
4001,2.557,26.013,192.75,568.964,568.964,192.75,568.963845,192.4,86.67,0.27,0.18,733,2761,389,787,1045,1467,4118,1434,808,403,816,895,0.001,0.001,502
4135,2.305,24.094,178.8,530.0035,530.0035,178.8,530.005545,178.9,86.67,-3.86,0.06,1074,1286,947,1164,2196,630,1012,2251,1800,788,0.001,0.001,462,931,763
4138,2.095,24.934,185.05,527.9681,527.9681,185.05,527.964845,187,13.33,6.17,1.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4177,11062,0.001
4201,2.276,24.205,179.62,531.0087,531.0087,179.62,531.0089,178.9,20,-0.38,0.4,0.001,0.001,8120,1990,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4827,0.001,0.001,0.001
4724,2.135,25.695,190.38,569.9665,569.9665,190.38,569.9672,192.4,33.33,-1.23,1.05,3971,3203,0.001,2781,1025,0.001,0.001,1433,0.001,0.001,0.001,0.001,0.001,0.001,0.001
4854,2.323,26.475,196.02,588.0114,588.0114,196.02,588.011045,197.4,20,0.6,0.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,525,0.001,0.001,3701,7752,0.001
5101,2.42,21.949,162.88,523.9863,523.9863,162.88,523.983745,164.4,20,4.88,0.92,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,394,3069,7638,0.001
6640,3.532,23.438,174.05,514.9806,514.9806,174.05,514.9807,174.4,20,-0.19,0.2,0.001,0.001,0.001,0.001,299,0.001,0.001,0.001,189,0.001,0.001,6930,0.001,0.001,0.001
7460,2.255,25.223,187.22,528.9675,528.9675,187.22,528.9682,187,33.33,-1.32,0.12,1479,0.001,0.001,0.001,2321,176,0.001,2025,0.001,270,0.001,0.001,0.001,0.001,0.001
7566,2.399,24.789,183.66,568.977,568.977,183.66,568.976945,183.6,73.33,0.1,0.03,546,606,415,514,763,239,461,1023,957,352,0.001,0.001,0.001,0.001,270
7856,2.946,28.373,209.55,668.9592,668.9592,209.55,668.957445,210.3,80,2.62,0.36,626,765,666,702,225,0.001,0.001,0.001,288,294,379,378,289,745,431
9440,2.931,22.889,170.03,505.9726,505.9726,170.03,505.973,170.5,66.67,-0.79,0.28,132,605,655,590,333,0.001,598,256,698,316,0.001,0.001,0.001,0.001,99
10250,3.388,26.104,193.48,563.0319,563.0319,193.48,563.032,193.6,53.33,-0.18,0.06,325,453,762,487,464,0.001,460,356,0.001,0.001,0.001,0.001,0.001,0.001,457
12192,3.443,23.461,174.23,513.9749,513.9749,174.23,513.977345,174.4,40,-4.76,0.1,478,0.001,189,0.001,688,0.001,0.001,706,539,0.001,0.001,0.001,0.001,0.001,199
13588,0.551,15.266,116.96,221.9941,221.9941,116.96,221.996245,116.9,66.67,-9.66,0.05,285,0.001,0.001,370,351,146,298,150,166,143,0.001,0.001,219,163,0.001
19792,1.183,20.019,150.72,328.9797,328.9797,150.72,328.981,151,40,-3.95,0.19,122,0.001,0.001,0.001,147,68,0.001,136,0.001,513,0.001,0.001,0.001,0.001,98
20672,2.504,25.059,185.99,528.97,528.97,185.99,528.9682,187,26.67,3.4,0.54,261,0.001,0.001,0.001,221,0.001,0.001,0.001,0.001,197,0.001,0.001,0.001,303,0.001
21830,3.1,22.936,170.38,505.9723,505.9723,170.38,505.973,170.5,40,-1.38,0.07,103,107,0.001,84,214,0.001,0.001,0.001,0.001,253,0.001,0.001,0.001,0.001,93
22777,2.404,24.481,181.36,568.9804,568.9804,181.36,568.976945,183.6,13.33,6.07,1.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,332,427,0.001
26244,1.839,22.411,167.25,428.9769,428.9769,167.25,428.9746,169,20,5.36,1.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,112,0.001,0.001,0.001,0.001,215,139
27021,2.558,25.155,186.71,528.9681,528.9681,186.71,528.9682,187,20,-0.19,0.16,111,0.001,0.001,0.001,0.001,0.001,0.001,110,0.001,185,0.001,0.001,0.001,0.001,0.001
28183,1.267,20.168,151.85,328.9801,328.9801,151.85,328.981,151,20,-2.74,0.56,0.001,0.001,0.001,0.001,67,129,111,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
