m/C,MD/C
60.302710888981984,-0.014795443973660435
60.567289111018034,-0.01482188795033473
60.831867333054106,-0.014840499555004136
61.096445555090156,-0.014851495176380588
61.36102377712622,-0.014855169406095416
61.625601999162285,-0.01485200724986387
61.89018022119835,-0.014842799224884733
62.15475844323441,-0.014828728001617997
62.419336665270464,-0.01481138579853247
62.68391488730652,-0.014792686597955077
62.805218508640735,-0.014784454940886118
62.94849310934259,-0.014775102046466267
63.21307133137866,-0.014760442432390736
63.47764955341472,-0.014749683806008405
63.742227775450786,-0.014743500280988944
64.00680599748685,-0.014741925915456257
64.2713842195229,-0.014744454690167507
64.53596244155896,-0.014750191889978984
64.80054066359503,-0.014758003209859044
65.0651188856311,-0.014766629783335141
65.32969710766716,-0.014774760870247334
65.59427532970321,-0.014781071960118986
65.85885355173927,-0.01478424331844492
66.12343177377534,-0.01478297507108834
66.3880099958114,-0.014776012452243801
66.65258821784747,-0.01476219014671756
66.91716643988352,-0.01474049791810461
67.1817446619196,-0.014710161076183139
67.44632288395565,-0.014670720230770921
67.71090110599171,-0.01462208868274387
67.71090110599171,-0.01462208868274387
67.97547932802777,-0.01456509232770832
68.24005755006384,-0.014499845920668084
68.38902874593643,-0.014459722424601622
68.5046357720999,-0.014427319500021301
68.76921399413595,-0.014348755120730021
68.93536329350184,-0.014297356166459378
69.03379221617203,-0.014265730935449843
69.29837043820808,-0.014180865868444173
69.44561077769416,-0.01413498990831713
69.56294866024415,-0.014098103054898297
69.82752688228021,-0.014022497044823161
70.03158763335861,-0.013972623650174886
70.09210510431626,-0.013958554952083667
70.35668332635234,-0.013910956225071637
70.62126154838839,-0.013879308311911797
70.88583977042445,-0.013863077228067424
71.15041799246052,-0.013860560988436379
71.41499621449658,-0.013869411604483026
71.67957443653265,-0.01388709953219355
71.9441526585687,-0.013911223926413556
72.20873088060478,-0.01393966098805378
72.47330910264083,-0.013970590079779214
72.49004047066127,-0.013972623650174886
72.73788732467689,-0.014003667383748464
73.00246554671295,-0.014035763834084915
73.267043768749,-0.014065398369585157
73.53162199078508,-0.014091253216390445
73.79620021282113,-0.014111981449735373
74.0607784348572,-0.014126123810813395
74.32535665689326,-0.014132026338415047
74.58993487892933,-0.014127743308732846
74.85451310096539,-0.014110897987589527
75.11909132300144,-0.014078453733103102
75.38366954503752,-0.014026312652461848
75.57222685451718,-0.013972623650174886
75.64824776707357,-0.01394555104069365
75.91282598910963,-0.01381423683441851
75.91906243691228,-0.01381025739203264
76.094044968135,-0.013647891133890392
76.1774042111457,-0.013497037464055705
76.18270637566323,-0.013485524875748146
76.2113295998887,-0.013323158617605899
76.19980149587623,-0.013160792359463654
76.1774042111457,-0.01307664867093384
76.15770985042526,-0.012998426101321407
76.09198683876073,-0.012836059843179162
76.00741989701623,-0.012673693585036915
75.91282598910963,-0.012522171298900637
75.90630570821655,-0.012511327326894668
75.79219564886682,-0.012348961068752422
75.66471025607774,-0.012186594810610176
75.64824776707357,-0.012167527557728769
75.52718066381004,-0.01202422855246793
75.38366954503752,-0.011868732561200416
75.3774342282047,-0.011861862294325683
75.21975704658169,-0.011699496036183437
75.11909132300144,-0.011602880289422225
75.0511529270156,-0.01153712977804119
74.8728787281884,-0.011374763519898946
74.85451310096539,-0.011358689419948559
74.68762610691837,-0.011212397261756699
74.58993487892933,-0.011130851024475814
74.49308457263243,-0.011050031003614453
74.32535665689326,-0.010915772486007889
74.29020316686666,-0.010887664745472207
74.08128987145379,-0.010725298487329959
74.0607784348572,-0.010709604399548696
73.8684947117802,-0.010562932229187713
73.79620021282113,-0.010508826884491073
73.65131190886048,-0.010400565971045467
73.53162199078508,-0.01031221281993588
73.43141401401702,-0.01023819971290322
73.267043768749,-0.010117499843649094
73.21047973908014,-0.010075833454760975
73.00246554671295,-0.009922639388073574
72.99008357779392,-0.009913467196618729
72.77437877568974,-0.00975110093847648
72.73788732467689,-0.009723275248566024
72.56304661027141,-0.009588734680334235
72.47330910264083,-0.009518906515977742
72.35576422941705,-0.009426368422191989
72.20873088060478,-0.009309177401833374
72.15281917882969,-0.009264002164049743
71.95500634161154,-0.009101635905907497
71.9441526585687,-0.009092465896707563
71.76601758360282,-0.00893926964776525
71.67957443653265,-0.008864403447770727
71.58043230150003,-0.008776903389623005
71.41499621449658,-0.008630356561316086
71.39748171650969,-0.008614537131480757
71.22106687889259,-0.008452170873338511
71.15041799246052,-0.00838739697377031
71.04649841775475,-0.008289804615196265
70.88583977042445,-0.008140793380381968
70.87178442056876,-0.008127438357054019
70.7007536594184,-0.007965072098911773
70.62126154838839,-0.007891191725246058
70.52875428633178,-0.007802705840769527
70.35668332635234,-0.007642123359874072
70.35482560379816,-0.007640339582627279
70.1830706052927,-0.007477973324485033
70.09210510431626,-0.007394430917431421
70.00896406224096,-0.007315607066342787
69.83306944450139,-0.007153240808200542
69.8275268822802,-0.0071482427026478895
69.65871768821209,-0.006990874550058295
69.56294866024415,-0.006903860765052651
69.48256107314043,-0.006828508291916049
69.30535496374215,-0.006666142033773803
69.29837043820808,-0.006659857559695456
69.129917325821,-0.006503775775631555
69.03379221617203,-0.006416489807251622
68.95321269891103,-0.006341409517489309
68.77567345661267,-0.006179043259347063
68.76921399413595,-0.006173200296200611
68.5997102204355,-0.006016677001204817
68.5046357720999,-0.005930419106497935
68.42206054094436,-0.005854310743062571
68.24261364515526,-0.005691944484920325
68.24005755006384,-0.005689643808747585
68.06363320213364,-0.0055295782267780775
67.97547932802777,-0.0054511272586123885
67.88140843464473,-0.0053672119686358315
67.71090110599171,-0.005218400684703115
