level,segment_id,m/C,MD/C
0.8,0.8_0,24.35,0.0008251989224685889
0.8,0.8_0,25.22,0.0008637127525644907
0.8,0.8_0,26.09,0.000962777235729297
0.8,0.8_0,26.67400477397959,0.0011
0.8,0.8_0,26.96,0.001197154355831567
0.8,0.8_0,27.45943142793276,0.0015
0.8,0.8_0,27.827188419063297,0.002
0.8,0.8_0,27.83,0.0020054874030715824
0.8,0.8_0,27.981793846379524,0.0024
0.8,0.8_0,28.058069159429074,0.0028
0.8,0.8_0,28.089715169683416,0.0033
0.8,0.8_0,28.10134745151518,0.0037
0.8,0.8_0,28.105112367778524,0.0041
0.8,0.8_0,28.105190948529852,0.0046
0.8,0.8_0,28.105611088262087,0.005
0.8,0.8_0,28.101340058111305,0.0054
0.8,0.8_0,28.072181776279784,0.0059
0.8,0.8_0,27.999704339156487,0.0063
0.8,0.8_0,27.889258290852435,0.0067
0.8,0.8_0,27.83,0.006979461914010346
0.8,0.8_0,27.76855090166358,0.0072
0.8,0.8_0,27.71241170892887,0.0076
0.8,0.8_0,27.779430200103697,0.008
0.8,0.8_0,27.83,0.008202989724147281
0.8,0.8_0,27.88684459767874,0.0085
0.8,0.8_0,27.913474756479776,0.0089
0.8,0.8_0,27.83,0.009093289044895713
0.8,0.8_0,27.718213451900493,0.0093
0.8,0.8_0,27.03030980024131,0.0098
0.8,0.8_0,26.96,0.00982116064028779
0.8,0.8_0,26.09,0.009988087627776336
0.8,0.8_0,25.220000000000002,0.010072453022456409
0.8,0.8_0,24.35,0.01010639719072334
0.9,0.9_0,24.35,-0.0014898828557727778
0.9,0.9_0,25.22,-0.0014832229040029135
0.9,0.9_0,26.090000000000003,-0.0014623028029240124
0.9,0.9_0,26.96,-0.0014100315127811903
0.9,0.9_0,27.83,-0.0012986980272211024
0.9,0.9_0,28.66993586406658,-0.0011
0.9,0.9_0,28.699999999999996,-0.0010919015296693068
0.9,0.9_0,29.57,-0.0007088218002972148
0.9,0.9_0,29.583651574925547,-0.0007
0.9,0.9_0,30.102373731448317,-0.00020000000000000004
0.9,0.9_0,30.43,0.0001626647571763101
0.9,0.9_0,30.455951194089682,0.0002
0.9,0.9_0,30.648017465401843,0.0007
0.9,0.9_0,30.765371248842698,0.0011
0.9,0.9_0,30.837590179246632,0.0015
0.9,0.9_0,30.890361282230213,0.002
0.9,0.9_0,30.941330018919373,0.0024
0.9,0.9_0,30.996511846781637,0.0028
0.9,0.9_0,31.052519569104795,0.0033
0.9,0.9_0,31.10059508294857,0.0037
0.9,0.9_0,31.129174030261844,0.0041
0.9,0.9_0,31.130256273468433,0.0046
0.9,0.9_0,31.107689801620758,0.005
0.9,0.9_0,31.07604947448421,0.005399999999999999
0.9,0.9_0,31.049899509819895,0.0059
0.9,0.9_0,31.035359387299764,0.0063
0.9,0.9_0,31.03164249759574,0.006699999999999999
0.9,0.9_0,31.03909811427652,0.0072
0.9,0.9_0,31.062692000153767,0.007600000000000001
0.9,0.9_0,31.10296020452907,0.008
0.9,0.9_0,31.144732015374757,0.0085
0.9,0.9_0,31.162374457955476,0.0089
0.9,0.9_0,31.13654799157449,0.0093
0.9,0.9_0,31.051078004693657,0.0098
0.9,0.9_0,30.84954758122931,0.0102
0.9,0.9_0,30.43,0.010643972964383793
0.9,0.9_0,30.35066402143215,0.0107
0.9,0.9_0,29.57,0.010987530917253545
0.9,0.9_0,29.01223141872373,0.0111
0.9,0.9_0,28.699999999999996,0.011177090923265433
0.9,0.9_0,27.83,0.011321726388305923
0.9,0.9_0,26.960000000000004,0.011407525088797086
0.9,0.9_0,26.09,0.01145604327287015
0.9,0.9_0,25.22,0.01148062416724141
0.9,0.9_0,25.179502633704736,0.011481380521243556
1.0,1.0_0,26.57498719529457,-0.0030787282731578
1.0,1.0_0,26.96,-0.003073687427588095
1.0,1.0_0,27.83,-0.00305578199931542
1.0,1.0_0,28.7,-0.0030207564790344452
1.0,1.0_0,29.57,-0.002958912909780777
1.0,1.0_0,30.43,-0.0028548641141371432
1.0,1.0_0,30.726461455587874,-0.0028
1.0,1.0_0,31.299999999999997,-0.0026566883599153175
1.0,1.0_0,31.83988665189439,-0.0023999999999999994
1.0,1.0_0,32.17,-0.0020768087576616715
