Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (%),35 2286 - Serum.d.DeMP, 38 2182 - Serum.d.DeMP, 41 2187 - Serum.d.DeMP, 44 2854 - Serum.d.DeMP, 47 2911 - Serum.d.DeMP, 125 1777 - Serum.d.DeMP, 128 1821 - Serum.d.DeMP, 131 1673 - Serum.d.DeMP, 134 1894 - Serum.d.DeMP, 137 3330 - Serum.d.DeMP, 80 2003 - Serum.d.DeMP, 83 2095 - Serum.d.DeMP, 86 2046 - Serum.d.DeMP, 89 2889 - Serum.d.DeMP, 92 3021 - Serum.d.DeMP
"2,2,3,3-Tetrafluoropropyl 4-(2H-tetrazol-5-yl)benzoate",External Targets,tentative,3108,5.185,19.228,145.74,303.055,13.01,N/A,N/A,0,0,0,53.999,168.999,0,114.999,193.999,221.999,550.999,0,0,100.999,132.999,0
Perfluoropentanesulfonic acid,External Targets,tentative,1117,7.14,18.852,142.16,348.9375,-6.58,N/A,N/A,1930.999,174.999,0,520.999,194.999,741.999,962.999,0,0,882.999,303.999,0,205.999,1225.999,0
"3,3,4,4,5,5,6,6,7,7,8,8-dodecafluoro-2-methyloctan-2-ol or 3,3,4,4,5,5,6,7,7,8,8,8-dodecafluoro-6-methyloctan-1-ol",External Targets,tentative,7630,9.243,21.662,163.25,359.033,5.37,N/A,N/A,49.999,0,56.999,0,0,0,0,0,0,0,77.999,0,0,0,0
6-Oxoperfluorooctanesulfonic acid,External Targets,tentative,6764,9.71,22.073,164.7,476.9268,-3.19,N/A,N/A,0,0,116.999,0,0,0,0,0,0,0,83.999,0,75.999,0,0
"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",External Targets,tentative,3813,10.091,22.006125,164.05875,498.92915,-2.13,N/A,N/A,3944.999,11881.999,41775.999,15925.999,3434.020465,7748.999,7936.999,20055.999,11736.999,2968.999,34672.999,49995.999,32793.999,13825.999,0
"1-Dodecanol, 7,7,8,8,9,9,10,10,11,11,12,12,12-tridecafluoro-5-iodo- or 11-H-Perfluoroundecanoic acid",External Targets,tentative,3427,10.368,22.304,165.76,544.9643,-3.6 or -1.74,N/A,N/A,0,0,0,126.999,0,144.999,139.999,171.999,0,138.999,146.999,145.999,132.999,127.999,0
"N-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctyl)sulfonyl]glycine",External Targets,tentative,3482,10.94,24.545,182.41,555.9496,-3.74,N/A,N/A,0,0,0,91.999,0,127.999,0,0,0,0,0,0,0,1028.999,0
17-H-Perfluoroheptadecanoic acid,External Targets,tentative,800,13.297,27.652,203.83,844.9461,-1.18,N/A,N/A,195.9739049,0,0,0,232.9739049,0,0,0,14.97390485,0,85.97390485,0,0,187.9739049,0
No Match,None,unmatched,6870,4.777,15.185,117.72,200.9955,,,,0,57.999,82.999,0,0,0,123.999,0,0,0,0,0,0,0,0
No Match,None,unmatched,2907,3.795,17.163,132.86,202.9964,,,,0,97.999,153.999,0,401.999,0,0,210.999,0,0,243.999,481.999,0,146.999,0
No Match,None,unmatched,1488,5.572,16.8,129.94,204.9446,,,,0,346.999,989.999,78.999,223.999,366.999,150.999,0,135.999,427.999,0,1131.999,420.999,132.999,496.999
No Match,None,unmatched,1197,3.319,16.764,129.65,205.9402,,,,310.999,364.999,278.999,404.999,227.999,400.999,587.999,379.999,237.999,1666.999,0,1192.999,0,271.999,289.999
No Match,None,unmatched,2287,5.571,16.819,129.98,206.9419,,,,0,300.999,0,0,136.999,262.999,0,0,119.999,327.999,97.999,711.999,321.999,0,291.999
No Match,None,unmatched,1606,3.321,16.774,129.64,207.9372,,,,215.999,246.999,158.999,202.999,224.999,316.999,445.999,270.999,157.999,1084.999,61.999,777.999,0,135.999,174.999
No Match,None,unmatched,1235,4.378,17.02,131.37,210.9451,,,,0,0,0,1027.999,444.999,899.999,1488.999,250.999,0,148.999,629.999,786.999,190.999,215.999,188.999
