ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
13599.0,1.9009999999999998,12.023,96.79749999999999,114.93465,0.0,643.4445555555556,834.4445555555556,0.0,0.0,0.0
9173.0,2.572,12.037,96.6075,114.93465,0.0,0.0,0.0,0.0,0.0,0.0
24138.0,4.854,15.203,122.4,114.9469,0.0,0.0,0.0,0.0,0.0,0.0
17253.0,0.915,16.298,131.25,114.9753,0.0,0.0,0.0,0.0,0.0,0.0
20585.0,3.417,15.073,121.33,115.0528,0.0,0.0,0.0,0.0,0.0,0.0
2434.0,4.926,13.407,107.79,115.9189,0.0,0.0,0.0,0.0,0.0,6758.443856080615
20048.0,4.811,15.193,122.11,116.9254,0.0,0.0,0.0,0.0,0.0,0.0
4219.0,2.04425,13.873,111.385,116.926425,0.0,0.0,528.4445555555556,0.0,0.0,896.0001111111112
18864.0,4.82,15.171,121.94,116.9271,0.0,0.0,0.0,0.0,0.0,0.0
24704.0,0.501,14.597,117.31,116.9306,0.0,0.0,0.0,0.0,0.0,0.0
14832.0,3.722,12.069,96.88,116.9308,0.0,0.0,0.0,0.0,0.0,0.0
6897.0,2.621,12.049,96.62333333333332,116.93195555555556,0.0,0.0,0.0,0.0,0.0,0.0
13621.0,1.311,12.045,96.525,116.9317,0.0,0.0,0.0,0.0,0.0,0.0
9926.0,0.688,12.049,96.705,116.9321,0.0,0.0,0.0,0.0,0.0,0.0
9789.0,1.699,3.933,31.16,116.9682,0.0,644.889,0.0,0.0,0.0,0.0
18346.0,1.9155000000000002,3.64,129.39000000000001,116.9688,0.0,0.0,0.0,0.0,0.0,0.0
23379.0,1.6013333333333335,12.925,130.30333333333334,116.9689,0.0,0.0,0.0,0.0,0.0,0.0
17737.0,1.101,16.623,129.325,116.9691,0.0,0.0,557.999,0.0,0.0,0.0
20132.0,1.7196000000000002,16.235,78.816,116.97170000000001,0.0,0.0,0.0,0.0,0.0,0.0
25173.0,2.0195,0.86,126.3975,116.9718,0.0,0.0,0.0,0.0,0.0,0.0
8748.0,1.755,14.289,84.09,116.972,0.0,0.0,0.0,0.0,0.0,0.0
20394.0,1.62,8.838,38.98,116.9728,0.0,0.0,0.0,0.0,0.0,0.0
24835.0,1.8940000000000001,0.294,34.855,116.974,0.0,0.0,0.0,0.0,0.0,0.0
24337.0,1.813,14.121,113.46,116.9745,0.0,0.0,0.0,0.0,0.0,0.0
25306.0,1.901,3.355,26.52,116.9746,0.0,0.0,0.0,0.0,0.0,0.0
21073.0,1.294,1.083,8.16,116.9753,0.0,0.0,0.0,0.0,0.0,0.0
24597.0,1.57,10.604,85.05,116.9767,0.0,0.0,0.0,0.0,0.0,0.0
24351.0,1.946,13.551,108.85,116.9777,0.0,0.0,0.0,0.0,0.0,0.0
25190.0,4.85,13.859,111.33,117.0164,0.0,0.0,0.0,0.0,0.0,0.0
22834.0,0.651,14.623,117.4,118.026,0.0,0.0,0.0,0.0,0.0,0.0
15114.0,3.811,13.877,111.3,118.9152,0.0,0.0,0.0,0.0,0.0,0.0
10183.0,2.6005000000000003,13.837,110.85,118.9157,0.0,0.0,0.0,0.0,0.0,0.0
6027.0,3.4665,13.825,110.86,118.91655,0.0,0.0,0.0,0.0,0.0,0.0
23103.0,1.878,11.202,89.72,118.9652,0.0,0.0,0.0,0.0,0.0,0.0
22864.0,1.039,3.834,30.3,118.9653,0.0,0.0,0.0,0.0,0.0,0.0
23782.0,1.5936666666666668,9.825,50.52666666666667,118.96570000000001,0.0,0.0,727.999,0.0,0.0,0.0
11740.0,1.4336666666666666,28.585,112.5,118.96639999999998,0.0,0.0,0.0,0.0,0.0,0.0
16860.0,1.5577142857142856,8.597,114.66999999999999,118.96709999999999,0.0,0.0,0.0,0.0,0.0,0.0
23956.0,1.717,16.137,116.19,118.9688,0.0,0.0,0.0,0.0,0.0,0.0
24282.0,1.3900000000000001,16.818,125.47,118.9691,0.0,0.0,0.0,0.0,0.0,0.0
23853.0,1.955,7.097,56.64,118.9694,0.0,0.0,0.0,0.0,0.0,0.0
22388.0,0.8055,8.194,87.505,118.9701,0.0,0.0,0.0,0.0,0.0,0.0
23136.0,0.977,2.158,16.81,118.9705,0.0,0.0,0.0,0.0,0.0,0.0
23163.0,1.176,1.201,9.1,118.9709,0.0,0.0,0.0,0.0,0.0,0.0
22155.0,0.965,0.965,7.17,118.9713,0.0,0.0,0.0,0.0,0.0,0.0
24561.0,0.803,9.274,74.21,118.9738,0.0,0.0,0.0,0.0,0.0,0.0
22396.0,1.2115,14.81,118.89,118.9902,756.925207552665,0.0,0.0,0.0,0.0,0.0
5448.0,1.013,15.202,121.97,119.0472,1224.999,1142.999,0.0,0.0,0.0,1363.999
16716.0,1.935,15.2,121.96,119.0473,0.0,0.0,0.0,0.0,0.0,0.0
24890.0,0.688,11.763,94.17,119.9428,0.0,0.0,0.0,0.0,0.0,0.0
23811.0,0.64,3.848,30.42,119.9437,0.0,0.0,0.0,0.0,0.0,0.0
18809.0,0.752,7.872,62.83,119.9438,0.0,0.0,0.0,0.0,0.0,0.0
24977.0,1.711,12.536,100.41,119.945,0.0,0.0,0.0,0.0,0.0,0.0
22614.0,0.728,12.341,98.85,119.9451,0.0,0.0,0.0,0.0,0.0,0.0
21397.0,1.1905000000000001,2.947,127.92500000000001,119.9455,0.0,0.0,0.0,0.0,0.0,0.0
21741.0,0.735,8.648,71.28,119.946,0.0,0.0,0.0,0.0,0.0,0.0
25011.0,1.53,4.499,35.68,119.9464,0.0,0.0,0.0,0.0,0.0,0.0
3945.0,0.913,16.351,131.14,119.994,0.0,0.0,0.0,0.0,0.0,0.0
25096.0,0.996,16.408,131.6,119.9975,0.0,0.0,0.0,0.0,0.0,0.0
1917.0,1.843,14.873,119.14,121.0271,1960.76939572463,2367.76939572463,3789.7693957246292,4165.769395724629,979.7693957246299,0.0
4532.0,1.0470000000000002,14.871,119.295,121.0276,0.0,0.0,0.0,0.0,0.0,1958.8466076638488
4211.0,0.652,14.842,118.89,121.0277,0.0,0.0,0.0,0.0,0.0,0.0
16689.0,0.559,14.932,119.51,122.0301,0.0,0.0,0.0,0.0,0.0,0.0
12339.0,0.762,15.056,120.52,122.0334,0.0,551.999,0.0,0.0,0.0,0.0
17233.0,2.0063333333333335,15.6,124.50333333333333,122.0696,0.0,0.0,0.0,0.0,0.0,0.0
15929.0,2.678,15.495,124.19999999999999,122.07055,0.0,0.0,0.0,0.0,0.0,0.0
9249.0,1.711,14.76,118.04,123.0061,0.0,0.0,563.999,587.999,0.0,0.0
18576.0,0.666,15.208,121.64,123.0427,0.0,0.0,0.0,0.0,0.0,0.0
16012.0,1.46,15.458,123.66,123.0435,0.0,0.0,0.0,0.0,0.0,506.999
21883.0,1.526,15.426,123.39,123.0493,0.0,0.0,0.0,0.0,0.0,0.0
5362.0,2.385090909090909,12.114,96.71272727272726,123.89967272727273,2648.7768888888886,5546.88711111111,1650.1102222222223,6920.775,5051.775888888889,7736.330666666667
5431.0,1.1533333333333333,12.112,96.70666666666666,123.9002,0.0,0.0,0.0,0.0,0.0,0.0
24346.0,0.668,11.882,94.84,123.9986,0.0,0.0,0.0,0.0,0.0,0.0
25227.0,0.66,13.269,105.98,123.9989,0.0,0.0,0.0,0.0,0.0,0.0
19141.0,0.886,7.331,58.84,124.0033,0.0,0.0,0.0,0.0,0.0,0.0
24990.0,0.818,4.929,39.01,124.0059,0.0,0.0,0.0,0.0,0.0,0.0
24239.0,0.683,4.804,38.0,124.0066,0.0,0.0,0.0,0.0,0.0,0.0
15034.0,0.602,16.113,128.82,124.0124,0.0,0.0,0.0,0.0,0.0,518.999
23770.0,2.09,12.163,97.03,124.9033,0.0,0.0,0.0,0.0,0.0,0.0
9069.0,0.554,15.739,125.73,124.9778,0.0,0.0,919.999,906.999,0.0,0.0
5897.0,0.8985000000000001,12.13,96.625,125.89695,0.0,0.0,0.0,0.0,0.0,0.0
9447.0,2.615,12.15,95.88,125.8969,0.0,1009.999,697.999,0.0,0.0,0.0
4181.0,2.393,12.159,96.801,125.89752999999999,1075.999,2847.227092233448,2037.3898983878862,2666.389898387886,0.0,5103.554777777777
4007.0,0.6245,11.459,91.155,126.90235000000001,0.0,738.9831071699468,1989.983107169947,1112.9831071699468,0.0,0.0
4788.0,1.434,15.072,120.06,126.99385000000001,0.0,0.0,1597.999,879.999,1115.999,1315.999
15185.0,1.243,12.156,96.77,127.8935,0.0,0.0,0.0,0.0,0.0,0.0
8929.0,0.582,12.134,96.59,127.8942,0.0,0.0,0.0,0.0,0.0,0.0
9698.0,2.3106,12.181,96.85400000000001,127.89522,0.0,0.0,0.0,0.0,0.0,0.0
8594.0,1.494,12.164,96.84,127.8951,0.0,0.0,0.0,0.0,0.0,0.0
17280.0,0.576,12.178,96.96,127.8956,0.0,0.0,0.0,0.0,0.0,0.0
11736.0,1.32,15.093,120.2,128.9898,0.0,0.0,0.0,0.0,541.999,0.0
24069.0,0.783,16.425,130.77,130.0844,0.0,0.0,0.0,0.0,0.0,0.0
9858.0,3.0506666666666664,12.826,101.89333333333333,130.92863333333332,0.0,0.0,0.0,0.0,0.0,0.0
15093.0,1.9785,12.8,101.805,130.92880000000002,0.0,0.0,0.0,0.0,0.0,0.0
16260.0,1.476,12.804,101.76,130.9299,0.0,0.0,0.0,0.0,0.0,0.0
23063.0,0.547,16.233,129.14,131.0802,0.0,0.0,0.0,0.0,0.0,0.0
18663.0,0.602,15.609,124.08,132.0546,0.0,0.0,0.0,0.0,0.0,0.0
21244.0,2.5965,13.811,109.4,132.89745,0.0,0.0,0.0,0.0,0.0,0.0
5813.0,4.79,13.793,109.52,132.8982,0.0,0.0,0.0,0.0,0.0,0.0
23620.0,1.6393333333333333,12.79,101.62666666666667,132.9262666666667,0.0,0.0,0.0,0.0,0.0,0.0
17881.0,2.6496666666666666,12.859,101.90666666666668,132.92663333333334,0.0,0.0,0.0,0.0,0.0,0.0
17069.0,2.442,12.816,101.71,132.9272,0.0,0.0,0.0,0.0,0.0,0.0
9749.0,0.913,16.322,129.69,132.9973,0.0,0.0,0.0,0.0,0.0,0.0
1653.0,0.561,16.469,130.85,133.0634,0.0,0.0,11482.999,1572.999,4224.999,9627.999
19520.0,0.8975,16.392,130.01,134.0002,0.0,0.0,0.0,0.0,0.0,0.0
7021.0,0.553,15.221,120.83,134.0003,0.0,0.0,0.0,0.0,0.0,0.0
16171.0,0.637,15.164,120.37,134.0214,0.0,0.0,0.0,0.0,0.0,0.0
10061.0,1.67425,13.787,109.365,134.89195,2309.998,2234.9970000000003,0.0,0.0,4202.996,7434.999
3363.0,2.1105,13.8,109.35833333333333,134.89231666666666,3652.7410144312585,6511.741014431258,563.999,2791.742014431258,3519.9979999999996,0.0
3034.0,3.623,13.819,109.58,134.893,0.0,0.0,0.0,0.0,0.0,8760.00011111111
16064.0,0.604,15.744,125.15666666666668,135.04276666666667,0.0,0.0,921.4343538091753,624.4343538091753,0.0,0.0
7080.0,0.531,16.649,132.275,135.0789,713.999,546.999,3457.999,696.999,2149.999,2352.998
22811.0,0.885,13.748,108.94,135.8918,0.0,0.0,0.0,0.0,0.0,0.0
15981.0,4.456,13.811,109.45,135.8928,0.0,0.0,0.0,0.0,0.0,0.0
21018.0,2.1933333333333334,14.442,114.44999999999999,135.96876666666665,0.0,0.0,0.0,0.0,0.0,0.0
12239.0,3.599,14.456,114.58,135.9688,0.0,0.0,0.0,0.0,0.0,0.0
16812.0,0.522,15.237,120.8,136.013,0.0,0.0,0.0,0.0,0.0,0.0
1555.0,1.0130000000000001,18.327,135.32333333333335,136.01393333333334,6232.998,7127.998,7816.998,6622.999,2680.999,4054.999
11636.0,1.176,13.686,108.20666666666666,136.9922,2183.696663116481,0.0,0.0,0.0,0.0,0.0
16057.0,0.558,15.227,120.64,137.0206,0.0,0.0,0.0,0.0,0.0,571.999
9796.0,1.9192500000000001,18.374,133.45999999999998,137.02165,11839.998,13439.998,18338.998,18482.998,6964.998,11927.997
4378.0,0.6706666666666666,15.166,120.35000000000001,138.01656666666668,2375.7768888888886,2174.7768888888886,1326.999,1725.999,3451.7768888888886,2175.7768888888886
18637.0,1.012,17.052,133.61,140.97115,0.0,0.0,0.0,0.0,0.0,0.0
6650.0,0.921,16.285,128.76,140.9727,534.999,0.0,755.999,609.999,0.0,0.0
21640.0,1.88,5.708,44.74,141.0118,0.0,0.0,0.0,0.0,0.0,0.0
20857.0,1.078,3.606,28.04,141.012,0.0,0.0,0.0,0.0,0.0,0.0
