ID,RT,DT,CCS,m/z,Z,Ions,Freq.,Q Score,Sat.,Mark, 41 B1 218.d.DeMP
32925,1.696,6.185,50.48,94.9251,-1,1,4,97.8,,FALSE,134.999
32927,0.721,17.407,143.1,94.926,-1,1,5,59.1,,FALSE,138.999
32928,4.013,33.683,249.46,593.9785,-1,1,3,73.3,,FALSE,255.999
32938,0.43,24.576,184.17,380.1756,-1,1,3,98.6,,FALSE,293.999
32940,3.476,46.631,342,1085.8042,-1,1,4,59.9,,FALSE,216.999
32946,2.927,32.339,241.87,411.2444,-1,1,5,57.1,,FALSE,120.999
32956,4.625,41.523,305.18,918.6202,-1,1,3,98.7,,FALSE,102.999
32965,1.69,50.261,398.54,141.0149,-1,1,4,87.4,,FALSE,205.999
32968,0.51,25.126,186.79,494.9056,-1,1,4,99.7,,FALSE,141.999
32969,1.584,27.684,207.87,362.2792,-1,1,3,97.2,,FALSE,244.999
32970,2.906,42.142,309.73,920.5956,-1,1,3,66.3,,FALSE,221.999
32996,3.65,29.753,221.92,447.6282,-1,1,4,67.4,,FALSE,144.999
33002,1.55,25.425,190.94,359.1058,-1,1,4,88,,FALSE,102.999
33006,4.239,40.231,295.85,882.3254,-1,1,3,43.9,,FALSE,197.999
33033,0.382,23.923,182.58,246.0756,-1,1,3,99.7,,FALSE,109.999
33054,0.835,38.907,342.03,59.0147,-1,1,4,88.5,,FALSE,118.999
33059,2.725,27.329,203.75,451.0969,-1,1,3,69.7,,FALSE,141.999
33080,1.849,25.583,192.69,332.2323,-1,1,3,72,,FALSE,149.999
33084,1.343,28.699,252.15,59.0123,-1,1,4,94.1,,FALSE,194.999
33088,4.183,24.363,183.71,321.2821,-1,1,3,96.9,,FALSE,354.999
33094,3.88,31.747,235.85,519.5806,-1,1,5,62.7,,FALSE,189.999
33096,3.874,44.515,326.9,986.7748,-1,2,3,43.8,,FALSE,156.7778888888889
33097,4.193,45.574,334.5,1026.8163,-1,2,4,54.8,,FALSE,166.999
33119,2.322,25.178,189.27,349.2372,-1,1,3,70,,FALSE,217.999
33132,2.996,32.602,241.81,556.1727,-1,1,3,60.2,,FALSE,143.999
33135,4.184,36.289,267.79,714.7621,-1,2,4,61.7,,FALSE,135.999
33154,0.808,33.815,279.21,92.9282,-1,1,5,86.1,,FALSE,218.999
33155,0.628,42.401,326.56,213.0236,-1,1,3,97.3,,FALSE,184.999
33163,3.302,30.611,227.49,512.3523,-1,1,3,85.7,,FALSE,236.999
33164,0.82,28.251,208.66,662.9118,-1,1,5,89.2,,FALSE,144.999
33167,1.044,31.998,236.8,611.3113,-1,1,3,99,,FALSE,149.999
33171,0.436,33.136,243.57,884.9623,-1,1,4,80.9,,FALSE,153.999
33173,0.644,23.944,178.25,468.8717,-1,1,4,88.8,,FALSE,102.999
33182,2.987,28.225,210.22,468.2531,-1,1,3,72.7,,FALSE,262.999
33192,3.713,33.261,246.3,597.4435,-1,1,3,61.8,,FALSE,270.999
33201,0.423,25.894,193.57,411.2073,-1,1,3,93.6,,FALSE,200.999
33212,1.036,25.294,189.6,378.1061,-1,1,3,93.6,,FALSE,233.999
33220,3.602,38.482,283.88,731.5524,-1,1,4,80.9,,FALSE,180.999
33221,3.058,29.014,216.54,437.4631,-1,1,4,90.8,,FALSE,116.999
33224,1.936,30.203,224.78,484.3344,-1,1,4,93.6,,FALSE,172.999
33231,3.347,36.647,270.85,663.4851,-1,1,3,81.4,,FALSE,198.999
33236,1.136,26.211,193.81,622.8365,-1,1,5,65.2,,FALSE,127.999
33277,3.607,27.688,204.75,625.0704,-1,1,4,81.9,,FALSE,165.999
33278,4.346,37.619,277.2,775.2362,-1,1,3,37,,FALSE,143.999
33279,3.797,33.288,246.07,647.3579,-1,1,4,55.8,,FALSE,162.999
33280,2.644,24.464,181.16,578.6107,-1,1,3,77.8,,FALSE,119.999
33284,0.461,7.087,57.94,94.929,-1,1,5,77.7,,FALSE,131.999
33303,2.253,19.621,149.25,259.9833,-1,1,4,65.4,,FALSE,183.999
33304,3.783,32.885,244.66,493.3944,-1,1,3,77.8,,FALSE,234.999
33306,2.088,27.453,203.43,568.9651,-1,1,5,80.6,,FALSE,0.2223333333333244
33313,1.811,31.662,260.74,94.9259,-1,1,5,93.5,,FALSE,166.999
33315,0.361,29.609,218.33,726.8258,-1,1,4,81.2,,FALSE,123.999
33321,4.056,27.889,208.28,428.1111,-1,1,3,94,,FALSE,260.999
33332,3.943,29.701,221.5,450.0666,-1,2,3,59.2,,FALSE,111.999
33339,2.574,30.238,224.21,559.2067,-1,1,3,59,,FALSE,297.999
33349,2.039,32.09,264.29,94.9246,-1,1,4,84.9,,FALSE,277.999
33351,2.275,27.913,208.16,449.2497,-1,1,5,94.3,,FALSE,154.999
33354,3.365,20.406,155.73,244.0322,-1,1,5,99.2,,FALSE,127.999
33363,2.301,32.725,243.53,489.2676,-1,1,3,52.6,,FALSE,195.999
33368,4.338,35.485,262.24,663.4189,-1,1,4,47.1,,FALSE,100.999
33375,2.52,42.994,315.42,1050.5648,-1,2,3,79.4,,FALSE,284.999
33378,0.7,27.254,202.12,550.9504,-1,1,4,71.5,,FALSE,167.999
33384,3.788,23.098,175.1,282.5941,-1,1,3,72.7,,FALSE,185.999
33387,1.367,24.363,192.9,141.0161,-1,1,3,35.4,,FALSE,337.999
33399,1.071,36.555,269.22,801.1357,-1,1,4,53.8,,FALSE,140.999
33415,0.523,16.398,127.17,183.0062,-1,1,4,98.2,,FALSE,104.999
33423,1.637,33.332,246.23,671.3485,-1,1,3,98,,FALSE,132.999
33452,1.346,15.254,114.24,369.171,-1,1,3,88,,FALSE,180.999
33457,1.526,21.342,161.6,288.6125,-1,1,3,53.8,,FALSE,355.999
33465,0.437,32.658,240.17,860.9158,-1,1,5,51.5,,FALSE,175.999
33480,1.95,47.674,393.86,92.9273,-1,1,5,89.3,,FALSE,140.999
33483,2.95,23.869,176.71,581.9745,-1,1,4,71.3,,FALSE,111.999
33488,1.461,22.326,166.76,416.9,-1,1,3,34.1,,FALSE,258.999
33500,4.538,36.47,269.07,722.9201,-1,3,4,62.8,,FALSE,97.22233333
33502,2.963,28.181,209.64,489.2262,-1,1,3,93.9,,FALSE,289.999
33503,2.741,34.307,253.64,645.4395,-1,1,5,45.7,,FALSE,140.999
33511,0.65,22.503,170.53,284.1973,-1,1,4,68.7,,FALSE,165.999
33520,0.266,23.625,175.09,556.5981,-1,1,4,58.3,,FALSE,157.999
33527,1.47,30.296,227.38,369.1745,-1,1,4,79.7,,FALSE,141.999
33528,0.371,26.596,200.26,335.0344,-1,1,3,98.6,,FALSE,151.999
33537,3.89,28.01,208.55,473.0613,-1,1,3,64.4,,FALSE,214.999
33542,0.48,16.449,129.98,142.0647,-1,1,4,96.4,,FALSE,146.999
33551,4.496,33.704,249.78,577.9,-1,1,5,59.9,,FALSE,156.999
33554,3.51,28.844,239.27,89.0245,-1,1,3,99.3,,FALSE,152.999
33558,3.407,31.952,931.3,513.6082,-4,2,3,42.3,,FALSE,196.999
33559,1.732,25.174,187.18,492.9085,-1,1,3,43.4,,FALSE,270.999
33569,1.745,33.538,247.12,773.1543,-1,1,3,81,,FALSE,354.999
33575,2.136,25.017,187,410.8806,-1,1,3,75.9,,FALSE,195.999
33580,4.286,37.053,273.21,747.8093,-1,3,3,52.5,,FALSE,301.7778888888889
33584,3.366,28.908,215.31,468.3344,-1,1,4,61.4,,FALSE,145.999
33586,3.384,35.649,263.04,715.3775,-1,1,4,65.4,,FALSE,186.999
33590,4.008,36.354,267.92,769.3161,-1,1,3,71.5,,FALSE,194.999
33599,1.119,11.394,85.21,369.1755,-1,1,3,74.7,,FALSE,243.999
33602,3.777,35.31,260.91,666.4779,-1,1,3,43.2,,FALSE,177.999
33612,1.515,28.983,213.01,879.6672,-1,1,4,79.7,,FALSE,140.999
33616,3.712,29.876,222.84,447.688,-1,1,4,68.2,,FALSE,185.999
33623,2.941,28.553,212.69,466.4125,-1,1,3,73.9,,FALSE,198.999
33635,1.202,27.822,207.39,454.1588,-1,1,3,70.9,,FALSE,114.999
33643,1.517,23.433,177.16,301.2344,-1,1,3,99,,FALSE,257.999
33644,3.548,31.526,233.95,542.4155,-1,1,3,82.4,,FALSE,325.999
33648,1.493,29.862,221.65,538.2514,-1,1,3,76.6,,FALSE,141.999
33658,0.838,33.047,260,154.0628,-1,1,5,84.2,,FALSE,161.999
33660,1.801,29.5,219.15,518.2497,-1,1,4,71.8,,FALSE,125.999
33676,4.314,33.575,248.65,595.0042,-1,1,3,61.9,,FALSE,244.999
33678,3.161,37.116,274.46,643.3898,-1,1,3,84.7,,FALSE,191.999
33689,1.866,27.315,203.39,471.2783,-1,1,3,79.4,,FALSE,261.999
33691,1.897,29.481,220.09,434.3337,-1,1,3,92.8,,FALSE,106.999
33692,3.631,35.555,262.73,663.3997,-1,1,3,99.4,,FALSE,212.999
33693,0.314,23.807,180.26,290.8473,-1,1,4,91.2,,FALSE,150.999
33695,4.705,38.03,280.53,732.5723,-1,1,4,78.7,,FALSE,17.00011111111111
33706,4.655,35.334,260.71,719.3439,-1,1,4,83.5,,FALSE,108.999
33709,0.237,20.559,155.99,275.0883,-1,1,3,84.1,,FALSE,192.999
33714,0.375,27.408,210.42,222.0299,-1,1,4,96.6,,FALSE,106.999
33724,3.48,28.81,215.26,421.4666,-1,1,4,99.4,,FALSE,154.999
33735,4.366,36.811,271.41,748.1418,-1,1,4,55.2,,FALSE,155.999
33743,3.195,33.948,251.18,620.4659,-1,1,3,48.2,,FALSE,303.999
33754,0.442,3.617,29.38,92.9279,-1,1,3,74.9,,FALSE,237.44455555555558
33764,1.546,28.872,216.67,369.1777,-1,1,3,82.6,,FALSE,159.999
33769,1.483,41.494,305.21,881.5215,-1,1,3,97.2,,FALSE,101.999
33776,0.938,25.032,187.26,401.1857,-1,1,5,70.7,,FALSE,112.7778888888889
33782,2.607,30.46,225.93,553.2177,-1,1,4,63.2,,FALSE,136.999
33783,1.324,32.303,238.71,655.3188,-1,1,3,74.5,,FALSE,296.999
33795,1.123,33.969,251.64,587.3282,-1,1,3,38.3,,FALSE,291.999
33796,2.027,25.097,186.5,504.7432,-1,1,3,97.1,,FALSE,152.999
33815,2.158,30.635,227.27,549.2881,-1,1,3,41.1,,FALSE,205.999
33816,3.394,30.504,227.1,480.3147,-1,1,3,55.4,,FALSE,187.999
33821,1.891,29.418,218.16,556.2983,-1,1,3,52.2,,FALSE,154.999
33822,2.708,22.452,170.34,277.1883,-1,1,4,92.1,,FALSE,146.11122222222224
33825,3.184,35.35,261.23,661.4723,-1,3,4,52.5,,FALSE,210.999
33832,4.459,28.516,213.47,396.358,-1,1,5,85.8,,FALSE,116.999
33833,2.301,35.348,260.54,760.259,-1,1,3,76.7,,FALSE,138.999
33855,3.153,40.529,298.22,849.5845,-1,2,3,64.3,,FALSE,314.999
33880,0.414,28.104,209.26,473.1979,-1,1,3,99.4,,FALSE,204.999
33883,2.871,30.05,223.89,464.4635,-1,1,5,98,,FALSE,114.999
33900,0.995,27.42,204.04,482.3003,-1,1,3,98.9,,FALSE,165.999
33921,1.514,12.765,101.33,132.9289,-1,1,4,97.9,,FALSE,182.999
33922,2.266,32.276,238.65,639.2528,-1,1,4,81.3,,FALSE,155.999
33927,0.527,30.052,221.37,768.8776,-1,1,4,87.9,,FALSE,131.999
33928,0.441,30.847,255.92,89.0242,-1,1,3,96.3,,FALSE,240.999
33935,1.833,27.824,207.22,469.1978,-1,1,4,67.4,,FALSE,206.999
33947,3.791,29.688,221.42,447.571,-1,1,3,75.2,,FALSE,150.999
33948,0.479,31.892,234.79,802.8781,-1,1,5,56.6,,FALSE,104.999
33949,2.194,26.049,192.96,574.4125,-1,1,3,62.6,,FALSE,260.999
33972,0.648,26.468,196.21,556.8926,-1,1,3,99.6,,FALSE,144.999
33973,2.175,21.546,162.94,297.1575,-1,1,5,69.8,,FALSE,132.999
33983,1.813,31.402,232.81,565.3031,-1,1,4,74,,FALSE,114.999
33989,3.578,28.1,206.33,930.941,-1,1,4,71.6,,FALSE,134.999
34009,3.62,34.161,254.56,466.3094,-1,1,3,58.7,,FALSE,218.999
34021,4.387,28.712,213.61,488.2438,-1,1,4,81.4,,FALSE,177.999
34025,1.219,24.292,182.78,339.2189,-1,1,3,86.3,,FALSE,120.999
34035,2.338,30.631,224.95,930.948,-1,1,3,72.5,,FALSE,195.999
34036,4.315,37.262,274.64,762.9598,-1,1,4,43.1,,FALSE,145.999
34054,2.563,33.598,248.71,606.247,-1,1,3,67.6,,FALSE,374.6667777777778
34060,0.68,42.87,376.97,59.0134,-1,1,5,98,,FALSE,104.999
34063,2.486,27.526,205.27,449.2093,-1,1,3,70.4,,FALSE,198.999
34065,1.061,9.022,71.09,141.0181,-1,1,3,75.9,,FALSE,248.999
34099,3.108,38.085,281.53,659.5153,-1,1,4,87.4,,FALSE,196.999
34103,3.328,29.148,217,478.0049,-1,1,3,57.5,,FALSE,148.999
34105,1.645,32.059,237.69,567.3162,-1,1,3,91.4,,FALSE,241.999
34110,1.386,33.934,250.59,681.335,-1,1,3,81,,FALSE,223.999
34122,0.432,38.713,300.4,188.0086,-1,1,3,77.5,,FALSE,115.999
34133,3.396,31.943,237.4,512.8674,-1,1,3,58.7,,FALSE,253.999
34144,2.938,34.988,258.6,655.453,-1,1,4,73.4,,FALSE,169.999
34150,3.848,32.897,244.17,540.5885,-1,1,3,57.8,,FALSE,320.999
34156,2.839,29.213,217.18,503.0179,-1,1,3,50.3,,FALSE,120.999
34171,1.455,24.455,183.79,351.1861,-1,1,3,97.9,,FALSE,238.999
34179,4.267,37.091,273.49,747.3799,-1,1,3,50,,FALSE,305.889
34191,1.27,29.308,217.37,552.2286,-1,1,4,98.1,,FALSE,159.999
34195,2.28,15.323,115.02,346.8725,-1,1,6,88.8,,FALSE,5.444555555555581
34207,0.576,22.693,168.62,498.8198,-1,1,5,82.7,,FALSE,108.999
34216,1.191,25.341,189.71,393.1221,-1,1,3,96.3,,FALSE,124.999
