,Name,Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%)
498,No Match,unmatched,109.73666666666668,9.176333333333334,96.9754,31559.0,100.0,100.0
499,No Match,unmatched,109.84142857142857,10.708999999999998,96.97591429,20360.0,100.0,100.0
500,No Match,unmatched,110.34499999999998,9.504833333333336,96.97616666666666,39264.0,100.0,100.0
501,No Match,unmatched,108.76,2.728,96.9757,61430.0,100.0,100.0
502,No Match,unmatched,109.1975,4.95525,96.976075,40591.0,100.0,100.0
503,No Match,unmatched,110.25,5.692,96.9766,45701.0,100.0,100.0
504,No Match,unmatched,112.71,6.961,96.9771,83787.0,100.0,100.0
505,No Match,unmatched,109.45,5.039,96.9772,52430.0,100.0,100.0
506,No Match,unmatched,111.74,9.722,97.9292,95844.0,100.0,100.0
507,No Match,unmatched,111.75,11.709,97.9313,82958.0,100.0,100.0
508,No Match,unmatched,111.74,9.603,97.932,69491.0,100.0,100.0
509,No Match,unmatched,111.7,11.042,97.9322,84420.0,100.0,100.0
510,No Match,unmatched,104.04,9.6078,98.95624,49575.0,100.0,100.0
511,No Match,unmatched,104.20666666666666,8.421666666666667,98.95623333333332,68501.0,100.0,100.0
512,No Match,unmatched,104.19,9.7315,98.9558,49333.0,100.0,100.0
513,No Match,unmatched,104.0725,7.46425,98.956,18633.0,100.0,100.0
514,No Match,unmatched,104.04153846153848,9.606230769,98.95622307692308,26664.0,100.0,100.0
515,No Match,unmatched,104.14833333333335,8.200000000000001,98.9563,17339.0,100.0,100.0
516,No Match,unmatched,104.18,9.5485,98.9567,33193.0,100.0,100.0
517,No Match,unmatched,104.02,8.249,98.9568,30019.0,100.0,100.0
518,No Match,unmatched,103.99,5.978,98.957,31867.0,100.0,100.0
519,No Match,unmatched,103.79,2.709,98.9574,71186.0,100.0,100.0
520,No Match,unmatched,103.94,5.263,98.9575,38686.0,100.0,100.0
521,No Match,unmatched,108.03333333333336,7.034666666666666,98.972,50621.0,100.0,100.0
522,No Match,unmatched,107.86,5.381,98.9717,39554.0,100.0,100.0
523,No Match,unmatched,108.49,9.069,98.972,69257.0,100.0,100.0
524,No Match,unmatched,107.93,6.064,98.9721,40627.0,100.0,100.0
525,No Match,unmatched,108.18333333333334,7.873666666666666,98.9722,62511.0,100.0,100.0
526,No Match,unmatched,107.86,9.274,98.9723,28898.0,100.0,100.0
527,No Match,unmatched,107.815,9.091833333333334,98.9724,92778.0,100.0,100.0
528,No Match,unmatched,109.245,5.1205,98.973,93747.0,100.0,100.0
529,No Match,unmatched,106.72,9.039,98.9757,93871.0,100.0,100.0
530,No Match,unmatched,108.31,7.161,98.9759,92504.0,100.0,100.0
531,No Match,unmatched,112.14,4.439500000000001,99.92475,41897.0,100.0,100.0
532,No Match,unmatched,111.54,8.405000000000001,99.92538333333334,19245.0,100.0,100.0
533,No Match,unmatched,111.59125,8.70825,99.9254125,29724.0,100.0,100.0
534,No Match,unmatched,110.71,10.603,99.9251,21614.0,100.0,100.0
535,No Match,unmatched,111.74666666666668,5.880333333333333,99.9252,19022.0,100.0,100.0
536,No Match,unmatched,111.74666666666668,6.809666666666666,99.9254,22989.0,100.0,100.0
537,No Match,unmatched,111.65764705882354,7.981411764705882,99.92580588235296,11963.0,100.0,100.0
538,No Match,unmatched,111.575,8.4925,99.92601,12655.0,100.0,100.0
539,No Match,unmatched,111.65941176470588,7.325941176470588,99.92604705882351,14292.0,100.0,100.0
540,No Match,unmatched,111.6412,7.797960000000001,99.926144,5872.0,100.0,100.0
541,No Match,unmatched,111.61470588235296,5.744941176470588,99.92635882,11235.0,100.0,100.0
542,No Match,unmatched,111.72285714285714,6.383000000000001,99.9264,7533.0,100.0,100.0
543,No Match,unmatched,111.69,7.882666666666666,99.9269,53176.0,100.0,100.0
544,No Match,unmatched,111.62166666666668,9.272666666666666,100.92650000000002,95761.0,100.0,100.0
545,No Match,unmatched,111.42,12.474,100.9276,62644.0,100.0,100.0
546,No Match,unmatched,120.28,0.643,106.0664,69243.0,100.0,100.0
547,No Match,unmatched,122.53,2.391,107.0503,1520.0,100.0,100.0
548,No Match,unmatched,124.47166666666668,1.6753333333333331,107.05073333333333,58541.0,100.0,100.0
549,No Match,unmatched,120.545,3.9845,107.051,13147.0,100.0,100.0
550,No Match,unmatched,116.6190909090909,1.190090909090909,108.02253636363636,5419.0,100.0,100.0
551,No Match,unmatched,115.63,1.96,108.0257,89420.0,100.0,100.0
552,No Match,unmatched,119.29,2.254,108.0453,82345.0,100.0,100.0
553,No Match,unmatched,118.375,1.0235,108.0475,56652.0,100.0,100.0
554,No Match,unmatched,119.21,2.367,108.0518,83631.0,100.0,100.0
555,No Match,unmatched,122.42,2.351,108.0544,58187.0,100.0,100.0
556,No Match,unmatched,122.9025,0.8895000000000001,108.08185,51637.0,100.0,100.0
557,No Match,unmatched,116.23,0.601,109.026,93563.0,100.0,100.0
558,No Match,unmatched,116.47,0.956,109.0301,5349.0,100.0,100.0
559,No Match,unmatched,116.47,0.88,109.0312,26195.0,100.0,100.0
560,No Match,unmatched,116.48,1.038,109.0756,76146.0,100.0,100.0
561,No Match,unmatched,116.38,0.954,110.0325,65192.0,100.0,100.0
562,No Match,unmatched,116.585,0.9595,110.0342,30712.0,100.0,100.0
563,No Match,unmatched,113.07,11.817,110.9763,70656.0,100.0,100.0
564,No Match,unmatched,119.69,0.509,112.0521,20147.0,100.0,100.0
565,No Match,unmatched,109.83,2.882,112.9386,53427.0,100.0,100.0
566,No Match,unmatched,108.385,9.23825,113.92622500000002,37870.0,100.0,100.0
567,No Match,unmatched,107.99,7.412,113.9257,62317.0,100.0,100.0
568,No Match,unmatched,108.56199999999998,11.1332,113.9265,57597.0,100.0,100.0
569,No Match,unmatched,108.78,7.303,113.9271,92594.0,100.0,100.0
570,No Match,unmatched,121.15,13.5565,115.05525,94677.0,100.0,100.0
571,No Match,unmatched,120.93,3.766,115.0573,86366.0,100.0,100.0
572,No Match,unmatched,108.1,10.639,115.9156,63306.0,100.0,100.0
573,No Match,unmatched,108.57,7.450692307692307,115.91995384615385,78713.0,100.0,100.0
574,No Match,unmatched,108.595,7.4855,115.9194,35564.0,100.0,100.0
575,No Match,unmatched,108.4857142857143,7.557428571428572,115.92,15338.0,100.0,100.0
576,No Match,unmatched,108.516875,8.734625,115.920425,10061.0,100.0,100.0
577,No Match,unmatched,108.497,8.695133333333333,115.92043666666667,9885.0,100.0,100.0
578,No Match,unmatched,108.54,6.3914,115.92105999999998,26441.0,100.0,100.0
579,No Match,unmatched,108.62,15.193,115.9211,27894.0,100.0,100.0
580,No Match,unmatched,108.54,6.089,115.9212,32300.0,100.0,100.0
581,No Match,unmatched,108.29,12.82,115.9213,51513.0,100.0,100.0
582,No Match,unmatched,108.85,10.718,115.924,41089.0,100.0,100.0
583,No Match,unmatched,120.20666666666666,1.9665,116.05091666666668,32100.0,100.0,100.0
584,No Match,unmatched,120.185,2.527,116.0509,30802.0,100.0,100.0
585,No Match,unmatched,120.1,1.705,116.0918,73323.0,100.0,100.0
586,No Match,unmatched,108.43,6.335,116.9199,61387.0,100.0,100.0
587,No Match,unmatched,108.46,8.058,116.92,47755.0,100.0,100.0
588,No Match,unmatched,108.545,9.288,116.9201,49268.0,100.0,100.0
589,No Match,unmatched,108.28000000000002,11.133,116.9204,51991.0,100.0,100.0
590,No Match,unmatched,108.4125,9.3225,116.9206,31269.0,100.0,100.0
591,No Match,unmatched,108.36428571428571,10.073857142857143,116.9212285714286,43335.0,100.0,100.0
592,No Match,unmatched,108.478,10.0888,116.92126,17387.0,100.0,100.0
593,No Match,unmatched,108.37,11.985,116.9214,25862.0,100.0,100.0
594,No Match,unmatched,108.605,9.5435,116.9222,40552.0,100.0,100.0
595,No Match,unmatched,108.75,9.529,116.9232,74180.0,100.0,100.0
596,No Match,unmatched,108.86,10.399,116.9256,77322.0,100.0,100.0
597,No Match,unmatched,111.988,5.869,116.92856,93143.0,100.0,100.0
598,No Match,unmatched,111.47,7.547,116.9273,18071.0,100.0,100.0
599,No Match,unmatched,108.83,11.578,116.9274,87592.0,100.0,100.0
600,No Match,unmatched,111.89125,10.154375,116.928875,70190.0,100.0,100.0
601,No Match,unmatched,111.67,7.021,116.9285,19971.0,100.0,100.0
602,No Match,unmatched,111.6825,9.55825,116.92875,26658.0,100.0,100.0
603,No Match,unmatched,111.856,9.5614,116.92905999999998,32970.0,100.0,100.0
604,No Match,unmatched,111.8025,7.258500000000001,116.929,14202.0,100.0,100.0
605,No Match,unmatched,111.7375,7.24025,116.92935,28276.0,100.0,100.0
606,No Match,unmatched,111.675,10.192,116.9299,61048.0,100.0,100.0
607,No Match,unmatched,111.56,6.998,116.9309,73151.0,100.0,100.0
608,No Match,unmatched,1.94,8.086,116.9682,96129.0,100.0,100.0
609,No Match,unmatched,109.55,4.245,116.9685,94253.0,100.0,100.0
610,No Match,unmatched,2.24,5.949,116.9689,93799.0,100.0,100.0
611,No Match,unmatched,131.27,9.161,116.969,87955.0,100.0,100.0
612,No Match,unmatched,15.2,11.334,116.9694,76364.0,100.0,100.0
613,No Match,unmatched,29.85,8.307,116.9699,80366.0,100.0,100.0
614,No Match,unmatched,1.7,10.887,116.9701,95505.0,100.0,100.0
615,No Match,unmatched,33.9,9.176,116.9704,89491.0,100.0,100.0
616,No Match,unmatched,123.88,10.8595,116.9705,92157.0,100.0,100.0
617,No Match,unmatched,124.52,11.1345,116.9707,88391.0,100.0,100.0
618,No Match,unmatched,79.20571429,10.107142857142858,116.9711,86886.0,100.0,100.0
619,No Match,unmatched,105.075,10.2938,116.9712,69975.0,100.0,100.0
620,No Match,unmatched,107.68500000000002,9.2797,116.9713,85767.0,100.0,100.0
621,No Match,unmatched,89.07374999999999,9.6515,116.9714,55461.0,100.0,100.0
622,No Match,unmatched,123.6825,8.3225,116.9748,57344.0,100.0,100.0
623,No Match,unmatched,124.42,9.984,116.9752,94952.0,100.0,100.0
624,No Match,unmatched,63.398,9.6846,116.9757,81895.0,100.0,100.0
625,No Match,unmatched,103.072,8.0436,116.9759,92075.0,100.0,100.0
626,No Match,unmatched,4.04,10.391,116.9766,95303.0,100.0,100.0
627,No Match,unmatched,65.53,10.376,116.9775,92948.0,100.0,100.0
628,No Match,unmatched,118.615,1.5870000000000002,117.0456,78384.0,100.0,100.0
629,No Match,unmatched,119.95,1.662,117.0521,84719.0,100.0,100.0
630,No Match,unmatched,120.24,1.628,117.0545,31110.0,100.0,100.0
631,No Match,unmatched,122.705,0.526,117.0556,8433.0,100.0,100.0
632,No Match,unmatched,52.97,0.528,117.0576,94728.0,100.0,100.0
633,No Match,unmatched,118.43,1.484,118.0307,76144.0,100.0,100.0
634,No Match,unmatched,122.71,2.411,118.0661,14655.0,100.0,100.0
635,No Match,unmatched,126.81,6.804,118.9417,64529.0,100.0,100.0
636,No Match,unmatched,126.91,1.58,118.9426,65176.0,100.0,100.0
637,No Match,unmatched,126.73,5.7385,118.9427,72526.0,100.0,100.0
638,No Match,unmatched,126.67,5.477,118.9434,67812.0,100.0,100.0
639,No Match,unmatched,95.06,8.031,118.9664,94541.0,100.0,100.0
640,No Match,unmatched,107.47,10.194,118.9698,95905.0,100.0,100.0
641,No Match,unmatched,107.32,10.7235,118.9709,91374.0,100.0,100.0
642,No Match,unmatched,132.39,9.68,118.972,93194.0,100.0,100.0
643,No Match,unmatched,122.21666666666668,0.9056666666666668,119.04983333333332,81891.0,100.0,100.0
644,No Match,unmatched,122.42,3.08,119.05025,6228.0,100.0,100.0
645,No Match,unmatched,121.795,7.606999999999999,119.0503,78451.0,100.0,100.0
646,No Match,unmatched,121.3685714285714,1.2692857142857144,120.0459,39359.0,100.0,100.0
647,No Match,unmatched,119.66,8.482,121.0287,79087.0,100.0,100.0
648,No Match,unmatched,119.75,0.575,121.0288,79324.0,100.0,100.0
649,No Match,unmatched,119.50555555555556,2.351555555555556,121.0299222222222,55828.0,100.0,100.0
650,No Match,unmatched,119.445,2.0885,121.0295,40245.0,100.0,100.0
651,No Match,unmatched,119.68,6.0955,121.0322,64999.0,100.0,100.0
652,No Match,unmatched,118.88,1.435,121.0384,80837.0,100.0,100.0
653,No Match,unmatched,115.77,1.341,122.0264,93915.0,100.0,100.0
654,No Match,unmatched,119.75,2.549,122.0333,80907.0,100.0,100.0
655,No Match,unmatched,123.79,2.0540000000000003,122.03845,32346.0,100.0,100.0
656,No Match,unmatched,123.8,0.558,122.0621,71304.0,100.0,100.0
657,No Match,unmatched,126.97333333333331,1.9376666666666664,122.09826666666667,23758.0,100.0,100.0
658,No Match,unmatched,121.70333333333332,1.834,123.0447,79229.0,100.0,100.0
659,No Match,unmatched,103.454,1.2516,123.04498,6466.0,100.0,100.0
660,No Match,unmatched,97.42571428571428,12.165142857142856,123.90195714285711,93348.0,100.0,100.0
661,No Match,unmatched,97.397,12.393599999999998,123.90249666666666,20378.0,100.0,100.0
662,No Match,unmatched,97.435,14.792,123.9018,94123.0,100.0,100.0
663,No Match,unmatched,97.2675,11.289,123.902325,95249.0,100.0,100.0
664,No Match,unmatched,97.50555555555556,12.1049,123.9021,27650.0,100.0,100.0
665,No Match,unmatched,97.4,14.5,123.9035,82262.0,100.0,100.0
666,No Match,unmatched,97.48,11.205,123.9041,47593.0,100.0,100.0
667,No Match,unmatched,97.53,12.629,123.9045,77691.0,100.0,100.0
668,No Match,unmatched,122.26666666666668,2.0376666666666665,124.0483,29244.0,100.0,100.0
669,No Match,unmatched,117.755,0.75,125.02485,52712.0,100.0,100.0
670,No Match,unmatched,125.93,11.99,125.0611,93320.0,100.0,100.0
671,No Match,unmatched,97.26,12.474,125.8995,49954.0,100.0,100.0
672,No Match,unmatched,97.41470588235292,11.688176470588235,125.90026470588236,79425.0,100.0,100.0
673,No Match,unmatched,97.725,14.533,125.9003,59667.0,100.0,100.0
674,No Match,unmatched,97.365,12.2715,125.9001,37863.0,100.0,100.0
675,No Match,unmatched,97.405,11.923125,125.90035,25598.0,100.0,100.0
676,No Match,unmatched,97.49,13.46,125.9003,65966.0,100.0,100.0
677,No Match,unmatched,97.395,13.236,125.9026,55458.0,100.0,100.0
678,No Match,unmatched,97.43,10.766,125.9033,94637.0,100.0,100.0
679,No Match,unmatched,124.98,3.904,126.036,95530.0,100.0,100.0
680,No Match,unmatched,130.77499999999998,0.9415,126.09305,22181.0,100.0,100.0
681,No Match,unmatched,91.99972222222222,7.159472222222222,126.9047027777778,67144.0,100.0,100.0
682,No Match,unmatched,91.97333333333331,7.348999999999999,126.9048111111111,28556.0,100.0,100.0
683,No Match,unmatched,97.90052631578946,7.244210526315789,126.90455789473688,23518.0,100.0,100.0
684,No Match,unmatched,91.8,12.284,126.9044,15495.0,100.0,100.0
685,No Match,unmatched,91.97130434782608,8.208173913043476,126.9047,9919.0,100.0,100.0
686,No Match,unmatched,91.905,6.972,126.905,17866.0,100.0,100.0
687,No Match,unmatched,117.9775,11.61075,126.9051,36203.0,100.0,100.0
688,No Match,unmatched,120.3,2.883,126.9959,45158.0,100.0,100.0
689,No Match,unmatched,97.44,11.172,127.8976,95451.0,100.0,100.0
690,No Match,unmatched,97.39,12.845,127.8987,90753.0,100.0,100.0
691,No Match,unmatched,125.71,1.6208571428571426,130.0668142857143,46062.0,100.0,100.0
692,No Match,unmatched,125.36,2.337,130.0668,15779.0,100.0,100.0
693,No Match,unmatched,125.46,2.426,130.0682,93526.0,100.0,100.0
694,No Match,unmatched,51.59,0.504,130.0875,85032.0,100.0,100.0
695,No Match,unmatched,131.235,0.6955,130.0878,71962.0,100.0,100.0
696,No Match,unmatched,121.28999999999998,1.6416666666666666,131.03768333333332,75299.0,100.0,100.0
697,No Match,unmatched,122.485,2.4615,131.038,11567.0,100.0,100.0
698,No Match,unmatched,128.18,0.871,131.0716,47238.0,100.0,100.0
699,No Match,unmatched,128.39,0.872,131.0734,69760.0,100.0,100.0
700,No Match,unmatched,130.66,0.5486666666666666,131.09080000000003,33817.0,100.0,100.0
701,No Match,unmatched,129.39333333333337,2.4596666666666667,132.04593333333332,2761.0,100.0,100.0
702,No Match,unmatched,123.315,1.8625,132.04605,18720.0,100.0,100.0
703,No Match,unmatched,128.6175,1.808625,132.0460875,31461.0,100.0,100.0
704,No Match,unmatched,123.18,1.146,132.0491,78500.0,100.0,100.0
705,No Match,unmatched,122.83,2.448,133.0496,75427.0,100.0,100.0
706,No Match,unmatched,127.955,10.2415,133.06555,92102.0,100.0,100.0
707,No Match,unmatched,121.02,1.529,134.0244,81563.0,100.0,100.0
708,No Match,unmatched,120.4675,3.01675,134.04667500000002,88512.0,100.0,100.0
709,No Match,unmatched,120.695,1.7029999999999998,134.04694999999998,41024.0,100.0,100.0
710,No Match,unmatched,120.72,5.208,134.0479,93982.0,100.0,100.0
711,No Match,unmatched,120.98,12.767,134.0483,93061.0,100.0,100.0
712,No Match,unmatched,125.47666666666667,2.7989999999999995,134.06166666666667,29685.0,100.0,100.0
713,No Match,unmatched,37.38,1.067,134.0611,76504.0,100.0,100.0
714,No Match,unmatched,109.8,5.821,134.8937,94378.0,100.0,100.0
715,No Match,unmatched,110.01315789473684,2.8685263157894734,134.8950315789474,59721.0,100.0,100.0
716,No Match,unmatched,110.13,7.837,134.8941,78891.0,100.0,100.0
717,No Match,unmatched,110.055,5.422,134.8943,78293.0,100.0,100.0
718,No Match,unmatched,110.02291666666667,2.73025,134.89542500000002,70101.0,100.0,100.0
719,No Match,unmatched,109.97800000000002,4.6482,134.89584,32119.0,100.0,100.0
720,No Match,unmatched,109.96200000000002,2.2732,134.8957,35724.0,100.0,100.0
721,No Match,unmatched,110.05,4.059,134.8965,45477.0,100.0,100.0
722,No Match,unmatched,110.13,1.32,134.8971,42519.0,100.0,100.0
723,No Match,unmatched,110.06,5.768,134.8972,67444.0,100.0,100.0
724,No Match,unmatched,109.56,0.814,134.9012,84462.0,100.0,100.0
725,No Match,unmatched,125.53333333333336,3.048,135.04616666666666,34241.0,100.0,100.0
726,No Match,unmatched,125.81,8.753,135.0458,72279.0,100.0,100.0
727,No Match,unmatched,125.46,5.101,135.0459,92615.0,100.0,100.0
728,No Match,unmatched,129.59,3.99,135.0823,9147.0,100.0,100.0
729,No Match,unmatched,123.41,1.598,136.04104999999998,41948.0,100.0,100.0
730,No Match,unmatched,109.99,1.422,136.8908,94433.0,100.0,100.0
731,No Match,unmatched,110.02,0.911,136.8945,83412.0,100.0,100.0
732,No Match,unmatched,122.925,12.1515,136.93718333333337,77893.0,100.0,100.0
733,No Match,unmatched,120.83,1.98,137.0237,67171.0,100.0,100.0
734,No Match,unmatched,120.71,2.024,137.0263,76351.0,100.0,100.0
735,No Match,unmatched,128.71,15.0865,137.06074999999998,81264.0,100.0,100.0
736,No Match,unmatched,121.92,11.161,138.0167,92302.0,100.0,100.0
737,No Match,unmatched,120.58380952380952,10.299904761904765,138.01972380952384,58481.0,100.0,100.0
738,No Match,unmatched,120.54384615384612,9.028076923076926,138.0194846153846,41755.0,100.0,100.0
739,No Match,unmatched,120.71,6.881,138.0188,63398.0,100.0,100.0
740,No Match,unmatched,120.4725,8.328,138.0191,36545.0,100.0,100.0
741,No Match,unmatched,89.54333333333334,9.781333333333334,138.0196,95972.0,100.0,100.0
742,No Match,unmatched,126.98000000000002,1.8686666666666667,138.05645,30132.0,100.0,100.0
743,No Match,unmatched,127.21,5.219,138.0566,84196.0,100.0,100.0
744,No Match,unmatched,132.67333333333332,2.0026666666666664,138.09276666666665,13940.0,100.0,100.0
745,No Match,unmatched,123.82,0.785,139.0408,73498.0,100.0,100.0
746,No Match,unmatched,134.865,1.3535,139.0761,22001.0,100.0,100.0
747,No Match,unmatched,130.83,2.099,139.0778,84169.0,100.0,100.0
748,No Match,unmatched,134.42,1.294,139.0786,90809.0,100.0,100.0
749,No Match,unmatched,129.01,0.665,140.0715,32282.0,100.0,100.0
750,No Match,unmatched,136.475,1.962,140.10835,33232.0,100.0,100.0
751,No Match,unmatched,13.69,10.96,141.0124,86559.0,100.0,100.0
752,No Match,unmatched,83.2,9.727,141.0126,95220.0,100.0,100.0
753,No Match,unmatched,1.6,11.749,141.0127,95136.0,100.0,100.0
754,No Match,unmatched,125.1925,9.5775,141.0129,95830.0,100.0,100.0
755,No Match,unmatched,117.06,10.8385,141.013,92966.0,100.0,100.0
756,No Match,unmatched,102.06714285714284,9.726428571428572,141.0135,91343.0,100.0,100.0
757,No Match,unmatched,85.50666666666666,7.693,141.0137,94468.0,100.0,100.0
758,No Match,unmatched,109.02,9.737333333333334,141.014,82749.0,100.0,100.0
759,No Match,unmatched,134.96117647058824,9.4909,141.01475999999997,54817.0,100.0,100.0
760,No Match,unmatched,119.83666666666664,9.537666666666668,141.0144,63135.0,100.0,100.0
761,No Match,unmatched,99.82428571428572,8.464714285714285,141.0145,41873.0,100.0,100.0
762,No Match,unmatched,103.82444444444444,8.897888888888888,141.0147,74050.0,100.0,100.0
763,No Match,unmatched,97.8375,8.869692307692308,141.01490000000007,82395.0,100.0,100.0
764,No Match,unmatched,91.12,9.65975,141.015,78975.0,100.0,100.0
765,No Match,unmatched,100.41375,10.220777777777776,141.0153,34790.0,100.0,100.0
766,No Match,unmatched,117.42875,9.973,141.0159,60674.0,100.0,100.0
767,No Match,unmatched,130.09866666666667,9.082125,141.0163,50528.0,100.0,100.0
768,No Match,unmatched,123.63750000000002,9.8028,141.0196,71792.0,100.0,100.0
769,No Match,unmatched,114.49833333333332,11.001499999999998,141.0199,62155.0,100.0,100.0
770,No Match,unmatched,100.48250000000002,9.5225,141.0206,63562.0,100.0,100.0
771,No Match,unmatched,42.16,5.0155,141.0207,83084.0,100.0,100.0
772,No Match,unmatched,83.06,10.0845,141.0211,93937.0,100.0,100.0
773,No Match,unmatched,76.40333333333334,10.367666666666668,141.0218,96088.0,100.0,100.0
774,No Match,unmatched,77.41,11.002,141.0219,96137.0,100.0,100.0
775,No Match,unmatched,51.595,8.9765,141.0221,94140.0,100.0,100.0
776,No Match,unmatched,102.37,10.084,141.0229,94630.0,100.0,100.0
777,No Match,unmatched,85.44,12.297,141.023,93059.0,100.0,100.0
778,No Match,unmatched,59.57,9.2,141.0231,93483.0,100.0,100.0
779,No Match,unmatched,62.86,11.669,141.0253,91342.0,100.0,100.0
780,No Match,unmatched,86.57,8.135,141.0256,89248.0,100.0,100.0
781,No Match,unmatched,55.27,8.748,141.026,80895.0,100.0,100.0
782,No Match,unmatched,66.22,8.051,141.0264,93700.0,100.0,100.0
783,No Match,unmatched,38.46,10.409,141.0266,90283.0,100.0,100.0
784,No Match,unmatched,56.26,8.566,141.028,88715.0,100.0,100.0
785,No Match,unmatched,117.28,9.894,141.0298,90614.0,100.0,100.0
786,No Match,unmatched,127.67,13.567,141.0715,94455.0,100.0,100.0
787,No Match,unmatched,136.34,5.663,141.0917,76622.0,100.0,100.0
788,No Match,unmatched,134.14,3.08,141.09210000000002,79677.0,100.0,100.0
789,No Match,unmatched,127.9,3.894,142.0301,73009.0,100.0,100.0
790,No Match,unmatched,122.98,6.933,142.0301,63624.0,100.0,100.0
791,No Match,unmatched,125.76,2.661,142.0659,89620.0,100.0,100.0
792,No Match,unmatched,126.524,1.8112,142.06671999999998,8644.0,100.0,100.0
793,No Match,unmatched,126.78,13.554,143.0511,47017.0,100.0,100.0
794,No Match,unmatched,126.805,1.687,143.07015,86561.0,100.0,100.0
795,No Match,unmatched,127.46928571428572,3.2536428571428573,144.0462428571429,70958.0,100.0,100.0
796,No Match,unmatched,125.36,5.955,144.0448,67805.0,100.0,100.0
797,No Match,unmatched,124.74,5.43,144.0456,53871.0,100.0,100.0
798,No Match,unmatched,125.52058823529411,2.650470588235294,144.04640588235293,29314.0,100.0,100.0
799,No Match,unmatched,125.20444444444443,1.5301111111111112,144.0464222222222,16076.0,100.0,100.0
800,No Match,unmatched,125.12,11.063,144.0471,86729.0,100.0,100.0
801,No Match,unmatched,124.63,8.278,144.0481,94422.0,100.0,100.0
802,No Match,unmatched,125.55,0.756,144.0518,92530.0,100.0,100.0
803,No Match,unmatched,124.77,3.909,144.0904,69930.0,100.0,100.0
804,No Match,unmatched,125.11,2.283,144.1179,74671.0,100.0,100.0
805,No Match,unmatched,124.84,3.907,144.1196,22072.0,100.0,100.0
806,No Match,unmatched,127.62285714285714,1.5004285714285714,145.04138571428572,17135.0,100.0,100.0
807,No Match,unmatched,124.53,2.81,145.0428,78914.0,100.0,100.0
808,No Match,unmatched,124.85,1.163,145.0432,65355.0,100.0,100.0
809,No Match,unmatched,125.11,1.396,145.0449,55602.0,100.0,100.0
810,No Match,unmatched,125.17,3.948,145.0489,70654.0,100.0,100.0
811,No Match,unmatched,125.03,2.1785,145.04955,37985.0,100.0,100.0
812,No Match,unmatched,136.15,2.135,145.0869,31330.0,100.0,100.0
813,No Match,unmatched,122.94666666666666,1.2774444444444444,146.02542222222223,55425.0,100.0,100.0
814,No Match,unmatched,138.0,1.571,146.0265,79761.0,100.0,100.0
815,No Match,unmatched,123.27,0.997,146.0282,66354.0,100.0,100.0
816,No Match,unmatched,124.44,3.938,146.0511,75243.0,100.0,100.0
817,No Match,unmatched,131.60500000000002,2.4065,146.06155,58466.0,100.0,100.0
818,No Match,unmatched,128.12,3.653,146.0619,35626.0,100.0,100.0
819,No Match,unmatched,130.61,0.51,146.0838,95284.0,100.0,100.0
820,No Match,unmatched,123.098,1.469,147.03272,58825.0,100.0,100.0
821,No Match,unmatched,137.53571428571428,1.5459999999999998,147.0334428571429,20634.0,100.0,100.0
822,No Match,unmatched,132.775,2.348,147.0456,79124.0,100.0,100.0
823,No Match,unmatched,128.99,3.579,147.0504,94508.0,100.0,100.0
824,No Match,unmatched,128.44,0.524,147.0676,41173.0,100.0,100.0
825,No Match,unmatched,136.3,3.729,147.0813,36093.0,100.0,100.0
826,No Match,unmatched,123.33,1.452,148.0372,95939.0,100.0,100.0
827,No Match,unmatched,127.96,1.272,148.0408,24708.0,100.0,100.0
828,No Match,unmatched,113.2925,0.7789999999999999,148.95235,77202.0,100.0,100.0
829,No Match,unmatched,133.31,0.579,148.9524,71369.0,100.0,100.0
830,No Match,unmatched,134.60666666666663,0.8206666666666668,148.9525,28947.0,100.0,100.0
831,No Match,unmatched,121.85,0.55,148.9528,48095.0,100.0,100.0
832,No Match,unmatched,125.5175,0.55075,148.95345,574.0,100.0,100.0
833,No Match,unmatched,132.68,0.551,148.954,75613.0,100.0,100.0
834,No Match,unmatched,124.22,0.572,148.9545,55135.0,100.0,100.0
835,No Match,unmatched,130.268,14.185199999999998,149.0099,45110.0,100.0,100.0
836,No Match,unmatched,130.28857142857143,15.326857142857143,149.01016666666666,46172.0,100.0,100.0
837,No Match,unmatched,129.97,15.657,149.0126,82343.0,100.0,100.0
838,No Match,unmatched,124.51,2.441,149.0255,23258.0,100.0,100.0
839,No Match,unmatched,110.81,0.567,149.0282,11777.0,100.0,100.0
840,No Match,unmatched,132.4466666666667,4.432166666666667,149.0613,38730.0,100.0,100.0
841,No Match,unmatched,131.56,5.178,149.0638,79104.0,100.0,100.0
842,No Match,unmatched,132.2,2.956,149.0732,74997.0,100.0,100.0
843,No Match,unmatched,135.83,3.472,149.0962,70661.0,100.0,100.0
844,No Match,unmatched,137.77333333333334,3.832,149.09833333333333,8832.0,100.0,100.0
845,No Match,unmatched,110.96,0.535,149.9569,87623.0,100.0,100.0
846,No Match,unmatched,128.03,2.146625,150.0023875,72875.0,100.0,100.0
847,No Match,unmatched,125.49,14.124,150.0026,87731.0,100.0,100.0
848,No Match,unmatched,124.43,4.829,150.0033,64776.0,100.0,100.0
849,No Match,unmatched,129.48749999999998,3.11125,150.05685,27590.0,100.0,100.0
850,No Match,unmatched,131.74,4.5785,150.06445,67872.0,100.0,100.0
851,No Match,unmatched,136.63,4.681,150.0925,37426.0,100.0,100.0
