ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
29,11.589,24.005,211.43,319.2276,39869,-1,4,3,100,x,FALSE,11.589,24.005,211.43,319.2276,39869,0.09,3,,,,,0,,0,,,,,16,up,99.995,44114,37669,37825,0.001,0.001,0.001
30,1.656,18.591,173.98,212.0014,39700,-1,4,3,100,x,FALSE,1.656,18.591,173.98,212.0014,39700,0.16,3,,,,,0,,0,,,,,16,up,99.957,33532,46314,39254,0.001,0.001,0.001
31,1.762,21.738,195.97,263.1032,39023,-1,4,3,100,x,FALSE,1.762,21.738,195.97,263.1032,39023,0.18,3,,,,,0,,0,,,,,16,up,99.936,32275,46255,38539,0.001,0.001,0.001
32,2.179,17.639,167.08,203.0009,38975,-1,4,3,100,x,FALSE,2.179,17.639,167.08,203.0009,38975,0.21,3,,,,,0,,0,,,,,16,up,99.892,29898,44955,42073,0.001,0.001,0.001
33,14.612,24.193,213.12,309.2796,37239,-1,2,3,100,x,FALSE,14.612,24.193,213.12,309.2796,37239,0.09,3,,,,,0,,0,,,,,16,up,99.996,34859,35921,40937,0.001,0.001,0.001
34,13.49,29.166,246.72,500.2788,37010,-1,4,3,100,x,FALSE,13.49,29.166,246.72,500.2788,37010,0.16,3,,,,,0,,0,,,,,16,up,99.954,32190,43849,34991,0.001,0.001,0.001
35,4.065,20.439,186.73,245.0482,36785,-1,4,3,100,x,FALSE,4.065,20.439,186.73,245.0482,36785,0.37,3,,,,,0,,0,,,,,16,up,99.064,50659,36174,23523,0.001,0.001,0.001
36,9.743,23.695,209.3,311.2223,35235,-1,4,3,100,x,FALSE,9.743,23.695,209.3,311.2223,35235,0.3,3,,,,,0,,0,,,,,16,up,99.55,36716,23984,45005,0.001,0.001,0.001
37,13.699,24.048,212.14,305.2482,34270,-1,4,3,100,x,FALSE,13.699,24.048,212.14,305.2482,34270,0.27,3,,,,,0,,0,,,,,16,up,99.682,44871,27105,30835,0.001,0.001,0.001
38,14.151,27.892,238.16,436.284,34158,-1,4,3,100,x,FALSE,14.151,27.892,238.16,436.284,34158,0.17,3,,,,,0,,0,,,,,16,up,99.95,27835,39043,35596,0.001,0.001,0.001
39,8.712,27.606,236.73,397.2055,33416,-1,5,3,100,x,FALSE,8.712,27.606,236.73,397.2055,33416,0.11,3,,,,,0,,0,,,,,16,up,99.992,36797,29744,33707,0.001,0.001,0.001
40,14.427,34.381,284.31,595.4955,33324,-1,5,3,92.7,x,FALSE,14.427,34.381,284.31,595.4955,33324,0.4,3,,,,,0,,0,,,,,16,up,98.777,47448,31465,21058,0.001,0.001,0.001
41,5.999,26.529,228.93,383.1532,32598,-1,4,3,100,x,FALSE,5.999,26.529,228.93,383.1532,32598,0.19,3,,,,,0,,0,,,,,16,up,99.917,31657,39271,26867,0.001,0.001,0.001
42,11.475,22.793,199.24,505.9727,32539,-1,3,3,100,x,FALSE,11.475,22.793,199.24,505.9727,32539,0.29,3,,,,,0,,0,,,,,16,up,99.602,35113,40441,22063,0.001,0.001,0.001
43,14.119,34.296,283.7,593.4803,32334,-1,5,3,95,x,FALSE,14.119,34.296,283.7,593.4803,32334,0.39,3,,,,,0,,0,,,,,16,up,98.821,41250,38035,17717,0.001,0.001,0.001
44,16.386,39.934,323.19,861.5538,32171,-1,5,3,100,x,FALSE,16.386,39.934,323.19,861.5538,32171,0.06,3,,,,,0,,0,,,,,16,up,99.999,31270,34292,30952,0.001,0.001,0.001
45,16.092,37.097,303.08,742.542,31496,-1,5,3,100,x,FALSE,16.092,37.097,303.08,742.542,31496,0.62,3,,,,,0,,0,,,,,16,up,95.169,9087,43212,42188,0.001,0.001,0.001
46,14.948,32.003,268.36,465.3054,31093,-1,5,3,100,x,FALSE,14.948,32.003,268.36,465.3054,31093,0.36,3,,,,,0,,0,,,,,16,up,99.137,38039,37081,18159,0.001,0.001,0.001
47,15.197,36.569,299.33,722.516,31048,-1,5,2,100,x,FALSE,15.197,36.569,299.33,722.516,31048,0.87,2,,,,,0,,0,,,,,16,up,88.19,0.001,43276,49867,0.001,0.001,0.001
48,14.822,28.913,245.34,464.3152,30874,-1,4,3,100,x,FALSE,14.822,28.913,245.34,464.3152,30874,0.43,3,,,,,0,,0,,,,,16,up,98.447,16134,34814,41675,0.001,0.001,0.001
49,6.839,16.334,154.54,272.9951,30373,-1,2,3,100,x,FALSE,6.839,16.334,154.54,272.9951,30373,0.15,3,,,,,0,,0,,,,,16,up,99.967,28084,27363,35673,0.001,0.001,0.001
50,10.309,22.637,198.16,498.9298,30208,-1,4,3,100,x,FALSE,10.309,22.637,198.16,498.9298,30208,0.44,3,,,,,0,,0,,,,,16,up,98.255,15209,40980,34434,0.001,0.001,0.001
51,13.754,29.328,248.2,480.3102,30067,-1,4,3,100,x,FALSE,13.754,29.328,248.2,480.3102,30067,0.05,3,,,,,0,,0,,,,,16,up,100,31213,30453,28534,0.001,0.001,0.001
52,15.846,39.684,321.37,857.5224,29981,-1,5,3,100,x,FALSE,15.846,39.684,321.37,857.5224,29981,0.52,3,,,,,0,,0,,,,,16,up,97.035,36077,41706,12160,0.001,0.001,0.001
53,12.664,22.509,201.55,271.2276,29282,-1,3,3,100,x,FALSE,12.664,22.509,201.55,271.2276,29282,0.21,3,,,,,0,,0,,,,,16,up,99.876,23773,36049,28024,0.001,0.001,0.001
54,13.752,32.67,272.08,554.3476,29137,-1,4,3,100,x,FALSE,13.752,32.67,272.08,554.3476,29137,0.02,3,,,,,0,,0,,,,,16,up,100,28461,29839,29111,0.001,0.001,0.001
55,5.335,17.478,319.93,238.0763,29064,-2,5,3,100,x,FALSE,5.335,17.478,319.93,238.0763,29064,0.44,3,,,,,0,,0,,,,,16,up,98.272,35621,14258,37312,0.001,0.001,0.001
