ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
1511,10.617,21.994,167.44,267.1128,324,1.09,109,75,0.001,152,163,77,330,178,258,1114,905,523,0,0,0
1512,4.828,20.299,155.84,228.1597,324,1.26,90,96,0.001,183,101,0.001,274,658,325,1480,324,351,0,0,0
1513,14.622,23.874,180.8,297.2791,323,1.66,333,0.001,0.001,0.001,0.001,0.001,1180,1418,950,0.001,0.001,0.001,0,0,0
1514,2.477,19.229,147.21,242.0118,323,0.95,151,111,0.001,0.001,0.001,0.001,724,441,559,749,565,576,0,0,0
1515,15.425,17.591,135.51,218.0294,323,1.82,1150,0.001,1342,1382,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0
1516,14.382,28.557,212.72,464.312,323,2.17,0.001,0.001,0.001,0.001,0.001,172,450,282,500,2470,0.001,0.001,0,0,0
1517,14.876,30.079,223.21,531.2951,323,0.48,197,224,191,222,255,243,669,593,296,295,361,326,0,0,0
1518,2.405,28.192,218.7,187.0062,323,0.91,531,815,0.001,0.001,0.001,0.001,494,563,489,592,315,72,0,0,0
1519,4.331,23.901,179.09,393.0636,322,0.87,142,0.001,127,132,0.001,0.001,589,424,514,759,582,596,0,0,0
1520,15.784,19.147,145.37,288.033,322,1.31,0.001,0.001,1117,0.001,624,0.001,0.001,736,507,880,0.001,0.001,0,0,0
1521,16.452,33.891,251.42,529.2794,322,1.26,0.001,0.001,81,0.001,0.001,0.001,0.001,1073,901,648,602,559,0,0,0
1522,15.304,28.211,210.83,417.2972,322,0.79,168,164,134,0.001,117,0.001,714,664,527,485,474,416,0,0,0
1523,14.678,17.516,135.01,216.038,322,1.23,0.001,0.001,0.001,0.001,0.001,0.001,927,1061,321,576,679,298,0,0,0
1524,14.127,29.321,217.94,500.2699,322,1.73,0.001,0.001,61,0.001,72,0.001,1320,1206,1201,0.001,0.001,0.001,0,0,0
1525,13.477,24.703,186.4,323.2189,322,0.73,0.001,0.001,0.001,314,208,184,498,429,542,596,571,517,0,0,0
1526,15.717,17.5,134.85,217.0337,321,1.81,598,0.001,0.001,0.001,686,637,0.001,0.001,1933,0.001,0.001,0.001,0,0,0
1527,12.852,22.896,339.41,293.2934,321,3.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3853,0.001,0.001,0.001,0,0,0
1528,13.61,28.151,210.32,421.202,321,0.83,179,205,203,105,0.001,0.001,552,661,846,488,312,299,0,0,0
1529,0.247,13.747,109.74,134.8942,321,0.72,119,0.001,260,500,685,614,0.001,217,201,280,534,439,0,0,0
1530,14.225,27.685,206.63,436.2824,320,0.89,535,113,469,516,389,382,0.001,692,749,0.001,0.001,0.001,0,0,0
1531,1.115,27.093,202.03,451.1589,320,0.94,0.001,122,0.001,138,0.001,0.001,818,543,533,555,591,542,0,0,0
1532,16.319,19.139,145.31,288.0331,320,1.65,0.001,0.001,0.001,0.001,552,0.001,0.001,0.001,1578,993,715,0.001,0,0,0
1533,12.401,26.455,197.86,411.0927,320,1.15,0.001,0.001,0.001,0.001,0.001,0.001,617,717,1000,686,371,445,0,0,0
1534,14.776,23.753,523.99,295.3824,320,3.46,0.001,0.001,0.001,0.001,0.001,0.001,3834,0.001,0.001,0.001,0.001,0.001,0,0,0
1535,16.214,23.362,177.31,283.2639,319,1.07,700,758,0.001,533,0.001,0.001,0.001,0.001,0.001,733,542,565,0,0,0
1536,12.67,21.967,167.73,251.2013,318,1.06,0.001,0.001,0.001,0.001,0.001,0.001,695,527,554,768,665,610,0,0,0
1537,16.277,29.29,218.29,455.3918,318,1.3,0.001,0.001,0.001,562,561,0.001,0.001,0.001,0.001,1084,836,774,0,0,0
1538,15.491,24.512,362.76,311.4132,318,3.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3816,0.001,0,0,0
1539,2.518,24.374,182.59,395.1705,318,1.24,0.001,0.001,0.001,240,203,227,163,133,0.001,1024,922,904,0,0,0
1540,0.243,20.266,153.79,289.0366,317,1.38,0.001,0.001,359,0.001,0.001,0.001,1060,1041,858,0.001,0.001,484,0,0,0
1541,2.294,34.074,250.53,816.9946,317,1.06,0.001,0.001,0.001,0.001,0.001,0.001,717,566,542,771,637,569,0,0,0
1542,11.154,26.82,200.79,397.2548,316,0.95,0.001,58,0.001,82,0.001,82,574,455,546,755,636,609,0,0,0
1543,13.775,17.448,133.63,243.0296,316,1.21,362,0.001,0.001,0.001,0.001,177,809,751,873,814,0.001,0.001,0,0,0
1544,13.685,18.344,140.82,231.0496,316,1.19,365,215,0.001,0.001,0.001,0.001,0.001,835,810,0.001,760,801,0,0,0
1545,10.54,30.314,224.69,557.28,315,1.5,0.001,0.001,0.001,182,148,266,0.001,0.001,0.001,925,905,1352,0,0,0
1546,13.945,32.163,237.83,612.2363,315,1.76,0.001,0.001,0.001,0.001,0.001,142,0.001,0.001,0.001,1036,1088,1512,0,0,0
1547,13.863,23.903,180.92,301.2166,314,0.34,260,241,182,225,207,192,384,419,386,411,387,477,0,0,0
1548,14.067,29.618,220.1,504.2701,314,1.09,126,116,0.001,0.001,0.001,105,785,830,746,621,440,0.001,0,0,0
1549,14.235,31.731,234.74,601.3081,314,1.64,0.001,0.001,0.001,767,1357,1238,0.001,0.001,0.001,339,0.001,62,0,0,0
1550,13.651,20.504,155.59,289.0302,313,0.51,0.001,395,390,0.001,295,232,418,404,455,380,358,430,0,0,0
1551,14.605,27.36,206.16,331.264,313,1.19,479,442,0.001,0.001,0.001,283,0.001,0.001,0.001,802,967,782,0,0,0
1552,13.551,26.62,199.27,399.2053,313,1.06,0.001,0.001,0.001,0.001,0.001,0.001,615,604,563,721,714,533,0,0,0
1553,16.45,36.607,269.65,724.5275,312,3.23,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,239,0.001,3504,0,0,0
1554,14.579,28.522,213.08,421.3097,312,1.51,0.001,0.001,0.001,1011,1143,1073,0.001,0.001,0.001,246,270,0.001,0,0,0
1555,13.131,25.676,193.03,354.2635,312,0.88,0.001,103,0.001,125,94,0.001,552,508,508,622,659,570,0,0,0
1556,13.26,18.458,142.19,217.0024,312,1.32,0.001,0.001,515,471,0.001,0.001,859,971,923,0.001,0.001,0.001,0,0,0
1557,3.775,29.996,222.49,541.2853,312,0.84,144,156,132,0.001,0.001,0.001,642,541,573,646,419,486,0,0,0
1558,12.038,24.692,183.07,569.9765,311,1.04,93,0.001,0.001,0.001,0.001,0.001,632,558,471,881,528,573,0,0,0
1559,14.837,18.304,140.45,233.0428,311,1.51,0.001,0.001,0.001,0.001,1110,934,1003,0.001,688,0.001,0.001,0.001,0,0,0
1560,15.236,28.985,216.25,439.3782,311,1.69,80,0.001,0.001,228,287,266,84,0.001,0.001,1598,1191,0.001,0,0,0
1561,13.245,28.827,214.5,482.314,311,1.68,0.001,0.001,0.001,115,91,0.001,0.001,0.001,0.001,1250,1104,1172,0,0,0
1562,0.555,16.122,128.3,138.0556,311,0.72,120,88,120,145,94,62,635,395,512,539,465,557,0,0,0
1563,14.448,25.47,191.8,339.2061,310,0.76,536,0.001,576,541,530,519,344,355,194,0.001,130,0.001,0,0,0
1564,16.253,23.175,175.96,281.2484,310,1.53,0.001,0.001,639,0.001,0.001,0.001,0.001,0.001,0.001,1221,961,899,0,0,0
1565,14.381,25.965,196.34,305.2479,309,0.36,231,264,152,213,245,249,473,431,434,386,422,204,0,0,0
1566,13.518,25.005,188.31,339.3188,309,1.86,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1279,0.001,1510,0.001,914,0,0,0
1567,13.075,27.521,205.85,407.1868,308,0.83,190,194,164,131,0.001,0.001,175,713,750,532,406,439,0,0,0
1568,13.76,25.469,191.81,338.2695,306,1.04,0.001,0.001,89,0.001,0.001,0.001,493,409,534,706,664,782,0,0,0
1569,13.798,25.206,189.86,337.1912,306,0.35,346,0.001,341,349,357,417,282,314,394,263,357,248,0,0,0
1570,14.169,26.712,199.46,432.1906,306,0.91,691,674,576,592,386,383,191,175,0.001,0.001,0.001,0.001,0,0,0
1571,15.581,27.145,203.45,383.3528,306,2.47,0.001,0.001,0.001,473,0.001,580,0.001,0.001,0.001,0.001,0.001,2614,0,0,0
1572,15.489,24.539,185.45,311.4118,306,3.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3666,0,0,0
1573,0.248,22.345,168.19,349.0575,305,0.92,0.001,407,501,193,169,0.001,0.001,693,770,0.001,413,515,0,0,0
1574,11.501,24.192,182.7,317.2098,305,1.04,0.001,0.001,0.001,170,93,111,393,242,268,829,746,808,0,0,0
1575,13.645,28.526,212.46,467.318,304,1.83,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1226,1000,1426,0,0,0
1576,13.375,25.578,192.15,362.2367,304,1.05,0.001,63,0.001,0.001,0.001,0.001,534,423,525,738,668,694,0,0,0
1577,10.403,25.847,193.06,429.2609,304,1.04,0.001,78,0.001,0.001,0.001,0.001,542,488,468,746,579,744,0,0,0
1578,13.171,32.363,239.24,619.2881,304,1.02,0.001,113,0.001,0.001,0.001,0.001,534,419,545,713,720,601,0,0,0
1579,0.242,21.886,164.84,344.0303,304,0.88,0.001,226,277,0.001,0.001,0.001,690,587,670,504,364,325,0,0,0
1580,11.253,24.818,188.03,293.2111,304,1.6,0.001,0.001,0.001,0.001,0.001,0.001,402,0.001,0.001,1175,1107,958,0,0,0
1581,14.132,21.97,168.25,237.2219,303,0.37,230,226,233,191,211,199,454,505,451,294,354,292,0,0,0
1582,16.383,37.338,275.8,629.3875,303,1.66,0.001,74,55,0.001,130,0.001,0.001,0.001,0.001,1303,1049,1027,0,0,0
1583,13.813,25.964,195.15,356.2797,303,0.71,66,151,58,152,116,122,428,363,421,629,575,557,0,0,0
1584,16.442,36.659,271.07,600.3911,303,1.24,0.001,0.001,67,0.001,78,0.001,0.001,1023,866,584,486,533,0,0,0
1585,14.437,18.857,150.7,130.0164,303,0.65,359,461,363,212,386,453,476,515,412,0.001,0.001,0.001,0,0,0
1586,12.352,26.064,195.68,367.2848,302,1.07,0.001,0.001,0.001,0.001,0.001,0.001,661,466,533,749,594,621,0,0,0
1587,13.54,29.183,218,421.2024,302,0.85,238,188,210,0.001,0.001,0.001,558,610,802,443,288,284,0,0,0
1588,15.989,13.368,108.23,115.9201,302,2.15,0.001,2239,0.001,0.001,0.001,0.001,0.001,418,0.001,686,276,0.001,0,0,0
1589,12.16,19.196,146.41,261.0415,301,1.99,0.001,0.001,857,0.001,0.001,877,0.001,0.001,0.001,0.001,1879,0.001,0,0,0
1590,9.645,18.513,142.39,222.9982,301,0.93,0.001,113,77,96,0.001,0.001,687,443,410,706,503,577,0,0,0
1591,13.862,23.121,175.78,273.2214,301,0.36,205,249,215,212,192,136,406,370,398,389,425,414,0,0,0
1592,2.317,17.506,147.28,80.9656,299,0.71,0.001,177,188,0.001,145,122,491,437,446,570,551,463,0,0,0
1593,14.701,26.611,199.14,403.2605,299,3,0.001,469,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3116,0.001,0.001,0,0,0
1594,13.86,34.177,252.84,593.4538,299,1.06,0.001,0.001,0.001,0.001,0.001,0.001,563,553,540,745,627,554,0,0,0
1595,13.627,24.677,186.16,325.2726,298,1.57,0.001,0.001,0.001,58,0.001,143,134,78,0.001,1270,883,1011,0,0,0
1596,0.241,24.075,180.05,417.0489,298,1.26,376,342,0.001,0.001,0.001,0.001,1028,655,910,157,0.001,108,0,0,0
1597,14.034,29.783,220.93,541.2663,297,1.34,0.001,0.001,0.001,0.001,586,634,0.001,0.001,0.001,437,820,1090,0,0,0
1598,13.252,28,208.68,457.2798,297,2.98,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3091,196,279,0,0,0
1599,13.855,20.513,155.71,287.0367,297,0.89,0.001,0.001,0.001,540,549,512,0.001,559,487,447,468,0.001,0,0,0
1600,15.984,26.677,200.22,369.336,297,0.81,0.001,0.001,0.001,0.001,564,264,324,370,378,596,538,524,0,0,0
1601,13.663,17.42,133.39,244.0268,296,1.38,0.001,0.001,391,0.001,0.001,0.001,724,0.001,0.001,437,1101,903,0,0,0
1602,8.473,17.45,136.64,168.9889,296,0.89,0.001,129,98,0.001,0.001,70,578,554,468,650,493,513,0,0,0
1603,13.608,30.018,222.63,544.2642,296,0.92,0.001,0.001,120,0.001,88,86,692,630,457,523,562,391,0,0,0
1604,5.535,31.421,232.37,611.2423,296,1.7,0.001,0.001,0.001,0.001,226,0.001,0.001,0.001,0.001,1325,914,1081,0,0,0
1605,0.243,22.109,166.45,347.0414,296,0.84,250,248,313,0.001,0.001,0.001,685,707,581,311,219,232,0,0,0
1606,10.066,23.035,173.59,337.1673,295,1.51,0.001,0.001,0.001,134,162,201,0.001,0.001,0.001,1086,816,1140,0,0,0
1607,13.262,27.847,208.28,407.2559,295,1.41,0.001,0.001,0.001,207,234,212,0.001,0.001,0.001,1086,894,904,0,0,0
1608,9.482,29.873,221.32,569.2685,294,0.62,151,131,0.001,224,172,165,532,381,511,537,446,283,0,0,0
1609,11.025,24.612,185.37,339.2345,294,0.93,149,0.001,118,0.001,0.001,0.001,547,475,428,679,627,508,0,0,0
1610,13.784,19.822,150.78,275.0568,294,0.92,0.001,0.001,0.001,0.001,0.001,316,618,597,514,486,498,499,0,0,0
1611,13.672,26.696,200.08,385.2471,294,1.52,0.001,0.001,0.001,253,234,0.001,0.001,0.001,0.001,1168,996,876,0,0,0
1612,14.418,17.441,134.44,216.0378,294,1.34,0.001,859,0.001,0.001,0.001,0.001,1010,0.001,0.001,640,659,357,0,0,0
1613,8.028,19.553,150.98,207.1386,293,0.67,217,185,179,80,99,130,648,531,601,275,270,297,0,0,0
1614,13.58,33.386,246.4,666.2987,292,0.31,193,182,209,285,147,321,330,381,314,410,423,310,0,0,0
1615,16.264,18.979,144.78,260.0434,292,1.83,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1258,1281,962,0.001,0.001,0,0,0
1616,14.442,27.543,205.28,458.2074,292,0.93,678,619,538,553,448,394,71,132,65,0.001,0.001,0.001,0,0,0
1617,0.416,19.613,150.04,245.0834,291,0.53,264,166,233,204,0.001,117,423,467,387,373,510,353,0,0,0
1618,14.341,39.011,287.05,761.5825,291,1.92,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,822,1013,1662,0,0,0
1619,16.415,35.638,262.78,691.455,291,1.15,0.001,0.001,0.001,0.001,0.001,0.001,187,527,688,743,677,672,0,0,0
1620,8.945,23.238,175.76,307.1884,291,0.91,161,0.001,104,0.001,0.001,0.001,628,497,563,551,540,449,0,0,0
1621,16.368,34.443,254.47,630.4857,290,1.53,0.001,0.001,97,0.001,0.001,0.001,0.001,0.001,1297,676,595,817,0,0,0
1622,16.484,38.245,281.42,762.5262,290,3.35,0.001,0.001,0.001,0.001,0.001,0.001,108,0.001,0.001,0.001,3370,0.001,0,0,0
1623,9.503,32.676,241.78,593.2507,290,1.04,0.001,68,0.001,0.001,0.001,0.001,668,420,485,714,541,579,0,0,0
1624,15.3,28.713,214.44,425.3995,289,2.75,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,754,2714,0,0,0
1625,12.985,24.216,183.07,309.2039,289,0.81,182,134,0.001,188,0.001,95,297,336,359,616,629,631,0,0,0
1626,14.837,23.151,175.84,279.2321,289,0.99,246,281,309,261,284,218,1059,309,0.001,0.001,497,0.001,0,0,0
1627,12.712,18.91,144.19,263.0348,288,3.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3453,0.001,0,0,0
1628,2.421,28.573,221.64,187.0059,287,1.25,0.001,516,0.001,924,0.001,0.001,0.001,552,0.001,56,690,711,0,0,0
1629,14.495,27.803,409.29,399.4611,287,3.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3447,0.001,0.001,0,0,0
1630,16.162,17.498,134.88,216.0381,287,1.52,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1130,690,898,723,0.001,0,0,0
1631,14.547,20.11,152.32,302.0491,287,0.71,384,313,344,188,282,333,503,596,495,0.001,0.001,0.001,0,0,0
1632,16.003,29.16,217.34,454.3942,286,1.74,0.001,0.001,0.001,0.001,150,0.001,0.001,0.001,0.001,1344,889,1052,0,0,0
1633,13.597,26.814,200.56,409.2344,286,0.89,71,0.001,0.001,0.001,0.001,263,614,467,461,568,495,493,0,0,0
1634,15.485,32.23,240.05,459.3259,286,1.28,0.001,0.001,0.001,0.001,0.001,0.001,581,479,898,758,0.001,715,0,0,0
1635,9.572,24.77,186.1,362.1198,286,0.28,211,190,252,247,173,237,369,303,314,408,403,322,0,0,0
1636,13.153,22.959,174.06,291.1985,286,0.52,0.001,199,243,186,204,200,577,412,395,406,278,328,0,0,0
1637,14.879,18.974,144.75,260.0432,285,1.13,783,0.001,0.001,0.001,0.001,0.001,789,539,536,0.001,417,359,0,0,0
1638,8.614,19.803,294.09,280.6217,285,1.08,0.001,0.001,0.001,0.001,0.001,0.001,540,419,490,716,669,588,0,0,0
1639,8.016,20.406,156.41,235.1326,285,0.86,200,146,170,0.001,0.001,105,752,613,593,319,272,251,0,0,0
1640,9.633,20.874,156.76,375.9968,285,0.97,116,85,0.001,0.001,0.001,0.001,527,467,450,745,476,552,0,0,0
1641,13.808,27.489,205.22,433.2359,285,0.58,158,159,162,0.001,199,130,401,488,384,470,417,449,0,0,0
1642,8.484,17.462,136.56,171.9988,285,0.88,91,99,85,108,0.001,0.001,672,463,377,674,406,441,0,0,0
1643,8.92,18.626,139.9,380.9745,285,0.58,0.001,0.001,93,302,296,256,389,384,394,447,383,470,0,0,0
1644,6.06,29.021,215.47,523.2354,284,1.32,0.001,0.001,0.001,282,244,261,0.001,0.001,0.001,940,796,890,0,0,0
1645,0.685,14.779,114.58,199.8036,284,0.51,455,393,373,0.001,429,264,290,289,0.001,336,289,293,0,0,0
1646,14.781,19.846,150.91,277.0497,284,0.63,393,430,401,348,337,441,451,264,343,0.001,0.001,0.001,0,0,0
1647,14.879,28.994,215.7,485.2882,284,1.31,376,0.001,152,0.001,0.001,0.001,735,1222,401,266,252,0.001,0,0,0
1648,13.57,18.972,144.68,262.0374,283,3.46,0.001,0.001,0.001,0.001,0.001,3400,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0
1649,13.095,19.836,150.84,277.0499,283,1.05,0.001,0.001,0.001,0.001,0.001,0.001,539,589,615,579,593,484,0,0,0
1650,13.806,25.341,190.07,379.1576,283,0.97,68,0.001,0.001,0.001,90,0.001,633,481,447,638,550,490,0,0,0
1651,15.344,30.536,226.47,542.3695,283,1.48,0.001,0.001,0.001,697,601,699,0.001,0.001,0.001,165,1235,0.001,0,0,0
1652,14.617,27.616,206.25,427.2369,283,0.58,404,390,339,231,175,214,551,500,312,141,133,0.001,0,0,0
1653,14.296,25.467,191.74,341.3057,282,1.37,0.001,0.001,0.001,181,181,237,0.001,76,0.001,1021,877,807,0,0,0
1654,12.226,23.512,178.05,298.2462,282,1.21,196,178,179,0.001,116,0.001,0.001,332,360,112,1102,803,0,0,0
1655,5.639,26.584,198.46,435.2013,281,1.45,0.001,0.001,0.001,190,196,167,0.001,0.001,0.001,1037,809,973,0,0,0
1656,1.175,16.766,131.84,160.0394,281,0.68,134,157,73,161,113,0.001,519,380,414,417,470,530,0,0,0
1657,0.368,21.232,161.81,262.0689,281,0.84,205,0.001,0.001,132,96,0.001,637,534,494,497,360,411,0,0,0
1658,14.475,17.453,133.61,245.0229,280,1.1,0.001,340,0.001,665,0.001,445,710,0.001,581,0.001,623,0.001,0,0,0
1659,13.008,28.696,213.55,480.2759,280,0.96,0.001,90,0.001,0.001,0.001,59,519,505,558,576,514,541,0,0,0
1660,16.429,36.655,271.04,601.3897,280,1.46,0.001,86,0.001,0.001,62,0.001,0.001,1089,944,591,0.001,590,0,0,0
1661,13.764,26.857,200.96,404.2287,280,1.11,0.001,0.001,0.001,0.001,0.001,0.001,441,443,400,801,631,644,0,0,0
1662,12.259,20.511,158.07,213.1854,280,0.91,86,0.001,80,0.001,92,0.001,504,493,417,589,497,601,0,0,0
1663,2.216,16.338,129.12,150.0557,280,0.99,0.001,0.001,171,0.001,0.001,0.001,742,409,482,564,466,523,0,0,0
1664,14.404,29.692,225.2,281.2481,280,1.06,603,515,0.001,0.001,0.001,0.001,0.001,405,616,0.001,584,631,0,0,0
1665,16.343,29.011,215.95,475.3338,279,1.54,0.001,0.001,0.001,161,139,145,0.001,0.001,0.001,1216,810,876,0,0,0
1666,9.916,23.878,180.43,313.237,279,0.84,211,109,0.001,132,0.001,0.001,496,307,459,638,560,434,0,0,0
1667,15.264,30.245,223.48,641.0887,279,0.91,0.001,0.001,0.001,0.001,732,149,446,292,251,520,444,510,0,0,0
1668,13.279,22.346,170.41,257.2266,279,0.95,0.001,108,62,0.001,0.001,0.001,546,563,474,597,462,532,0,0,0
1669,15.585,29.718,221.41,459.3268,279,1.3,0.001,0.001,0.001,0.001,0.001,0.001,726,565,1027,613,119,294,0,0,0
1670,13.254,17.096,131.66,220.0259,279,2.34,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1623,1719,0.001,0,0,0
1671,14.246,28.394,211.53,463.2362,279,0.61,177,172,178,163,113,114,586,518,533,295,287,206,0,0,0
1672,14.748,19.849,150.96,276.0528,278,0.96,542,538,0.001,622,616,287,312,0.001,424,0.001,0.001,0.001,0,0,0
1673,13.277,24.226,184.68,257.2267,278,0.95,111,0.001,0.001,87,0.001,0.001,654,441,526,593,485,443,0,0,0
1674,15.569,28.904,215.26,467.3379,278,2.26,0.001,0.001,0.001,94,1684,1557,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0
1675,15.206,26.695,200.4,367.3564,278,1.34,509,0.001,1213,309,0.001,0.001,0.001,540,0.001,0.001,507,253,0,0,0
1676,13.356,26.332,197.19,395.2277,277,0.96,166,0.001,0.001,0.001,0.001,0.001,461,551,585,549,514,503,0,0,0
1677,14.663,25.632,193.06,337.3109,277,1.03,0.001,0.001,0.001,311,306,301,0.001,358,0.001,650,648,750,0,0,0
1678,15.222,29.689,220.68,499.3583,277,1.6,0.001,0.001,0.001,0.001,0.001,391,0.001,0.001,0.001,1191,916,824,0,0,0
1679,16.384,38.194,282.1,629.3881,277,1.85,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1399,968,952,0,0,0
1680,13.343,26.855,200.81,412.2674,276,0.96,78,85,59,0.001,0.001,0.001,383,372,459,659,548,667,0,0,0
1681,14.585,30.937,229.54,532.3011,276,0.89,288,281,231,0.001,0.001,0.001,691,709,488,232,261,128,0,0,0
1682,15.465,37.15,273.51,744.4823,275,1.19,0.001,0.001,0.001,0.001,0.001,0.001,412,264,361,829,684,755,0,0,0
1683,13.876,26.201,198.89,279.2328,275,1.44,149,0.001,0.001,826,130,0.001,1015,278,0.001,0.001,906,0.001,0,0,0
1684,14.719,25.201,189.57,349.2414,275,1.35,148,165,0.001,0.001,0.001,0.001,528,601,944,918,0.001,0.001,0,0,0
1685,15.105,27.671,207.1,399.3293,275,1.14,0.001,0.001,0.001,430,346,378,0.001,0.001,0.001,756,683,710,0,0,0
1686,14.872,29.934,222.36,511.379,275,1.45,0.001,0.001,0.001,0.001,310,302,0.001,0.001,0.001,1036,937,718,0,0,0
1687,13.941,26.341,197.5,381.3362,275,1.05,0.001,0.001,0.001,109,0.001,0.001,485,399,461,830,468,550,0,0,0
1688,15.853,18.331,140.66,233.0426,275,1.27,0.001,0.001,0.001,0.001,451,429,400,0.001,0.001,1147,466,401,0,0,0
1689,14.357,35.867,264.58,675.5211,274,1.04,50,0.001,0.001,0.001,0.001,0.001,666,484,605,586,518,384,0,0,0
1690,13.839,29.976,222.65,513.3085,274,1.12,0.001,0.001,0.001,102,0.001,493,251,229,488,429,1037,263,0,0,0
1691,15.05,20.51,155.23,307.0401,274,0.91,515,490,496,483,0.001,296,480,529,0.001,0.001,0.001,0.001,0,0,0
1692,1.06,22.845,172.28,331.119,274,1.13,69,0.001,0.001,0.001,0.001,0.001,865,402,674,572,333,372,0,0,0
1693,15.377,33.483,247.4,630.3353,274,0.81,650,697,247,0.001,366,219,197,359,305,119,123,0.001,0,0,0
1694,16.33,26.177,196.84,351.3631,273,1.82,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1235,974,1062,0,0,0
1695,13.875,27.723,206.79,445.2437,272,0.3,401,325,305,320,328,353,243,265,245,181,157,146,0,0,0
1696,13.833,35.447,261.66,653.4542,272,0.75,120,139,104,85,53,0.001,527,462,500,470,395,413,0,0,0
1697,15.145,31.438,232.91,565.3738,272,1.15,0.001,0.001,0.001,423,381,359,0.001,0.001,0.001,844,637,621,0,0,0
1698,10.506,21.557,164.69,249.1491,272,0.59,172,187,255,0.001,242,0.001,362,395,387,517,377,370,0,0,0
1699,12.96,18.333,140.74,231.0497,272,1.32,0.001,0.001,354,0.001,0.001,0.001,0.001,0.001,508,748,806,846,0,0,0
1700,14.622,37.321,275.12,695.3119,272,1.03,0.001,0.001,86,0.001,0.001,0.001,507,415,646,395,581,629,0,0,0
1701,3.703,23.511,176.98,346.1529,272,1.84,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1325,926,1008,0,0,0
1702,15.697,30.562,226.8,529.3331,271,1.07,689,610,568,0.001,413,637,151,178,0.001,0.001,0.001,0.001,0,0,0
1703,14.599,24.003,182.04,287.2739,270,1.03,113,89,0.001,107,0.001,79,762,618,733,229,284,226,0,0,0
1704,11.051,24.224,183.44,297.1519,270,1.5,146,187,156,0.001,0.001,0.001,847,778,1123,0.001,0.001,0.001,0,0,0
1705,14.964,28.935,215.27,484.2925,270,1.47,361,304,92,0.001,0.001,0.001,779,1245,454,0.001,0.001,0.001,0,0,0
1706,1.121,20.728,157.96,263.0722,270,1.1,0.001,0.001,0.001,0.001,0.001,0.001,723,340,609,596,514,452,0,0,0
1707,15.948,36.93,271.9,742.5398,269,1.56,0.001,0.001,0.001,77,70,0.001,226,0.001,0.001,964,826,1069,0,0,0
1708,13.006,26.919,201.26,414.2513,269,1.68,0.001,0.001,0.001,0.001,87,105,0.001,0.001,0.001,1135,901,1002,0,0,0
1709,15.759,25.123,189.51,325.3103,269,1.55,487,0.001,0.001,0.001,0.001,0.001,740,1018,985,0.001,0.001,0.001,0,0,0
1710,13.549,26.862,200.88,411.2051,269,0.45,125,177,140,185,197,141,396,359,279,421,393,416,0,0,0
1711,14.88,29.7,221.3,457.3515,269,1.28,0.001,0.001,0.001,214,315,304,0.001,0.001,0.001,818,892,686,0,0,0
1712,15.86,25.988,195.32,356.3245,269,1.36,0.001,0.001,0.001,208,411,235,0.001,0.001,0.001,434,965,974,0,0,0
1713,12.867,26.397,198.75,339.1986,269,1.83,0.001,0.001,0.001,0.001,0.001,0.001,896,1129,1201,0.001,0.001,0.001,0,0,0
1714,14.087,22.244,169.77,253.2534,269,1.71,0.001,0.001,0.001,0.001,84,0.001,64,0.001,0.001,1049,939,1086,0,0,0
1715,14.552,28.223,210.57,440.3002,269,1.21,0.001,0.001,0.001,725,789,762,0.001,0.001,0.001,292,361,293,0,0,0
