ID,RT,DT,CCS,m/z,Abundance,RSD, 9-M-E1-A-1.d.DeMP,10-M-E1-A-2.d.DeMP, 11-M-E1-A-3.d.DeMP, 16-DBS-E1-A-1.d.DeMP, 17-DBS-E1-A-2.d.DeMP, 18-DBS-E1-A-3.d.DeMP, 41-M-E4-A-1.d.DeMP, 42-M-E4-A-2.d.DeMP, 43-M-E4-A-3.d.DeMP, 47-DBS-E4-A-1.d.DeMP, 48-DBS-E4-A-2.d.DeMP, 49-DBS--E4-A-3.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
43,15.723,26.674,200.2,369.3379,36952,1.6,0.001,0.001,0.001,13280,15052,14421,0.001,0.001,0.001,153432,122714,124530,0,0,0
44,15.217,23.938,181.28,297.2805,35017,0.82,9295,8734,9036,9129,7155,5717,60233,56462,50142,74915,67009,62382,0,0,0
45,15.05,29.26,217.73,480.3106,32656,0.93,6669,5771,6062,5766,0.001,0.001,71158,56910,56214,65760,60660,56896,0,0,0
46,13.575,25.027,188.48,339.2003,31219,1.01,0.001,7524,8561,0.001,0.001,0.001,59264,58920,84789,65992,41139,48435,0,0,0
47,14.902,24.947,188.14,327.2908,27822,1.56,0.001,0.001,0.001,13538,12311,12391,0.001,0.001,0.001,112361,98255,85003,0,0,0
48,15.145,28.801,215.06,427.3615,26725,1.09,0.001,0.001,0.001,42110,43035,41463,0.001,0.001,0.001,70206,63261,60620,0,0,0
49,15.311,25.221,190.02,335.2959,25288,0.83,6267,5735,5816,5468,4249,4022,45562,44095,38962,51096,48259,43926,0,0,0
50,12.822,24.464,184.56,325.1842,25161,1.18,1261,0.001,0.001,1005,488,0.001,54450,8174,70066,60490,61044,44950,0,0,0
51,13.524,26.422,198.94,339.2003,24970,1.06,0.001,6852,7654,0.001,0.001,0.001,47557,50110,78004,46585,29681,33198,0,0,0
52,2.323,24.324,182.19,397.0036,24931,0.66,11393,10101,10391,9344,7283,6823,39203,37266,39537,45453,41918,40455,0,0,0
53,14.458,30.71,227.95,524.2999,24490,1,3848,3702,0.001,1883,0.001,0.001,45627,37159,39884,55121,52270,54391,0,0,0
54,9.67,18.583,139.64,375.9994,23987,0.76,8005,7499,6651,8149,6256,5890,45747,35431,35088,53024,40856,35251,0,0,0
55,14.514,28.915,215.2,478.2952,23518,1.14,0.001,0.001,0.001,0.001,0.001,0.001,35411,29335,34256,66399,55978,60839,0,0,0
56,14.686,24.774,187.02,319.264,22954,0.85,5258,5013,4976,4324,3426,3164,45144,38470,43315,43208,41017,38129,0,0,0
57,13.633,25.747,193.88,339.2011,22545,1.03,0.001,577,6906,2820,1513,2247,43442,44665,66973,43725,27112,30563,0,0,0
58,13.563,22.066,168.42,253.2177,22244,0.84,5610,5663,5243,5105,3684,4043,37932,32595,32238,49699,40998,44113,0,0,0
59,15.458,32.187,239.64,465.305,21657,0.51,18167,13952,10641,10466,8550,8044,28451,33229,29760,37645,31831,29147,0,0,0
60,14.517,22.761,173.18,269.2482,21201,0.27,10850,25734,10140,23241,18632,18239,26104,25428,25421,24486,23888,22243,0,0,0
61,13.544,21.611,165.37,241.2183,19759,1.09,0.001,0.001,0.001,0.001,0.001,0.001,33496,30418,30275,51933,45924,45061,0,0,0
62,14.425,26.164,196.5,363.2523,19490,0.31,25800,26638,24811,23872,23104,24157,17788,18640,16382,11191,11362,10139,0,0,0
63,13.72,26.388,197.73,388.2527,19042,0.98,3756,3394,3597,3999,3011,3164,24160,20087,22496,48683,44888,47266,0,0,0
64,14.284,25.167,189.75,329.2487,18235,0.86,3920,3887,3859,3452,2588,2645,35176,31827,31626,37038,33198,29607,0,0,0
65,9.591,22.585,168.8,428.9739,18161,0.88,4077,3547,3630,4140,3172,2577,37818,24976,27713,44231,32374,29677,0,0,0
66,15.065,30.405,225.88,508.3414,17925,0.65,11921,11088,11268,10584,0.001,0.001,28338,30193,25478,28598,28800,28828,0,0,0
67,14.325,32.462,240.15,599.3216,17681,1.07,0.001,0.001,0.001,0.001,0.001,0.001,36253,29329,30809,46266,39464,30048,0,0,0
