ID,RT,DT,CCS,m/z,83 Paired 12835.d.DeMP, 84 Paired 7211.d.DeMP, 85 Paired 2654.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d
4220,14.442,23.371,207.65,284.5151,0.001,997,0.001,0.001,0.001,0.001
4221,8.709,26.918,231.27,413.2176,997,0.001,0.001,0.001,0.001,0.001
4222,13.678,32.059,267.75,537.4151,0.001,0.001,997,0.001,0.001,0.001
4223,9.471,30.087,253.66,493.281,0.001,332,665,0.001,0.001,0.001
4224,6.404,24.039,211.3,334.1675,564,432,0.001,0.001,0.001,0.001
4225,8.151,21.698,193.96,320.9777,0.001,509,487,0.001,0.001,0.001
4226,8.355,23.049,205.06,289.1794,160,0.001,836,0.001,0.001,0.001
4227,8.293,28.47,243.85,366.9811,313,402,281,0.001,0.001,0.001
4228,7.695,36.396,297.51,800.3735,362,0.001,633,0.001,0.001,0.001
4229,0.351,23.423,205.19,409.0425,0.001,0.001,995,0.001,0.001,0.001
4230,15.86,41.127,332.09,841.6447,0.001,340,655,0.001,0.001,0.001
4231,9.082,21.028,191.31,243.1952,0.001,443,552,0.001,0.001,0.001
4232,11.483,26.196,226.56,377.2511,995,0.001,0.001,0.001,0.001,0.001
4233,9.277,29.207,246.61,534.2504,0.001,0.001,995,0.001,0.001,0.001
4234,13.899,30.155,251.15,880.9431,550,444,0.001,0.001,0.001,0.001
4235,9.464,23.804,209.81,323.2209,315,384,294,0.001,0.001,0.001
4236,13.91,32.149,268.68,517.3895,0.001,380,613,0.001,0.001,0.001
4237,13.54,33.794,280.03,589.4482,993,0.001,0.001,0.001,0.001,0.001
4238,8.012,35.084,288.31,730.4097,0.001,467,526,0.001,0.001,0.001
4239,13.414,29.121,247.36,435.3462,549,444,0.001,0.001,0.001,0.001
4240,16.434,35.554,292.27,669.515,0.001,328,665,0.001,0.001,0.001
4241,7.083,25.885,224.1,383.1522,592,0.001,400,0.001,0.001,0.001
4242,9.816,27.822,237.72,431.2236,992,0.001,0.001,0.001,0.001,0.001
4243,9.817,21.33,193.7,241.1792,324,489,179,0.001,0.001,0.001
4244,9.688,26.873,230.63,431.2233,991,0.001,0.001,0.001,0.001,0.001
4245,10.424,25.911,224.37,379.2156,0.001,493,496,0.001,0.001,0.001
4246,4.945,26.194,228.2,311.1389,0.001,455,533,0.001,0.001,0.001
4247,7.409,24.571,215.33,333.2062,988,0.001,0.001,0.001,0.001,0.001
4248,12.597,40.929,338.98,325.1823,285,277,425,0.001,0.001,0.001
4249,13.061,28.07,240.24,395.3154,986,0.001,0.001,0.001,0.001,0.001
4250,5.67,19.724,181.92,229.0523,594,392,0.001,0.001,0.001,0.001
4251,7.962,23.274,206.23,307.1898,393,593,0.001,0.001,0.001,0.001
4252,14.067,29.036,245.61,511.2884,986,0.001,0.001,0.001,0.001,0.001
4253,15.153,22.056,198.69,255.2313,644,342,0.001,0.001,0.001,0.001
4254,14.826,32.55,271.28,547.437,986,0.001,0.001,0.001,0.001,0.001
4255,14.178,32.643,272.09,537.4168,612,373,0.001,0.001,0.001,0.001
4256,12.202,25.534,222.05,355.2841,647,337,0.001,0.001,0.001,0.001
4257,10.545,26.078,225.07,408.2415,983,0.001,0.001,0.001,0.001,0.001
4258,14.695,24.328,212.61,373.0435,516,467,0.001,0.001,0.001,0.001
4259,2.305,32.017,266.7,605.167,0.001,982,0.001,0.001,0.001,0.001
4260,13.609,18.207,170.13,233.0419,982,0.001,0.001,0.001,0.001,0.001
