Classification Type,CCS,RT,m/z,ID,Average Abundance,Detection Frequency (%),GroupID,Repeating Unit,KMD (CF2)
unmatched,184.99,15.85,680.9594,81258.0,100.0,100.0,18,CF2,-0.002847981701165736
unmatched,181.58,13.174,680.961,90569.0,100.0,100.0,18,CF2,-0.0044480837877927115
unmatched,219.68,9.879,680.9657,89216.0,100.0,100.0,18,CF2,-0.009148383666911286
unmatched,199.45,14.755,680.9684,92201.0,100.0,100.0,18,CF2,-0.011848555937831406
unmatched,207.815,13.3565,730.9502,78354.0,100.0,100.0,18,CF2,0.003162401761187539
unmatched,198.58,14.920375,730.9526875,58420.0,100.0,100.0,18,CF2,0.000674743048534765
unmatched,198.715,14.884,730.9537,3630.0,100.0,100.0,18,CF2,-0.00033782155310291273
unmatched,198.004,13.7068,730.95413,46954.0,100.0,100.0,18,CF2,-0.0007678489887439355
unmatched,193.7,12.955,730.9543,31196.0,100.0,100.0,18,CF2,-0.0009378598354032874
unmatched,198.82636363636365,13.79309090909091,730.9543636363636,46954.0,100.0,100.0,18,CF2,-0.0010015002593490863
unmatched,193.59,11.146,730.9583,84658.0,100.0,100.0,18,CF2,-0.004938115051800196
unmatched,121.9,3.8845,230.9871,79319.0,100.0,100.0,18,CF2,-0.0018379172591096449
unmatched,129.72125,6.080625,280.9831125,12496.0,100.0,100.0,18,CF2,-0.0010403663753777437
unmatched,166.16,11.648,530.9566,9783.0,100.0,100.0,18,CF2,0.009522807555185864
unmatched,172.16,13.161,530.9583,59929.0,100.0,100.0,18,CF2,0.007822699088137597
unmatched,161.13,11.634,530.964,94795.0,100.0,100.0,18,CF2,0.002122335404919795
unmatched,165.82,11.879,530.965,57018.0,100.0,100.0,18,CF2,0.0011222716009342548
unmatched,182.44,12.948,530.9666,49415.0,100.0,100.0,18,CF2,-0.00047783048557903385
unmatched,168.71636363636364,12.455636363636364,530.9672909090909,84065.0,100.0,100.0,18,CF2,-0.0011687836592955136
unmatched,165.2583333333333,13.298666666666668,530.9673666666666,67037.0,100.0,100.0,18,CF2,-0.0012445460687331433
unmatched,165.33625,14.678999999999998,530.967875,58104.0,100.0,100.0,18,CF2,-0.001752911835865234
unmatched,201.61,12.4665,780.946,89095.0,100.0,100.0,18,CF2,0.004172466203272052
unmatched,165.6,13.122,530.9679,4985.0,100.0,100.0,18,CF2,-0.0017779134308284483
unmatched,205.2326190476191,14.651571428571426,780.9505952380952,72684.0,100.0,100.0,18,CF2,-0.00042306508669298637
unmatched,161.9625,12.5405,530.9687,38806.0,100.0,100.0,18,CF2,-0.0025779644741987795
unmatched,165.04500000000002,11.9015,530.969,74049.0,100.0,100.0,18,CF2,-0.0028779836154626537
unmatched,172.13285714285715,14.55585714285714,530.9693285714285,59995.0,100.0,100.0,18,CF2,-0.0032065760080968175
unmatched,165.26,13.917,530.9701,74000.0,100.0,100.0,18,CF2,-0.003978053799869485
unmatched,208.44,13.19,780.9461,69680.0,100.0,100.0,18,CF2,0.004072459822964447
unmatched,216.55,13.992,780.9528,57576.0,100.0,100.0,18,CF2,-0.0026279676643525818
unmatched,209.9,13.178,780.956,74328.0,100.0,100.0,18,CF2,-0.005828171837379159
unmatched,139.495,4.779999999999999,380.97675,78292.0,100.0,100.0,18,CF2,-0.0010578674919088371
unmatched,157.47,11.208,380.9771,35688.0,100.0,100.0,18,CF2,-0.001407889823383357
unmatched,140.22,11.877,380.9772,89875.0,100.0,100.0,18,CF2,-0.001507896203747805
unmatched,145.07,11.21,380.9774,18550.0,100.0,100.0,18,CF2,-0.0017079089645903878
unmatched,138.99,13.141,380.9775,95522.0,100.0,100.0,18,CF2,-0.0018079153450116792
unmatched,139.93142857142857,9.340571428571428,380.9776,22713.0,100.0,100.0,18,CF2,-0.0019079217254329706
unmatched,146.19,8.849499999999999,380.9776,3664.0,100.0,100.0,18,CF2,-0.0019079217254329706
unmatched,153.105,8.8,380.9791,9638.0,100.0,100.0,18,CF2,-0.003408017431524968
unmatched,147.14,12.078,830.9459,33941.0,100.0,100.0,18,CF2,0.0010822690486520514
