ID,RT,DT,CCS,m/z,Abundance,Z,Ions,Freq.,Q Score,Sat.,Mark,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Abundance,RSD,Freq.,RT,DT,CCS,m/z,Log2(A1/A2),Expression,Diff.Score,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP,Blank 1.d,Blank 2.d,Blank 3.d,Blank 4.d,Blank 5.d,Blank 6.d,Blank 7.d,Blank 8.d,Blank 9.d
18,3.339,29.206,217.41,480.3105,369377,-1,6,11,100,x,FALSE,3.403,29.253,217.77,480.3097,369377,0.32,6,3.263,29.15,216.98,480.3115,755,1.44,5,0.14,0.103,0.8,-0.0017,8.93,up,100,421931,423897,418617,405784,416008,130026,3295,0.001,0.001,469,1332,0.001,1228,475,0.001
19,2.302,26.607,197,589.0165,362891,-1,6,15,100,x,FALSE,2.299,26.668,197.46,589.0157,362891,0.1,6,2.304,26.566,196.69,589.017,200465,0.25,9,-0.005,0.102,0.77,-0.0013,0.86,up,99.999,390108,383689,395178,350823,361544,296001,302989,194353,243041,209519,204544,186420,166812,142803,153707
20,2.939,29.456,219.28,480.3063,360765,-1,5,6,100,x,FALSE,2.939,29.456,219.28,480.3063,360765,0.03,6,,,,,0,,0,,,,,16,up,100,369929,368506,366622,345175,361566,352790,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21,4.329,33.996,251.83,593.4809,360236,-1,4,13,100,x,FALSE,4.346,34.147,252.96,593.4803,360236,0.15,6,4.314,33.867,250.85,593.4815,1077,0.99,7,0.033,0.28,2.11,-0.0011,8.39,up,100,409717,416811,283574,383553,365771,301989,3495,1555,900,1568,808,779,0.001,591,0.001
22,4.022,23.214,176.02,281.2477,357773,-1,6,15,100,x,FALSE,4.071,23.276,176.51,281.2464,357773,0.49,6,3.99,23.172,175.7,281.2486,175640,0.21,9,0.081,0.104,0.8,-0.0022,1.03,up,99.161,425332,3510,429170,428052,430449,430125,158545,140294,210654,195381,106517,183347,178829,181556,225634
23,3.686,32.198,239.96,465.3041,357103,-1,6,8,100,x,FALSE,3.583,32.251,240.36,465.3045,357103,0.14,6,3.994,32.039,238.75,465.3028,191,2.71,2,-0.411,0.212,1.6,0.0017,10.87,up,100,386801,370963,419743,373084,305809,286218,0.001,0.001,153,0.001,0.001,0.001,0.001,0.001,1568
24,2.21,26.091,193.3,572.9883,355245,-1,6,15,100,x,FALSE,2.207,26.157,193.79,572.9873,355245,0.12,6,2.212,26.047,192.96,572.9889,220950,0.23,9,-0.005,0.109,0.83,-0.0016,0.69,up,99.987,397425,388123,383897,334482,342850,284690,328863,255817,250006,208229,214197,198357,184144,169968,178969
25,1.723,18.385,142.85,179.069,348072,-1,4,6,100,x,FALSE,1.723,18.385,142.85,179.069,348072,0.12,6,,,,,0,,0,,,,,16,up,100,324778,344463,394938,397206,289466,337578,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26,4.037,40.427,297.33,885.5557,345416,-1,5,9,100,x,FALSE,4.119,40.534,298.14,885.555,345416,0.49,6,3.873,40.215,295.71,885.5573,68,1.74,3,0.246,0.319,2.43,-0.0024,12.31,up,99.997,419394,405799,410507,301,418076,418420,0.001,0.001,0.001,128,0.001,0.001,142,342,0.001
27,2.769,22.868,169.87,505.9735,341897,-1,5,9,100,x,FALSE,2.775,22.909,170.19,505.9731,341897,0.06,6,2.755,22.784,169.24,505.9743,454,1.54,3,0.02,0.126,0.95,-0.0013,9.56,up,100,373601,341858,356899,316804,330778,331444,0.001,0.001,0.001,0.001,0.001,0.001,1604,994,1485
28,2.468,22.646,172,271.2256,339921,-1,5,7,100,x,FALSE,2.464,22.646,172,271.2257,339921,0.13,6,2.488,22.65,172.03,271.2251,180,3,1,-0.023,-0.004,-0.03,0.0007,10.88,up,100,284855,381458,396376,339123,303200,334512,0.001,0.001,1624,0.001,0.001,0.001,0.001,0.001,0.001
29,3.424,25.173,189.72,327.2316,339686,-1,5,6,100,x,FALSE,3.424,25.173,189.72,327.2316,339686,0.19,6,,,,,0,,0,,,,,16,up,100,240839,280393,394338,375507,372911,374129,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
30,0.96,17.652,133.31,301.9521,332297,-1,5,15,100,x,FALSE,0.961,17.691,133.6,301.9512,332297,0.1,6,0.96,17.626,133.11,301.9527,246775,0.34,9,0.001,0.066,0.49,-0.0016,0.43,up,96.437,392156,323473,292153,307595,342030,336377,398357,376925,266677,173981,192241,194831,210911,204094,202955
31,3.584,32.743,243.1,537.417,326392,-1,5,6,100,x,FALSE,3.584,32.743,243.1,537.417,326392,0.48,6,,,,,0,,0,,,,,16,up,99.997,408931,398845,361261,409125,6330,373858,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
32,3.705,25.244,190.21,329.2472,324373,-1,5,6,100,x,FALSE,3.705,25.244,190.21,329.2472,324373,0.1,6,,,,,0,,0,,,,,16,up,100,347476,363499,326918,331164,278355,298828,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
33,1.002,17.944,136.85,244.9061,324106,-1,8,6,100,x,FALSE,1.002,17.944,136.85,244.9061,324106,0.14,6,,,,,0,,0,,,,,16,up,100,394430,322383,284605,304568,281898,356752,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
34,1.741,18.613,139.41,375.9998,323627,-1,1,15,96.5,x,FALSE,1.737,18.658,139.75,375.9988,323627,0.08,6,1.743,18.583,139.19,376.0004,237942,0.3,9,-0.006,0.075,0.56,-0.0016,0.44,up,98.435,360685,299203,319931,290319,348271,323354,373961,344178,237455,168743,192060,197647,211334,208305,207798
35,2.517,20.054,154.8,199.1691,318198,-1,4,15,100,x,FALSE,2.5,20.099,155.15,199.1683,318198,0.5,6,2.529,20.024,154.57,199.1696,5407,0.94,9,-0.029,0.074,0.58,-0.0013,5.88,up,99.995,400759,400114,3991,377938,425358,301027,1865,16328,11824,3233,2778,3756,2703,2868,3309
36,2.953,28.21,210.34,452.2795,316188,-1,5,11,100,x,FALSE,2.933,28.245,210.6,452.2782,316188,0.47,6,2.977,28.169,210.02,452.2809,92,1.07,5,-0.044,0.075,0.59,-0.0027,11.74,up,99.998,399714,402027,402357,46608,414297,232126,83,0.001,0.001,171,230,228,119,0.001,0.001
37,4.076,39.711,292.22,857.5242,309182,-1,7,6,100,x,FALSE,4.076,39.711,292.22,857.5242,309182,0.27,6,,,,,0,,0,,,,,16,up,100,383363,239535,302301,187320,410885,331688,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
38,2.918,32.675,242.4,554.3485,308392,-1,3,10,100,x,FALSE,2.92,32.733,242.85,554.3477,308392,0.24,6,2.914,32.587,241.74,554.3498,166,1.83,4,0.006,0.146,1.11,-0.0021,10.86,up,100,352698,354900,157783,316849,336339,331780,922,340,0.001,130,0.001,0.001,105,0.001,0.001
39,3.152,28.68,213.72,462.2991,305305,-1,4,9,100,x,FALSE,3.16,28.696,213.84,462.299,305305,0.19,6,3.137,28.647,213.47,462.2991,181,1.67,3,0.023,0.048,0.37,-0.0001,10.72,up,100,304829,377899,349421,263529,220185,315967,820,521,0.001,0.001,0.001,0.001,292,0.001,0.001
40,0.407,17.647,136.7,187.0054,294338,-1,5,9,100,x,FALSE,0.415,17.698,137.1,187.0047,294338,0.32,6,0.389,17.544,135.9,187.0069,129,1.58,3,0.026,0.155,1.2,-0.0022,11.16,up,100,228014,215322,192677,365886,354123,410006,0.001,0.001,0.001,0.001,0.001,0.001,527,295,335
41,2.573,24.207,182.6,319.2263,293556,-1,4,8,100,x,FALSE,2.475,24.154,182.19,319.2263,293556,0.33,6,2.869,24.369,183.81,319.2264,69,2.01,2,-0.394,-0.215,-1.62,-0.0001,12.05,up,100,369168,360743,272119,376373,252249,130684,0.001,0.001,359,264,0.001,0.001,0.001,0.001,0.001
42,3.735,24.199,182.87,305.2475,288128,-1,4,11,100,x,FALSE,3.66,24.254,183.29,305.2468,288128,0.5,6,3.824,24.133,182.36,305.2483,447,1.01,5,-0.164,0.12,0.92,-0.0015,9.33,up,99.997,367550,380049,311837,1640,320553,347140,0.001,790,948,747,484,0.001,1058,0.001,0.001
43,4.082,39.052,287.49,833.5242,277388,-1,5,7,100,x,FALSE,4.082,39.059,287.54,833.5239,277388,0.26,6,4.084,39.013,287.13,833.5265,14,3,1,-0.002,0.046,0.41,-0.0026,14.25,up,100,332500,242667,269866,158365,358830,302098,0.001,0.001,0.001,0.001,128,0.001,0.001,0.001,0.001
44,3.599,28.921,215.49,464.3147,276550,-1,5,9,100,x,FALSE,3.508,29.038,216.37,464.3145,276550,0.55,5,3.712,28.775,214.38,464.315,599,1.55,4,-0.204,0.263,1.99,-0.0005,8.85,up,99.991,327736,410330,389998,310048,0.001,221187,2798,0.001,0.001,0.001,0.001,830,984,777,0.001
45,2.769,28.553,212.6,476.2782,272053,-1,5,6,100,x,FALSE,2.769,28.553,212.6,476.2782,272053,0.75,6,,,,,0,,0,,,,,16,up,99.875,404598,419146,5247,366105,420042,17178,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
46,1.979,19.715,147.09,427.0005,270465,-1,1,15,96.5,x,FALSE,1.974,19.756,147.4,426.9997,270465,0.2,6,1.982,19.687,146.88,427.0011,143486,0.57,9,-0.008,0.069,0.52,-0.0014,0.91,up,99.449,348441,286815,294563,233298,264311,195361,309340,257522,150275,85709,97310,95725,101693,96660,97138
47,2.782,32.966,244.34,578.3478,268475,-1,4,7,100,x,FALSE,2.782,33.001,244.6,578.3479,268475,0.11,6,2.784,32.755,242.77,578.3466,21,3,1,-0.001,0.247,1.83,0.0013,13.62,up,100,252388,310978,298303,249354,251568,248256,0.001,192,0.001,0.001,0.001,0.001,0.001,0.001,0.001
48,1.485,26.884,200.48,448.3065,265320,-1,5,6,100,x,FALSE,1.485,26.884,200.48,448.3065,265320,0.47,6,,,,,0,,0,,,,,16,up,99.998,303101,342513,261516,17174,338719,328899,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
49,2.475,27.821,207.36,457.2368,265111,-1,5,8,100,x,FALSE,2.483,27.882,207.83,457.2362,265111,0.37,6,2.449,27.637,205.97,457.2386,130,2.09,2,0.034,0.245,1.86,-0.0024,11,up,100,312736,359418,326123,300906,183366,108116,0.001,0.001,0.001,0.001,0.001,0.001,754,412,0.001
50,2.195,20.892,155.43,473.9875,263607,-1,3,15,100,x,FALSE,2.19,20.929,155.7,473.9866,263607,0.26,6,2.198,20.868,155.24,473.988,129436,0.61,9,-0.008,0.062,0.46,-0.0015,1.03,up,99.501,337402,314936,301060,230615,249464,148165,297666,226462,133014,88125,92148,87406,80298,77790,82011
51,1.438,17.564,132.29,321.9892,262695,-1,3,15,100,x,FALSE,1.433,17.601,132.56,321.9881,262695,0.16,6,1.442,17.539,132.1,321.9898,187083,0.4,9,-0.009,0.062,0.46,-0.0017,0.49,up,95.691,342196,250092,233148,230779,264023,255929,341567,278987,187701,109760,138196,137582,166595,161597,161766
52,4.406,24.313,183.63,309.2793,259245,-1,4,11,100,x,FALSE,4.506,24.349,183.91,309.2783,259245,0.35,6,4.287,24.271,183.3,309.2806,1338,1.48,5,0.219,0.078,0.61,-0.0023,7.6,up,100,341945,305351,170253,123025,286152,328741,0.001,0.001,238,77,0.001,0.001,3134,3723,4871
53,3.524,30.093,224.53,445.3322,258186,-1,4,8,97.9,x,FALSE,3.505,30.124,224.76,445.3322,258186,0.43,6,3.581,30.001,223.84,445.3322,79,2.08,2,-0.077,0.123,0.92,0,11.67,up,99.999,381321,342783,214052,301407,70403,239147,257,458,0.001,0.001,0.001,0.001,0.001,0.001,0.001
54,3.67,22.636,172.04,267.2316,255376,-1,4,8,100,x,FALSE,3.728,22.64,172.07,267.2309,255376,0.36,6,3.497,22.623,171.94,267.2337,182,1.99,2,0.231,0.017,0.14,-0.0028,10.46,up,100,347210,314002,288693,302471,129222,150660,0.001,0.001,0.001,0.001,869,768,0.001,0.001,0.001
55,3.264,24.121,182.38,301.2156,255216,-1,4,9,100,x,FALSE,3.223,24.122,182.39,301.2157,255216,0.16,6,3.345,24.12,182.37,301.2154,207,1.91,3,-0.122,0.002,0.02,0.0003,10.26,up,100,226025,212051,296538,223280,307076,266323,667,109,0.001,0.001,0.001,1091,0.001,0.001,0.001
