Match,Match Source,Classification Type,ID,RT,DT,CCS,m/zs,Mass Error (ppm),CCS Error (%),RT Error (%),ES01.d.DeMP, ES04.d.DeMP, ES11.d.DeMP, ES12.d.DeMP, ES13.d.DeMP, ES14.d.DeMP, ES17.d.DeMP, ES19.d.DeMP, ES21.d.DeMP, ES22.d.DeMP, ES24.d.DeMP, ES28.d.DeMP, ES30.d.DeMP, ES32.d.DeMP, ES02.d.DeMP, ES03.d.DeMP, ES05.d.DeMP, ES06.d.DeMP, ES07.d.DeMP, ES08.d.DeMP, ES09.d.DeMP, ES10.d.DeMP, ES15.d.DeMP, ES16.d.DeMP, ES18.d.DeMP, ES20.d.DeMP, ES23.d.DeMP, ES25.d.DeMP, ES26.d.DeMP, ES27.d.DeMP, ES29.d.DeMP, ES31.d.DeMP, ES33.d.DeMP, ES34.d.DeMP, ES35.d.DeMP, ES36.d.DeMP, ES37.d.DeMP, ES38.d.DeMP, ES39.d.DeMP, ES40.d.DeMP, ES41.d.DeMP, ES42.d.DeMP,Detection Frequency (%),Average Abundance
PFUdA (M-H-CO2),PFAS Standards,likely,14002,12.121,22.135,164.1075,518.968525,2.94,0.46,N/A,13302015.25,25611649.658000004,12301893.2,25215779.99,28014545.19,3061618.999,17105498.060000002,16600000,14404537.73,29218307.32,19901458.31,14605842.891999999,13503064.2,17002910.277000003,7196232.999,3963478.999,3265990.999,2712108.999,24904548.73,5366657.999,7929836.0479999995,22401365.68,18006909.53,23100000,16105307.27,19804504.619000003,32516071.518000003,23914275.11,4592103.999,3800391.999,3098761.999,16100000,23406861.4,12606008.02,32001395.55,3512942.999,15200000,3609535.999,27013089.39,9996632.442,3922950.999,1680762.999,100,100
9Cl-PF3ONS (M-H),PFAS Standards,likely,796,10.926,23.045,170.85,530.8957,0.19,0.36,N/A,236750.19900000002,1178326.999,217981.899,888396.299,1038055.999,57817.519,401462.099,373997.099,294629.199,1545165.999,406056.599,287216.499,311003.39900000003,380989.499,275915.699,60728.629,65600.50899999999,41365.609000000004,644557.0989999999,180847.999,247483.899,752576.299,390095.799,463625.499,331260.199,517792.099,1213124.999,572524.1989999999,103022.199,95168.949,62632.889,309655.89900000003,524116.89900000003,158418.59900000002,939759.799,77451.989,264546.999,71064.379,1338627.999,131720.59900000002,86473.799,20100.918999999998,100,100
PFNS (M-H),PFAS Standards,likely,26710,11.035000000000002,23.991,175.67,548.9287333333333,3.16,-0.89,N/A,0,2103.85,1433.909,0,7886.454,0,1196.9750000000001,0,1295.58,7849.922999999999,2073.785,0,0,0,0,0,0,0,0,0,0,3120.584,0,3354.6209999999996,0,1800.217,0,1764.1870000000001,0,0,0,0,0,1099.986,5027.523,0,0,0,6355.929999999999,0,0,0,100,100
PFDoA (M-H-CO2),PFAS Standards,likely,1237,12.293,23.543,174.23,568.9642,0.7,1.59,N/A,172526.299,266486.89900000003,151244.69900000002,277710.999,376590.599,56378.489,206220.19900000002,228987.799,226199.899,408468.39900000003,282158.39900000003,125859.299,175474.299,232200.799,114381.39899999999,78083.529,73382.419,53489.649000000005,341658.89900000003,93154.499,126364.599,296235.499,255212.299,335302.799,200588.09900000002,257458.59900000002,466829.799,403435.89900000003,105002.89899999999,82877.769,55172.589,222921.299,354239.699,231429.299,516020.299,71569.489,186902.59900000002,77345.329,326894.499,149994.299,84113.699,41358.65900000001,100,100
NMeFOSAA (M-H),PFAS Standards,likely,13578,12.443,25.995,192.33,569.9676,0.53,1.22,N/A,0,0,0,0,0,22333.779,0,0,0,0,0,0,0,0,0,0,0,26625.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27765.299,0,32756.329,0,0,0,21195.459,100,100
PFDS (M-H),PFAS Standards,likely,62254,11.715399999999999,24.868,183.68200000000002,598.9239,0.17,-1.36,N/A,36754.055,69791.97700000001,43457.867000000006,58261.959,73794.254,2471.18,72225.652,34697.609000000004,36812.168999999994,87597.30099999999,62327.57800000001,26234.807,39055.62100000001,26239.373,7933.431,8419.064,3563.607,7106.461,128031.06999999999,3215.468,6415.519,51093.041000000005,33266.919,66201.92,35758.24,39780.969000000005,89481.521,69615.1422,0,5037.472,7313.4619999999995,52236.502,66852.231,50125.41800000001,91286.432,6892.084,43259.949,5054.706999999999,77417.38900000001,29557.575,1636.6580000000001,3637.6139999999996,100,100
PFDoA (M-H),PFAS Standards,likely,2537,12.375,26.024,191.36,612.95425,0.9,-0.01,N/A,63969.526,132164.45799999998,48101.63,119879.81599999999,154531.74800000002,3773.3469999999998,88010.67,93862.81899999999,72330.394,159059.128,87120.319,57197.829000000005,61166.742000000006,91986.12899999999,27153.829,13191.479,7227.911999999999,7872.687,143730.248,20019.023,27559.968,118356.822,82258.86899999999,105876.418,62994.459,106815.14199999999,166424.258,147659.988,16205.484,11247.69,9682.967999999999,73453.977,151446.888,70422.687,186847.518,6020.327,91107.267,9429.353,164427.588,50529.371,11287.539,0,100,100
PFTrDA (M-H-CO2),PFAS Standards,likely,2576,12.973333333333334,24.807,181.36333333333334,618.9618666666667,2.05,0.95,N/A,0,0,2707203.508,0,0,0,0,0,0,0,86522.959,0,0,0,1835806.088,1055310.038,956465.208,726342.658,6584774.568,1441568.908,1835345.168,5721448.257999999,4783737.658,5033050.608,3946413.4579999996,5628769.398,7174827.998,8260707.2979999995,1604184.128,1199916.5180000002,957782.688,3556804.278,7843899.998,5304662.467999999,9931575.398,925597.5079999999,4851827.007999999,1117122.398,7447761.998,3466835.738,1312389.368,708925.8679999999,100,100
11Cl-PF3OUdS (M-H),PFAS Standards,likely,9259,12.202,25.329,186.96,630.8905,2.06,0.24,N/A,0,23491.589,0,19358.149,26691.529,0,5006.4839999999995,6384.840999999999,3487.723,21459.189,6316.523,3818.0559999999996,4144.298,0,4905.615,0,0,0,8917.824999999999,0,0,16858.769,5350.2429999999995,7811.012,0,4513.429,27826.579,12045.849,0,0,0,3710.636,11876.519,1462.2160000000001,24232.849,0,1491.865,0,29923.509,0,653.3062,0,100,100
PFTrDA (M-H),PFAS Standards,likely,66524,12.857,27.111,200.14333333333335,662.9497333333333,-1.16,-0.31,N/A,373194.89900000003,572164.799,280432.199,614377.399,838741.499,67492.449,441468.099,591124.847,378077.299,841505.5989999999,450993.499,269924.799,365766.099,575954.5989999999,176207.299,104154.799,95216.859,70176.819,698425.899,142457.899,179429.799,594691.799,486605.799,498983.999,386297.499,553135.399,735729.399,888192.399,170136.09900000002,115027.599,99812.249,358700.39900000003,797251.399,544086.1989999999,1018081.999,88897.17899999999,512780.499,115525.199,775102.1989999999,322305.39900000003,121962.599,61271.039000000004,100,100
PFTeDA (M-H-CO2),PFAS Standards,likely,906,13.376,25.572,188.53,668.9581,1.05,0.49,N/A,263518.89900000003,454865.199,195623.69900000002,492905.39900000003,704974.899,49542.399000000005,304999.599,477074.999,282913.599,680756.5989999999,390735.89900000003,157157.799,286987.89900000003,441708.299,177515.19900000002,95393.169,92742.439,73672.08899999999,523029.599,132353.499,192381.399,442699.699,478637.099,439995.799,391070.499,582059.0989999999,635198.5989999999,727213.999,160635.799,115389.199,89937.949,310553.199,620383.6989999999,425619.499,958669.399,95983.78899999999,400463.999,112059.799,585405.5989999999,253070.999,133497.59900000002,64784.72900000001,100,100
6:6 PFPi (M-H),PFAS Standards,likely,12233,12.696,26.815,197.44,700.9225,-0.14,1.04,N/A,4513.415,7901.141,2300.303,21929.879,16935.949,0,1879.011,2299.609,11123.689,19741.119,0,3637.705,1828.121,3322.0919999999996,0,0,0,0,0,0,0,10912.829,0,0,0,0,16193.099,4517.773999999999,0,0,0,0,4372.012,0,8889.485,0,3373.355,0,16077.769,0,0,0,100,100
PFTeDA (M-H),PFAS Standards,likely,2993,13.318999999999999,28.516,209.04000000000002,712.9472499999999,-0.07,-0.07,N/A,40505.869000000006,76364.48799999998,25402.729,75107.65,126952.938,5189.458,46788.783,84986.21,45519.12000000001,113636.799,67701.582,18899.979,47340.678,67451.331,26850.089,9945.996,13718.969,0,78487.519,27380.349,28445.029,66493.033,70106.429,74643.93999999999,71425.659,92681.838,113854.288,135468.23799999998,19932.459,12458.039,8712.421,49485.754,106055.428,73632.68599999999,166881.86800000002,26405.719,56609.029,13901.389,101857.511,39900.416000000005,17705.409,6008.943,100,100
PFHxDA (M-H-CO2),PFAS Standards,likely,14521,14.103,27.798,204.35,768.9513,0.39,0.33,N/A,3897.8509999999997,6522.771,3512.22,4319.705,7706.2919999999995,0,3358.9739999999997,999.5942,3202.388,7777.806,0,0,3420.749,0,3444.23,0,0,0,5073.433,1461.734,4677.19,6348.664,3895.723,0,6494.687,0,0,0,3794.488,2426.392,0,0,3545.0559999999996,0,8232.037,3296.7659999999996,3014.6569999999997,2012.855,6382.121,0,3234.225,2215.287,100,100
6:2 diPAP (M-H),PFAS Standards,likely,11725,13.293,31.628,232.34,788.9759,1.01,-0.68,N/A,0,13177.369,0,1035.636,0,0,4442.853999999999,690.508,0,0,5522.967,0,18527.369,0,1272.594,12099.509,0,0,8492.086,0,1319.967,0,7846.108,641.4490000000001,20078.109,1357.609,2771.314,10402.089,22602.259,0,0,9937.247,0,0,0,3417.129,1264.982,10523.349,2213.627,3332.872,14022.259,0,100,100
6:8 PFPi (M-H),PFAS Standards,likely,5618,13.44,29.276,215.03,800.9174,1.5,0.83,N/A,0,51022.549000000006,9277.205,53512.049000000006,52898.699,0,8496.655999999999,9367.065,16675.299,96558.019,14788.579,6936.313999999999,10119.548999999999,20632.459,7392.653,1865.063,0,0,11834.539,0,10734.509,35254.679000000004,15770.059,26164.418999999998,8406.795,12878.439,49015.799000000006,22968.668999999998,1901.902,1497.869,0,9341.919,22693.649,0,47062.679000000004,0,9917.133,0,75621.019,1743.6100000000001,0,0,100,100
8:8 PFPi (M-H),PFAS Standards,likely,78684,14.042,31.66,231.95,900.9033,-7.21,-0.87,N/A,0,1724.8890000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
Heptafluoropropan-2-ol or Perfluoropropanol,External Targets,tentative,68508,12.431,18.682,144.86,184.9855,6.59,N/A,N/A,0,0,0,963.7001,0,0,0,0,0,1895.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"2,2,3,3-Tetrafluorobutanediimidic acid",External Targets,tentative,94323,2.418,1.069,22.130000000000003,187.012,-8.61,N/A,N/A,0,0,0,0,0,0,1402.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.7492,0,0,0,0,0,100,100
"2,2,3,3-Tetrafluorobutanediimidic acid",External Targets,tentative,94953,2.386,16.86,130.84,187.0121,-8.07,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"2,2,3,3-Tetrafluorobutanediimidic acid",External Targets,tentative,86166,2.452,0.658,5.62,187.0127,-4.87,N/A,N/A,0,0,1114.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
Tetrafluorosuccinic acid,External Targets,tentative,88203,0.552,15.421,119.5,188.9827,5.6,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,981.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"5-Ethyl-3-(1,1,2,2-tetrafluoroethyl)-1H-pyrazole",External Targets,tentative,87141,4.581,18.164,140.53,195.0557,3.17,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.2830000000001,0,0,0,0,0,100,100
"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto- or 5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one or 5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",External Targets,tentative,94521,4.79,18.081,139.64,201.0009,3.14,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"4-Hexen-3-one, 1,1,2,2-tetrafluoro-5-mercapto- or 5,5,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one or 5,6,6,6-Tetrafluoro-4-sulfanylhex-3-en-2-one",External Targets,tentative,93340,8.264,18.117,139.75,201.0015,6.13,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,642.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"3-(2,2,3,3-Tetrafluoropropoxy)propane-1,2-diol",External Targets,tentative,74514,12.0365,18.012,138.7,205.0478,-7.45,N/A,N/A,0,5157.3769999999995,0,0,0,0,0,0,0,0,648.8412000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134.5377,0,0,0,0,0,3277.0009999999997,0,0,0,0,0,0,0,0,0,0,100,100
"4,4,4-Trifluoro-3-hydroxy-3-(trifluoromethyl)butanenitrile",External Targets,tentative,39053,0.501,18.717,144.24,206.0029,-8.27,N/A,N/A,1507.4660000000001,0,0,1161.741,0,768.7314,0,0,1063.181,0,0,0,0,0,0,1428.775,1194.949,1001.583,0,0,0,1313.299,0,0,0,0,0,0,0,0,0,0,0,0,0,1790.173,0,2112.571,0,0,0,0,100,100
"1,5-Pentanediamine, 2,2,3,3,4,4-hexafluoro-",External Targets,tentative,86637,1.535,18.021,138.85,209.0502,-8.07,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083.643,0,0,0,0,0,0,0,0,100,100
"Phenol, 4-(pentafluoroethyl)-",External Targets,tentative,20475,13.021,18.764,144.41,211.0171,-7.94,N/A,N/A,626.3203,0,961.2635,1326.924,0,0,0,0,879.1766,1510.632,1943.645,1843.594,0,3271.5429999999997,0,2879.042,0,1952.4080000000001,0,4805.789,998.2435,803.3945,4132.852,1262.477,0,0,0,2073.794,0,2107.843,1808.318,2892.515,4011.9179999999997,4461.117,1716.042,2557.187,1045.333,0,1528.324,0,2165.861,0,100,100
