Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,643.0,15.1,26.06,193.3,485.0634,,,,639.999,561.999,755.999,707.999,555.999,283.999,475.999,491.999,100.0,508.0
No Match,None,unmatched,2988.0,7.8,26.75,198.7,486.9683,,,,0.0,170.999,160.999,192.999,0.0,0.0,247.999,0.0,50.0,91.0
No Match,None,unmatched,1120.0,4.9,26.95,199.9,487.08,,,,203.999,287.999,232.999,180.999,511.999,448.999,326.999,209.999,100.0,278.0
No Match,None,unmatched,3791.0,14.6,26.34,196.1,499.082,,,,194.999,0.0,208.999,170.999,0.0,0.0,0.0,0.0,37.5,68.0
No Match,None,unmatched,5671.0,15.8,26.35,196.1,499.0806,,,,107.999,0.0,0.0,135.999,0.0,0.0,0.0,0.0,25.0,30.0
No Match,None,unmatched,6450.0,10.4,22.77,168.6,502.9328,,,,0.0,126.999,0.0,0.0,0.0,0.0,0.0,126.999,25.0,31.0
No Match,None,unmatched,2652.0,11.7,22.9,169.9,504.9622,,,,0.0,119.999,0.0,265.999,186.999,174.999,0.0,147.999,62.5,106.0
No Match,None,unmatched,1829.0,11.7,22.9,170.2,507.9639,,,,315.999,154.999,266.999,232.999,226.999,206.999,0.0,0.0,75.0,164.0
No Match,None,unmatched,6516.0,11.9,24.7,183.0,524.9803,,,,211.999,113.999,221.999,218.999,148.999,136.999,135.999,0.0,87.5,142.0
No Match,None,unmatched,2475.0,13.7,27.41,203.1,543.0523,,,,162.999,0.0,165.999,171.999,150.999,133.999,162.999,156.999,87.5,133.0
No Match,None,unmatched,6335.0,15.0,27.43,203.3,543.0538,,,,189.999,385.999,124.999,259.999,457.999,335.999,253.999,0.0,87.5,233.0
No Match,None,unmatched,2861.0,3.5,27.68,205.0,555.0183,,,,125.999,0.0,108.999,137.999,0.0,214.999,100.999,132.999,75.0,100.0
No Match,None,unmatched,1909.0,12.9,28.03,207.0,623.0464,,,,290.999,0.0,332.999,279.999,114.999,121.999,0.0,117.999,75.0,148.0
No Match,None,unmatched,1306.0,13.2,28.53,210.5,639.0738,,,,497.999,156.999,460.999,453.999,165.999,0.0,168.999,153.999,87.5,238.0
No Match,None,unmatched,1928.0,13.4,28.44,209.9,669.9541,,,,313.999,0.0,343.999,328.999,170.999,0.0,0.0,159.999,62.5,153.0
No Match,None,unmatched,3960.0,15.6,27.53,202.6,731.8826,,,,135.999,0.0,0.0,0.0,0.0,250.999,155.999,0.0,37.5,64.0
No Match,None,unmatched,4074.0,15.9,27.56,202.1,757.9087,,,,0.0,293.999,0.0,0.0,0.0,0.0,227.999,0.0,25.0,61.0
No Match,None,unmatched,554.0,13.6,27.75,203.7,844.9389,,,,1143.076329501842,0.0,259.0763295018421,233.0763295018421,145.0763295018421,0.0,0.0,0.0,50.0,203.0
No Match,None,unmatched,563.0,14.1,28.7,210.5,894.9338,,,,909.098792678841,0.0,500.09879267884105,394.09879267884105,441.09879267884105,360.09879267884105,0.0,0.0,62.5,296.0
No Match,None,unmatched,509.0,14.2,29.67,217.4,944.9326,,,,486.26287028479203,0.0,278.26287028479203,286.26287028479203,529.262870284792,372.26287028479203,0.0,0.0,62.5,224.0
No Match,None,unmatched,917.0,14.8,31.58,231.1,1044.9254,,,,0.0,0.0,0.0,0.0,257.094241922209,173.094241922209,0.0,0.0,25.0,51.0
