Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,2438.0,2.2,13.59,106.2,168.8347,,,,167.999,229.999,184.999,221.999,149.999,126.999,158.999,218.999,100.0,173.0
No Match,None,unmatched,1384.0,2.5,13.6,106.2,170.8316,,,,216.999,467.999,276.999,261.999,0.0,266.999,342.999,275.999,87.5,244.0
No Match,None,unmatched,4570.0,3.0,13.62,106.3,170.8329,,,,0.0,135.999,0.0,110.999,0.0,0.0,0.0,100.999,37.5,43.0
No Match,None,unmatched,1456.0,2.3,13.63,106.3,172.8295,,,,285.999,0.0,282.999,301.999,180.999,252.999,283.999,289.999,87.5,218.0
No Match,None,unmatched,4292.0,2.7,13.62,106.3,172.8287,,,,0.0,0.0,103.999,0.0,0.0,120.999,135.999,124.999,50.0,60.0
No Match,None,unmatched,2822.0,2.2,13.64,106.3,174.8267,,,,0.0,176.999,123.999,123.999,158.999,153.999,172.999,202.999,87.5,133.0
No Match,None,unmatched,2009.0,8.0,17.9,139.5,176.0835,,,,171.19900735394458,0.0,0.0,152.19900735394458,0.0,0.0,0.0,0.0,25.0,39.0
No Match,None,unmatched,658.0,2.2,17.05,132.6,179.0555,,,,728.999,399.999,727.999,866.999,587.999,424.999,303.999,339.999,100.0,498.0
No Match,None,unmatched,2347.0,2.4,14.66,114.1,179.8818,,,,156.999,0.0,181.999,198.999,193.999,184.999,0.0,113.999,75.0,123.0
No Match,None,unmatched,5845.0,7.1,18.85,146.0,197.0599,,,,0.0,0.0,124.999,105.999,0.0,0.0,0.0,0.0,25.0,28.0
No Match,None,unmatched,3543.0,15.3,16.78,129.7,197.9902,,,,0.0,136.999,161.999,0.0,0.0,0.0,0.0,113.999,37.5,50.0
No Match,None,unmatched,5054.0,15.8,16.77,129.6,197.9905,,,,120.999,0.0,165.999,128.999,0.0,0.0,122.999,132.999,62.5,82.0
No Match,None,unmatched,6970.0,3.4,18.0,138.7,199.003,,,,0.0,0.0,0.0,0.0,0.0,0.0,110.999,107.999,25.0,27.0
No Match,None,unmatched,2087.0,7.2,18.29,141.4,199.0166,,,,367.999,0.0,316.999,298.999,168.999,207.999,0.0,0.0,62.5,158.0
No Match,None,unmatched,5369.0,7.2,18.24,141.0,201.0144,,,,0.0,0.0,119.999,133.999,0.0,0.0,0.0,0.0,25.0,31.0
No Match,None,unmatched,1651.0,3.5,18.54,143.0,201.0225,,,,301.999,193.999,0.0,333.999,147.999,283.999,182.999,140.999,87.5,186.0
No Match,None,unmatched,254.0,2.2,17.63,135.9,203.0008,,,,2069.999,373.999,2244.999,2348.999,1817.999,1909.999,1090.999,324.999,100.0,1365.0
No Match,None,unmatched,1842.0,15.3,17.36,133.9,203.0333,,,,0.0,0.0,256.999,0.0,0.0,0.0,0.0,280.999,25.0,63.0
No Match,None,unmatched,1421.0,5.5,16.86,130.0,204.9449,,,,323.999,178.999,318.999,259.999,246.999,251.999,202.999,108.999,100.0,221.0
No Match,None,unmatched,4431.0,3.2,16.82,129.6,205.9408,,,,136.999,117.999,0.0,0.0,0.0,0.0,0.0,0.0,25.0,31.0
No Match,None,unmatched,3585.0,5.5,16.84,129.8,206.9411,,,,0.0,116.999,179.999,168.999,149.999,0.0,0.0,0.0,50.0,74.0
No Match,None,unmatched,5532.0,3.3,16.82,129.6,207.936,,,,132.999,0.0,114.999,0.0,0.0,0.0,0.0,0.0,25.0,30.0
No Match,None,unmatched,5653.0,13.6,18.09,139.2,208.9742,,,,0.0,0.0,0.0,0.0,144.999,0.0,102.999,0.0,25.0,30.0
No Match,None,unmatched,6361.0,13.5,18.09,139.4,208.9769,,,,0.0,0.0,0.0,0.0,117.999,143.999,0.0,0.0,25.0,32.0
No Match,None,unmatched,974.0,2.7,18.12,139.3,215.0008,,,,511.999,267.999,475.999,418.999,327.999,367.999,272.999,158.999,100.0,323.0
No Match,None,unmatched,2128.0,13.0,17.54,134.9,215.0407,,,,172.999,0.0,169.999,0.0,0.0,0.0,143.999,0.0,37.5,58.0
No Match,None,unmatched,5146.0,13.7,17.53,134.8,215.0404,,,,199.999,0.0,0.0,0.0,0.0,0.0,0.0,175.999,25.0,45.0
No Match,None,unmatched,2685.0,13.5,17.58,135.0,216.0367,,,,0.0,540.999,703.999,0.0,0.0,0.0,460.999,612.999,50.0,263.0
No Match,None,unmatched,822.0,14.7,17.55,134.9,216.0373,,,,0.0,0.0,1318.999,1402.999,0.0,337.999,652.999,0.0,50.0,418.0
No Match,None,unmatched,4414.0,3.2,18.5,142.4,217.0148,,,,190.999,0.0,0.0,275.999,0.0,0.0,0.0,0.0,25.0,55.0
No Match,None,unmatched,2420.0,13.1,17.5,134.7,217.0486,,,,843.999,0.0,200.999,0.0,149.999,0.0,0.0,0.0,37.5,137.0
No Match,None,unmatched,5900.0,8.5,17.58,134.8,217.0602,,,,0.0,0.0,0.0,0.0,0.0,0.0,151.999,144.999,25.0,36.0
No Match,None,unmatched,878.0,5.9,17.1,131.3,220.9389,,,,592.999,316.999,467.999,397.999,112.999,582.999,335.999,297.999,100.0,356.0
No Match,None,unmatched,2030.0,7.0,17.13,131.4,221.9542,,,,229.999,0.0,240.999,207.999,243.999,162.999,140.999,0.0,75.0,145.0
No Match,None,unmatched,1101.0,5.9,17.12,131.4,222.935,,,,365.999,273.999,405.999,266.999,269.999,418.999,249.999,200.999,100.0,284.0
No Match,None,unmatched,1684.0,6.9,17.12,131.4,223.9515,,,,296.999,150.999,272.999,159.999,214.999,189.999,101.999,160.999,100.0,183.0
No Match,None,unmatched,2084.0,13.5,19.14,146.7,225.0057,,,,328.999,193.999,305.999,315.999,316.999,237.999,167.999,138.999,100.0,234.0
No Match,None,unmatched,5698.0,13.6,18.94,145.2,225.011,,,,0.0,104.999,0.0,0.0,0.0,132.999,0.0,0.0,25.0,29.0
No Match,None,unmatched,2873.0,5.7,17.1,130.9,225.067,,,,0.0,241.999,0.0,0.0,131.999,109.999,282.999,347.999,62.5,131.0
No Match,None,unmatched,3579.0,3.0,19.56,150.1,226.0168,,,,149.999,0.0,199.999,207.999,0.0,0.0,0.0,0.0,37.5,66.0
No Match,None,unmatched,5139.0,11.8,19.03,146.0,227.0013,,,,134.999,0.0,114.999,0.0,0.0,126.999,0.0,0.0,37.5,46.0
No Match,None,unmatched,6541.0,5.5,19.51,149.8,227.0388,,,,0.0,0.0,120.999,126.999,0.0,0.0,0.0,0.0,25.0,30.0
No Match,None,unmatched,7196.0,12.4,18.55,142.0,228.98,,,,151.999,0.0,188.999,177.999,201.999,114.999,0.0,125.999,75.0,115.0
No Match,None,unmatched,400.0,6.1,19.78,151.3,229.0538,,,,1308.999,726.999,1266.999,1164.999,1009.999,970.999,602.999,618.999,100.0,863.0
