"Score","SeriesType_Identifier","Name_or_Class","Formula","SMILES","m/z","Retention Time","Adduct","Unique","Score_Description","Needs_Validation","row.ID","DT","CCS","Abundance","RSD","X9.M.E1.A.1.d.DeMP","X10.M.E1.A.2.d.DeMP","X11.M.E1.A.3.d.DeMP","X16.DBS.E1.A.1.d.DeMP","X17.DBS.E1.A.2.d.DeMP","X18.DBS.E1.A.3.d.DeMP","X41.M.E4.A.1.d.DeMP","X42.M.E4.A.2.d.DeMP","X43.M.E4.A.3.d.DeMP","X47.DBS.E4.A.1.d.DeMP","X48.DBS.E4.A.2.d.DeMP","X49.DBS..E4.A.3.d.DeMP","Blank.1.d","Blank.2.d","Blank.3.d","ID_Ranked","nominal mass","mass defect","[CF2]n_Kendrick_mass","[CF2]n_nominal_Kendrick_mass","[CF2]n_Kendrick_mass_defect","[CF2]n_KMD_Group","[CF2]n_homologous_series","[CF2]n_Homologous_series_count","[CF2]n_MD_Filter","[CF2]n_RT_series","[CF2]n_DT_series","Confident_ID","2+_homologous_series","3+_homologous_series","Exact_mass_match","Score","Score_Description","Files","eC","MZ_eC","MD_eC","Checked_Viz","TRUE_Viz","Class_Viz","Cnumb_Viz","Comment_Viz"
"A","[CF2]n_458","PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1","C9HF17O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","418.9713","11.674","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","5156","19.678","147.29","59","1.51","0.001","0.001","0.001","0.001","0.001","0.001","166","162","0.001","225","149","0.001","0","0","0","1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C9- PFNA|(M-H-CO2)-|NA|CAS=NA;C9HF17O2;NA | 1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","419","-0.0287000000000148","418.998061909012","419","-0.0019380909881761","49","458","8","TRUE","RT not ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1","C9HF17O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","418.9726","12.014","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","5942","19.681","147.32","47","1.48","0.001","0.001","0.001","0.001","0.001","0.001","139","0.001","0.001","157","128","143","0","0","0","1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C9- PFNA|(M-H-CO2)-|NA|CAS=NA;C9HF17O2;NA | 1_PFNA|(M-H-CO2)-|DTXSID8031863|CAS=375-95-1;C9HF17O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","419","-0.0274000000000001","418.99936199205","419","-0.000638007950328756","49","458","8","TRUE","RT not ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_458","PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2","C10HF19O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","468.9674","11.336","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","4945","20.869","155.64","62","1.28","0.001","0.001","0.001","0.001","0.001","0.001","183","132","107","140","0.001","180","0","0","0","1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_13C6- PFDA|(M-H-CO2)-|NA|CAS=NA;C10HF19O2;NA | 1_PFDA|(M-H-CO2)-|DTXSID3031860|CAS=335-76-2;C10HF19O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","469","-0.0326000000000022","468.997355423888","469","-0.00264457611223179","49","458","8","TRUE","RT ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_439","PMPA|(M-H-CO2)-|NA|CAS=NA","C4HF7O3","","184.9835","7.354","[M-H-CO2]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","4437","14.849","115.69","73","1.11","0.001","0.001","0.001","0.001","0.001","0.001","148","110","118","172","116","209","0","0","0","1_PMPA|(M-H-CO2)-|NA|CAS=NA;C4HF7O3;NA | 1_PFMPA|(M-H-CO2)-|DTXSID70191136|CAS=377-73-1;C4HF7O3;OC(=O)C(F)(F)C(F)(F)OC(F)(F)F","185","-0.0165000000000077","184.995315872819","185","-0.00468412718083755","49","439","3","TRUE","RT ordered","DT ordered","TRUE","TRUE","TRUE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_439","PMPA|(M-H-CO2)-|NA|CAS=NA","C4HF7O3","","184.9864","0.424","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","5125","16.264","126.62","59","1.51","150","139","0.001","0.001","0.001","0.001","205","213","0.001","0.001","0.001","0.001","0","0","0","4_PMPA|(M-H-CO2)-|NA|CAS=NA;C4HF7O3;NA | 4_PFMPA|(M-H-CO2)-|DTXSID70191136|CAS=377-73-1;C4HF7O3;OC(=O)C(F)(F)C(F)(F)OC(F)(F)F","185","-0.0135999999999967","184.998216058057","185","-0.00178394194250586","49","439","3","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_439","GenX|(M-H-CO2)-|DTXSID40108559|CAS=62037-80-3","C6HF11O3","OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F","284.9768","9.71","[M-H-CO2]-","Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","17985","20.414","155","4","3.46","0.001","52","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0","4_GenX|(M-H-CO2)-|DTXSID40108559|CAS=62037-80-3;C6HF11O3;OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F | 4_13C3-GenX|(M-H-CO2)-|NA|CAS=NA;C6HF11O3;NA | 4_HFPO-DA (GenX)|(M-H-CO2)-|NA|CAS=13252-13-6;C6HF11O3;NA","285","-0.0231999999999744","284.995002972834","285","-0.00499702716609818","49","439","3","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"C+","[CF2]n_439","","","","584.9537","10.648","","","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","17919","28.815","213.38","4","3.46","0.001","0.001","0.001","0.001","0.001","0.001","52","0.001","0.001","0.001","0.001","0.001","0","0","0","5_NoID","585","-0.0462999999999738","584.991064081252","585","-0.00893591874785216","49","439","3","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","FALSE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_410","TFMS|(M-H)-|DTXSID2044397|CAS=1493-13-6","CHF3SO3","OS(=O)(=O)C(F)(F)F","148.9538","0.418","[M-H]-","No","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","16301","13.973","110.63","5","3.46","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","65","0.001","0.001","0.001","0","0","0","1_TFMS|(M-H)-|DTXSID2044397|CAS=1493-13-6;CHF3SO3;OS(=O)(=O)C(F)(F)F | 1_TFMS|(M-H)-|DTXSID2044397|CAS=1493-13-6;CF3SO3H;OS(=O)(=O)C(F)(F)F","149","-0.0461999999999989","148.963314465651","149","-0.0366855343490897","46","410","2","TRUE","RT ordered","DT ordered","TRUE","TRUE","FALSE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_410","PFOS-L|(M-H)-|NA|CAS=NA","C8HF17O3S","","498.9279","10.58","[M-H]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","1968","22.669","168.71","222","1","87","0.001","0.001","0.001","0.001","0.001","439","397","328","505","440","469","0","0","0","1_PFOS-L|(M-H)-|NA|CAS=NA;C8HF17O3S;NA | 1_13C8- PFOS|(M-H)-|NA|CAS=NA;C8HF17O3S;NA | 1_PFOS|(M-H)-|DTXSID3031864|CAS=1763-23-1;C8HF17O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","499","-0.0720999999999776","498.959769159208","499","-0.0402308407920486","46","410","2","TRUE","RT ordered","DT ordered","TRUE","TRUE","FALSE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
"A","[CF2]n_447","6:2 FTS|(M-H)-|DTXSID6067331|CAS=27619-97-2","C8H5F13SO3","OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","426.9656","9.489","[M-H]-","Yes","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","No","12884","22.561","168.65","10","3.46","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","118","0.001","0.001","0","0","0","1_6:2 FTS|(M-H)-|DTXSID6067331|CAS=27619-97-2;C8H5F13SO3;OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_6:2 FTS|(M-H)-|DTXSID6067331|CAS=27619-97-2;C8H5F13SO3;OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","427","-0.0344000000000051","426.992872547161","427","-0.0071274528389722","49","447","2","TRUE","RT not ordered","DT ordered","TRUE","TRUE","FALSE","FALSE","A","Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series","","eC","MZ_eC","MD_eC",,,,,
