Score,SeriesType_Identifier,Name_or_Class,Formula,SMILES,m/z,Retention Time,Adduct,Unique,Score_Description,Needs_Validation,row.ID,DT,CCS,Z,Ions,Freq.,Q.Score,Sat.,Mark,X45.B1.6988.d.DeMP,ID_Ranked,nominal mass,mass defect,[CF2]n_Kendrick_mass,[CF2]n_nominal_Kendrick_mass,[CF2]n_Kendrick_mass_defect,[CF2]n_KMD_Group,[CF2]n_homologous_series,[CF2]n_Homologous_series_count,[CF2]n_MD_Filter,[CF2]n_RT_series,[CF2]n_DT_series,Confident_ID,2+_homologous_series,3+_homologous_series,Exact_mass_match,Score.1,Score_Description.1,Checked_Viz,TRUE_Viz,Class_Viz,Cnumb_Viz,Comment_Viz,Classification
A,[CF2]n_265,PFDS-L|(M-H)-|NA|CAS=NA,C10HF21O3S,,598.9258,2.671,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,1454,25.116,185.86,-1,3,19,96.8,,False,1519.999,1_PFDS-L|(M-H)-|NA|CAS=NA;C10HF21O3S;NA | 1_PFDS|(M-H)-|DTXSID00873014|CAS=126105-34-8;C10HF21O3S;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,599,-0.0742,598.9640566,599,-0.035943447,45,265,6,True,RT ordered,DT ordered,True,True,True,False,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_303,PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6,C13HF25O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,618.9638,2.76,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,5188,24.311,179.75,-1,2,23,100.0,,False,193.5557,1_PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6;C13HF25O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_PFTrDA|(M-H-CO2)-|DTXSID20892489|CAS=862374-87-6;C13HF25O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,619,-0.0362,619.0033365,619,0.003336486,49,303,9,True,RT ordered,DT not ordered,True,True,True,False,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
A,[CF2]n_303,PFHxDA|(M-H-CO2)-|DTXSID1070800|CAS=67905-19-5,C16HF31O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,768.9517,3.271,,Yes,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,No,24315,27.735,204.28,-1,2,7,98.3,,False,152.999,1_PFHxDA|(M-H-CO2)-|DTXSID1070800|CAS=67905-19-5;C16HF31O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 1_PFHxDA|(M-H-CO2)-|DTXSID1070800|CAS=67905-19-5;C16HF31O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,769,-0.0483,769.000817,769,0.000817005,49,303,9,True,RT ordered,DT ordered,True,True,True,False,A,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,,,,,,likely
C+,[CF2]n_303,"4,4,5,5,6,6-Hexafluorohex-2-ynoic acid",C5HF9O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,218.9866,1.738,,Yes,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",Yes,2944,18.418,141.33,-1,2,8,100.0,,False,2400.999,4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,219,-0.0134,219.0005878,219,0.00058783,49,303,9,True,RT ordered,DT not ordered,False,True,True,True,C+,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",,,,,,TRUE
C+,[CF2]n_303,"4,4,5,5,6,6-Hexafluorohex-2-ynoic acid",C5HF9O2,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,218.9871,2.236,,Yes,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",Yes,11570,19.512,149.76,-1,1,9,98.9,,False,717.999,4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,219,-0.0129,219.0010879,219,0.001087862,49,303,9,True,RT ordered,DT ordered,False,True,True,True,C+,"Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)",,,,,,TRUE
D,[CF2]n_325,"3,4,4,4-Tetrafluoro-3-(trifluoromethyl)butanoic acid/3,4,4,4-Tetrafluoro-3-(trifluoromethyl)butanoic acid/3,4,4,4-Tetrafluoro-3-(trifluoromethyl)butanoic acid",,,226.9951,0.555,,,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",Yes,29493,17.332,132.7,-1,1,5,97.6,,False,244.999,5_NoID,227,-0.0049,227.0095994,227,0.009599376,50,325,7,True,RT not ordered,DT ordered,False,True,True,False,D,"Lvl 5 Schymanski: No ID, possible PFAS: 3+ within homologous series",,,,,,TRUE
D+,[CF2]n_438,"Cyclohexanecarboxylic acid, 1-(1,1,2,2-tetrafluoroethyl)-",,,227.0714,0.577,,,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",Yes,4175,19.888,152.35,-1,2,8,100.0,,False,16170.0,5_NoID,227,0.0714,227.0859042,227,0.085904249,57,438,3,True,RT ordered,DT ordered,False,True,True,False,D+,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",,,,,,TRUE
D+,[CF2]n_292,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol/1H,1H,5H-Perfluoropentane-1-thiol",,,246.9819,0.551,,,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",Yes,7471,19.208,146.47,-1,1,10,69.9,,False,1055.999,5_NoID,247,-0.0181,246.997676,247,-0.002323962,48,292,3,True,RT ordered,DT not ordered,False,True,True,False,D+,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",,,,,,TRUE
D+,[CF2]n_369,6-fluoro-2-(pentafluoroethyl)-1h-benzimidazole,,,253.0215,1.056,,,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",Yes,36317,19.528,148.74,-1,1,3,98.5,,False,215.999,5_NoID,253,0.0215,253.0376618,253,0.037661819,52,369,3,True,RT ordered,DT ordered,False,True,True,False,D+,"Lvl 5 Schymanski: No ID, possible PFAS:  Mass defect falling within -0.11 and 0.12 OR exact mass match, and 3+ within homologous series",,,,,,TRUE
D-,[CF2]n_283,"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",C6HF11O3,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,284.9755,3.849,,Yes,"Lvl 5 Schymanski: No ID, possible PFAS: Mass defect falling within -0.11 and 0.12 OR exact mass match",Yes,36394,20.46,154.99,-1,1,4,88.4,,False,130.999,4_GenX|(M-H-CO2)-|DTXSID40108559|CAS=62037-80-3;C6HF11O3;OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F | 4_13C3-GenX|(M-H-CO2)-|NA|CAS=NA;C6HF11O3;NA | 4_HFPO-DA (GenX)|(M-H-CO2)-|NA|CAS=13252-13-6;C6HF11O3;NA,285,-0.0245,284.9937029,285,-0.00629711,48,283,1,True,RT not ordered,DT ordered,False,False,False,True,D-,"Lvl 5 Schymanski: No ID, possible PFAS: Mass defect falling within -0.11 and 0.12 OR exact mass match",,,,,,TRUE
