ID,RT,DT,CCS,m/z,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP
5389,13.376,10.181,104.32,116.9736,0,108.999,0,0,154.999,0,0,0
6499,13.376,12.943,104.32,116.9734,0,121.999,128.999,0,0,0,0,0
5441,2.541,12.906,103.89,116.9736,0,214.999,0,0,0,0,0,127.999
