GroupID,m/z,RT,ID,CCS,Classification Type,Match Source,Match,Repeating Unit
250,397.9526,9.78,100099.0,151.96,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,FHxSA (M-H),CF2
250,497.9455,2.77,4960.0,170.19,tentative,External Targets,Perfluorooctanesulfonamide,CF2
250,597.9398,12.54,100090.0,188.12,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,FDSA (M-H),CF2
251,298.9525,0.66,100118.0,135.68,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFBPA (M-H),CF2
251,398.9461,4.55,100117.0,152.88,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHxPA (M-H),CF2
251,498.9397,7.81,100114.0,169.83,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFOPA (M-H),CF2
251,598.9333,10.31,100113.0,188.12,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDPA (M-H),CF2
268,326.9743,6.51,100048.0,150.39,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,4:2 FTS (M-H),CF2
268,426.9651,8.28,100062.0,151.2,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,Hydro-EVE (M-H),CF2
268,426.9679,9.31,100047.0,168.13,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,6:2 FTS (M-H),CF2
268,426.968,1.6375000000000002,1275.0,168.235,likely,PFAS Standards,6:2 FTS (M-H),CF2
268,526.9615,11.08,100046.0,185.8,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,8:2 FTS (M-H),CF2
268,626.9551,12.37,100045.0,203.62,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,10:2 FTS (M-H),CF2
316,462.9632,10.3,100028.0,165.15,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFNA (M-H),CF2
316,512.96,11.1,100026.0,174.21,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDA (M-H),CF2
316,562.9568,11.77,100024.0,182.86,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFUdA (M-H),CF2
316,612.9537,12.36,100022.0,191.37,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFDoA (M-H),CF2
316,662.9505,12.86,100020.0,200.76,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFTrDA (M-H),CF2
316,712.9473,13.3,100018.0,209.19,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFTeDA (M-H),CF2
316,812.9409,14.02,100016.0,226.12,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFHxDA (M-H),CF2
316,912.9339,14.29,100014.0,243.5,External Library,Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,PFODA (M-H),CF2
374,612.9691,2.521,8124.0,178.17,unmatched,0,No Match,CF2
374,712.96415,2.902,6722.0,191.065,unmatched,0,No Match,CF2
374,712.9653,2.768,5090.0,195.96,unmatched,0,No Match,CF2
374,812.96075,3.097,4189.0,209.5,unmatched,0,No Match,CF2
