Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,148 B2 16632.d.DeMP, 149 B2 16631.d.DeMP, 220 B3 16562.d.DeMP, 221 B3 16563.d.DeMP, 291 B4 16634.d.DeMP, 295 B4 16707.d.DeMP
diSAmPAP (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100106,14.74,0.0,307.21,1202.9705,0.0,0.0,0.0,0.0,0.0,0.0
8:8 PFPi (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100107,14.13,0.0,233.99,900.9098,0.0,0.0,0.0,0.0,0.0,0.0
6:8 PFPi (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100108,13.06,0.0,213.25,800.9162,0.0,0.0,0.0,0.0,0.0,0.0
6:6 PFPi (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100109,12.28,0.0,195.4,700.9226,0.0,0.0,0.0,0.0,0.0,0.0
8:2 diPAP (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100110,14.27,0.0,262.86,988.9623,0.0,0.0,0.0,0.0,0.0,0.0
6:2/8:2 diPAP (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100111,13.51,0.0,247.12,888.9687,0.0,0.0,0.0,0.0,0.0,0.0
6:2 diPAP (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100112,13.39,0.0,233.93,788.9751,0.0,0.0,0.0,0.0,0.0,0.0
PFDPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100113,10.31,0.0,188.12,598.9333,0.0,0.0,0.0,0.0,0.0,0.0
PFOPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100114,7.81,0.0,169.83,498.9397,0.0,0.0,0.0,0.0,0.0,0.0
Cl-PFOPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100115,8.48,0.0,174.95,514.9102,0.0,0.0,0.0,0.0,0.0,0.0
Cl-PFHxPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100116,5.54,0.0,156.12,414.9166,0.0,0.0,0.0,0.0,0.0,0.0
PFHxPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100117,4.55,0.0,152.88,398.9461,0.0,0.0,0.0,0.0,0.0,0.0
PFBPA (M-H),Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv,External Library,100118,0.66,0.0,135.68,298.9525,0.0,0.0,0.0,0.0,0.0,0.0
