Compound,RT,DT,CCS,Peak_mz,m/z,Peak_intensity,SampleName,Predicted_F_per_C,Isotope_Label,Normalized_Intensity_exp,Normalized_Intensity_ref,Combination,Isotope_Order,Intensity_Diff
101.0,9.453,18.6350555419922,139.446062171528,368.97143,368.97143,2719.0,NIST SRM-1957 9.d.DeMP,2.17,M+0,1.0,0.38677733401831005,Cl2_Br2,0,0.61322266598169
101.0,9.453,18.6350555419922,139.446062171528,369.97266,368.97143,155.0,NIST SRM-1957 9.d.DeMP,2.17,M+1,0.057006252298639204,0.0,Cl2_Br2,1,0.057006252298639204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+2,0.0,1.0,Cl2_Br2,2,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+3,0.0,0.0,Cl2_Br2,3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+4,0.0,0.8871334016404322,Cl2_Br2,4,0.8871334016404322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+5,0.0,0.0,Cl2_Br2,5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+6,0.0,0.31124713379856395,Cl2_Br2,6,0.31124713379856395
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+7,0.0,0.0,Cl2_Br2,7,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,M+8,0.0,0.03746896848364611,Cl2_Br2,8,0.03746896848364611
