GroupID,m/z,RT,DT,ID,CCS,Classification Type,Match Source,Match,Neutral Loss,Outlier,148 B2 16632.d.DeMP,149 B2 16631.d.DeMP,220 B3 16562.d.DeMP,221 B3 16563.d.DeMP,291 B4 16634.d.DeMP,295 B4 16707.d.DeMP
15,165.0529,1.242,17.436,4433.0,136.22,unmatched,,No Match,M-SO3,False,0.0,0.0,685.7778888888888,0.0,665.7778888888888,2065.7778888888893
15,245.0089,0.976,17.983,2354.0,137.14,unmatched,,No Match,M-CO2,False,0.0,0.0,0.0,6283.999,0.0,9082.999
15,245.0101,0.518,19.352,2404.0,147.63,unmatched,,No Match,M,True,2649.999,627.999,9401.999,0.0,1915.999,0.0
18,223.0591,0.542,19.589,6513.0,150.2,unmatched,,No Match,M,False,806.999,859.999,0.0,755.999,678.999,0.0
18,179.0689,0.635,18.398,337.0,142.95,unmatched,,No Match,M-CO2,False,65147.999,96644.999,32060.999,21993.999,26828.999,27760.999
18,135.0789,0.531,16.649,7080.0,132.275,unmatched,,No Match,M-CO2,True,713.999,546.999,3457.999,696.999,2149.999,2352.998
18,179.0688,2.0733333333333333,18.342,7385.0,142.63,unmatched,,No Match,M-CO2,True,325377.998,345335.998,395995.998,397205.999,289465.999,415970.3324444445
19,206.9405,0.705,16.904,4422.0,130.1,unmatched,,No Match,M,False,0.0,0.0,0.0,0.0,4962.999,633.999
19,162.951,0.608,16.814,7173.0,131.46,unmatched,,No Match,M-CO2,False,887.999,0.0,0.0,0.0,846.999,632.999
19,162.9506,0.606,15.765,6057.0,123.23,unmatched,,No Match,M-CO2,True,1383.999,682.999,0.0,0.0,0.0,1382.999
