PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90116,2100.0,132 1673 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90432,162.0,132 1673 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,7678.999,42,No Match,unmatched,132 1673 - Mitra.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89814,172.0,132 1673 - Mitra.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90737,4811.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90984,312.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90451,4622.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90669,347.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90123,1231.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90464,85.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,4810.999,40,No Match,unmatched,133 1673 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89845,98.0,133 1673 - DBS.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90804,30080.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91031,2175.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90523,29068.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90732,2205.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90197,8511.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90386,572.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,30079.999,39,No Match,unmatched,134 1894 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89813,663.0,134 1894 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90822,29716.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91044,2350.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90538,29287.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90772,2332.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90214,8255.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90463,589.0,137 3330 - Serum.d.DeMP.cef
244.9074,6.4,136.7,17.86,29715.999,42,No Match,unmatched,137 3330 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,250.89864,711.0,137 3330 - Serum.d.DeMP.cef
