AlignmentID,Peak_mz_1,PIMMS_CCS,Peak_mz_2,Kaufman_C,m_over_C,mass_defect,md_over_C,NIST SRM-1957 1.d.DeMP,NIST SRM-1957 10.d.DeMP,NIST SRM-1957 2.d.DeMP,NIST SRM-1957 3.d.DeMP,NIST SRM-1957 6.d.DeMP,NIST SRM-1957 7.d.DeMP,NIST SRM-1957 8.d.DeMP,NIST SRM-1957 9.d.DeMP
2.0,144.04479,124.59999999999998,145.04790333333332,11.56133020893204,12.799501364553004,0.0447900000000061,0.003981883964071409,0.0,0.0,2414.999,2375.999,0.0,0.0,0.0,837.999
3.0,203.00137999999998,135.9,204.00398,6.809188537985365,30.79230496604243,0.0013800000000003365,0.00022820465311063372,2069.999,0.0,2244.999,2348.999,1817.999,0.0,1090.999,0.0
4.0,229.05395,151.3,230.05652999999998,13.605479066634965,17.610891507668672,0.053950000000005126,0.004157215798455433,0.0,0.0,1266.999,1164.999,1009.999,0.0,0.0,0.0
5.0,244.90653666666665,136.7,245.90903333333333,7.427990140562625,33.13002281866891,-0.09346333333333234,-0.01264725875608975,0.0,5244.999,5253.999,4597.999,6988.999,0.0,4088.999,3481.999
6.0,245.04789571428572,156.6,246.05127142857143,9.617149597583643,25.87487343649903,0.047895714285715485,0.005057874660569025,2815.999,1908.999,2801.999,2523.999,2290.999,2311.999,1700.999,0.0
7.0,366.8975833333334,172.4,367.90095,11.310098022003485,32.445610484795075,-0.10241666666665121,-0.009058292760708743,1829.999,0.0,0.0,0.0,2030.999,0.0,1258.999,0.0
8.0,368.9733075,139.5,369.9763175,5.412857916362928,68.64893507759695,-0.026692500000002894,-0.004975391254272895,4632.999,3408.999,4505.999,4029.999,4468.999,3914.999,2759.999,2718.999
9.0,398.93424625,150.0,399.935725,5.64706747577646,71.27666045827276,-0.06575374999999184,-0.011751844094591658,10092.999,9084.999,9299.999,8912.999,12496.999,11899.999,7660.999,7312.999
10.0,448.93004499999995,159.7,449.93638999999996,8.173239411501765,54.932118066880335,-0.06995500000002153,-0.008560354342221754,0.0,0.0,0.0,0.0,1019.999,1097.999,0.0,0.0
11.0,487.08272999999997,199.9,488.08545000000004,18.303722643709513,26.786264564168185,0.08272999999999797,0.004548124774242353,0.0,0.0,0.0,0.0,511.999,448.999,0.0,0.0
12.0,498.92641142857144,168.5,499.9280757142857,7.8162701254646905,64.07563259893337,-0.07358857142858304,-0.009453907070755165,27968.999,23108.999,28089.999,0.0,27649.999,26700.999,17606.999,17655.999
13.0,498.92693125,164.2,499.92800875,7.713360762322914,64.79354968761926,-0.07306875000000446,-0.009493290801536491,9464.999,10249.999,8965.999,8089.999,11966.999,12202.999,7440.999,7153.999
14.0,543.0526166666667,203.23333333333335,544.0541533333334,37.566846188683506,16.15958101750396,0.052616666666646474,0.0015615827334403414,162.999,0.0,0.0,0.0,457.999,335.999,0.0,0.0
15.0,557.1037657142857,209.0,558.1043957142857,30.14929018695566,18.66864731297695,0.10376571428573048,0.0034784417145921204,649.999,241.999,651.999,597.999,372.999,368.999,228.999,0.0
16.0,639.07556,210.5,640.078975,14.829909251914295,43.38035198345963,0.07555999999999585,0.005129166846464615,497.999,0.0,460.999,0.0,0.0,0.0,0.0,0.0
17.0,669.9557500000001,209.9,670.95755,17.073817272671427,39.25828048437305,-0.04424999999997681,-0.00259412500195176,0.0,0.0,343.999,328.999,0.0,0.0,0.0,0.0
