Group,Peak,ID,RT,CCS,.d.DeMP
68,389.3432,2984,3.381,204.61,2262.999
69,393.3053,13372,2.649,198.31,546.999
69,394.3057,24200,2.565,199.06,109.999
70,395.28,7559,1.921,200.04,381.999
70,396.2815,13048,2.036,197.68,677.999
71,395.2811,9030,2.09,201.28,407.999
71,396.2815,13048,2.036,197.68,677.999
72,395.282,8887,2.112,197.53,543.999
72,396.2815,13048,2.036,197.68,677.999
73,396.2578,11851,2.597,200.65,245.999
73,397.2574,6604,2.409,199.63,288.999
74,397.2957,3511,2.331,211.56,806.999
74,398.2959,9878,2.36,207.67,439.999
75,397.3333,4577,2.659,201.55,1665.999
75,398.3353,10192,2.637,201.66,757.999
76,400.2513,5737,1.967,201.6,3665.999
76,400.3139,18624,2.086,201.07,149.999
77,401.2905,3246,1.839,200.89,1937.999
77,402.289,18589,1.71,201.31,422.999
78,401.3424,4679,3.674,208.16,1781.999
78,402.3463,14340,3.536,211.3,147.999
79,401.3434,5416,3.351,211.76,368.999
79,402.3463,14340,3.536,211.3,147.999
80,401.3482,26560,3.718,205.97,167.33344444444447
80,402.3476,23875,3.594,207.59,290.999
81,403.3606,1089,3.511,208.4,14252.999
81,404.3597,22400,3.692,209.96,265.999
82,407.3543,4504,4.189,211.45,2198.999
82,408.3565,18894,4.066,211.05,340.7778888888889
83,407.355,7662,3.938,207.65,1399.999
83,408.3565,18894,4.066,211.05,340.7778888888889
84,409.1436,8601,3.082,201.41,262.999
84,409.3435,8225,3.01,203.73,1285.999
85,411.3851,1967,4.736,213.63,6167.999
85,412.3887,3583,4.769,212.87,2227.999
86,413.3654,7624,4.051,215.83,572.999
86,414.369,22733,4.163,214.84,434.999
87,414.3298,7336,2.989,209.84,944.999
87,415.3258,337,2.953,212.01,74856.999
88,415.288,17539,2.937,203.35,440.999
88,416.2846,2157,3.028,205.07,3418.999
89,417.2154,18153,2.529,204.62,451.999
89,418.214,23793,2.623,205.07,155.999
90,417.3016,964,3.257,206.2,977.999
90,418.3011,1629,3.259,207.46,3174.999
91,419.3526,1774,3.629,209.99,866.999
91,420.3491,8079,3.76,209.99,97.92528579336658
92,421.2716,6250,2.952,203.09,1507.999
92,422.2726,7695,2.897,203.45,1201.999
93,423.3126,14557,2.473,205.53,583.999
93,424.3162,21966,2.527,209.35,308.999
94,425.1117,15123,3.564,208.75,277.999
94,425.3624,6122,3.478,210.56,610.295231054054
95,425.174,22842,2.468,199.13,327.999
95,425.2327,8187,2.444,200.85,2018.999
96,425.2004,19930,1.308,206.96,194.999
96,425.291,18942,1.399,210.97,260.999
97,425.2322,3937,1.998,200.96,4220.999
97,426.2338,10399,1.891,204.89,250.999
