,Name,Classification Type,CCS,RT,m/z,ID,GroupID,Repeating Unit
216,No Match,unmatched,227.86,14.533833333333334,980.9383666666668,44818.0,16,CF2
217,No Match,unmatched,233.185,14.992,980.9385,54775.0,16,CF2
218,No Match,unmatched,142.66,13.231,980.9387,10359.0,16,CF2
219,No Match,unmatched,234.485,13.362,980.939,1993.0,16,CF2
221,No Match,unmatched,243.25666666666663,13.741,1030.9347333333333,45839.0,16,CF2
222,No Match,unmatched,164.035,13.607,1030.93725,15644.0,16,CF2
223,No Match,unmatched,253.43,15.1065,1030.9386,28136.0,16,CF2
225,No Match,unmatched,189.66,13.6335,630.9532,78639.0,16,CF2
226,No Match,unmatched,178.06,13.313,630.9551,64004.0,16,CF2
227,No Match,unmatched,177.445,15.697,630.9558,40779.0,16,CF2
228,No Match,unmatched,179.95499999999998,14.337,630.9588,27234.0,16,CF2
229,No Match,unmatched,189.915,15.9035,630.95965,91364.0,16,CF2
230,No Match,unmatched,183.138,14.987799999999998,630.9597,1643.0,16,CF2
231,No Match,unmatched,183.614,12.952800000000002,630.9602600000001,31664.0,16,CF2
250,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol",tentative,125.83,11.874,246.98,82175.0,22,CF2
252,No Match,unmatched,153.4,1.733,296.9802,70976.0,22,CF2
253,"1,1,1,3,4,4-Hexafluoro-2-(trifluoromethyl)but-3-en-2-ol or 1H,1H,5H-Perfluoropentane-1-thiol",tentative,147.56,3.89,246.9831,94575.0,22,CF2
254,"2,3,3,3-Tetrafluoro-2-{1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propoxy}propan-1-ol",tentative,189.4,13.378,646.957,14591.0,22,CF2
255,No Match,unmatched,181.09,12.947,596.9587,2501.0,22,CF2
256,No Match,unmatched,186.53,13.593,546.9597,61138.0,22,CF2
258,No Match,unmatched,140.24,9.485,346.9757,24837.0,22,CF2
260,"1h,1h-perfluoro-3,6,9-trioxatridecan-1-ol",tentative,172.93,12.45,546.9624,6204.0,22,CF2
261,No Match,unmatched,197.44,13.757,696.9521,11039.0,22,CF2
262,"1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Pentadecafluorocyclooctan-1-ol or 1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",tentative,148.23,10.421,396.9718,2622.0,22,CF2
263,"1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Pentadecafluorocyclooctan-1-ol or 1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",tentative,148.125,13.0595,396.9722,7306.0,22,CF2
264,No Match,unmatched,164.71,11.878,496.9658,1199.0,22,CF2
272,"1,1,2,2,3,3,4,4,5,6,6,7,7,7-tetradecafluoro-5-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,4,5,5,6,6,7,7,7-tetradecafluoro-4-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,2,3,3,5,5,6,6,6-undecafluoro-4,4-bis(trifluoromethyl)hexane-1-sulfonic acid or 1,1,2,2,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-3-(trifluoromethyl)heptane-1-sulfonic acid or 1,1,2,3,3,4,4,5,5,6,6,7,7,7-tetradecafluoro-2-(trifluoromethyl)heptane-1-sulfonic acid or Heptadecafluorooctane-2-sulfonic acid or IsoPFOS or Perfluorooctanesulfonic acid",tentative,39.53,10.448,498.9286,80826.0,25,CF2
