Mass,Abundance
431.96208,21045.744
431.96208,136578.636
431.96208,360490.5
431.96208,574809.372
431.96208,594089.316
431.96208,395321.148
431.96208,160152.876
431.96208,25295.328
431.96208,9.396
431.96208,33.048
431.96208,87.48
431.96208,1022.22
431.96799,120.852
431.96799,697.248
431.96799,19548.216
431.96799,128577.78
431.96799,350861.22
431.96799,573818.256
431.96799,605870.928
431.96799,415518.012
431.96799,173815.632
431.96799,32527.98
431.96799,47.952
431.96799,196.02
431.96799,1757.376
431.97389,48.924
431.97389,327.24
431.97389,11373.372
431.97389,89521.848
431.97389,253940.832
431.97389,423302.436
431.97389,449828.964
431.97389,308408.472
431.97389,128090.484
431.97389,23361.696
431.97389,20.736
431.97389,7.452
431.97389,75.492
431.97389,1119.42
431.9798,54.108
431.9798,5437.692
431.9798,57694.032
431.9798,169660.008
431.9798,286999.524
431.9798,305628.228
431.9798,207676.548
431.9798,84819.636
431.9798,14014.62
431.9798,326.268
431.98571,1472.58
431.98571,33462.72
431.98571,104598.54
431.98571,182028.384
431.98571,195196.392
431.98571,131583.528
431.98571,52647.084
431.98571,7464.312
431.98571,28.188
431.99162,194.724
431.99162,17468.46
431.99162,60086.448
431.99162,106904.772
431.99162,115814.772
431.99162,76288.392
431.99162,29005.128
431.99162,2671.704
431.99753,9490.608
431.99753,33988.896
431.99753,61662.06
431.99753,66540.204
431.99753,42661.728
431.99753,14997.636
431.99753,682.344
432.00344,4732.344
432.00344,18617.688
432.00344,34463.88
432.00344,37773.54
432.00344,23917.68
432.00344,8229.6
432.00344,58.968
432.00935,2382.372
432.00935,11083.068
432.00935,20809.872
432.00935,22807.008
432.00935,14202.216
432.00935,4540.212
432.01526,739.044
432.01526,6711.336
432.01526,13114.224
432.01526,14387.868
432.01526,8676.72
432.01526,2304.288
432.02117,63.828
432.02117,4051.62
432.02117,8326.152
432.02117,9255.06
432.02117,5450.976
432.02117,1100.628
432.02708,2740.392
432.02708,6089.904
432.02708,7083.936
432.02708,4107.348
432.02708,523.26
432.03299,1973.16
432.03299,4610.196
432.03299,4940.676
432.03299,2650.968
432.03299,53.784
432.0389,1137.564
432.0389,3363.12
432.0389,3722.436
432.0389,1751.22
432.0448,464.616
432.0448,2147.472
432.0448,2416.068
432.0448,982.044
432.05071,67.716
432.05071,1053.324
432.05071,1290.816
432.05071,329.508
432.05662,223.884
432.05662,449.064
432.05662,49.896
432.06253,28.836
432.06253,56.052
432.06844,6.804
