PrecursorName,SMILES,Formula,PrecursorMz,PrecursorAdduct
"7,8,8,8-Tetrafluoro-7-(trifluoromethyl)octan-1-ol",OCCCCCCC(F)(C(F)(F)F)C(F)(F)F,C9H13F7O,269.0781822,M-H
"S-(1,1,2,2,3,3-Hexafluoropropyl)-L-cysteine",N[C@@H](CSC(F)(F)C(F)(F)C(F)F)C(O)=O,C6H7F6NO2S,270.0028886,M-H
"S-(1,1,2,3,3,3-Hexafluoropropyl)cysteine",[H][C@](N)(CSC(F)(F)C([H])(F)C(F)(F)F)C(O)=O,C6H7F6NO2S,270.0028886,M-H
"5-Amino-1,1,2,2,6,6,7,7-octafluorohept-4-en-3-one",NC(=CC(=O)C(F)(F)C(F)F)C(F)(F)C(F)F,C7H5F8NO,270.0170591,M-H
"N-(1,1,1,3,3,3-Hexafluoropropan-2-yl)benzamide",FC(F)(F)C(NC(=O)C1=CC=CC=C1)C(F)(F)F,C10H7F6NO,270.0359028,M-H
"2-Amino-5,5,6,6,7,7,7-heptafluoroheptanoic acid",NC(CCC(F)(F)C(F)(F)C(F)(F)F)C(O)=O,C7H8F7NO2,270.0370456,M-H
"2,2,3,3,4,4,4-Heptafluoro-N-(2-methoxyethyl)butanamide",COCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,C7H8F7NO2,270.0370456,M-H
"(Dichloromethyl)[3-(1,2,2,2-tetrafluoroethoxy)propyl]silane",FC(OCCC[SiH2]C(Cl)Cl)C(F)(F)F,C6H10Cl2F4OSi,270.9741295,M-H
"THIOUREA, N-(2,2,3,3,4,4,4-HEPTAFLUOROBUTYL)-N'-",CN=C(S)NCC(F)(F)C(F)(F)C(F)(F)F,C6H7F7N2S,271.0145365,M-H
"1,1,1-Trifluoro-4,4-dimethoxy-2-(trifluoromethyl)butane-2-thiol",COC(CC(S)(C(F)(F)F)C(F)(F)F)OC,C7H10F6O2S,271.0232897,M-H
"4-[(2,2,3,3,3-Pentafluoropropyl)sulfanyl]benzene-1,2-diamine",NC1=C(N)C=C(SCC(F)(F)C(F)(F)F)C=C1,C9H9F5N2S,271.0333803,M-H
"2-Butanol, 4-phenyl-1,1,1-trifluoro-2-trifluoromethyl-",OC(CCC1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,C11H10F6O,271.0563039,M-H
"1-(3,4-Dimethylphenyl)-1,1,2,3,3,3-hexafluoropropan-2-ol",CC1=C(C)C=C(C=C1)C(F)(F)C(O)(F)C(F)(F)F,C11H10F6O,271.0563039,M-H
"2-(2,5-Dimethylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",CC1=CC(=C(C)C=C1)C(O)(C(F)(F)F)C(F)(F)F,C11H10F6O,271.0563039,M-H
"3-(Heptafluoropropyl)pentane-1,5-diol",OCCC(CCO)C(F)(F)C(F)(F)C(F)(F)F,C8H11F7O2,271.0574467,M-H
AC1MELTU,CC(C)(C)C1(C)OC(O)(CC1=O)C(F)(F)C(F)F,C11H16F4O3,271.096277,M-H
"2-(2-Amino-5-methyl-phenyl)-1,1,1,3,3,3-hexafluoro-propan-2-ol",CC1=CC(=C(N)C=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO,272.0515529,M-H
"1,1,1,3,3,3-HEXAFLUORO-2-(4-(METHYLAMINO)PHENYL)PROPAN-2-OL",CNC1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO,272.0515529,M-H
"2-(2-Amino-4-methylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",CC1=CC(N)=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO,272.0515529,M-H
"2-(4-Amino-3-methylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",CC1=C(N)C=CC(=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO,272.0515529,M-H
"2-(4-Amino-2-methylphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",CC1=C(C=CC(N)=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO,272.0515529,M-H
"4,4,5,5,6,6,7,7,7-Nonafluorohept-2-yn-1-ol",OCC#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H3F9O,272.9967382,M-H
"3-(2,2,3,3,4,4,4-Heptafluorobutoxy)propane-1,2-diol",OCC(O)COCC(F)(F)C(F)(F)C(F)(F)F,C7H9F7O3,273.0367113,M-H
"2-[(Bicyclo[2.2.1]hept-5-en-2-yl)methyl]-1,1,1,3,3,3-hexafluoropropan-2-ol",[H]C12CC(CC(O)(C(F)(F)F)C(F)(F)F)C([H])(C1)C=C2,C11H12F6O,273.071954,M-H
"n-(2-chloroethyl)-2,2,3,3,4,4,4-heptafluorobutanamide",FC(F)(F)C(F)(F)C(F)(F)C(=O)NCCCl,C6H5ClF7NO,273.9875086,M-H
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2-methylaniline",CC1=C(N)C=CC(=C1)C(F)(C(F)(F)F)C(F)(F)F,C10H8F7N,274.0472164,M-H
"2-Pyrroleethanol, alpha,alpha-bis(trifluoromethyl)-1,5-dimethyl-",CN1C(C)=CC=C1CC(O)(C(F)(F)F)C(F)(F)F,C10H11F6NO,274.067203,M-H
"2,2,3,3,4,4-Hexafluoro-4-sulfobutanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,C4H2F6O5S,274.9454333,M-H
2-Chloro-4-(pentafluoroethyl)pyrimidine-5-carboxylic acid,OC(=O)C1=CN=C(Cl)N=C1C(F)(F)C(F)(F)F,C7H2ClF5N2O2,274.9652158,M-H
3-(Perfluoroisopropyl)-(2E)-difluoropropenoic acid,OC(=O)C(\F)=C(/F)C(F)(C(F)(F)F)C(F)(F)F,C6HF9O2,274.9760027,M-H
"3,4,4,5,5,5-Hexafluoro-2-(trifluoromethyl)pent-2-enoic acid",OC(=O)C(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF9O2,274.9760027,M-H
3-(Perfluoroisopropyl)-difluoro-2-propenoic acid,OC(=O)C(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,C6HF9O2,274.9760027,M-H
"4,4,4-Trifluoro-1-(thiophen-2-yl)-3-(trifluoromethyl)but-2-en-1-ol",OC(C=C(C(F)(F)F)C(F)(F)F)C1=CC=CS1,C9H6F6OS,274.997075,M-H
"N-Methyl-N'-[5-(pentafluoroethyl)-1,3,4-thiadiazol-2-yl]urea",CNC(=O)NC1=NN=C(S1)C(F)(F)C(F)(F)F,C6H5F5N4OS,275.0031428,M-H
"4,4,5,5,6,6,7,7,7-Nonafluorohept-2-en-1-ol",OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H5F9O,275.0123882,M-H
"(2E)-4,4,5,5,6,6,7,7,7-Nonafluorohept-2-en-1-ol",OC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H5F9O,275.0123882,M-H
"4-[(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)oxy]phenol",OC1=CC=C(OC(O)(C(F)(F)F)C(F)(F)F)C=C1,C9H6F6O3,275.014833,M-H
"[4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)phenyl]methanol",OCC1=CC=C(C=C1)C(F)(C(F)(F)F)C(F)(F)F,C10H7F7O,275.031232,M-H
(Perfluoropropyl)phenylmethanol,OC(C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,C10H7F7O,275.031232,M-H
(S)-(Perfluoropropyl)phenylmethanol,[H]C(O)(C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,C10H7F7O,275.031232,M-H
"2-[(2,2,3,3,4,4,5,5-Octafluoropentyl)oxy]ethan-1-ol",OCCOCC(F)(F)C(F)(F)C(F)(F)C(F)F,C7H8F8O2,275.0323748,M-H
"5-(1,1,2,2,3,3,3-heptafluoropropyl)benzene-1,3-diamine",NC1=CC(=CC(N)=C1)C(F)(F)C(F)(F)C(F)(F)F,C9H7F7N2,275.0424654,M-H
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)benzene-1,3-diamine",NC1=CC(N)=C(C=C1)C(F)(C(F)(F)F)C(F)(F)F,C9H7F7N2,275.0424654,M-H
"3-(2-Methylprop-1-en-1-yl)-2,2-bis(trifluoromethyl)cyclopropane-1-carboxylic acid",[H][C@@]1(C=C(C)C)[C@@]([H])(C(O)=O)C1(C(F)(F)F)C(F)(F)F,C10H10F6O2,275.0512185,M-H
"3-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)bicyclo[2.2.1]heptan-2-one",OC(C1C2CCC(C2)C1=O)(C(F)(F)F)C(F)(F)F,C10H10F6O2,275.0512185,M-H
"(3S)-1,1,1,2,2-Pentafluorododecan-3-ol",CCCCCCCCC[C@H](O)C(F)(F)C(F)(F)F,C12H21F5O,275.1439761,M-H
"3,5-Dichloro-4-(1,1,2,2-tetrafluoroethoxy)aniline",NC1=CC(Cl)=C(OC(F)(F)C(F)F)C(Cl)=C1,C8H5Cl2F4NO,275.9611518,M-H
"2,2,3,3,4,4,5,5,5-Nonafluoro-N-methylpentanamide",CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H4F9NO,276.0076372,M-H
"Phenol, 2-amino-4-(heptafluoropropyl)-",NC1=C(O)C=CC(=C1)C(F)(F)C(F)(F)C(F)(F)F,C9H6F7NO,276.026481,M-H
1-[4-(Heptafluoropropyl)-1H-pyrrol-3-yl]ethan-1-one,CC(=O)C1=CNC=C1C(F)(F)C(F)(F)C(F)(F)F,C9H6F7NO,276.026481,M-H
3-(Heptafluoropropyl)-5-methyl-1H-pyrrole-2-carbaldehyde,CC1=CC(=C(N1)C=O)C(F)(F)C(F)(F)C(F)(F)F,C9H6F7NO,276.026481,M-H
"2-Chloro-4-(2-chloro-1,1,2,2-tetrafluoroethoxy)phenol",OC1=C(Cl)C=C(OC(F)(F)C(F)(F)Cl)C=C1,C8H4Cl2F4O2,276.9451674,M-H
"2-Pentanol, 4,4-dichloro-1,1,1-trifluoro-2-(trifluoromethyl)-",CC(Cl)(Cl)CC(O)(C(F)(F)F)C(F)(F)F,C6H6Cl2F6O,276.9627092,M-H
"[1-(Difluoromethoxy)-1,2,2,2-tetrafluoroethoxy](difluoro)acetic acid",OC(=O)C(F)(F)OC(F)(OC(F)F)C(F)(F)F,C5H2F8O4,276.9752538,M-H
"Fluoro[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]acetic acid",OC(=O)C(F)OC(F)(F)C(F)(F)OC(F)(F)F,C5H2F8O4,276.9752538,M-H
"2,2,3,3,4,4-Hexafluoro-4-[(trifluoroethenyl)oxy]butan-1-ol",OCC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,C6H3F9O2,276.9916528,M-H
3(Perfluoro-2-butyl)propanol,OCCCC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,C7H7F9O,277.0280383,M-H
3-(Perfluorobutyl)-1-propanol,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H7F9O,277.0280383,M-H
"4,4,4-Trifluoro-1-(furan-2-yl)-3-(trifluoromethyl)butane-1,3-diol",OC(CC(O)(C(F)(F)F)C(F)(F)F)C1=CC=CO1,C9H8F6O3,277.0304831,M-H
"3-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)bicyclo[2.2.1]heptan-2-ol",OC1C2CCC(C2)C1C(O)(C(F)(F)F)C(F)(F)F,C10H12F6O2,277.0668686,M-H
"1-[4-(1,1,2,2-Tetrafluoroethoxy)phenyl]piperazine",FC(F)C(F)(F)OC1=CC=C(C=C1)N1CCNCC1,C12H14F4N2O,277.0969457,M-H
"1-Amino-3,3,4,4,5,5,6,6,6-nonafluorohexan-2-ol",NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H6F9NO,278.0232873,M-H
"N~1~-(2-Aminophenyl)-2,2,3,3-tetrafluorobutanediamide",NC(=O)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1N,C10H9F4N3O2,278.0558092,M-H
"N-Benzyl-2-(2,2,3,3-tetrafluoropropoxy)acetamide",FC(F)C(F)(F)COCC(=O)NCC1=CC=CC=C1,C12H13F4NO2,278.0809613,M-H
5-Chloro-perfluoropentanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C5HClF8O2,278.9464523,M-H
"1,1,2,2-Tetrafluoro-2-(2,2,2-trifluoroethoxy)ethane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)OCC(F)(F)F,C4H3F7O4S,278.9567469,M-H
Perfluoro(4-methoxybutanoic) acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C5HF9O3,278.9709174,M-H
Difluoro(perfluoropropoxy)acetic acid,OC(=O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,C5HF9O3,278.9709174,M-H
Perfluoro-3-ethoxypropanoic acid,OC(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C5HF9O3,278.9709174,M-H
"2,3,3,3-Tetrafluoro-2-(pentafluoroethoxy)propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,C5HF9O3,278.9709174,M-H
"6-Chloro-3,3,4,4,5,5,6,6-octafluorohexan-1-ol",OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C6H5ClF8O,278.9828378,M-H
2-(Perfluorobutyl)ethanethiol,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,C6H5F9S,278.9895448,M-H
AC1LC6EI,FC(F)(F)C(F)(F)C(F)(F)C1=CNC(=O)NC1=O,C7H3F7N2O2,279.0009945,M-H
"5-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)pyrimidine-2,4(1H,3H)-dione",FC(F)(F)C(F)(C1=CNC(=O)NC1=O)C(F)(F)F,C7H3F7N2O2,279.0009945,M-H
"3,3,4,4,5,5,6,6,6-Nonafluorohexane-1,2-diol",OCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H5F9O2,279.0073029,M-H
"2,2,3,3,4,4,4-Heptafluoro-N-(1H-1,2,4-triazol-5-yl)butanamide",FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=NC=NN1,C6H3F7N4O,279.0122279,M-H
"2,5-Octanedione, 7-hydroxy-8,8,8-trifluoro-7-trifluoromethyl-",CC(=O)CCC(=O)CC(O)(C(F)(F)F)C(F)(F)F,C9H10F6O3,279.0461332,M-H
"5-(Heptafluoropropyl)-N,1-dimethyl-1H-1,2,4-triazol-3-amine",CNC1=NN(C)C(=N1)C(F)(F)C(F)(F)C(F)(F)F,C7H7F7N4,279.0486134,M-H
Tetrafluron,CN(C)C(=O)NC1=CC(OC(F)(F)C(F)F)=CC=C1,C11H12F4N2O2,279.0762103,M-H
"2-(1,1,1,3,3,3-Hexafluoro-2-hydroxypropan-2-yl)heptanal",CCCCCC(C=O)C(O)(C(F)(F)F)C(F)(F)F,C10H14F6O2,279.0825187,M-H
"5-(1,1,1,3,3,3-Hexafluoropropan-2-yl)-4-methyl-1,3-thiazole-2(3H)-thione",CC1=C(SC(=S)N1)C(C(F)(F)F)C(F)(F)F,C7H5F6NS2,279.9694805,M-H
6-Nitro-2-(pentafluoroethyl)-1H-benzimidazole,[O-][N+](=O)C1=CC2=C(C=C1)N=C(N2)C(F)(F)C(F)(F)F,C9H4F5N3O2,280.0150872,M-H
"Bis(1H,1H-perfluoropropyl)amine",FC(F)(F)C(F)(F)CNCC(F)(F)C(F)(F)F,C6H5F10N,280.0189508,M-H
"3-Amino-3-[3-(1,1,2,2-tetrafluoroethoxy)phenyl]propanoic acid",NC(CC(O)=O)C1=CC(OC(F)(F)C(F)F)=CC=C1,C11H11F4NO3,280.0602259,M-H
"3-Amino-3-[4-(1,1,2,2-tetrafluoroethoxy)phenyl]propanoic acid",NC(CC(O)=O)C1=CC=C(OC(F)(F)C(F)F)C=C1,C11H11F4NO3,280.0602259,M-H
Amphetamine PFP,CC(CC1=CC=CC=C1)NC(=O)C(F)(F)C(F)(F)F,C12H12F5NO,280.0766248,M-H
"1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfinic acid",OS(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)F,C4H2F8O3S,280.9524104,M-H
"1,1,2,2,3,3,4,4-Octafluorobutane-1-sulphonic acid",OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C4H2F8O3S,280.9524104,M-H
"1H,1H-Nonafluoro-3,6-dioxaheptan-1-ol",OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,C5H3F9O3,280.9865674,M-H
"5-(Heptafluoropropyl)dihydropyrimidine-2,4(1H,3H)-dione",FC(F)(F)C(F)(F)C(F)(F)C1CNC(=O)NC1=O,C7H5F7N2O2,281.0166446,M-H
4-Cyclopropyl-2-(pentafluoroethyl)pyrimidine-5-carboxylic acid,OC(=O)C1=CN=C(N=C1C1CC1)C(F)(F)C(F)(F)F,C10H7F5N2O2,281.0354883,M-H
"Benzoic acid, 2-hydroxy-4-(2,2,3,3-tetrafluoropropoxy)-, methyl ester",COC(=O)C1=C(O)C=C(OCC(F)(F)C(F)F)C=C1,C11H10F4O4,281.0442415,M-H
"2,2,3,3,4,4,4-Heptafluoro-1-(piperazin-1-yl)butan-1-one",FC(F)(F)C(F)(F)C(F)(F)C(=O)N1CCNCC1,C8H9F7N2O,281.0530301,M-H
"2-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-5-methylcyclohexan-1-ol",CC1CCC(C(O)C1)C(F)(C(F)(F)F)C(F)(F)F,C10H13F7O,281.0781822,M-H
"2-{2-[2-(2,2,3,3,3-Pentafluoropropoxy)ethoxy]ethoxy}ethan-1-ol",OCCOCCOCCOCC(F)(F)C(F)(F)F,C9H15F5O4,281.0817698,M-H
"4,4,4-Trifluoro-2-pentyl-3-(trifluoromethyl)butane-1,3-diol",CCCCCC(CO)C(O)(C(F)(F)F)C(F)(F)F,C10H16F6O2,281.0981687,M-H
(S)-Perfluorobutanesulfinamide,N[S@](=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4H2F9NOS,281.9640583,M-H
"2-chloro-N-(2-ethylphenyl)-2,3,3,3-tetrafluoropropanamide",CCC1=CC=CC=C1NC(=O)C(F)(Cl)C(F)(F)F,C11H10ClF4NO,282.0314243,M-H
"Ethyl 3-amino-4,4,5,5,6,6,6-heptafluorohex-2-enoate",CCOC(=O)C=C(N)C(F)(F)C(F)(F)C(F)(F)F,C8H8F7NO2,282.0370456,M-H
"2,2,3,3,4,4,4-Heptafluoro-N-pentylbutanamide",CCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,C9H12F7NO,282.0734312,M-H
"1,1,1,3,3,3-Hexafluoro-2-(trichloromethyl)propan-2-ol",OC(C(F)(F)F)(C(F)(F)F)C(Cl)(Cl)Cl,C4HCl3F6O,282.8924367,M-H
Nonafluorobutane-1-sulfinic acid,OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O2S,282.9480739,M-H
4-Chloro-3-(heptafluoropropyl)-5-methylpyrazole,CC1=C(Cl)C(=NN1)C(F)(F)C(F)(F)C(F)(F)F,C7H4ClF7N2,282.987843,M-H
"2-Nitro-4-[(2,2,3,3-tetrafluoropropyl)sulfanyl]aniline",NC1=C(C=C(SCC(F)(F)C(F)F)C=C1)[N+]([O-])=O,C9H8F4N2O2S,283.0169813,M-H
"3,3,4,4,4-Pentafluoro-2-hydroxy-2-(2-methylphenyl)butanoic acid",CC1=CC=CC=C1C(O)(C(O)=O)C(F)(F)C(F)(F)F,C11H9F5O3,283.039905,M-H
2-(Pentafluoroethyl)-4-(propan-2-yl)pyrimidine-5-carboxylic acid,CC(C)C1=NC(=NC=C1C(O)=O)C(F)(F)C(F)(F)F,C10H9F5N2O2,283.0511384,M-H
"2,2,3,3,4,4,5-Heptafluorononanoic acid",CCCCC(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,C9H11F7O2,283.0574467,M-H
"9-(2,2,3,3-Tetrafluorocyclobutyl)nonanoic acid",OC(=O)CCCCCCCCC1CC(F)(F)C1(F)F,C13H20F4O2,283.1326625,M-H
Undecafluoropentan-1-amine,NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5H2F11N,283.9938789,M-H
"Methyl N-(2,2,3,3,4,4,4-heptafluorobutanoyl)glycinate",COC(=O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,C7H6F7NO3,284.0163102,M-H
2-(Heptafluoropropyl)-1H-indole,FC(F)(F)C(F)(F)C(F)(F)C1=CC2=CC=CC=C2N1,C11H6F7N,284.0315663,M-H
"2-Methyl-4,4-bis(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazine",CC1NC2=CC=CC=C2C(O1)(C(F)(F)F)C(F)(F)F,C11H9F6NO,284.0515529,M-H
"2-Amino-6,6,7,7,8,8,8-heptafluorooctanoic acid",NC(CCCC(F)(F)C(F)(F)C(F)(F)F)C(O)=O,C8H10F7NO2,284.0526957,M-H
"Ethyl 4,4,5,5,6,6,6-heptafluoronorleucinate",CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,C8H10F7NO2,284.0526957,M-H
"1,1,1,3,3,4,4,4-Octafluoro-2-(trifluoromethyl)-2-butanol",OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)F,C5HF11O,284.9778944,M-H
"4-Heptanone, 7-chloro-2-hydroxy-1,1,1-trifluoro-2-trifluoromethyl-",OC(CC(=O)CCCCl)(C(F)(F)F)C(F)(F)F,C8H9ClF6O2,285.0122462,M-H
"2-hydroxy-4-(2,2,3,3,3-pentafluoropropoxy)benzoic Acid",OC(=O)C1=C(O)C=C(OCC(F)(F)C(F)(F)F)C=C1,C10H7F5O4,285.0191695,M-H
2-(Heptafluoropropyl)-1H-benzimidazole,FC(F)(F)C(F)(F)C(F)(F)C1=NC2=CC=CC=C2N1,C10H5F7N2,285.0268153,M-H
"4-Amino-2-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)benzonitrile",NC1=CC=C(C#N)C(=C1)C(F)(C(F)(F)F)C(F)(F)F,C10H5F7N2,285.0268153,M-H
"5-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-1H-indazole",FC(F)(F)C(F)(C1=CC=C2NN=CC2=C1)C(F)(F)F,C10H5F7N2,285.0268153,M-H
"4,4,4-Trifluoro-3-hydroxy-1-phenyl-3-(trifluoromethyl)butan-1-one",OC(CC(=O)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F,C11H8F6O2,285.0355685,M-H
"Ethyl 4,4,5,5,6,6,6-heptafluoro-3-hydroxyhexanoate",CCOC(=O)CC(O)C(F)(F)C(F)(F)C(F)(F)F,C8H9F7O3,285.0367113,M-H
"(1z,6z)-2,2,3,3,4,4,5,5-octafluorohexanediimidamide",NC(=N)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=N,C6H6F8N4,285.0391915,M-H
"3,3,3-Trifluoro-N-(4-methylpyridin-2-yl)-2-(trifluoromethyl)propanimidic acid",CC1=CC(N=C(O)C(C(F)(F)F)C(F)(F)F)=NC=C1,C10H8F6N2O,285.0468019,M-H
"4-[1,1,2,2-tetrafluoro-2-(4-hydroxyphenyl)ethyl]phenol",OC1=CC=C(C=C1)C(F)(F)C(F)(F)C1=CC=C(O)C=C1,C14H10F4O2,285.0544122,M-H
Methyl 5-(pentafluoroethyl)-2-propyl-1H-imidazole-4-carboxylate,CCCC1=NC(C(=O)OC)=C(N1)C(F)(F)C(F)(F)F,C10H11F5N2O2,285.0667884,M-H
"6-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-1H-benzotriazole",FC(F)(F)C(F)(C1=CC=C2N=NNC2=C1)C(F)(F)F,C9H4F7N3,286.0220643,M-H
"2-Pyridinecarboxaldehyde, 6-(2-hydroxy-3,3,3-trifluoro-2-(trifluoromethyl)propyl)-",OC(CC1=CC=CC(C=O)=N1)(C(F)(F)F)C(F)(F)F,C10H7F6NO2,286.0308174,M-H
"1,1,1,2,2,3,3-Heptafluoro-5-nitroheptan-4-ol",CCC(C(O)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O,C7H8F7NO3,286.0319603,M-H
"5-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-2,3-dihydro-1H-indole",FC(F)(F)C(F)(C1=CC2=C(NCC2)C=C1)C(F)(F)F,C11H8F7N,286.0472164,M-H
"2-(4-Ethylamino-phenyl)-1,1,1,3,3,3-hexafluoro-propan-2-ol",CCNC1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,C11H11F6NO,286.067203,M-H
"2-Bromo-4-(1,1,2,2-tetrafluoroethoxy)phenol",OC1=C(Br)C=C(OC(F)(F)C(F)F)C=C1,C8H5BrF4O2,286.933625,M-H
"5-Bromo-2-(1,1,2,2-tetrafluoroethoxy)phenol",OC1=C(OC(F)(F)C(F)F)C=CC(Br)=C1,C8H5BrF4O2,286.933625,M-H
Octafluoroadipamide,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=O,C6H4F8N2O2,287.0072227,M-H
"4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)benzoic acid",OC(=O)C1=CC=C(C=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H6F6O3,287.014833,M-H
"Methyl 4,4,5,5,6,6,6-heptafluoro-3,3-dihydroxyhexanoate",COC(=O)CC(O)(O)C(F)(F)C(F)(F)C(F)(F)F,C7H7F7O4,287.0159758,M-H
4-Amino-2-(heptafluoropropyl)pyrimidine-5-carbonitrile,NC1=NC(=NC=C1C#N)C(F)(F)C(F)(F)C(F)(F)F,C8H3F7N4,287.0173133,M-H
"5,5'-(1,1,2,2,3,3-hexafluoropropane-1,3-diyl)bis(2h-tetrazole)",FC(F)(C1=NNN=N1)C(F)(F)C(F)(F)C1=NNN=N1,C5H2F6N8,287.0233811,M-H
"7-Chloro-1,1,1-trifluoro-2-(trifluoromethyl)heptane-2,4-diol",OC(CCCCl)CC(O)(C(F)(F)F)C(F)(F)F,C8H11ClF6O2,287.0278963,M-H
"2-[2-(2,2,3,3,4,4,4-Heptafluorobutoxy)ethoxy]ethan-1-ol",OCCOCCOCC(F)(F)C(F)(F)C(F)(F)F,C8H11F7O3,287.0523614,M-H
"3,3,4,4,5,5,6,6-Octafluorooctane-1,8-diamine",NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCN,C8H12F8N2,287.0799937,M-H
"1,1,1,3,3,3-hexafluoro-2-(3-nitrophenyl)propan-2-ol",OC(C1=CC(=CC=C1)[N+]([O-])=O)(C(F)(F)F)C(F)(F)F,C9H5F6NO3,288.010082,M-H
AI 3-18011,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1,C10H6F7NO,288.026481,M-H
"2,2,3,3,3-pentafluoro-N-naphthalen-1-ylpropanamide",FC(F)(F)C(F)(F)C(=O)NC1=CC=CC2=CC=CC=C12,C13H8F5NO,288.0453247,M-H
"2,2,3,3,3-pentafluoro-N-naphthalen-2-ylpropanamide",FC(F)(F)C(F)(F)C(=O)NC1=CC2=CC=CC=C2C=C1,C13H8F5NO,288.0453247,M-H
"2-(4-Amino-3-methoxyphenyl)-1,1,1,3,3,3-hexafluoropropan-2-ol",COC1=C(N)C=CC(=C1)C(O)(C(F)(F)F)C(F)(F)F,C10H9F6NO2,288.0464675,M-H
