Match,Match Source,Classification Type,ID,RT,DT,CCS,m/z,Mass Error (ppm),CCS Error (%),RT Error (abs),Abundance,NIST SRM-1957 1.d.DeMP, NIST SRM-1957 10.d.DeMP, NIST SRM-1957 2.d.DeMP, NIST SRM-1957 3.d.DeMP, NIST SRM-1957 6.d.DeMP, NIST SRM-1957 7.d.DeMP, NIST SRM-1957 8.d.DeMP, NIST SRM-1957 9.d.DeMP,Detection Frequency (%),Average Abundance
No Match,None,unmatched,2084.0,13.5,19.14,146.7,225.0057,,,,192.999,328.999,193.999,305.999,315.999,316.999,237.999,167.999,138.999,100.0,230.0
No Match,None,unmatched,5698.0,13.6,18.94,145.2,225.011,,,,39.999,77.999,104.999,0.0,0.0,0.0,132.999,0.0,0.0,44.4,40.0
No Match,None,unmatched,2873.0,5.7,17.1,130.9,225.067,,,,101.999,0.0,241.999,0.0,0.0,131.999,109.999,282.999,347.999,66.7,128.0
No Match,None,unmatched,7666.0,6.3,17.1,131.0,225.0691,,,,21.999,0.0,108.999,0.0,0.0,69.999,0.0,0.0,0.0,33.3,23.0
No Match,None,unmatched,3579.0,3.0,19.56,150.1,226.0168,,,,76.999,149.999,0.0,199.999,207.999,0.0,0.0,58.999,0.0,55.6,75.0
No Match,None,unmatched,5139.0,11.8,19.03,146.0,227.0013,,,,46.999,134.999,0.0,114.999,0.0,0.0,126.999,0.0,0.0,44.4,47.0
No Match,None,unmatched,6541.0,5.5,19.51,149.8,227.0388,,,,30.999,0.0,0.0,120.999,126.999,0.0,0.0,0.0,0.0,33.3,31.0
No Match,None,unmatched,400.0,6.1,19.78,151.3,229.0538,,,,958.999,1308.999,726.999,1266.999,1164.999,1009.999,970.999,602.999,618.999,100.0,873.0
No Match,None,unmatched,1053.0,2.3,18.95,145.2,230.0109,,,,321.999,436.999,261.999,468.999,509.999,355.999,329.999,0.0,210.999,88.9,299.0
No Match,None,unmatched,4370.0,10.1,18.41,140.8,230.0528,,,,58.999,0.0,90.999,189.999,0.0,0.0,0.0,65.999,125.999,55.6,59.0
No Match,None,unmatched,1813.0,3.6,17.07,130.7,232.0573,,,,178.999,311.999,235.999,0.0,211.999,196.999,381.999,90.999,0.0,77.8,169.0
No Match,None,unmatched,1848.0,3.1,19.71,150.8,232.9935,,,,173.999,324.999,203.999,235.999,0.0,230.999,217.999,0.0,175.999,77.8,164.0
No Match,None,unmatched,2799.0,5.3,18.9,144.5,238.0762,,,,104.999,0.0,185.999,165.999,168.999,239.999,0.0,77.999,0.0,66.7,101.0
No Match,None,unmatched,4994.0,8.0,20.34,155.4,238.11,,,,48.999,0.0,0.0,201.999,0.0,98.999,0.0,91.999,0.0,44.4,49.0
No Match,None,unmatched,3497.0,6.3,17.65,134.7,239.0824,,,,78.999,0.0,251.999,185.999,0.0,0.0,0.0,194.999,123.999,55.6,89.0
No Match,None,unmatched,2299.0,6.6,17.62,134.7,239.0848,,,,132.999,271.999,108.999,150.999,0.0,330.999,199.999,0.0,0.0,66.7,126.0
No Match,None,unmatched,1819.0,3.9,18.42,140.7,240.9115,,,,177.999,356.999,193.999,379.999,334.999,0.0,0.0,61.999,94.999,77.8,168.0
No Match,None,unmatched,1984.0,3.9,18.43,140.9,242.9101,,,,157.999,217.999,0.0,281.999,188.999,251.999,208.999,112.999,0.0,77.8,150.0
No Match,None,unmatched,5072.0,3.2,19.43,148.5,242.9967,,,,47.999,0.0,0.0,75.999,138.999,89.999,78.999,0.0,0.0,55.6,49.0
No Match,None,unmatched,6582.0,13.6,20.11,153.7,243.1004,,,,47.999,143.999,0.0,236.999,0.0,103.999,140.999,0.0,0.0,55.6,73.0
No Match,None,unmatched,77.0,6.6,17.93,136.7,244.9059,,,,5256.999,5877.999,5244.999,5253.999,4597.999,6988.999,6520.999,4088.999,3481.999,100.0,4741.0
No Match,None,unmatched,2536.0,7.0,17.93,136.6,244.9048,,,,116.999,0.0,347.999,0.0,0.0,0.0,0.0,277.999,311.999,44.4,110.0
No Match,None,unmatched,1217.0,2.6,20.37,155.4,245.0477,,,,278.999,379.999,214.999,328.999,339.999,392.999,233.999,153.999,184.999,100.0,261.0
No Match,None,unmatched,176.0,4.2,20.55,156.6,245.0468,,,,2220.999,2815.999,1908.999,2801.999,2523.999,2290.999,2311.999,1700.999,1412.999,100.0,2009.0
No Match,None,unmatched,8150.0,14.2,20.26,154.9,245.1155,,,,18.999,81.999,0.0,0.0,70.999,0.0,0.0,0.0,0.0,33.3,21.0
No Match,None,unmatched,5509.0,8.8,19.15,146.4,246.0601,,,,41.999,0.0,0.0,148.999,136.999,49.999,0.0,0.0,0.0,44.4,42.0
No Match,None,unmatched,1844.0,4.6,17.63,134.3,246.0733,,,,173.999,0.0,440.999,0.0,0.0,0.0,0.0,565.999,416.999,44.4,164.0
No Match,None,unmatched,1817.0,6.8,17.95,136.7,246.9022,,,,177.999,0.0,580.999,0.0,0.0,0.0,0.0,482.999,360.999,44.4,165.0
No Match,None,unmatched,6193.0,6.4,17.89,136.4,250.897,,,,33.999,0.0,154.999,0.0,118.999,0.0,0.0,0.0,0.0,33.3,34.0
No Match,None,unmatched,4583.0,6.0,18.43,140.5,251.999,,,,55.999,201.999,0.0,0.0,0.0,0.0,0.0,0.0,241.999,33.3,53.0
No Match,None,unmatched,6372.0,13.2,18.49,140.8,252.0023,,,,32.999,0.0,0.0,0.0,0.0,148.999,0.0,111.999,0.0,33.3,33.0
No Match,None,unmatched,784.0,2.0,18.48,140.7,256.966,,,,441.999,482.999,371.999,591.999,520.999,411.999,507.999,321.999,323.999,100.0,408.0
No Match,None,unmatched,7557.0,13.5,18.5,140.9,257.045,,,,22.999,0.0,0.0,0.0,0.0,51.999,73.999,57.999,0.0,44.4,25.0
No Match,None,unmatched,717.0,7.9,20.92,159.2,258.0856,,,,0.0,217.042380491975,0.0,123.042380491975,114.042380491975,0.0,0.0,0.0,0.0,33.3,49.0
No Match,None,unmatched,1227.0,3.1,17.79,135.5,259.0094,,,,275.999,386.999,0.0,343.999,89.999,455.999,509.999,209.999,212.999,88.9,257.0
No Match,None,unmatched,2875.0,12.7,19.02,144.8,260.0408,,,,101.999,0.0,400.999,0.0,413.999,0.0,0.0,0.0,0.0,33.3,95.0
No Match,None,unmatched,9039.0,9.9,19.9,151.7,260.0771,,,,12.999,0.0,0.0,53.999,50.999,0.0,0.0,0.0,0.0,33.3,15.0
No Match,None,unmatched,4807.0,12.7,19.91,151.6,261.0724,,,,51.999,53.999,83.999,128.999,90.999,59.999,0.0,0.0,0.0,66.7,54.0
No Match,None,unmatched,7150.0,6.6,20.78,158.0,261.1077,,,,25.999,156.999,49.999,0.0,0.0,0.0,0.0,0.0,0.0,33.3,27.0
No Match,None,unmatched,9012.0,11.8,19.06,144.8,263.108,,,,13.999,0.0,56.999,0.0,0.0,0.0,50.999,0.0,0.0,33.3,16.0
No Match,None,unmatched,2441.0,7.7,18.66,141.9,264.032,,,,0.0,0.0,11.212782879305536,0.0,0.0,0.0,174.21278287930554,0.0,0.0,22.2,21.0
No Match,None,unmatched,7130.0,4.8,19.73,149.8,265.0617,,,,25.999,0.0,0.0,0.0,0.0,0.0,116.999,0.0,90.999,33.3,27.0
No Match,None,unmatched,8705.0,5.3,18.42,139.9,267.0563,,,,15.999,0.0,72.999,0.0,0.0,0.0,53.999,0.0,0.0,33.3,18.0
No Match,None,unmatched,5867.0,9.6,19.92,150.8,276.0508,,,,83.999,0.0,156.999,0.0,0.0,0.0,307.999,231.999,0.0,44.4,83.0
No Match,None,unmatched,5076.0,14.1,18.59,141.0,276.9975,,,,47.999,0.0,130.999,126.999,0.0,0.0,0.0,0.0,125.999,44.4,48.0
No Match,None,unmatched,1789.0,16.0,19.9,150.8,277.0472,,,,181.999,296.999,286.999,0.0,280.999,0.0,0.0,316.999,271.999,66.7,170.0
No Match,None,unmatched,3969.0,12.8,18.59,140.9,277.9958,,,,72.999,0.0,281.999,0.0,0.0,0.0,314.999,0.0,0.0,33.3,70.0
No Match,None,unmatched,2992.0,15.2,19.21,145.4,286.0388,,,,95.999,0.0,0.0,0.0,0.0,428.999,0.0,0.0,341.999,33.3,90.0
No Match,None,unmatched,5772.0,10.6,19.25,145.4,289.0561,,,,38.999,0.0,195.999,0.0,0.0,0.0,0.0,0.0,112.999,33.3,38.0
No Match,None,unmatched,6421.0,13.3,19.49,147.7,292.0098,,,,0.0,25.252249731794834,0.0,27.252249731794834,0.0,0.0,0.0,0.0,0.0,22.2,7.0
No Match,None,unmatched,6203.0,12.6,20.12,152.1,300.0548,,,,33.999,0.0,0.0,65.999,100.999,0.0,0.0,105.999,0.0,44.4,35.0
No Match,None,unmatched,866.0,9.8,21.13,159.7,304.9075,,,,59.999,286.65785022323576,0.0,69.999,0.0,0.0,0.0,135.999,127.999,55.6,74.0
No Match,None,unmatched,3349.0,9.8,21.77,164.4,316.9345,,,,0.0,246.16896815879505,0.0,0.0,62.16896815879507,0.0,0.0,0.0,0.0,22.2,33.0
No Match,None,unmatched,5914.0,4.8,21.59,162.9,322.9653,,,,36.999,108.999,0.0,0.0,186.999,0.0,0.0,0.0,0.0,33.3,37.0
No Match,None,unmatched,5142.0,6.0,21.65,163.1,322.9647,,,,46.999,118.999,0.0,0.0,0.0,112.999,0.0,143.999,0.0,44.4,47.0
No Match,None,unmatched,8867.0,2.3,20.66,155.6,328.8989,,,,50.999,87.999,79.999,77.999,0.0,0.0,89.999,69.999,54.999,77.8,59.0
No Match,None,unmatched,4822.0,12.0,22.24,167.6,328.9822,,,,121.999,201.999,175.999,170.999,244.999,0.0,0.0,183.999,0.0,66.7,117.0
No Match,None,unmatched,8463.0,6.8,20.02,150.5,329.9826,,,,16.999,0.0,64.999,0.0,0.0,72.999,0.0,0.0,0.0,33.3,19.0
No Match,None,unmatched,8526.0,11.9,21.93,165.4,333.0361,,,,16.999,69.999,0.0,0.0,64.999,0.0,0.0,0.0,0.0,33.3,19.0
No Match,None,unmatched,572.0,8.1,22.96,172.5,334.0701,,,,23.999,0.0,0.0,0.0,0.0,44.62894911873741,0.0,83.999,108.999,44.4,31.0
No Match,None,unmatched,9053.0,3.9,19.6,147.6,334.8935,,,,12.999,50.999,0.0,0.0,0.0,50.999,0.0,0.0,0.0,33.3,15.0
No Match,None,unmatched,8590.0,15.6,19.67,148.2,334.8948,,,,16.999,55.999,0.0,0.0,0.0,75.999,0.0,0.0,0.0,33.3,18.0
No Match,None,unmatched,5885.0,13.3,21.86,164.4,335.0209,,,,36.999,57.999,64.999,56.999,0.0,55.999,0.0,61.999,0.0,66.7,40.0
No Match,None,unmatched,6737.0,11.0,21.82,164.4,336.0169,,,,16.999,57.999,0.0,0.0,79.999,0.0,0.0,0.0,0.0,33.3,19.0
No Match,None,unmatched,6622.0,9.7,22.01,165.3,346.0532,,,,29.999,0.0,64.999,0.0,98.999,0.0,0.0,77.999,0.0,44.4,32.0
No Match,None,unmatched,8334.0,11.6,21.94,165.2,346.0661,,,,17.999,0.0,0.0,80.999,62.999,0.0,0.0,0.0,0.0,33.3,20.0
No Match,None,unmatched,7300.0,10.8,20.68,155.2,347.002,,,,24.999,0.0,0.0,0.0,0.0,65.999,0.0,68.999,62.999,44.4,27.0
No Match,None,unmatched,8491.0,11.5,20.76,155.6,347.9934,,,,16.999,0.0,60.999,0.0,0.0,0.0,0.0,0.0,75.999,33.3,19.0
No Match,None,unmatched,9042.0,10.1,22.1,165.6,348.0592,,,,12.999,0.0,51.999,0.0,0.0,0.0,0.0,51.999,0.0,33.3,15.0
No Match,None,unmatched,5470.0,14.3,22.07,165.6,348.0581,,,,42.999,0.0,130.999,0.0,50.999,0.0,0.0,76.999,80.999,55.6,44.0
No Match,None,unmatched,5304.0,11.7,22.05,165.3,352.9414,,,,44.999,0.0,168.999,0.0,0.0,0.0,145.999,186.999,0.0,44.4,59.0
No Match,None,unmatched,4290.0,15.6,22.04,165.4,352.9448,,,,60.999,0.0,0.0,0.0,0.0,272.999,211.999,0.0,0.0,33.3,58.0
No Match,None,unmatched,7036.0,12.0,21.75,163.2,354.047,,,,26.999,77.999,75.999,0.0,0.0,0.0,60.999,0.0,0.0,44.4,29.0
No Match,None,unmatched,8864.0,13.2,21.76,163.4,354.0459,,,,14.999,55.999,0.0,0.0,0.0,0.0,0.0,62.999,0.0,33.3,17.0
No Match,None,unmatched,2203.0,5.4,23.55,176.9,356.1148,,,,138.999,147.999,176.999,214.999,141.999,185.999,243.999,0.0,0.0,77.8,133.0
No Match,None,unmatched,2025.0,12.4,23.58,176.9,357.0114,,,,153.999,126.999,129.999,171.999,168.999,207.999,228.999,133.999,119.999,100.0,154.0
No Match,None,unmatched,2112.0,15.1,23.59,177.1,357.011,,,,147.999,124.999,238.999,154.999,159.999,198.999,130.999,139.999,125.999,100.0,152.0
No Match,None,unmatched,9049.0,10.8,22.52,169.0,358.0375,,,,12.999,0.0,0.0,0.0,49.999,0.0,0.0,0.0,52.999,33.3,15.0
No Match,None,unmatched,8798.0,8.2,22.82,171.6,362.9563,,,,14.999,0.0,0.0,58.999,62.999,0.0,0.0,0.0,0.0,33.3,17.0
No Match,None,unmatched,235.0,9.6,23.03,172.4,366.8979,,,,1647.999,1829.999,1587.999,1746.999,1468.999,2030.999,2055.999,1258.999,1201.999,100.0,1493.0
No Match,None,unmatched,6011.0,9.6,23.05,172.4,368.8926,,,,35.999,0.0,115.999,0.0,0.0,0.0,0.0,51.999,120.999,44.4,37.0
No Match,None,unmatched,8010.0,9.5,23.04,172.4,370.8914,,,,19.999,0.0,0.0,0.0,0.0,0.0,66.999,0.0,92.999,33.3,21.0
No Match,None,unmatched,7298.0,3.3,23.7,177.6,372.1074,,,,24.999,0.0,0.0,95.999,0.0,0.0,0.0,101.999,0.0,33.3,26.0
No Match,None,unmatched,7916.0,10.9,22.57,168.9,373.043,,,,20.999,0.0,0.0,0.0,0.0,0.0,73.999,0.0,90.999,33.3,22.0
No Match,None,unmatched,2043.0,4.7,22.95,171.8,381.0236,,,,151.999,172.999,0.0,229.999,208.999,273.999,0.0,170.999,161.999,77.8,145.0
No Match,None,unmatched,6360.0,6.4,22.3,166.9,386.9167,,,,32.999,109.999,0.0,0.0,0.0,0.0,0.0,151.999,0.0,33.3,33.0
No Match,None,unmatched,4796.0,7.3,22.3,166.8,386.9179,,,,51.999,145.999,0.0,0.0,0.0,0.0,135.999,135.999,0.0,44.4,51.0
No Match,None,unmatched,7006.0,10.2,23.09,173.2,387.0631,,,,26.999,118.999,0.0,97.999,0.0,0.0,0.0,0.0,0.0,33.3,28.0
No Match,None,unmatched,4234.0,10.8,22.94,171.4,402.036,,,,61.999,95.999,86.999,96.999,94.999,0.0,0.0,49.999,69.999,77.8,63.0
No Match,None,unmatched,6448.0,6.1,24.09,179.8,404.9693,,,,31.999,0.0,0.0,0.0,0.0,66.999,101.999,84.999,0.0,44.4,33.0
No Match,None,unmatched,4640.0,15.6,23.67,177.0,404.9877,,,,54.999,99.999,177.999,159.999,0.0,0.0,0.0,0.0,0.0,44.4,54.0
No Match,None,unmatched,7143.0,2.4,24.37,182.0,412.9735,,,,25.999,0.0,90.999,0.0,115.999,0.0,0.0,0.0,0.0,33.3,27.0
No Match,None,unmatched,4971.0,2.9,22.4,167.3,416.8937,,,,49.999,88.999,0.0,70.999,71.999,0.0,0.0,73.999,89.999,66.7,51.0
No Match,None,unmatched,9019.0,4.8,22.38,167.5,416.9024,,,,13.999,0.0,0.0,57.999,49.999,0.0,0.0,0.0,0.0,33.3,16.0
No Match,None,unmatched,8940.0,10.4,22.9,171.0,417.0545,,,,13.999,0.0,0.0,0.0,0.0,54.999,58.999,0.0,0.0,33.3,16.0
No Match,None,unmatched,8936.0,7.9,22.77,170.0,418.0039,,,,13.999,0.0,0.0,0.0,0.0,59.999,54.999,0.0,0.0,33.3,16.0
No Match,None,unmatched,9021.0,12.7,24.74,184.8,420.9924,,,,12.999,56.999,0.0,0.0,0.0,49.999,0.0,0.0,0.0,33.3,15.0
No Match,None,unmatched,6998.0,10.6,23.72,177.4,428.0401,,,,26.999,68.999,0.0,88.999,58.999,0.0,0.0,0.0,0.0,44.4,29.0
No Match,None,unmatched,4108.0,4.9,24.36,181.5,428.9252,,,,64.999,158.999,0.0,0.0,0.0,0.0,0.0,169.999,186.999,44.4,63.0
No Match,None,unmatched,7059.0,2.3,23.8,176.9,450.8908,,,,26.999,0.0,57.999,0.0,0.0,71.999,0.0,0.0,82.999,44.4,28.0
No Match,None,unmatched,7681.0,3.4,24.61,183.1,450.9735,,,,21.999,49.999,0.0,0.0,0.0,0.0,0.0,53.999,73.999,44.4,24.0
No Match,None,unmatched,6467.0,8.1,24.67,183.6,450.9736,,,,24.999,66.999,58.999,0.0,0.0,0.0,0.0,0.0,75.999,44.4,27.0
No Match,None,unmatched,8593.0,7.1,24.36,181.4,462.9048,,,,16.999,0.0,0.0,0.0,50.999,80.999,0.0,0.0,0.0,33.3,18.0
No Match,None,unmatched,3338.0,11.2,20.88,155.4,468.963,,,,83.999,137.999,133.999,0.0,183.999,148.999,0.0,0.0,68.999,66.7,82.0
No Match,None,unmatched,2076.0,12.4,25.53,189.8,469.0327,,,,149.999,179.999,82.999,235.999,157.999,148.999,0.0,188.999,202.999,88.9,144.0
No Match,None,unmatched,7641.0,15.1,26.12,194.0,487.0635,,,,22.999,0.0,64.999,114.999,0.0,0.0,0.0,0.0,0.0,33.3,24.0
No Match,None,unmatched,1120.0,4.9,26.95,199.9,487.08,,,,300.999,203.999,287.999,232.999,180.999,511.999,448.999,326.999,209.999,100.0,280.0
No Match,None,unmatched,8804.0,2.1,25.09,185.8,492.8986,,,,14.999,0.0,0.0,0.0,0.0,0.0,0.0,54.999,66.999,33.3,17.0
No Match,None,unmatched,7170.0,2.7,25.21,186.9,492.9012,,,,25.999,0.0,76.999,0.0,0.0,0.0,65.999,0.0,62.999,44.4,28.0
No Match,None,unmatched,8650.0,15.7,25.06,186.0,498.895,,,,15.999,0.0,0.0,0.0,0.0,59.999,68.999,0.0,0.0,33.3,18.0
No Match,None,unmatched,3791.0,14.6,26.34,196.1,499.082,,,,71.999,194.999,0.0,208.999,170.999,0.0,0.0,0.0,0.0,44.4,69.0
No Match,None,unmatched,5671.0,15.8,26.35,196.1,499.0806,,,,39.999,107.999,0.0,74.999,135.999,0.0,0.0,0.0,0.0,44.4,40.0
No Match,None,unmatched,6450.0,10.4,22.77,168.6,502.9328,,,,31.999,0.0,126.999,0.0,0.0,0.0,0.0,0.0,126.999,33.3,32.0
No Match,None,unmatched,8305.0,14.5,25.81,191.3,502.9848,,,,17.999,0.0,0.0,0.0,0.0,0.0,73.999,70.999,88.999,44.4,30.0
No Match,None,unmatched,2652.0,11.7,22.9,169.9,504.9622,,,,111.999,0.0,119.999,0.0,265.999,186.999,174.999,0.0,147.999,66.7,107.0
No Match,None,unmatched,1829.0,11.7,22.9,170.2,507.9639,,,,175.999,315.999,154.999,266.999,232.999,226.999,206.999,0.0,0.0,77.8,166.0
No Match,None,unmatched,8153.0,2.6,25.98,193.1,534.8921,,,,18.999,62.999,0.0,0.0,89.999,0.0,0.0,0.0,0.0,33.3,21.0
No Match,None,unmatched,2475.0,13.7,27.41,203.1,543.0523,,,,120.999,162.999,0.0,165.999,171.999,150.999,133.999,162.999,156.999,88.9,132.0
No Match,None,unmatched,6335.0,15.0,27.43,203.3,543.0538,,,,250.999,189.999,385.999,124.999,259.999,457.999,335.999,253.999,0.0,88.9,235.0
No Match,None,unmatched,2861.0,3.5,27.68,205.0,555.0183,,,,102.999,125.999,0.0,108.999,137.999,0.0,214.999,100.999,132.999,77.8,100.0
No Match,None,unmatched,818.0,14.5,28.24,209.0,557.1036,,,,417.999,649.999,241.999,651.999,597.999,372.999,368.999,228.999,231.999,100.0,386.0
No Match,None,unmatched,7090.0,4.1,28.06,207.1,586.9156,,,,25.999,0.0,51.999,0.0,0.0,49.999,55.999,0.0,52.999,55.6,29.0
No Match,None,unmatched,8642.0,4.4,28.03,206.8,598.9441,,,,15.999,0.0,59.999,0.0,0.0,0.0,64.999,65.999,0.0,44.4,25.0
No Match,None,unmatched,8552.0,3.9,28.01,206.9,598.9578,,,,16.999,0.0,0.0,0.0,0.0,68.999,64.999,0.0,0.0,33.3,18.0
No Match,None,unmatched,5706.0,12.4,28.81,212.9,599.0748,,,,38.999,0.0,0.0,105.999,0.0,98.999,0.0,0.0,109.999,44.4,40.0
No Match,None,unmatched,7166.0,3.1,29.14,214.8,614.9785,,,,25.999,0.0,63.999,0.0,0.0,66.999,0.0,74.999,0.0,44.4,28.0
No Match,None,unmatched,1909.0,12.9,28.03,207.0,623.0464,,,,166.999,290.999,74.999,332.999,279.999,114.999,121.999,0.0,117.999,88.9,159.0
No Match,None,unmatched,8761.0,2.6,28.94,213.2,632.9341,,,,15.999,0.0,0.0,0.0,0.0,0.0,53.999,69.999,0.0,33.3,17.0
No Match,None,unmatched,1306.0,13.2,28.53,210.5,639.0738,,,,256.999,497.999,156.999,460.999,453.999,165.999,0.0,168.999,153.999,88.9,240.0
No Match,None,unmatched,1928.0,13.4,28.44,209.9,669.9541,,,,164.999,313.999,0.0,343.999,328.999,170.999,0.0,0.0,159.999,66.7,155.0
No Match,None,unmatched,4074.0,15.9,27.56,202.1,757.9087,,,,64.999,0.0,293.999,0.0,0.0,0.0,0.0,227.999,0.0,33.3,62.0
No Match,None,unmatched,509.0,14.2,29.67,217.4,944.9326,,,,201.26287028479203,486.26287028479203,0.0,278.26287028479203,286.26287028479203,529.262870284792,372.26287028479203,0.0,0.0,66.7,222.0
No Match,None,unmatched,4924.0,14.7,29.68,217.2,944.9302,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.25224973179483,70.25224973179483,22.2,16.0
No Match,None,unmatched,907.0,14.6,30.61,224.2,994.9282,,,,0.0,0.0,0.0,0.0,0.0,60.76451133336559,92.76451133336559,0.0,0.0,22.2,18.0
No Match,None,unmatched,917.0,14.8,31.58,231.1,1044.9254,,,,0.0,0.0,0.0,0.0,0.0,257.094241922209,173.094241922209,21.094241922208994,30.094241922208994,44.4,53.0
