PREFERRED NAME,SMILES,Formula,Mass,MONOISOTOPIC MASS,M+1,lib_eC,lib_M_eC,lib_MD,lib_MD_eC
"2,2'-(5-Iodo-1,3-phenylene)bis(hexafluoropropan-2-ol)",OC(C1=CC(=CC(I)=C1)C(O)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,C12H5F12IO2,535.914266,534.90698,12.97887395,11.99969855,44.57670147,-0.09302,-0.007751861
"Perfluoro-3,5-dioxahexanoic acid",OC(=O)C(F)(F)OC(F)(F)OC(F)(F)F,C4HF7O4,245.9763061,244.9690257,4.326291317,3.999899517,61.24379492,-0.0309743,-0.00774377
"2,5-Dichloro-4-(1,1,2,2-tetrafluoroethylsulfanyl)aniline",NC1=CC(Cl)=C(SC(F)(F)C(F)F)C=C1Cl,C8H5Cl2F4NS,292.9455884,291.9383084,8.652582634,7.999799033,36.49320529,-0.0616916,-0.007711644
"2,3-Dichloro-4-(1,1,2,2-tetrafluoroethylsulfanyl)aniline",NC1=C(Cl)C(Cl)=C(SC(F)(F)C(F)F)C=C1,C8H5Cl2F4NS,292.9455884,291.9383084,8.652582634,7.999799033,36.49320529,-0.0616916,-0.007711644
"2,2,3,3,4,4,4-Heptafluoro-N-(2-iodophenyl)butanamide",FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=CC=C1I,C10H5F7INO,414.9304093,413.92313,10.81572829,9.999748791,41.39335284,-0.07687,-0.007687193
"Propionamide, N-(2-bromoallyl)-3,3,3-trifluoro-2-(trifluoromethyl)-",FC(F)(F)C(C(=O)NCC(Br)=C)C(F)(F)F,C7H6BrF6NO,312.9536952,311.946416,7.571009805,6.999824154,44.56489322,-0.053584,-0.007655049
Perfluorodecanesulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10HF21O3S,599.9311075,598.9238265,10.81572829,9.999748791,59.89388724,-0.0761735,-0.007617541
"4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-Hexadecafluoro-2-iodo-10-(trifluoromethyl)undecan-1-ol",OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,C12H6F19IO,653.915999,652.90871,12.97887395,11.99969855,54.410426,-0.09129,-0.007607691
"N-[(Chlorocarbonyl)oxy]-2,2,3,3,4,4,4-heptafluorobutanimidamide",FC(F)(F)C(F)(F)C(F)(F)C(=N)NOC(Cl)=O,C5H2ClF7N2O2,289.9693025,288.9620222,5.407864146,4.999874396,57.79385627,-0.0379778,-0.007595751
MLS003106628,FC(F)(F)C(F)(F)C(F)(F)C1=NC2=C(N1)N=C(Cl)C(Cl)=N2,C8HCl2F7N4,355.9466489,354.9393686,8.652582634,7.999799033,44.36853565,-0.0606314,-0.007579115
Difluoro(perfluoromethoxy)acetic acid,OC(=O)C(F)(F)OC(F)(F)F,C3HF5O3,179.984585,178.9773047,3.244718488,2.999924637,59.66060029,-0.0226953,-0.00756529
Pentafluoropropaneperoxoic acid,OOC(=O)C(F)(F)C(F)(F)F,C3HF5O3,179.984585,178.9773047,3.244718488,2.999924637,59.66060029,-0.0226953,-0.00756529
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluorooctane-1-sulfonic acid",[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,C8H2F16O3S,481.9469164,480.9396357,8.652582634,7.999799033,60.1189647,-0.0603643,-0.007545727
PFOPA,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17O3P,499.9470103,498.9397297,8.652582634,7.999799033,62.36903298,-0.0602703,-0.007533977
"1,1,1,4,4,5,5,5-Octafluoro-2-(trifluoromethyl)pent-2-ene-3-thiol",FC(F)(F)C(=C(S)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11S,313.9623315,312.955051,6.489436976,5.999849275,52.16048548,-0.044949,-0.007491688
"Dichloromethyl(3,3,4,4,5,5,6,6,6-nonafluorohexyl)silane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SiH2]C(Cl)Cl,C7H7Cl2F9Si,359.9550361,358.9477556,7.571009805,6.999824154,51.27953899,-0.0522444,-0.007463673
"5,5,6,6,7,7,8,8,8-Nonafluoro-3-iodooctan-1-ol",OCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H8F9IO,417.9476169,416.94033,8.652582634,7.999799033,52.11885052,-0.05967,-0.007458937
"2-Propanol, 2-(chloromethyl)-1,1,1,3,3,3-hexafluoro-",OC(CCl)(C(F)(F)F)C(F)(F)F,C4H3ClF6O,215.9776617,214.9703814,4.326291317,3.999899517,53.74394544,-0.0296186,-0.007404836
9-Chloro-perfluorononanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C9HClF16O2,479.9409585,478.9336776,9.734155463,8.999773912,53.2161899,-0.0663224,-0.007369341
"2-Bromo-6-[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]pyridin-3-amine",NC1=C(Br)N=C(OC(C(F)(F)F)C(F)(F)F)C=C1,C8H5BrF6N2O,337.9489442,336.941665,8.652582634,7.999799033,42.11876618,-0.058335,-0.007292058
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-Henicosafluoro-2-iodotridecan-1-ol",OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H6F21IO,703.9128054,702.90552,14.06044678,12.99967343,54.0710137,-0.09448,-0.007267875
